,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
0,1,1,Tiger Woods,16,6.88,"$8,553,438","$124,250,000"
1,2,2,Henrik Stenson,18,4.83,"$6,388,228","$132,200,000"
2,3,3,Steve Stricker,13,4.43,"$4,440,531","$100,250,000"
3,4,4,Adam Scott,16,3.93,"$4,892,607","$124,550,000"
4,5,5,Phil Mickelson,21,3.59,"$5,495,791","$153,100,000"
5,6,6,Matt Kuchar,23,3.39,"$5,616,807","$165,650,000"
6,7,7,Brandt Snedeker,23,3.33,"$5,318,086","$159,850,000"
7,8,8,Justin Rose,17,3.17,"$4,146,147","$130,850,000"
8,9,9,Jordan Spieth,23,2.57,"$3,879,817","$151,100,000"
9,10,10,Zach Johnson,24,2.41,"$4,044,507","$168,050,000"
10,11,11,Jason Day,21,2.33,"$3,625,026","$155,450,000"
11,12,12,Keegan Bradley,25,2.04,"$3,636,810","$178,550,000"
12,T13,T13,Shane Bertsch,1,2.0,"$112,000","$5,600,000"
13,T13,T13,Danny Lee,1,2.0,"$112,000","$5,600,000"
14,T15,T15,Jim Furyk,22,1.99,"$3,204,778","$161,250,000"
15,T15,T15,Miguel Angel Jiménez,3,1.99,"$491,546","$24,750,000"
16,17,17,Billy Horschel,26,1.98,"$3,501,701","$177,050,000"
17,18,18,Jason Dufner,22,1.95,"$3,132,266","$160,950,000"
18,19,19,Bill Haas,25,1.94,"$3,475,561","$179,150,000"
19,20,20,Dustin Johnson,22,1.85,"$2,963,212","$159,950,000"
20,21,21,Kevin Streelman,25,1.82,"$3,088,281","$169,750,000"
21,22,22,Jonathan Randolph,1,1.8,"$54,000","$3,000,000"
22,23,23,Graeme McDowell,16,1.78,"$2,174,593","$121,950,000"
23,24,24,Franklin Corpening,1,1.75,"$112,000","$6,400,000"
24,25,25,Sergio Garcia,17,1.73,"$2,251,136","$130,050,000"
25,26,26,Hunter Mahan,25,1.71,"$3,036,163","$177,800,000"
26,T27,T27,Graham DeLaet,26,1.66,"$2,834,897","$171,200,000"
27,T27,T27,Webb Simpson,25,1.66,"$2,957,579","$177,850,000"
28,T29,T29,Hideki Matsuyama,7,1.57,"$771,638","$49,250,000"
29,T29,T29,Charl Schwartzel,19,1.57,"$2,256,721","$143,450,000"
30,31,31,Boo Weekley,27,1.55,"$2,786,659","$179,250,000"
31,32,32,Luke Donald,17,1.49,"$1,930,645","$129,450,000"
32,T33,T33,Rory McIlroy,16,1.46,"$1,802,441","$123,050,000"
33,T33,T33,Lee Westwood,19,1.46,"$2,081,729","$142,250,000"
34,35,35,Ian Poulter,16,1.42,"$1,723,461","$121,650,000"
35,36,36,D.A. Points,28,1.4,"$2,658,886","$189,650,000"
36,37,37,Nick Watney,26,1.34,"$2,477,637","$184,350,000"
37,38,38,Jimmy Walker,24,1.32,"$2,117,569","$160,200,000"
38,39,39,Woody Austin,8,1.31,"$568,800","$43,400,000"
39,40,40,Harris English,26,1.27,"$2,201,163","$173,350,000"
40,41,41,Jonas Blixt,24,1.26,"$2,027,515","$161,350,000"
41,42,42,John Merrick,23,1.23,"$1,969,476","$160,000,000"
42,T43,T43,Ángel Cabrera,21,1.22,"$1,791,181","$146,950,000"
43,T43,T43,Peter Lonard,1,1.22,"$36,666","$3,000,000"
44,T43,T43,Patrick Reed,26,1.22,"$1,961,518","$160,300,000"
45,T43,T43,Paul Stankowski,1,1.22,"$36,666","$3,000,000"
46,47,47,Martin Laird,21,1.2,"$1,755,393","$146,650,000"
47,48,48,Eduardo De La Riva,1,1.19,"$95,043","$8,000,000"
48,T49,T49,Russell Henley,24,1.17,"$2,008,023","$171,350,000"
49,T49,T49,Gary Woodland,26,1.17,"$1,915,730","$164,400,000"
50,T51,T51,Roberto Castro,29,1.16,"$2,154,895","$185,300,000"
51,T51,T51,David Lingmerth,23,1.16,"$1,748,108","$150,800,000"
52,53,53,Bubba Watson,21,1.14,"$1,759,274","$153,950,000"
53,T54,T54,Rickie Fowler,22,1.13,"$1,816,740","$160,450,000"
54,T54,T54,Matt Jones,24,1.13,"$1,724,706","$152,800,000"
55,T54,T54,Chris Kirk,24,1.13,"$1,728,615","$153,200,000"
56,57,57,Charles Howell III,26,1.1,"$1,877,385","$170,900,000"
57,58,58,Michael Thompson,22,1.09,"$1,707,636","$156,300,000"
58,59,59,Mathew Goggin,1,1.08,"$86,579","$8,000,000"
59,60,60,Scott Piercy,24,1.07,"$1,830,083","$171,450,000"
60,61,61,Ryan Palmer,22,1.05,"$1,521,591","$145,500,000"
61,T62,T62,Charley Hoffman,23,1.04,"$1,582,423","$152,600,000"
62,T62,T62,David Lynn,22,1.04,"$1,633,253","$157,250,000"
63,T64,T64,Sangmoon Bae,26,1.01,"$1,714,637","$170,550,000"
64,T64,T64,Kevin Chappell,24,1.01,"$1,589,838","$156,900,000"
65,T66,T66,Derek Ernst,21,0.98,"$1,330,856","$135,450,000"
66,T66,T66,Chris Stroud,26,0.98,"$1,602,121","$163,800,000"
67,T68,T68,Tim Clark,20,0.96,"$1,355,951","$141,000,000"
68,T68,T68,Steve Wheatcroft,1,0.96,"$59,520","$6,200,000"
69,T70,T70,Brendon de Jonge,30,0.95,"$1,795,240","$188,900,000"
70,T70,T70,Marc Leishman,23,0.95,"$1,491,357","$157,300,000"
71,T70,T70,Ryan Moore,22,0.95,"$1,490,263","$157,550,000"
72,T73,T73,Gonzalo Fernandez-Castaño,12,0.93,"$858,653","$92,450,000"
73,T73,T73,Kyle Stanley,24,0.93,"$1,462,942","$157,600,000"
74,T73,T73,Brendon Todd,10,0.93,"$473,219","$51,000,000"
75,T76,T76,Ken Duke,28,0.92,"$1,722,582","$186,450,000"
76,T76,T76,Scott Stallings,27,0.92,"$1,622,626","$177,200,000"
77,78,78,Freddie Jacobson,19,0.9,"$1,236,721","$137,900,000"
78,79,79,Brian Gay,24,0.88,"$1,426,016","$162,100,000"
79,80,80,Josh Teater,24,0.87,"$1,332,651","$153,800,000"
80,81,81,Richard Sterne,7,0.86,"$483,757","$56,050,000"
81,82,82,Ernie Els,19,0.84,"$1,173,760","$140,050,000"
82,T83,T83,Kevin Stadler,25,0.83,"$1,281,175","$155,200,000"
83,T83,T83,Marc Warren,2,0.83,"$132,785","$16,000,000"
84,85,85,Thorbjørn Olesen,11,0.82,"$713,300","$86,750,000"
85,86,86,John Huh,28,0.81,"$1,529,482","$188,650,000"
86,T87,T87,John Rollins,24,0.8,"$1,164,047","$146,000,000"
87,T87,T87,Rory Sabbatini,27,0.8,"$1,327,819","$165,300,000"
88,T87,T87,Mark Wilson,19,0.8,"$913,729","$113,700,000"
89,T90,T90,Jason Kokrak,25,0.78,"$1,267,523","$163,100,000"
