,Top_10_Finishes_RANK THIS WEEK,Top_10_Finishes_RANK LAST WEEK,Top_10_Finishes_PLAYER NAME,Top_10_Finishes_EVENTS,Top_10_Finishes_TOP 10,Top_10_Finishes_1ST,Top_10_Finishes_2ND,Top_10_Finishes_3RD
0,T1,T1,Bill Haas,25,9,1.0,,1.0
1,T1,T1,Brandt Snedeker,23,9,2.0,2.0,1.0
2,T1,T1,Jordan Spieth,23,9,1.0,3.0,
3,T4,T4,Billy Horschel,26,8,1.0,1.0,1.0
4,T4,T4,Zach Johnson,24,8,1.0,1.0,1.0
5,T4,T4,Matt Kuchar,23,8,2.0,2.0,
6,T4,T4,Henrik Stenson,18,8,2.0,3.0,1.0
7,T4,T4,Steve Stricker,13,8,,4.0,
8,T4,T4,Tiger Woods,16,8,5.0,1.0,
9,T10,T10,Keegan Bradley,25,7,,2.0,1.0
10,T10,T10,Jason Day,21,7,,1.0,2.0
11,T10,T10,Graham DeLaet,26,7,,1.0,2.0
12,T10,T10,Jim Furyk,22,7,,1.0,2.0
13,T10,T10,Phil Mickelson,21,7,2.0,2.0,2.0
14,T10,T10,Justin Rose,17,7,1.0,2.0,
15,T16,T16,Sergio Garcia,17,6,,,1.0
16,T16,T16,Dustin Johnson,22,6,1.0,1.0,
17,T16,T16,Adam Scott,16,6,2.0,,2.0
18,T16,T16,Lee Westwood,19,6,,,1.0
19,T20,T20,Luke Donald,17,5,,,1.0
20,T20,T20,Jason Dufner,22,5,1.0,,
21,T20,T20,Rickie Fowler,22,5,,,1.0
22,T20,T20,Charley Hoffman,23,5,,,1.0
23,T20,T20,Charles Howell III,26,5,,1.0,1.0
24,T20,T20,Matt Jones,24,5,,1.0,
25,T20,T20,Hunter Mahan,25,5,,1.0,
26,T20,T20,Rory McIlroy,16,5,,1.0,
27,T20,T20,Patrick Reed,26,5,1.0,,
28,T20,T20,Rory Sabbatini,27,5,,,
29,T20,T20,Charl Schwartzel,19,5,,,2.0
30,T20,T20,Webb Simpson,25,5,,1.0,
31,T20,T20,Kevin Streelman,25,5,1.0,1.0,1.0
32,T20,T20,Jimmy Walker,24,5,,1.0,1.0
33,T34,T34,Roberto Castro,29,4,,1.0,
34,T34,T34,Brian Davis,28,4,,,
35,T34,T34,Brendon de Jonge,30,4,,,
36,T34,T34,Harris English,26,4,1.0,,
37,T34,T34,Matt Every,28,4,,,
38,T34,T34,Jason Kokrak,25,4,,,1.0
39,T34,T34,Marc Leishman,23,4,,,
40,T34,T34,Graeme McDowell,16,4,1.0,,1.0
41,T34,T34,Ryan Palmer,22,4,,,
42,T34,T34,Pat Perez,22,4,,,
43,T34,T34,Scott Piercy,24,4,,,1.0
44,T34,T34,Ian Poulter,16,4,,,1.0
45,T34,T34,Scott Stallings,27,4,,1.0,
46,T34,T34,Chris Stroud,26,4,,1.0,
47,T34,T34,Brian Stuard,25,4,,,
48,T34,T34,Daniel Summerhays,26,4,,1.0,
49,T34,T34,Nick Watney,26,4,,1.0,
50,T34,T34,Boo Weekley,27,4,1.0,1.0,
51,T52,T52,Kevin Chappell,24,3,,1.0,
52,T52,T52,Stewart Cink,22,3,,,
53,T52,T52,Tim Clark,20,3,,1.0,
54,T52,T52,Nicolas Colsaerts,17,3,,,
55,T52,T52,Gonzalo Fernandez-Castaño,12,3,,,1.0
56,T52,T52,Padraig Harrington,17,3,,,
57,T52,T52,Russell Henley,24,3,1.0,,
58,T52,T52,Morgan Hoffmann,20,3,,,
59,T52,T52,Freddie Jacobson,19,3,,,1.0
60,T52,T52,Martin Kaymer,17,3,,,
61,T52,T52,Chris Kirk,24,3,,1.0,
62,T52,T52,D.H. Lee,22,3,,,1.0
63,T52,T52,David Lingmerth,23,3,,2.0,
64,T52,T52,Ryan Moore,22,3,,,
65,T52,T52,D.A. Points,28,3,1.0,1.0,
66,T52,T52,Kevin Stadler,25,3,,,1.0
67,T52,T52,Kyle Stanley,24,3,,,2.0
68,T52,T52,Josh Teater,24,3,,1.0,
69,T52,T52,Michael Thompson,22,3,1.0,,
70,T52,T52,Bubba Watson,21,3,,,
71,T52,T52,Mark Wilson,19,3,,,1.0
72,T73,T73,Aaron Baddeley,24,2,,,
73,T73,T73,Sangmoon Bae,26,2,1.0,,
74,T73,T73,Jonas Blixt,24,2,1.0,,
75,T73,T73,Jason Bohn,23,2,,1.0,
76,T73,T73,Justin Bolli,23,2,,,
77,T73,T73,Jonathan Byrd,16,2,,1.0,
78,T73,T73,Ángel Cabrera,21,2,,1.0,
79,T73,T73,Greg Chalmers,25,2,,,
80,T73,T73,K.J. Choi,24,2,,,
81,T73,T73,Ben Crane,21,2,,,
82,T73,T73,James Driscoll,23,2,,,
83,T73,T73,Ken Duke,28,2,1.0,,
84,T73,T73,Bob Estes,18,2,,,
85,T73,T73,Martin Flores,25,2,,,
86,T73,T73,Robert Garrigus,22,2,,,
87,T73,T73,Lucas Glover,23,2,,,
88,T73,T73,Luke Guthrie,27,2,,,1.0
89,T73,T73,James Hahn,26,2,,,1.0
90,T73,T73,Brian Harman,29,2,,,1.0
91,T73,T73,David Hearn,26,2,,1.0,
92,T73,T73,J.J. Henry,26,2,,,
93,T73,T73,Jim Herman,19,2,,,
94,T73,T73,John Huh,28,2,,,1.0
95,T73,T73,Jerry Kelly,22,2,,,
96,T73,T73,Martin Laird,21,2,1.0,,
97,T73,T73,Richard Lee,24,2,,,
98,T73,T73,David Lynn,22,2,,1.0,
99,T73,T73,Jeff Maggert,21,2,,1.0,
100,T73,T73,Hideki Matsuyama,7,2,,,
101,T73,T73,William McGirt,24,2,,1.0,
102,T73,T73,John Merrick,23,2,1.0,,
103,T73,T73,Thorbjørn Olesen,11,2,,,
104,T73,T73,Jeff Overton,24,2,,,
105,T73,T73,"Ted Potter, Jr.",22,2,,,
106,T73,T73,Dicky Pride,23,2,,,
107,T73,T73,John Rollins,24,2,,,
108,T73,T73,Andres Romero,21,2,,1.0,
109,T73,T73,Brendan Steele,26,2,,,
110,T73,T73,Shawn Stefani,21,2,,,
