,Official_Money_RANK THIS WEEK,Official_Money_RANK LAST WEEK,Official_Money_PLAYER NAME,Official_Money_EVENTS,Official_Money_MONEY,Official_Money_YTD VICTORIES
0,1,1,Tiger Woods,16,"$8,553,439",5.0
1,2,2,Henrik Stenson,18,"$6,388,230",2.0
2,3,3,Matt Kuchar,23,"$5,616,808",2.0
3,4,4,Phil Mickelson,21,"$5,495,793",2.0
4,5,5,Brandt Snedeker,23,"$5,318,087",2.0
5,6,6,Adam Scott,16,"$4,892,611",2.0
6,7,7,Steve Stricker,13,"$4,440,532",
7,8,8,Justin Rose,17,"$4,146,148",1.0
8,9,9,Zach Johnson,24,"$4,044,509",1.0
9,10,10,Jordan Spieth,23,"$3,879,820",1.0
10,11,11,Keegan Bradley,25,"$3,636,813",
11,12,12,Jason Day,21,"$3,625,030",
12,13,13,Billy Horschel,26,"$3,501,703",1.0
13,14,14,Bill Haas,25,"$3,475,563",1.0
14,15,15,Jim Furyk,22,"$3,204,779",
15,16,16,Jason Dufner,22,"$3,132,268",1.0
16,17,17,Kevin Streelman,25,"$3,088,284",1.0
17,18,18,Hunter Mahan,25,"$3,036,164",
18,19,19,Dustin Johnson,22,"$2,963,214",1.0
19,20,20,Webb Simpson,25,"$2,957,582",
20,21,21,Graham DeLaet,26,"$2,834,900",
21,22,22,Boo Weekley,27,"$2,786,662",1.0
22,23,23,D.A. Points,28,"$2,658,887",1.0
23,24,24,Nick Watney,26,"$2,477,639",
24,25,25,Charl Schwartzel,19,"$2,256,723",
25,26,26,Sergio Garcia,17,"$2,251,139",
26,27,27,Harris English,26,"$2,201,167",1.0
27,28,28,Graeme McDowell,16,"$2,174,595",1.0
28,29,29,Roberto Castro,29,"$2,154,898",
29,30,30,Jimmy Walker,24,"$2,117,570",
30,31,31,Lee Westwood,19,"$2,081,731",
31,32,32,Jonas Blixt,24,"$2,027,517",1.0
32,33,33,Russell Henley,24,"$2,008,026",1.0
33,34,34,John Merrick,23,"$1,969,478",1.0
34,35,35,Patrick Reed,26,"$1,961,519",1.0
35,36,36,Luke Donald,17,"$1,930,646",
36,37,37,Gary Woodland,26,"$1,915,732",1.0
37,38,38,Charles Howell III,26,"$1,877,389",
38,39,39,Scott Piercy,24,"$1,830,084",
39,40,40,Rickie Fowler,22,"$1,816,742",
40,41,41,Rory McIlroy,16,"$1,802,443",
41,42,42,Brendon de Jonge,30,"$1,795,244",
42,43,43,Ángel Cabrera,21,"$1,791,183",
43,44,44,Bubba Watson,21,"$1,759,276",
44,45,45,Martin Laird,21,"$1,755,393",1.0
45,46,46,David Lingmerth,23,"$1,748,109",
46,47,47,Chris Kirk,24,"$1,728,616",
47,48,48,Matt Jones,24,"$1,724,707",
48,49,49,Ian Poulter,16,"$1,723,463",
49,50,50,Ken Duke,28,"$1,722,583",1.0
50,51,51,Sangmoon Bae,26,"$1,714,640",1.0
51,52,52,Michael Thompson,22,"$1,707,637",1.0
52,53,53,David Lynn,22,"$1,633,253",
53,54,54,Scott Stallings,27,"$1,622,627",
54,55,55,Chris Stroud,26,"$1,602,122",
55,56,56,Kevin Chappell,24,"$1,589,839",
56,57,57,Charley Hoffman,23,"$1,582,423",
57,58,58,John Huh,28,"$1,529,482",
58,59,59,Ryan Palmer,22,"$1,521,592",
59,60,60,Marc Leishman,23,"$1,491,359",
60,61,61,Ryan Moore,22,"$1,490,265",
61,62,62,Kyle Stanley,24,"$1,462,943",
62,63,63,Brian Gay,24,"$1,426,017",1.0
63,64,64,Tim Clark,20,"$1,355,952",
64,65,65,Josh Teater,24,"$1,332,652",
65,66,66,Derek Ernst,21,"$1,330,856",1.0
66,67,67,Rory Sabbatini,27,"$1,327,822",
67,68,68,Kevin Stadler,25,"$1,281,177",
68,69,69,Daniel Summerhays,26,"$1,277,886",
69,70,70,Jason Kokrak,25,"$1,267,525",
70,71,71,Freddie Jacobson,19,"$1,236,722",
71,72,72,Brian Davis,28,"$1,221,524",
72,73,73,Matt Every,28,"$1,188,867",
73,74,74,Ernie Els,19,"$1,173,761",
74,75,75,David Hearn,26,"$1,171,515",
75,76,76,John Rollins,24,"$1,164,049",
76,77,77,Robert Garrigus,22,"$1,132,355",
77,78,78,Stewart Cink,22,"$1,052,712",
78,79,79,Brian Stuard,25,"$1,032,028",
79,80,80,Jeff Maggert,21,"$1,022,331",
80,81,81,Scott Brown,21,"$1,012,142",1.0
81,82,82,Brendan Steele,26,"$1,004,161",
82,83,83,Luke Guthrie,27,"$991,902",
83,84,84,Pat Perez,22,"$974,800",
84,85,85,K.J. Choi,24,"$973,751",
85,86,86,Cameron Tringale,24,"$971,209",
86,87,87,Nicholas Thompson,29,"$959,434",
87,88,88,Bo Van Pelt,22,"$956,629",
88,89,89,Richard Lee,24,"$920,836",
89,90,90,Charlie Beljan,24,"$916,229",
90,91,91,Mark Wilson,19,"$913,730",
91,92,92,Brian Harman,29,"$909,759",
92,93,93,Geoff Ogilvy,19,"$892,920",
93,94,94,Martin Kaymer,17,"$882,937",
94,95,95,D.H. Lee,22,"$882,793",
95,96,96,Morgan Hoffmann,20,"$871,003",
96,97,97,William McGirt,24,"$867,384",
97,98,98,James Hahn,26,"$853,507",
98,99,99,Jerry Kelly,22,"$832,407",
99,100,100,"Ted Potter, Jr.",22,"$829,770",
100,101,101,James Driscoll,23,"$821,101",
101,102,102,Bryce Molder,24,"$816,922",
102,103,103,Martin Flores,25,"$805,597",
103,104,104,Johnson Wagner,24,"$801,955",
104,105,105,Ben Crane,21,"$796,947",
105,106,106,Bob Estes,18,"$769,717",
106,107,107,J.J. Henry,26,"$761,861",
107,108,108,Lucas Glover,23,"$747,812",
108,109,109,Jason Bohn,23,"$739,030",
109,110,110,Carl Pettersson,24,"$738,143",
110,111,111,Justin Hicks,25,"$732,742",
111,112,112,Jeff Overton,24,"$721,723",
112,113,113,Aaron Baddeley,24,"$721,024",
113,114,114,Nicolas Colsaerts,17,"$720,164",
114,115,115,Andres Romero,21,"$718,507",
115,116,116,Padraig Harrington,17,"$711,244",
116,117,117,Camilo Villegas,23,"$709,677",
117,118,118,Steven Bowditch,22,"$697,775",
118,119,119,Justin Leonard,24,"$694,139",
119,120,120,John Senden,25,"$667,027",
120,121,121,Charlie Wi,23,"$656,672",
121,122,122,Erik Compton,24,"$651,660",
122,123,123,David Toms,16,"$646,161",
123,124,124,Greg Chalmers,25,"$632,283",
124,125,125,Peter Hanson,15,"$610,178",
125,126,126,Chez Reavie,22,"$590,925",
126,127,127,Scott Langley,27,"$590,684",
127,128,128,Fabián Gómez,23,"$586,942",
128,129,129,Woody Austin,8,"$568,800",1.0
129,130,130,Ricky Barnes,26,"$553,878",
130,131,131,Justin Bolli,23,"$545,187",
131,132,132,Stuart Appleby,25,"$538,333",
132,133,133,Tommy Gainey,28,"$520,479",
133,134,134,Shawn Stefani,21,"$511,399",
134,135,135,Chad Campbell,25,"$510,661",
135,136,136,George McNeill,21,"$500,798",
136,137,137,Louis Oosthuizen,12,"$497,408",
137,138,138,Dicky Pride,23,"$495,390",
138,139,139,Jim Herman,19,"$490,756",
139,140,140,Brendon Todd,10,"$473,220",
140,141,141,Robert Streb,25,"$454,871",
141,142,142,Brad Fritsch,24,"$452,184",
142,143,143,Robert Karlsson,18,"$444,238",
143,144,144,Bud Cauley,24,"$443,698",
144,145,145,Greg Owen,24,"$442,198",
145,146,146,Jonathan Byrd,16,"$428,966",
146,147,147,Tag Ridings,24,"$428,922",
147,148,148,Casey Wittenberg,27,"$425,395",
148,149,149,Ryo Ishikawa,23,"$424,541",
149,150,150,Ben Kohles,25,"$419,416",
150,151,151,Henrik Norlander,22,"$401,958",
151,152,152,Vaughn Taylor,16,"$399,286",
152,153,153,Seung-Yul Noh,25,"$391,763",
153,154,154,Ben Curtis,20,"$372,543",
154,155,155,Trevor Immelman,24,"$360,549",
155,156,156,Tom Gillis,22,"$345,325",
156,157,157,Doug LaBelle II,23,"$338,921",
157,158,158,Steve LeBrun,21,"$337,157",
158,159,159,Bobby Gates,20,"$320,248",
159,160,160,Retief Goosen,9,"$315,702",
160,161,161,Ross Fisher,15,"$311,168",
161,162,162,Vijay Singh,19,"$309,351",
162,163,163,Brandt Jobe,19,"$309,105",
163,164,164,Russell Knox,11,"$305,973",
164,165,165,Davis Love III,15,"$303,470",
165,166,166,Tim Herron,15,"$302,570",
166,167,167,D.J. Trahan,16,"$284,249",
167,168,168,Nick O'Hern,10,"$282,464",
168,169,169,Cameron Percy,21,"$277,336",
169,170,170,Cameron Beckman,8,"$276,805",
170,171,171,David Mathis,24,"$274,477",
171,172,172,Sean O'Hair,22,"$268,614",
172,173,173,Luke List,24,"$264,401",
173,174,174,Y.E. Yang,19,"$259,118",
174,175,175,Troy Matteson,24,"$245,090",
175,176,176,Kevin Sutherland,13,"$223,098",
176,177,177,Scott Gardiner,23,"$219,645",
177,178,178,Fred Couples,4,"$218,398",
178,179,179,Aaron Watkins,19,"$217,495",
179,180,180,Will Claxton,24,"$206,722",
180,181,181,Bill Lunde,10,"$206,710",
181,182,182,Robert Allenby,24,"$204,272",
182,183,183,Tim Petrovic,12,"$196,565",
183,184,184,Mike Weir,22,"$194,510",
184,185,185,Stephen Ames,19,"$188,987",
185,186,186,Glen Day,6,"$186,610",
186,187,187,Darron Stiles,20,"$184,866",
187,188,188,Andres Gonzales,17,"$179,387",
188,189,189,Colt Knost,25,"$176,710",
189,190,190,Chris DiMarco,11,"$175,555",
190,191,191,Alistair Presnell,23,"$163,134",
191,192,192,Steve Marino,12,"$148,874",
192,193,193,Paul Casey,7,"$147,612",
193,194,194,John Mallinger,12,"$137,299",
194,195,195,Jin Park,20,"$136,457",
195,196,196,Lee Williams,22,"$133,755",
196,197,197,Billy Mayfair,14,"$123,860",
197,198,198,Billy Andrade,3,"$114,000",
198,199,199,Kevin Na,8,"$110,864",
199,200,200,Rod Pampling,16,"$110,451",
200,201,201,Matt Bettencourt,9,"$101,687",
201,202,202,Joey Snyder III,15,"$98,887",
202,203,203,Nathan Green,9,"$97,753",
203,204,204,Heath Slocum,9,"$90,796",
204,205,205,"Wes Short, Jr.",15,"$82,855",
205,206,206,Michael Bradley,21,"$79,107",
206,207,207,Andrew Svoboda,18,"$77,219",
207,208,208,Steve Flesch,6,"$76,654",
208,209,209,Gary Christian,10,"$75,332",
209,210,210,Paul Haley II,18,"$73,006",
210,211,211,Scott Verplank,14,"$62,905",
211,212,212,Eric Meierdierks,19,"$58,029",
212,213,213,Bernhard Langer,1,"$56,040",
213,214,214,Joe Ogilvie,15,"$54,173",
214,215,215,Jeff Gove,17,"$53,401",
215,216,216,Kenny Perry,3,"$52,616",
216,217,217,Joe Affrunti,5,"$49,615",
217,218,218,Jesper Parnevik,13,"$49,241",
218,219,219,Hank Kuehne,5,"$48,046",
219,220,220,Michael Letzig,17,"$45,626",
220,221,221,John Daly,12,"$43,543",
221,222,222,Neal Lancaster,6,"$36,979",
222,T223,T223,Peter Lonard,1,"$36,667",
223,T223,T223,Paul Stankowski,1,"$36,667",
224,225,225,Sandy Lyle,2,"$34,962",
225,226,226,Troy Kelly,10,"$32,350",
226,227,227,Joe Durant,7,"$32,290",
227,228,228,Ryuji Imada,7,"$30,820",
228,229,229,Tom Watson,4,"$28,980",
229,230,230,Duffy Waldorf,3,"$28,657",
230,231,231,Chris Riley,3,"$27,521",
231,232,232,Lee Janzen,11,"$25,482",
232,233,233,Arjun Atwal,8,"$22,122",
233,234,234,Alexandre Rocha,3,"$21,254",
234,235,235,Dean Wilson,2,"$20,836",
235,T236,T236,Tom Lehman,2,"$20,077",
236,T236,T236,Mark O'Meara,3,"$20,077",
