,GIR_Percentage_from_Other_than_Fairway_RANK THIS WEEK,GIR_Percentage_from_Other_than_Fairway_RANK LAST WEEK,GIR_Percentage_from_Other_than_Fairway_PLAYER NAME,GIR_Percentage_from_Other_than_Fairway_ROUNDS,GIR_Percentage_from_Other_than_Fairway_%,GIR_Percentage_from_Other_than_Fairway_GREENS HIT,GIR_Percentage_from_Other_than_Fairway_# OF HOLES
0,1,1,"David Berganio, Jr.",80,60.0,213,355
1,2,2,Kenneth Staton,104,57.99,265,457
2,3,3,Cameron Beckman,87,56.18,209,372
3,4,4,Kenny Perry,98,55.92,236,422
4,5,5,Shaun Micheel,100,55.43,245,442
5,6,6,Rich Beem,99,55.27,257,465
6,7,7,Vijay Singh,102,55.21,249,451
7,8,8,Brandt Jobe,94,55.04,235,427
8,9,9,Jeff Brehaut,87,54.81,205,374
9,10,10,Carlos Franco,107,54.76,276,504
10,11,11,Steve Pate,64,54.74,150,274
11,12,12,Dennis Paulson,89,54.33,270,497
12,13,13,Steve Lowery,98,53.94,219,406
13,14,14,Phil Tataurangi,88,53.9,242,449
14,15,15,David Peoples,105,53.71,246,458
15,16,16,Rory Sabbatini,69,53.62,185,345
16,17,17,Chris Smith,103,53.38,253,474
17,18,18,David Gossett,95,53.21,199,374
18,19,19,Dan Forsman,83,53.2,183,344
19,20,20,Spike McRoy,69,53.0,168,317
20,21,21,John Huston,99,52.9,219,414
21,22,22,John Rollins,124,52.85,241,456
22,23,23,Dicky Pride,51,52.78,133,252
23,24,24,Edward Fryatt,94,52.49,232,442
24,25,25,Bradley Hughes,60,52.28,126,241
25,26,26,Joey Sindelar,104,52.26,243,465
26,27,27,Pat Bates,94,52.19,167,320
27,T28,T28,Chad Campbell,111,52.13,220,422
28,T28,T28,Bob May,91,52.13,220,422
29,30,30,Tripp Isenhour,68,52.01,168,323
30,31,31,Tommy Armour III,82,52.0,195,375
31,32,32,Fred Funk,106,51.8,144,278
32,33,33,Charles Howell III,118,51.77,248,479
33,34,34,Andrew Magee,91,51.5,240,466
34,35,35,Michael Long,71,51.17,197,385
35,T36,T36,Fred Couples,64,51.07,167,327
36,T36,T36,Robert Gamez,69,51.07,143,280
37,T38,T38,Jim Furyk,88,50.87,147,289
38,T38,T38,Tim Herron,102,50.87,293,576
39,40,40,Brenden Pappas,62,50.78,195,384
40,T41,T41,Notah Begay III,76,50.75,135,266
41,T41,T41,J.J. Henry,112,50.75,238,469
42,43,43,Russ Cochran,68,50.48,158,313
43,44,44,Tiger Woods,69,50.29,175,348
44,45,45,John Senden,96,50.23,219,436
45,46,46,Robin Freeman,79,50.0,180,360
46,47,47,Glen Hnatiuk,95,49.66,148,298
47,48,48,Steve Allan,93,49.59,241,486
48,49,49,Greg Chalmers,94,49.51,253,511
49,50,50,J.L. Lewis,98,49.44,222,449
50,51,51,Frank Lickliter II,94,49.4,207,419
51,52,52,Jeff Gove,89,49.28,205,416
52,53,53,Tom Pernice Jr.,101,49.24,228,463
53,T54,T54,Briny Baird,110,49.18,210,427
54,T54,T54,Tommy Tolles,64,49.18,179,364
55,56,56,Tim Petrovic,92,49.13,198,403
56,57,57,Jay Williamson,91,49.08,186,379
57,T58,T58,Peter Jacobsen,67,49.05,129,263
58,T58,T58,Mike Weir,94,49.05,232,473
59,60,60,Hidemichi Tanaka,104,49.03,177,361
60,61,61,Ian Leggatt,97,49.02,224,457
61,62,62,Jess Daley,76,48.98,193,394
62,63,63,Ben Crane,91,48.94,207,423
63,64,64,Mathew Goggin,64,48.8,163,334
64,65,65,Joel Edwards,101,48.72,191,392
65,66,66,Brent Geiberger,95,48.7,206,423
66,67,67,Robert Allenby,96,48.65,198,407
67,68,68,Boo Weekley,57,48.64,125,257
68,69,69,Craig Stadler,72,48.58,137,282
69,70,70,Brian Bateman,94,48.54,199,410
70,71,71,Tom Scherrer,98,48.49,241,497
71,72,72,Bart Bryant,69,48.44,109,225
72,73,73,Geoff Ogilvy,90,48.35,220,455
73,74,74,Blaine McCallister,75,48.24,137,284
74,75,75,Rod Pampling,98,48.16,209,434
75,76,76,Glen Day,107,48.15,156,324
76,77,77,Brett Quigley,93,48.12,256,532
77,78,78,Bob Burns,99,48.08,188,391
78,79,79,Brian Henninger,66,48.06,149,310
79,80,80,K.J. Choi,93,48.0,216,450
80,81,81,Olin Browne,107,47.89,159,332
81,82,82,Paul Stankowski,100,47.83,231,483
82,83,83,Jay Haas,83,47.73,179,375
83,84,84,Brett Wetterich,89,47.72,209,438
84,85,85,Jeff Sluman,118,47.67,245,514
85,86,86,Craig Parry,69,47.63,151,317
86,87,87,Brandel Chamblee,85,47.61,179,376
87,88,88,Per-Ulrik Johansson,87,47.28,165,349
88,89,89,Bo Van Pelt,78,47.27,182,385
89,90,90,Mark Brooks,97,47.09,178,378
90,91,91,Steve Flesch,110,47.03,222,472
91,92,92,John Riegger,88,46.96,170,362
92,93,93,Michael Allen,76,46.95,208,443
93,94,94,Scott Dunlap,74,46.91,152,324
94,95,95,Paul Claxton,83,46.88,150,320
95,96,96,Luke Donald,106,46.84,200,427
96,97,97,Tom Byrum,77,46.82,125,267
97,98,98,Harrison Frazar,88,46.7,205,439
98,99,99,Mike Sposa,111,46.69,226,484
99,100,100,Jay Don Blake,107,46.67,210,450
100,101,101,David Frost,90,46.59,191,410
101,102,102,Paul Azinger,69,46.57,156,335
102,103,103,Matt Gogel,79,46.56,169,363
103,104,104,Tom Lehman,78,46.53,154,331
104,105,105,Jonathan Byrd,96,46.46,197,424
105,106,106,Paul Gow,99,46.44,222,478
106,107,107,Scott McCarron,106,46.29,237,512
107,108,108,Stephen Ames,89,46.26,198,428
108,109,109,Frank Nobilo,94,46.17,175,379
109,110,110,Bob Tway,103,46.12,226,490
110,111,111,Deane Pappas,90,46.11,237,514
111,112,112,Stephen Gangluff,75,45.87,172,375
112,113,113,Bryce Molder,65,45.81,153,334
113,114,114,J.P. Hayes,78,45.79,163,356
114,115,115,Brian Watts,58,45.69,122,267
115,116,116,Gary Nicklaus,66,45.68,148,324
116,117,117,Carl Paulson,84,45.65,168,368
117,118,118,Chris DiMarco,111,45.56,231,507
118,119,119,Bob Estes,93,45.5,182,400
119,120,120,Dudley Hart,88,45.45,190,418
120,121,121,Jason Hill,59,45.42,139,306
121,T122,T122,Fulton Allem,64,45.32,92,203
122,T122,T122,David Toms,106,45.32,208,459
123,T122,T122,Grant Waite,98,45.32,218,481
124,125,125,Jonathan Kaye,83,45.17,173,383
125,126,126,Brad Faxon,93,45.16,182,403
126,127,127,Jerry Smith,91,45.08,188,417
127,128,128,Mike Hulbert,55,45.0,153,340
128,129,129,Bob Heintz,68,44.89,211,470
129,130,130,Billy Mayfair,99,44.72,165,369
130,131,131,Pat Perez,89,44.7,173,387
131,132,132,Steve Elkington,82,44.65,196,439
132,133,133,Michael Clark II,97,44.62,195,437
133,134,134,Kevin Sutherland,96,44.44,196,441
134,135,135,Peter Lonard,93,44.4,202,455
135,136,136,Kaname Yokoo,74,44.38,142,320
136,137,137,Neal Lancaster,101,44.28,240,542
137,138,138,Kirk Triplett,84,44.2,122,276
138,139,139,Phil Mickelson,97,44.17,212,480
139,140,140,Paul Goydos,66,44.02,103,234
140,141,141,Craig Barlow,62,43.86,125,285
141,142,142,Hal Sutton,74,43.83,135,308
142,143,143,Brad Lardon,59,43.82,110,251
143,144,144,Garrett Willis,80,43.77,144,329
144,145,145,Kent Jones,105,43.74,199,455
145,146,146,Sergio Garcia,79,43.73,157,359
146,147,147,Matt Peterson,80,43.71,125,286
147,148,148,Davis Love III,92,43.68,197,451
148,149,149,Stuart Appleby,97,43.64,223,511
149,150,150,Brian Gay,117,43.54,209,480
150,151,151,Billy Andrade,100,43.5,221,508
151,152,152,Greg Kraft,86,43.49,167,384
152,153,153,Robert Damron,85,43.44,139,320
153,154,154,John Daly,62,43.4,161,371
154,155,155,Woody Austin,102,43.35,212,489
155,156,156,Skip Kendall,103,43.34,179,413
156,157,157,Jesper Parnevik,85,43.18,209,484
157,158,158,Shigeki Maruyama,87,43.07,199,462
158,159,159,Lee Janzen,101,43.05,195,453
159,160,160,Stewart Cink,92,43.01,206,479
160,161,161,Mark Calcavecchia,84,43.0,175,407
161,162,162,Rocco Mediate,79,42.9,133,310
162,163,163,Joe Durant,87,42.86,144,336
163,164,164,Donnie Hammond,60,42.79,95,222
164,165,165,Brad Elder,76,42.78,154,360
165,166,166,Heath Slocum,96,42.66,122,286
166,167,167,Miguel Angel Jiménez,60,42.49,116,273
167,168,168,Esteban Toledo,106,42.44,191,450
168,169,169,John Cook,85,42.26,131,310
169,170,170,Scott Verplank,93,42.14,134,318
170,171,171,Steve Stricker,68,42.12,163,387
171,172,172,Jim Carter,98,41.86,180,430
172,173,173,Tim Clark,76,41.34,117,283
173,174,174,David Morland IV,58,41.32,100,242
174,175,175,Duffy Waldorf,90,41.25,172,417
175,176,176,Len Mattiace,106,41.24,207,502
176,177,177,Retief Goosen,56,41.16,114,277
177,178,178,Eduardo Herrera,59,40.91,135,330
178,179,179,José María Olazábal,71,40.86,161,394
179,180,180,Jerry Kelly,99,40.6,177,436
180,181,181,Jeff Maggert,83,40.48,134,331
181,182,182,Craig Perks,91,40.44,201,497
182,183,183,Lee Porter,91,40.42,135,334
183,184,184,Michael Muehr,73,40.32,152,377
184,185,185,David Duval,78,40.18,174,433
185,186,186,Mark O'Meara,68,40.0,140,350
186,187,187,Justin Leonard,97,39.95,155,388
187,188,188,Scott Simpson,61,39.39,117,297
188,189,189,Franklin Langham,72,39.32,127,323
189,190,190,Matt Kuchar,82,39.27,130,331
190,191,191,Chris Riley,104,39.16,177,452
191,192,192,Richard Zokol,53,38.98,99,254
192,193,193,Pete Jordan,78,38.8,116,299
193,194,194,Steve Jones,71,38.28,129,337
194,195,195,Scott Hoch,71,37.91,127,335
195,196,196,Joe Ogilvie,50,37.35,96,257
196,197,197,Loren Roberts,93,37.34,146,391
197,198,198,Bernhard Langer,55,36.27,103,284
198,199,199,José Coceres,51,35.53,81,228
199,200,200,Ernie Els,68,35.34,123,348
200,201,201,Corey Pavin,78,32.67,99,303
201,202,202,Nick Price,69,31.42,82,261
