,Approach_100-125_yards_RTP_Score_RANK THIS WEEK,Approach_100-125_yards_RTP_Score_RANK LAST WEEK,Approach_100-125_yards_RTP_Score_PLAYER NAME,Approach_100-125_yards_RTP_Score_ROUNDS,Approach_100-125_yards_RTP_Score_AVG RTP
0,1,1,Rocco Mediate,79,-.400
1,2,2,Bryce Molder,65,-.361
2,3,3,Pat Bates,94,-.360
3,4,4,Craig Parry,69,-.349
4,5,5,Matt Kuchar,82,-.317
5,6,6,Davis Love III,92,-.316
6,7,7,John Huston,99,-.304
7,8,8,Dan Forsman,83,-.303
8,9,9,Steve Stricker,68,-.296
9,10,10,Craig Perks,91,-.290
10,11,11,José Coceres,51,-.278
11,T12,T12,Billy Andrade,100,-.275
12,T12,T12,Bob May,91,-.275
13,14,14,Michael Long,71,-.271
14,15,15,Jay Haas,83,-.270
15,16,16,Ernie Els,68,-.259
16,17,17,John Cook,85,-.258
17,18,18,Charles Howell III,118,-.255
18,T19,T19,Harrison Frazar,88,-.250
19,T19,T19,Retief Goosen,56,-.250
20,T19,T19,David Toms,106,-.250
21,22,22,K.J. Choi,93,-.246
22,23,23,Steve Allan,93,-.240
23,24,24,Brandt Jobe,94,-.239
24,25,25,Rich Beem,99,-.237
25,26,26,Scott Dunlap,74,-.235
26,T27,T27,Chris DiMarco,111,-.231
27,T27,T27,Rory Sabbatini,69,-.231
28,29,29,Stewart Cink,92,-.227
29,30,30,Stephen Ames,89,-.226
30,31,31,Robert Gamez,69,-.222
31,32,32,Peter Lonard,93,-.217
32,T33,T33,Mark Brooks,97,-.216
33,T33,T33,Kirk Triplett,84,-.216
34,T35,T35,J.P. Hayes,78,-.214
35,T35,T35,Skip Kendall,103,-.214
36,T35,T35,Pat Perez,89,-.214
37,38,38,Bob Estes,93,-.211
38,39,39,John Rollins,124,-.206
39,40,40,Matt Peterson,80,-.204
40,T41,T41,Brian Gay,117,-.196
41,T41,T41,Phil Tataurangi,88,-.196
42,43,43,Jeff Sluman,118,-.194
43,44,44,Brian Watts,58,-.192
44,T45,T45,Justin Leonard,97,-.191
45,T45,T45,Jay Williamson,91,-.191
46,47,47,Joey Sindelar,104,-.190
47,48,48,Olin Browne,107,-.189
48,49,49,Joel Edwards,101,-.186
49,50,50,Paul Azinger,69,-.182
50,51,51,Loren Roberts,93,-.179
51,52,52,Mathew Goggin,64,-.176
52,T53,T53,David Gossett,95,-.175
53,T53,T53,Paul Stankowski,100,-.175
54,T55,T55,Fulton Allem,64,-.174
55,T55,T55,Mark Calcavecchia,84,-.174
56,T55,T55,Nick Price,69,-.174
57,58,58,Kevin Sutherland,96,-.172
58,T59,T59,Jeff Gove,89,-.170
59,T59,T59,Rod Pampling,98,-.170
60,T59,T59,Vijay Singh,102,-.170
61,T62,T62,Dicky Pride,51,-.167
62,T62,T62,Brett Quigley,93,-.167
63,64,64,Matt Gogel,79,-.159
64,65,65,Esteban Toledo,106,-.156
65,66,66,Mike Sposa,111,-.153
66,T67,T67,Jim Furyk,88,-.152
67,T67,T67,Spike McRoy,69,-.152
68,69,69,Shaun Micheel,100,-.151
69,70,70,Blaine McCallister,75,-.147
70,71,71,Tommy Tolles,64,-.146
71,72,72,Glen Hnatiuk,95,-.145
72,T73,T73,Robin Freeman,79,-.143
73,T73,T73,David Frost,90,-.143
74,T73,T73,Tiger Woods,69,-.143
75,T76,T76,J.L. Lewis,98,-.140
76,T76,T76,Grant Waite,98,-.140
77,78,78,Tom Scherrer,98,-.137
78,T79,T79,Craig Barlow,62,-.135
79,T79,T79,Luke Donald,106,-.135
80,T79,T79,Donnie Hammond,60,-.135
81,T79,T79,Phil Mickelson,97,-.135
82,T83,T83,Stuart Appleby,97,-.132
83,T83,T83,Tripp Isenhour,68,-.132
84,85,85,Greg Chalmers,94,-.129
85,T86,T86,Ben Crane,91,-.128
86,T86,T86,Brett Wetterich,89,-.128
87,T88,T88,Paul Goydos,66,-.125
88,T88,T88,Scott Hoch,71,-.125
89,T88,T88,Tom Lehman,78,-.125
90,T88,T88,Len Mattiace,106,-.125
91,T88,T88,Kenny Perry,98,-.125
92,93,93,Briny Baird,110,-.123
93,T94,T94,Jerry Kelly,99,-.122
94,T94,T94,Steve Lowery,98,-.122
95,96,96,David Peoples,105,-.121
96,T97,T97,Per-Ulrik Johansson,87,-.120
97,T97,T97,Carl Paulson,84,-.120
