,Greens_in_Regulation_Percentage_RANK THIS WEEK,Greens_in_Regulation_Percentage_RANK LAST WEEK,Greens_in_Regulation_Percentage_PLAYER NAME,Greens_in_Regulation_Percentage_ROUNDS,Greens_in_Regulation_Percentage_%,Greens_in_Regulation_Percentage_GREENS HIT,Greens_in_Regulation_Percentage_# HOLES,Greens_in_Regulation_Percentage_RELATIVE/PAR
0,1,1,Tiger Woods,69,73.96,852,1152,-0.31
1,2,2,Jim Furyk,88,71.69,1071,1494,-0.24
2,3,3,Chris Smith,103,71.59,1237,1728,-0.26
3,4,4,Shaun Micheel,100,71.25,1244,1746,-0.24
4,5,5,Fred Funk,106,71.07,1356,1908,-0.29
5,6,6,Kenny Perry,98,70.76,1210,1710,-0.29
6,7,7,Vijay Singh,102,70.63,1195,1692,-0.3
7,8,8,Tom Lehman,78,70.34,861,1224,-0.22
8,9,9,Joe Durant,87,70.26,1037,1476,-0.22
9,10,10,David Toms,106,70.18,1238,1764,-0.33
10,11,11,Bob Estes,93,70.15,1048,1494,-0.26
11,12,12,Bart Bryant,69,69.7,828,1188,-0.26
12,13,13,John Senden,96,69.69,1129,1620,-0.25
13,14,14,Mike Weir,94,69.51,1101,1584,-0.28
14,T15,T15,Robert Allenby,96,69.47,1163,1674,-0.28
15,T15,T15,Glen Hnatiuk,95,69.47,1163,1674,-0.25
16,17,17,John Riegger,88,69.38,1049,1512,-0.25
17,18,18,Rocco Mediate,79,69.25,885,1278,-0.28
18,19,19,Dan Forsman,83,69.2,1009,1458,-0.27
19,20,20,Steve Pate,64,69.17,747,1080,-0.24
20,21,21,Chad Campbell,111,69.16,1357,1962,-0.27
21,22,22,Jeff Sluman,118,69.14,1456,2106,-0.26
22,23,23,David Peoples,105,69.1,1306,1890,-0.28
23,24,24,Joey Sindelar,104,69.06,1268,1836,-0.27
24,25,25,Charles Howell III,118,69.05,1392,2016,-0.29
25,26,26,Brandt Jobe,94,69.03,1168,1692,-0.27
26,27,27,Luke Donald,106,69.01,1267,1836,-0.25
27,28,28,John Huston,99,68.92,1191,1728,-0.28
28,29,29,Retief Goosen,56,68.89,620,900,-0.31
29,30,30,J.J. Henry,112,68.67,1335,1944,-0.24
30,31,31,Scott Verplank,93,68.58,1074,1566,-0.29
31,32,32,"David Berganio, Jr.",80,68.57,975,1422,-0.25
32,33,33,Bob May,91,68.54,1098,1602,-0.27
33,34,34,Lee Janzen,101,68.24,1130,1656,-0.29
34,35,35,Loren Roberts,93,68.23,1093,1602,-0.27
35,36,36,David Gossett,95,68.16,1141,1674,-0.25
36,37,37,Joel Edwards,101,68.15,1239,1818,-0.27
37,38,38,Bob Tway,103,68.13,1165,1710,-0.27
38,39,39,Peter Lonard,93,68.1,1091,1602,-0.27
39,40,40,Chris DiMarco,111,68.08,1250,1836,-0.3
40,41,41,Carlos Franco,107,68.04,1286,1890,-0.27
41,42,42,John Rollins,124,68.01,1469,2160,-0.29
42,43,43,Kevin Sutherland,96,67.99,1077,1584,-0.23
43,44,44,John Cook,85,67.92,978,1440,-0.27
44,45,45,Bradley Hughes,60,67.87,733,1080,-0.19
45,46,46,Craig Parry,69,67.66,816,1206,-0.27
46,T47,T47,Phil Mickelson,97,67.65,1096,1620,-0.34
47,T47,T47,Dicky Pride,51,67.65,621,918,-0.24
48,49,49,Pat Bates,94,67.64,1108,1638,-0.27
49,T50,T50,Justin Leonard,97,67.59,1095,1620,-0.31
50,T50,T50,Kenneth Staton,104,67.59,1241,1836,-0.22
51,52,52,Cameron Beckman,87,67.52,1033,1530,-0.28
52,53,53,Donnie Hammond,60,67.5,729,1080,-0.27
53,54,54,Briny Baird,110,67.49,1312,1944,-0.26
54,55,55,J.L. Lewis,98,67.46,1190,1764,-0.27
55,56,56,Jeff Brehaut,87,67.37,1055,1566,-0.24
56,57,57,Matt Peterson,80,67.36,970,1440,-0.23
57,58,58,Glen Day,107,67.26,1247,1854,-0.26
58,59,59,Jerry Kelly,99,67.14,1136,1692,-0.27
59,60,60,Frank Lickliter II,94,67.11,1051,1566,-0.28
60,61,61,Tim Petrovic,92,66.99,1049,1566,-0.26
61,62,62,Michael Long,71,66.98,856,1278,-0.25
62,63,63,Steve Flesch,110,66.93,1265,1890,-0.28
63,64,64,Brent Geiberger,95,66.85,1107,1656,-0.27
64,65,65,Rich Beem,99,66.84,1143,1710,-0.29
65,66,66,Stewart Cink,92,66.8,1010,1512,-0.27
66,67,67,Scott McCarron,106,66.78,1130,1692,-0.3
67,68,68,Dudley Hart,88,66.73,985,1476,-0.28
68,69,69,Hidemichi Tanaka,104,66.72,1225,1836,-0.27
69,70,70,Robert Gamez,69,66.67,828,1242,-0.3
70,71,71,Steve Lowery,98,66.61,1103,1656,-0.27
71,72,72,Jeff Gove,89,66.6,1067,1602,-0.24
72,73,73,Notah Begay III,76,66.59,887,1332,-0.26
73,74,74,Ian Leggatt,97,66.55,1114,1674,-0.29
74,75,75,Peter Jacobsen,67,66.5,802,1206,-0.25
75,76,76,Billy Mayfair,99,66.49,1101,1656,-0.24
76,77,77,Blaine McCallister,75,66.44,897,1350,-0.23
77,78,78,Tim Clark,76,66.43,849,1278,-0.28
78,79,79,Rory Sabbatini,69,66.41,765,1152,-0.25
79,80,80,Craig Barlow,62,66.38,693,1044,-0.26
80,81,81,Phil Tataurangi,88,66.34,1003,1512,-0.29
81,T82,T82,Stephen Ames,89,66.33,991,1494,-0.26
