,GIR_Percentage_from_Fairway_RANK THIS WEEK,GIR_Percentage_from_Fairway_RANK LAST WEEK,GIR_Percentage_from_Fairway_PLAYER NAME,GIR_Percentage_from_Fairway_ROUNDS,GIR_Percentage_from_Fairway_%,GIR_Percentage_from_Fairway_GREENS HIT,GIR_Percentage_from_Fairway_# OF HOLES
0,1,1,Shaun Micheel,100,81.56,743,911
1,2,2,Tiger Woods,69,81.38,494,607
2,3,3,Stewart Cink,92,80.48,602,748
3,4,4,Kenny Perry,98,80.46,729,906
4,5,5,Tom Lehman,78,79.94,518,648
5,6,6,John Riegger,88,79.86,670,839
6,T7,T7,David Peoples,105,79.48,798,1004
7,T7,T7,Vijay Singh,102,79.48,709,892
8,9,9,David Duval,78,79.32,491,619
9,10,10,Kevin Sutherland,96,79.17,646,816
10,11,11,Carlos Franco,107,79.04,758,959
11,12,12,Steve Flesch,110,79.03,784,992
12,13,13,J.L. Lewis,98,78.98,725,918
13,14,14,Fred Couples,64,78.82,402,510
14,15,15,Chris Smith,103,78.8,725,920
15,16,16,David Toms,106,78.76,764,970
16,17,17,J.J. Henry,112,78.69,816,1037
17,18,18,John Huston,99,78.57,726,924
18,19,19,Luke Donald,106,78.52,804,1024
19,20,20,Lee Janzen,101,78.31,693,885
20,T21,T21,Charles Howell III,118,78.28,847,1082
21,T21,T21,Peter Lonard,93,78.28,663,847
22,T21,T21,Steve Pate,64,78.28,436,557
23,24,24,Bob Tway,103,78.16,698,893
24,25,25,Phil Mickelson,97,78.15,651,833
25,26,26,John Senden,96,78.11,671,859
26,27,27,Dan Forsman,83,78.1,610,781
27,28,28,Scott McCarron,106,78.05,672,861
28,29,29,Robert Allenby,96,77.99,723,927
29,30,30,Mathew Goggin,64,77.94,431,553
30,31,31,Glen Hnatiuk,95,77.87,774,994
31,32,32,Joe Durant,87,77.85,675,867
32,33,33,Tim Herron,102,77.83,625,803
33,34,34,Mike Weir,94,77.82,635,816
34,T35,T35,Mark Calcavecchia,84,77.79,543,698
35,T35,T35,Jeff Sluman,118,77.79,872,1121
36,37,37,Bob May,91,77.75,636,818
37,38,38,Justin Leonard,97,77.74,723,930
38,39,39,Tom Scherrer,98,77.68,644,829
39,40,40,Joey Sindelar,104,77.63,739,952
40,41,41,Bob Estes,93,77.62,638,822
41,42,42,Fred Funk,106,77.49,933,1204
42,43,43,Brent Geiberger,95,77.45,663,856
43,44,44,Retief Goosen,56,77.43,374,483
44,45,45,Stuart Appleby,97,77.33,621,803
45,46,46,Michael Long,71,77.32,467,604
46,47,47,Bart Bryant,69,77.28,534,691
47,48,48,Grant Waite,98,77.26,659,853
48,49,49,John Cook,85,77.14,648,840
49,50,50,Jerry Kelly,99,77.12,718,931
50,51,51,Craig Barlow,62,77.06,403,523
51,52,52,Craig Parry,69,77.04,500,649
52,53,53,Donnie Hammond,60,76.97,468,608
53,54,54,"David Berganio, Jr.",80,76.92,570,741
54,55,55,Joel Edwards,101,76.89,785,1021
55,56,56,Jim Furyk,88,76.88,695,904
56,57,57,Bo Van Pelt,78,76.79,536,698
57,58,58,Kent Jones,105,76.73,752,980
58,59,59,Chad Campbell,111,76.71,840,1095
59,60,60,Duffy Waldorf,90,76.7,609,794
60,61,61,Loren Roberts,93,76.63,695,907
61,62,62,Brad Elder,76,76.54,509,665
62,63,63,Eduardo Herrera,59,76.53,375,490
63,64,64,Steve Allan,93,76.49,602,787
64,65,65,Paul Gow,99,76.48,657,859
65,66,66,Michael Clark II,97,76.47,676,884
66,67,67,David Gossett,95,76.46,708,926
67,68,68,Brandt Jobe,94,76.44,675,883
68,69,69,Jeff Gove,89,76.43,629,823
69,70,70,Carl Paulson,84,76.42,593,776
70,71,71,Ian Leggatt,97,76.37,643,842
71,72,72,Davis Love III,92,76.36,588,770
72,73,73,Ernie Els,68,76.35,397,520
73,T74,T74,Greg Chalmers,94,76.32,577,756
74,T74,T74,Tim Petrovic,92,76.32,638,836
75,76,76,Rocco Mediate,79,76.26,562,737
76,77,77,Chris Riley,104,76.24,722,947
77,78,78,Dudley Hart,88,76.22,577,757
78,79,79,Dicky Pride,51,76.15,348,457
79,80,80,Tripp Isenhour,68,76.05,473,622
80,81,81,Matt Peterson,80,76.03,628,826
81,82,82,Chris DiMarco,111,76.0,744,979
82,83,83,Peter Jacobsen,67,75.98,506,666
83,84,84,Briny Baird,110,75.95,821,1081
84,85,85,Billy Andrade,100,75.93,631,831
85,86,86,Stephen Gangluff,75,75.9,507,668
86,87,87,Rod Pampling,98,75.89,664,875
87,88,88,Robert Gamez,69,75.85,515,679
88,89,89,Frank Lickliter II,94,75.78,629,830
89,T90,T90,John Rollins,124,75.72,923,1219
90,T90,T90,Craig Stadler,72,75.72,502,663
91,92,92,Rich Beem,99,75.7,651,860
92,93,93,Rory Sabbatini,69,75.64,413,546
93,94,94,Jonathan Kaye,83,75.63,568,751
94,95,95,Robin Freeman,79,75.62,515,681
95,T96,T96,Brian Bateman,94,75.61,648,857
96,T96,T96,Michael Muehr,73,75.61,462,611
97,98,98,Phil Tataurangi,88,75.48,545,722
98,99,99,Jeff Brehaut,87,75.45,633,839
99,100,100,Cameron Beckman,87,75.43,617,818
100,101,101,Bradley Hughes,60,75.34,446,592
101,102,102,Steve Stricker,68,75.25,371,493
102,103,103,Brett Quigley,93,75.23,562,747
103,104,104,Jesper Parnevik,85,75.22,522,694
104,105,105,Per-Ulrik Johansson,87,75.2,649,863
105,106,106,Notah Begay III,76,75.16,578,769
106,107,107,Hidemichi Tanaka,104,75.14,795,1058
107,T108,T108,Stephen Ames,89,75.13,592,788
108,T108,T108,Mark O'Meara,68,75.13,429,571
109,110,110,K.J. Choi,93,75.09,594,791
110,111,111,Jonathan Byrd,96,75.03,667,889
111,112,112,Harrison Frazar,88,74.94,592,790
112,113,113,Mike Sposa,111,74.93,777,1037
113,114,114,Jason Hill,59,74.9,385,514
114,115,115,Steve Lowery,98,74.89,656,876
115,116,116,David Morland IV,58,74.87,423,565
116,117,117,Bob Burns,99,74.81,707,945
117,118,118,J.P. Hayes,78,74.79,525,702
118,119,119,Scott Dunlap,74,74.78,510,682
119,120,120,Brian Henninger,66,74.75,453,606
120,T121,T121,Paul Azinger,69,74.73,408,546
121,T121,T121,Brian Gay,117,74.73,840,1124
122,T123,T123,Bryce Molder,65,74.72,405,542
123,T123,T123,Craig Perks,91,74.72,538,720
124,T123,T123,Boo Weekley,57,74.72,399,534
125,126,126,Matt Gogel,79,74.68,522,699
126,127,127,Tommy Tolles,64,74.67,392,525
127,128,128,Paul Stankowski,100,74.63,659,883
128,129,129,Dennis Paulson,89,74.62,535,717
129,130,130,Len Mattiace,106,74.52,731,981
130,131,131,Brett Wetterich,89,74.51,576,773
131,T132,T132,Neal Lancaster,101,74.45,644,865
132,T132,T132,José María Olazábal,71,74.45,373,501
133,134,134,Jay Williamson,91,74.38,662,890
134,135,135,Billy Mayfair,99,74.36,702,944
135,136,136,Spike McRoy,69,74.35,458,616
136,137,137,Scott Verplank,93,74.32,712,958
137,138,138,Frank Nobilo,94,74.3,691,930
138,139,139,Scott Hoch,71,74.26,479,645
139,T140,T140,Brenden Pappas,62,74.21,354,477
140,T140,T140,Nick Price,69,74.21,492,663
141,142,142,Glen Day,107,74.16,821,1107
142,143,143,Jess Daley,76,74.14,493,665
143,144,144,Joe Ogilvie,50,74.08,323,436
144,145,145,Brad Faxon,93,74.05,585,790
145,146,146,Michael Allen,76,74.02,436,589
146,T147,T147,Matt Kuchar,82,74.01,601,812
147,T147,T147,Andrew Magee,91,74.01,561,758
148,149,149,Tim Clark,76,73.88,546,739
149,150,150,Pat Bates,94,73.87,701,949
150,151,151,Woody Austin,102,73.84,655,887
151,152,152,Brandel Chamblee,85,73.8,583,790
152,153,153,Esteban Toledo,106,73.74,719,975
153,154,154,Russ Cochran,68,73.67,456,619
154,155,155,Tom Byrum,77,73.63,592,804
155,156,156,Kenneth Staton,104,73.62,709,963
156,157,157,Hal Sutton,74,73.6,524,712
157,158,158,Bernhard Langer,55,73.52,347,472
158,159,159,Blaine McCallister,75,73.48,557,758
159,160,160,Jay Don Blake,107,73.45,744,1013
160,161,161,Geoff Ogilvy,90,73.35,545,743
161,162,162,Pat Perez,89,73.33,605,825
162,163,163,Shigeki Maruyama,87,73.28,554,756
163,164,164,Deane Pappas,90,73.24,520,710
164,165,165,Gary Nicklaus,66,73.23,435,594
165,166,166,Greg Kraft,86,73.18,573,783
166,167,167,Kirk Triplett,84,73.15,602,823
167,168,168,Tom Pernice Jr.,101,73.1,674,922
168,169,169,Steve Jones,71,73.07,445,609
169,170,170,David Frost,90,73.05,618,846
170,171,171,Lee Porter,91,73.01,652,893
171,172,172,Franklin Langham,72,73.0,465,637
172,173,173,Jay Haas,83,72.83,528,725
173,174,174,Heath Slocum,96,72.81,723,993
174,175,175,Edward Fryatt,94,72.8,613,842
175,176,176,Sergio Garcia,79,72.59,474,653
176,177,177,Brian Watts,58,72.52,351,484
177,178,178,John Daly,62,72.5,348,480
178,179,179,Mike Hulbert,55,72.36,288,398
179,180,180,Paul Claxton,83,72.27,602,833
180,181,181,Ben Crane,91,72.15,588,815
181,182,182,Bob Heintz,68,72.12,344,477
182,183,183,Garrett Willis,80,72.05,549,762
183,184,184,Tommy Armour III,82,72.0,540,750
184,185,185,Skip Kendall,103,71.98,714,992
185,186,186,Jim Carter,98,71.88,675,939
186,187,187,Olin Browne,107,71.75,800,1115
187,188,188,Paul Goydos,66,71.74,490,683
188,189,189,Robert Damron,85,71.32,587,823
189,190,190,Miguel Angel Jiménez,60,71.19,383,538
190,191,191,Pete Jordan,78,70.99,558,786
191,T192,T192,Steve Elkington,82,70.98,472,665
192,T192,T192,Brad Lardon,59,70.98,406,572
193,194,194,Scott Simpson,61,70.94,393,554
194,195,195,Jerry Smith,91,70.78,562,794
195,196,196,Kaname Yokoo,74,70.72,483,683
196,197,197,Jeff Maggert,83,70.36,584,830
197,198,198,Mark Brooks,97,70.04,643,918
198,199,199,Corey Pavin,78,69.67,526,755
199,200,200,Richard Zokol,53,69.45,316,455
200,201,201,Fulton Allem,64,69.13,477,690
201,202,202,José Coceres,51,67.9,330,486
