,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
126,T126,18,Jeff Maggert,83,28,Shell Houston Open,2,17
127,T128,128,Adam Scott,32,27,THE PLAYERS Championship,2,15
128,T128,129,Hidemichi Tanaka,104,27,Canon Greater Hartford Open,2,15
129,T128,130,Keith Fergus,6,27,Bob Hope Chrysler Classic,4,18
130,T128,131,Erik Compton,14,27,Memorial Tournament,2,18
131,T128,98,Brad Elder,76,27,Sony Open in Hawaii,2,18
132,T133,133,Donnie Hammond,60,26,FedEx St. Jude Classic,3,13
133,T133,134,Kent Jones,105,26,Genuity Championship,2,13
134,T133,135,Ed Fiori,14,26,B.C. Open,1,14
135,T133,33,Brian Henninger,66,26,Reno-Tahoe Open,1,18
136,T133,137,Tommy Armour III,82,26,Bay Hill Invitational presented by Cooper Tires,1,15
137,T138,74,Chris DiMarco,111,25,Verizon Byron Nelson Classic,2,15
138,T138,139,Billy Mayfair,99,25,Memorial Tournament,1,18
139,T138,58,Robin Freeman,79,25,FedEx St. Jude Classic,1,17
140,T138,134,Kent Jones,105,25,Greater Greensboro Chrysler Classic,3,16
141,T138,142,Brad Faxon,93,25,Bay Hill Invitational presented by Cooper Tires,3,16
142,T138,35,David Peoples,105,25,Southern Farm Bureau Classic,1,16
143,T144,144,Pat Perez,89,24,Bell Canadian Open,4,12
144,T144,145,Neal Lancaster,101,24,Bell Canadian Open,1,12
145,T144,20,Carlos Franco,107,24,Kemper Insurance Open,2,18
146,T144,147,"David Berganio, Jr.",80,24,Southern Farm Bureau Classic,3,14
147,T144,148,Frank Lickliter II,94,24,Buick Challenge,3,15
148,T149,149,Robert Floyd,2,23,Valero Texas Open,2,17
149,T149,150,Pete Jordan,78,23,John Deere Classic,4,16
150,T149,151,John Cook,85,23,Sony Open in Hawaii,2,18
151,T149,4,Tim Petrovic,92,23,FedEx St. Jude Classic,2,13
152,T149,55,John Rollins,124,23,THE TOUR Championship presented by Coca-Cola,4,17
153,T149,13,J.L. Lewis,98,23,Bell Canadian Open,3,14
154,T155,155,Brett Quigley,93,22,The Honda Classic,2,13
155,T155,156,Willie Wood,44,22,SEI Pennsylvania Classic,1,15
156,T155,157,Tripp Isenhour,68,22,FedEx St. Jude Classic,3,14
157,T155,155,Brett Quigley,93,22,Greater Milwaukee Open,2,17
158,T155,159,Chris Tucker,2,22,Greater Greensboro Chrysler Classic,1,16
159,T155,160,Bob Burns,99,22,Buick Challenge,1,2
160,T155,161,Loren Roberts,93,22,Buick Classic,1,17
161,T162,162,Rich Beem,99,21,Valero Texas Open,1,14
162,T162,43,Phil Mickelson,97,21,Buick Challenge,1,11
163,T162,164,Geoff Ogilvy,90,21,Reno-Tahoe Open,4,17
164,T162,165,Robert Damron,85,21,Memorial Tournament,4,15
165,T162,166,Len Mattiace,106,21,THE TOUR Championship presented by Coca-Cola,2,3
166,T162,74,Chris DiMarco,111,21,Bob Hope Chrysler Classic,5,6
167,T162,168,Gary Nicklaus,66,21,Tampa Bay Classic presented by Buick,2,10
168,T162,169,Gene Sauers,33,21,Bell Canadian Open,3,17
169,T162,170,Heath Slocum,96,21,Greater Milwaukee Open,1,11
170,T162,110,Sergio Garcia,79,21,THE PLAYERS Championship,3,16
171,T162,172,Andrew Magee,91,21,Buick Challenge,1,11
172,T173,173,Scott Verplank,93,20,THE PLAYERS Championship,4,15
173,T173,174,John Huston,99,20,Compaq Classic of New Orleans,1,18
174,T173,28,Tommy Tolles,64,20,Southern Farm Bureau Classic,3,15
175,T173,176,JC Anderson,4,20,Verizon Byron Nelson Classic,2,13
176,T173,177,Ángel Cabrera,47,20,World Golf Championships-American Express Championship,3,13
177,T173,170,Heath Slocum,96,20,B.C. Open,4,14
178,T173,179,John Senden,96,20,FedEx St. Jude Classic,4,17
179,T173,164,Geoff Ogilvy,90,20,Buick Open,3,13
180,T173,181,Jeff Sluman,118,20,Greater Milwaukee Open,1,15
181,T173,182,Deane Pappas,90,20,Buick Open,1,17
182,T173,63,Chad Campbell,111,20,Buick Challenge,3,13
183,T173,49,"Jim Gallagher, Jr.",45,20,Michelob Championship at Kingsmill,2,15
184,T173,185,Phil Tataurangi,88,20,B.C. Open,2,14
185,T186,23,Davis Love III,92,19,Buick Challenge,1,11
186,T186,173,Scott Verplank,93,19,World Golf Championships-American Express Championship,4,14
187,T186,126,Bob May,91,19,FedEx St. Jude Classic,4,14
188,T186,22,Tom Byrum,77,19,Compaq Classic of New Orleans,2,16
189,T186,190,Tom Lehman,78,19,THE PLAYERS Championship,3,17
190,T186,191,Chris Riley,104,19,Invensys Classic at Las Vegas,5,11
191,T192,91,Russ Cochran,68,18,Buick Open,4,11
192,T192,193,Jay Delsing,18,18,Air Canada Championship,4,15
193,T192,137,Tommy Armour III,82,18,Advil Western Open,2,12
194,T192,195,Craig Parry,69,18,THE PLAYERS Championship,3,11
195,T192,196,Matt Peterson,80,18,Reno-Tahoe Open,1,18
196,T192,197,Kenneth Staton,104,18,Compaq Classic of New Orleans,2,14
197,T192,198,Vijay Singh,102,18,Shell Houston Open,2,16
198,T192,199,Brad Lardon,59,18,Compaq Classic of New Orleans,2,16
199,T192,200,Henrik Simonsen,2,18,Valero Texas Open,2,13
