,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
121,T122,T122,Paul Azinger,69,10.53,2.0,19
122,T122,T122,Donnie Hammond,60,10.53,2.0,19
123,T122,T122,Craig Parry,69,10.53,2.0,19
124,T122,T122,Hal Sutton,74,10.53,2.0,19
125,126,126,Stewart Cink,92,10.34,3.0,29
126,T127,T127,Rich Beem,99,10.0,4.0,40
127,T127,T127,Tom Byrum,77,10.0,3.0,30
128,T127,T127,Fred Couples,64,10.0,2.0,20
129,T127,T127,Steve Flesch,110,10.0,3.0,30
130,T127,T127,Miguel Angel Jiménez,60,10.0,2.0,20
131,T127,T127,Neal Lancaster,101,10.0,5.0,50
132,T127,T127,Rory Sabbatini,69,10.0,3.0,30
133,T134,T134,Brandel Chamblee,85,9.76,4.0,41
134,T134,T134,David Frost,90,9.76,4.0,41
135,T134,T134,Phil Mickelson,97,9.76,4.0,41
136,T137,T137,Justin Leonard,97,9.68,3.0,31
137,T137,T137,Mike Weir,94,9.68,3.0,31
138,139,139,Bob May,91,9.62,5.0,52
139,T140,T140,Stuart Appleby,97,9.52,4.0,42
140,T140,T140,Mark Brooks,97,9.52,4.0,42
141,T140,T140,José María Olazábal,71,9.52,4.0,42
142,T140,T140,Bo Van Pelt,78,9.52,4.0,42
143,T144,T144,Jim Carter,98,9.38,3.0,32
144,T144,T144,Pete Jordan,78,9.38,3.0,32
145,146,146,Franklin Langham,72,9.3,4.0,43
146,147,147,Geoff Ogilvy,90,9.26,5.0,54
147,T148,T148,Mathew Goggin,64,9.09,4.0,44
148,T148,T148,Heath Slocum,96,9.09,2.0,22
149,T150,T150,Robert Damron,85,8.82,3.0,34
150,T150,T150,Stephen Gangluff,75,8.82,3.0,34
151,T152,T152,Olin Browne,107,8.7,4.0,46
152,T152,T152,Craig Perks,91,8.7,4.0,46
153,T152,T152,Nick Price,69,8.7,2.0,23
154,155,155,Kevin Sutherland,96,8.57,3.0,35
155,T156,T156,Stephen Ames,89,8.33,2.0,24
156,T156,T156,Rocco Mediate,79,8.33,2.0,24
157,T156,T156,Pat Perez,89,8.33,2.0,24
158,T156,T156,Garrett Willis,80,8.33,3.0,36
159,160,160,Sergio Garcia,79,8.0,2.0,25
160,161,161,Chris Smith,103,7.89,3.0,38
161,162,162,Jeff Gove,89,7.84,4.0,51
162,T163,T163,Steve Jones,71,7.69,2.0,26
163,T163,T163,Kent Jones,105,7.69,3.0,39
164,T163,T163,Shaun Micheel,100,7.69,3.0,39
165,T163,T163,Craig Stadler,72,7.69,1.0,13
166,T167,T167,Steve Allan,93,7.41,4.0,54
167,T167,T167,Michael Allen,76,7.41,2.0,27
168,T167,T167,Michael Muehr,73,7.41,2.0,27
169,T170,T170,Fulton Allem,64,7.14,2.0,28
170,T170,T170,Frank Nobilo,94,7.14,3.0,42
171,172,172,Brad Elder,76,6.98,3.0,43
172,173,173,Fred Funk,106,6.9,2.0,29
173,T174,T174,Jay Haas,83,6.67,2.0,30
174,T174,T174,Carl Paulson,84,6.67,2.0,30
175,176,176,Brett Wetterich,89,6.52,3.0,46
176,177,177,Bob Estes,93,6.25,1.0,16
177,178,178,Scott Verplank,93,5.88,1.0,17
178,T179,T179,Brian Bateman,94,5.71,2.0,35
179,T179,T179,Jay Williamson,91,5.71,2.0,35
180,T181,T181,Retief Goosen,56,5.56,1.0,18
181,T181,T181,Tom Lehman,78,5.56,1.0,18
182,T181,T181,Matt Peterson,80,5.56,2.0,36
183,184,184,Esteban Toledo,106,5.41,2.0,37
184,185,185,Phil Tataurangi,88,4.88,2.0,41
185,186,186,Brenden Pappas,62,4.44,2.0,45
186,187,187,Mike Sposa,111,4.35,2.0,46
187,188,188,Tim Clark,76,4.17,1.0,24
188,189,189,Dan Forsman,83,4.0,1.0,25
189,T190,T190,John Daly,62,3.85,1.0,26
190,T190,T190,Dudley Hart,88,3.85,1.0,26
191,T190,T190,Blaine McCallister,75,3.85,1.0,26
192,T193,T193,Joe Ogilvie,50,3.7,1.0,27
193,T193,T193,Boo Weekley,57,3.7,1.0,27
194,T195,T195,Scott Dunlap,74,3.45,1.0,29
195,T195,T195,Matt Gogel,79,3.45,1.0,29
196,197,197,Dicky Pride,51,2.7,1.0,37
197,198,198,David Toms,106,2.5,1.0,40
198,199,199,Ian Leggatt,97,2.33,1.0,43
199,T200,T200,Eduardo Herrera,59,0.0,,34
200,T200,T200,Brad Lardon,59,0.0,,23
201,T200,T200,Jesper Parnevik,85,0.0,,18
