,Approaches_from_200-225_yards_RANK THIS WEEK,Approaches_from_200-225_yards_RANK LAST WEEK,Approaches_from_200-225_yards_PLAYER NAME,Approaches_from_200-225_yards_ROUNDS,Approaches_from_200-225_yards_AVG,Approaches_from_200-225_yards_TOTAL DISTANCE (FEET),Approaches_from_200-225_yards_# OF ATTEMPTS,Approaches_from_200-225_yards_RELATIVE TO PAR
0,1,1,Mike Hulbert,55,"18' 9""",150.25,8,-4
1,2,2,Spike McRoy,69,"23' 11""",358.5,15,-3
2,3,3,Steve Stricker,68,"24' 9""",173.0,7,-2
3,4,4,Chad Campbell,111,"27' 2""",353.0,13,-6
4,5,5,Bryce Molder,65,"30' 1""",331.333,11,-1
5,6,6,Rocco Mediate,79,"30' 2""",483.0,16,-9
6,7,7,Tim Clark,76,"30' 5""",608.5,20,-5
7,8,8,Robin Freeman,79,"30' 8""",520.6669999999999,17,-7
8,9,9,Jay Don Blake,107,"30' 11""",401.917,13,-4
9,T10,T10,Retief Goosen,56,"31' 8""",348.667,11,-10
10,T10,T10,Craig Parry,69,"31' 8""",253.583,8,-1
11,T12,T12,Peter Lonard,93,"31' 9""",762.0830000000001,24,-4
12,T12,T12,Gary Nicklaus,66,"31' 9""",508.417,16,-2
13,14,14,David Duval,78,"32' 3""",451.833,14,-10
14,15,15,Loren Roberts,93,"32' 6""",812.5,25,E
15,16,16,Paul Claxton,83,"32' 11""",789.4169999999999,24,-6
16,17,17,Bradley Hughes,60,"33' 4""",400.25,12,-4
17,18,18,Brett Quigley,93,"33' 6""",469.0,14,-5
18,19,19,Brad Elder,76,"33' 7""",504.333,15,-1
19,20,20,Bob Heintz,68,"33' 8""",504.583,15,-8
20,21,21,Neal Lancaster,101,"33' 9""",371.333,11,-2
21,22,22,David Toms,106,"34' 1""",749.9169999999999,22,-12
22,23,23,Kaname Yokoo,74,"34' 3""",616.25,18,-3
23,24,24,Dicky Pride,51,"34' 4""",480.75,14,+1
24,25,25,Ian Leggatt,97,"34' 5""",688.1669999999999,20,-13
25,26,26,Billy Andrade,100,"34' 10""",557.5830000000001,16,-5
26,T27,T27,Matt Gogel,79,"35' 1""",280.33299999999997,8,-3
27,T27,T27,Tiger Woods,69,"35' 1""",807.25,23,-13
28,29,29,Kirk Triplett,84,"35' 4""",707.4169999999999,20,+2
29,30,30,Miguel Angel Jiménez,60,"35' 10""",573.3330000000001,16,-1
30,T31,T31,John Daly,62,"35' 11""",394.833,11,-8
31,T31,T31,Bernhard Langer,55,"35' 11""",287.08299999999997,8,-3
32,T33,T33,Sergio Garcia,79,"36' 0""",755.25,21,-10
33,T33,T33,Jay Williamson,91,"36' 0""",720.75,20,-3
34,T35,T35,Lee Janzen,101,"36' 1""",397.333,11,-4
35,T35,T35,Tom Lehman,78,"36' 1""",288.66700000000003,8,-4
36,T35,T35,Paul Stankowski,100,"36' 1""",685.1669999999999,19,-9
37,38,38,Dan Forsman,83,"36' 4""",653.9169999999999,18,-5
38,39,39,Brenden Pappas,62,"37' 1""",445.25,12,E
39,T40,T40,Michael Muehr,73,"37' 2""",371.417,10,E
40,T40,T40,David Peoples,105,"37' 2""",631.9169999999999,17,-4
41,42,42,Brandel Chamblee,85,"37' 7""",677.1669999999999,18,-1
42,43,43,Jess Daley,76,"37' 8""",640.0,17,-6
43,44,44,Jeff Brehaut,87,"37' 9""",755.6669999999999,20,-4
44,T45,T45,Tripp Isenhour,68,"37' 10""",719.0,19,-4
45,T45,T45,Bob Tway,103,"37' 10""",756.8330000000001,20,-4
46,T47,T47,Nick Price,69,"37' 11""",873.0,23,-5
47,T47,T47,Rory Sabbatini,69,"37' 11""",417.0,11,-5
48,49,49,Joel Edwards,101,"38' 0""",722.1669999999999,19,-2
49,50,50,"David Berganio, Jr.",80,"38' 3""",688.8330000000001,18,-7
50,T51,T51,Notah Begay III,76,"38' 4""",881.25,23,-8
51,T51,T51,Harrison Frazar,88,"38' 4""",575.1669999999999,15,-1
52,T51,T51,Jim Furyk,88,"38' 4""",844.0,22,-3
53,54,54,Tommy Armour III,82,"38' 5""",422.5,11,+1
54,55,55,Woody Austin,102,"38' 6""",654.9169999999999,17,-5
55,T56,T56,Mark Calcavecchia,84,"38' 7""",424.583,11,-4
56,T56,T56,Carlos Franco,107,"38' 7""",1118.5,29,-13
57,58,58,Jim Carter,98,"38' 9""",1006.5830000000001,26,-4
58,59,59,Michael Allen,76,"38' 10""",621.0,16,-6
59,60,60,Blaine McCallister,75,"38' 11""",428.417,11,+1
60,T61,T61,Fulton Allem,64,"39' 1""",820.4169999999999,21,-2
61,T61,T61,Tommy Tolles,64,"39' 1""",703.8330000000001,18,-4
62,63,63,Stuart Appleby,97,"39' 2""",547.8330000000001,14,-6
63,64,64,Michael Long,71,"39' 3""",667.6669999999999,17,+1
64,65,65,Stewart Cink,92,"39' 6""",592.6669999999999,15,-5
65,66,66,Phil Tataurangi,88,"39' 8""",595.3330000000001,15,-5
66,T67,T67,Pete Jordan,78,"39' 10""",1154.083,29,+10
67,T67,T67,Franklin Langham,72,"39' 10""",517.5,13,-1
68,69,69,Cameron Beckman,87,"39' 11""",598.75,15,E
69,T70,T70,Michael Clark II,97,"40' 0""",1118.917,28,-3
70,T70,T70,Tim Herron,102,"40' 0""",879.4169999999999,22,-4
71,72,72,John Senden,96,"40' 1""",761.25,19,-8
72,73,73,Dudley Hart,88,"40' 2""",642.5,16,-1
73,T74,T74,Heath Slocum,96,"40' 3""",644.25,16,E
74,T74,T74,Boo Weekley,57,"40' 3""",483.167,12,-4
75,76,76,Robert Gamez,69,"40' 6""",648.5,16,E
76,T77,T77,Billy Mayfair,99,"40' 7""",810.9169999999999,20,-2
77,T77,T77,Duffy Waldorf,90,"40' 7""",730.8330000000001,18,-3
