,Approaches__100_yards-Rgh_RTP_RANK THIS WEEK,Approaches__100_yards-Rgh_RTP_RANK LAST WEEK,Approaches__100_yards-Rgh_RTP_PLAYER NAME,Approaches__100_yards-Rgh_RTP_ROUNDS,Approaches__100_yards-Rgh_RTP_AVG RTP
0,1,1,Jim Carter,98,-.400
1,2,2,Scott Hoch,71,-.333
2,3,3,David Peoples,105,-.308
3,T4,T4,Steve Stricker,68,-.286
4,T4,T4,Duffy Waldorf,90,-.286
5,6,6,Tom Byrum,77,-.250
6,7,7,Woody Austin,102,-.214
7,8,8,Kaname Yokoo,74,-.200
8,T9,T9,Jason Hill,59,-.182
9,T9,T9,J.L. Lewis,98,-.182
10,11,11,Brad Elder,76,-.167
11,12,12,Retief Goosen,56,-.143
12,13,13,Paul Goydos,66,-.125
13,T14,T14,Dan Forsman,83,-.100
14,T14,T14,Hidemichi Tanaka,104,-.100
15,T16,T16,Notah Begay III,76,-.091
16,T16,T16,Richard Zokol,53,-.091
17,T18,T18,Bob Burns,99,-.083
18,T18,T18,John Riegger,88,-.083
19,T18,T18,Jeff Sluman,118,-.083
20,T21,T21,Ben Crane,91,-.077
21,T21,T21,Joel Edwards,101,-.077
22,T21,T21,Scott Verplank,93,-.077
23,24,24,Kenny Perry,98,-.067
24,25,25,Olin Browne,107,-.053
25,T26,T26,Billy Andrade,100,E
26,T26,T26,Craig Barlow,62,E
27,T26,T26,"David Berganio, Jr.",80,E
28,T26,T26,Joe Durant,87,E
29,T26,T26,Bob Estes,93,E
30,T26,T26,Donnie Hammond,60,E
31,T26,T26,Dudley Hart,88,E
32,T26,T26,Tim Herron,102,E
33,T26,T26,John Huston,99,E
34,T26,T26,Per-Ulrik Johansson,87,E
35,T26,T26,Bernhard Langer,55,E
36,T26,T26,Peter Lonard,93,E
37,T26,T26,Michael Long,71,E
38,T26,T26,Frank Nobilo,94,E
39,T26,T26,Brenden Pappas,62,E
40,T26,T26,Corey Pavin,78,E
41,T26,T26,Pat Perez,89,E
42,T26,T26,Matt Peterson,80,E
43,T26,T26,Chris Riley,104,E
44,T26,T26,Tom Scherrer,98,E
45,T26,T26,David Toms,106,E
46,T26,T26,Kirk Triplett,84,E
47,T26,T26,Brian Watts,58,E
48,T26,T26,Jay Williamson,91,E
49,50,50,Carlos Franco,107,+.053
50,51,51,Jerry Kelly,99,+.067
51,T52,T52,Dennis Paulson,89,+.071
52,T52,T52,Tim Petrovic,92,+.071
53,54,54,Tommy Tolles,64,+.077
54,T55,T55,Michael Allen,76,+.083
55,T55,T55,Rich Beem,99,+.083
56,T55,T55,Harrison Frazar,88,+.083
57,T55,T55,Greg Kraft,86,+.083
58,T59,T59,David Morland IV,58,+.091
59,T59,T59,Joey Sindelar,104,+.091
60,T61,T61,David Gossett,95,+.111
61,T61,T61,Craig Stadler,72,+.111
62,T63,T63,Steve Flesch,110,+.125
63,T63,T63,Bob Heintz,68,+.125
64,T63,T63,John Senden,96,+.125
65,T63,T63,Scott Simpson,61,+.125
66,T67,T67,Brandt Jobe,94,+.143
67,T67,T67,Pete Jordan,78,+.143
68,T67,T67,Frank Lickliter II,94,+.143
69,T67,T67,Kenneth Staton,104,+.143
70,T71,T71,Brian Henninger,66,+.154
71,T71,T71,Rory Sabbatini,69,+.154
72,T71,T71,Mike Sposa,111,+.154
73,74,74,Edward Fryatt,94,+.158
74,T75,T75,Greg Chalmers,94,+.167
75,T75,T75,Glen Day,107,+.167
76,T75,T75,J.J. Henry,112,+.167
77,T75,T75,Jonathan Kaye,83,+.167
78,T75,T75,Andrew Magee,91,+.167
79,T75,T75,Hal Sutton,74,+.167
80,T81,T81,Franklin Langham,72,+.176
81,T81,T81,Tom Pernice Jr.,101,+.176
82,T83,T83,Jim Furyk,88,+.182
83,T83,T83,Scott McCarron,106,+.182
84,T83,T83,Loren Roberts,93,+.182
85,T86,T86,Robert Allenby,96,+.200
86,T86,T86,Scott Dunlap,74,+.200
87,T86,T86,Spike McRoy,69,+.200
88,T86,T86,Gary Nicklaus,66,+.200
89,T86,T86,Rod Pampling,98,+.200
90,T86,T86,Steve Pate,64,+.200
91,T86,T86,Vijay Singh,102,+.200
92,93,93,Charles Howell III,118,+.214
93,T94,T94,Luke Donald,106,+.222
94,T94,T94,Phil Tataurangi,88,+.222
95,T96,T96,Robert Damron,85,+.231
96,T96,T96,Kent Jones,105,+.231
97,98,98,John Rollins,124,+.235
98,T99,T99,Jess Daley,76,+.250
99,T99,T99,Fred Funk,106,+.250
100,T99,T99,Miguel Angel Jiménez,60,+.250
101,T99,T99,Ian Leggatt,97,+.250
102,T99,T99,Phil Mickelson,97,+.250
103,104,104,Jonathan Byrd,96,+.267
104,T105,T105,Brandel Chamblee,85,+.273
105,T105,T105,Tim Clark,76,+.273
106,T105,T105,Peter Jacobsen,67,+.273
107,T105,T105,Shaun Micheel,100,+.273
108,T109,T109,Matt Kuchar,82,+.286
109,T109,T109,Deane Pappas,90,+.286
110,111,111,Geoff Ogilvy,90,+.294
111,T112,T112,Steve Jones,71,+.300
112,T112,T112,Davis Love III,92,+.300
113,T112,T112,Lee Porter,91,+.300
114,T112,T112,Paul Stankowski,100,+.300
115,T112,T112,Bob Tway,103,+.300
116,117,117,Tommy Armour III,82,+.308
117,T118,T118,Neal Lancaster,101,+.313
118,T118,T118,Blaine McCallister,75,+.313
119,T120,T120,Pat Bates,94,+.333
120,T120,T120,David Frost,90,+.333
121,T120,T120,Steve Lowery,98,+.333
122,T120,T120,Shigeki Maruyama,87,+.333
123,T120,T120,Len Mattiace,106,+.333
124,T120,T120,Dicky Pride,51,+.333
125,T120,T120,Tiger Woods,69,+.333
126,T127,T127,Steve Elkington,82,+.353
127,T127,T127,Craig Perks,91,+.353
128,129,129,Grant Waite,98,+.357
129,T130,T130,Stephen Ames,89,+.375
130,T130,T130,Brian Bateman,94,+.375
131,T130,T130,Cameron Beckman,87,+.375
132,T130,T130,Jeff Maggert,83,+.375
133,T130,T130,Mike Weir,94,+.375
134,T130,T130,Garrett Willis,80,+.375
135,T136,T136,Steve Allan,93,+.400
136,T136,T136,Fulton Allem,64,+.400
137,T136,T136,Chad Campbell,111,+.400
138,T136,T136,K.J. Choi,93,+.400
139,T136,T136,Russ Cochran,68,+.400
140,T136,T136,Chris DiMarco,111,+.400
141,T136,T136,Paul Gow,99,+.400
142,T136,T136,Bob May,91,+.400
143,T136,T136,Michael Muehr,73,+.400
144,T136,T136,Craig Parry,69,+.400
145,T136,T136,Brett Quigley,93,+.400
146,T136,T136,Chris Smith,103,+.400
147,T148,T148,Paul Claxton,83,+.417
148,T148,T148,Fred Couples,64,+.417
149,T148,T148,Tripp Isenhour,68,+.417
150,T148,T148,Brett Wetterich,89,+.417
151,152,152,Jeff Gove,89,+.429
152,T153,T153,J.P. Hayes,78,+.438
153,T153,T153,Skip Kendall,103,+.438
154,T155,T155,Mike Hulbert,55,+.444
155,T155,T155,Brad Lardon,59,+.444
156,T155,T155,José María Olazábal,71,+.444
157,T158,T158,Glen Hnatiuk,95,+.455
158,T158,T158,Heath Slocum,96,+.455
159,T158,T158,Esteban Toledo,106,+.455
160,161,161,Kevin Sutherland,96,+.462
161,T162,T162,Jay Don Blake,107,+.471
