,Approach_200-225_yards_RTP_RANK THIS WEEK,Approach_200-225_yards_RTP_RANK LAST WEEK,Approach_200-225_yards_RTP_PLAYER NAME,Approach_200-225_yards_RTP_ROUNDS,Approach_200-225_yards_RTP_AVG RTP
0,1,1,Retief Goosen,56,-.909
1,2,2,John Daly,62,-.727
2,3,3,David Duval,78,-.714
3,4,4,Robert Allenby,96,-.708
4,5,5,Ian Leggatt,97,-.650
5,6,6,Pat Perez,89,-.571
6,7,7,Tiger Woods,69,-.565
7,8,8,Rocco Mediate,79,-.563
8,9,9,David Toms,106,-.545
9,T10,T10,Craig Perks,91,-.538
10,T10,T10,Mike Weir,94,-.538
11,12,12,Bob Heintz,68,-.533
12,T13,T13,Mike Hulbert,55,-.500
13,T13,T13,Tom Lehman,78,-.500
14,15,15,Jonathan Byrd,96,-.480
15,16,16,Sergio Garcia,79,-.476
16,17,17,Paul Stankowski,100,-.474
17,18,18,Chad Campbell,111,-.462
18,19,19,Rory Sabbatini,69,-.455
19,20,20,Carlos Franco,107,-.448
20,21,21,Steve Lowery,98,-.435
21,T22,T22,Stuart Appleby,97,-.429
22,T22,T22,Brian Bateman,94,-.429
23,T24,T24,David Gossett,95,-.421
24,T24,T24,John Senden,96,-.421
25,26,26,Robin Freeman,79,-.412
26,27,27,Kenny Perry,98,-.407
27,T28,T28,J.J. Henry,112,-.400
28,T28,T28,Hal Sutton,74,-.400
29,30,30,"David Berganio, Jr.",80,-.389
30,31,31,John Rollins,124,-.387
31,T32,T32,Stephen Gangluff,75,-.381
32,T32,T32,Chris Smith,103,-.381
33,T32,T32,Kenneth Staton,104,-.381
34,T35,T35,Michael Allen,76,-.375
35,T35,T35,Matt Gogel,79,-.375
36,T35,T35,Bernhard Langer,55,-.375
37,T35,T35,Mark O'Meara,68,-.375
38,39,39,Phil Mickelson,97,-.368
39,T40,T40,Mark Calcavecchia,84,-.364
40,T40,T40,Mathew Goggin,64,-.364
41,T40,T40,Lee Janzen,101,-.364
42,43,43,Brett Quigley,93,-.357
43,44,44,Jess Daley,76,-.353
44,45,45,Geoff Ogilvy,90,-.350
45,T46,T46,Steve Allan,93,-.348
46,T46,T46,Notah Begay III,76,-.348
47,T48,T48,Craig Barlow,62,-.333
48,T48,T48,Stewart Cink,92,-.333
49,T48,T48,Fred Couples,64,-.333
50,T48,T48,Ernie Els,68,-.333
51,T48,T48,Bradley Hughes,60,-.333
