,Birdie_or_Better_Percentage_-_Right_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Right_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Right_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Right_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Right_Rough_%,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Right_Rough_TOTAL HOLES
0,1,1,Sergio Garcia,79,35.48,11.0,31
1,2,2,Kaname Yokoo,74,34.62,9.0,26
2,3,3,John Huston,99,31.58,12.0,38
3,4,4,Craig Stadler,72,30.77,8.0,26
4,5,5,Jonathan Byrd,96,28.57,14.0,49
5,6,6,Fred Couples,64,28.0,7.0,25
6,7,7,John Cook,85,26.92,7.0,26
7,T8,T8,Steve Stricker,68,25.93,7.0,27
8,T8,T8,Richard Zokol,53,25.93,7.0,27
9,T10,T10,Olin Browne,107,25.0,9.0,36
10,T10,T10,K.J. Choi,93,25.0,9.0,36
11,T10,T10,Jeff Maggert,83,25.0,7.0,28
12,13,13,Greg Kraft,86,24.32,9.0,37
13,14,14,Woody Austin,102,24.24,16.0,66
14,15,15,John Rollins,124,22.81,13.0,57
15,16,16,Tim Herron,102,22.03,13.0,59
16,17,17,Matt Kuchar,82,21.74,5.0,23
17,T18,T18,Brett Quigley,93,21.43,12.0,56
18,T18,T18,Tiger Woods,69,21.43,6.0,28
19,20,20,Hal Sutton,74,21.21,7.0,33
20,21,21,Glen Day,107,21.05,8.0,38
21,22,22,Kenny Perry,98,20.93,9.0,43
22,23,23,Fred Funk,106,20.69,6.0,29
23,24,24,Scott Simpson,61,20.59,7.0,34
24,25,25,Garrett Willis,80,20.37,11.0,54
25,T26,T26,Carlos Franco,107,20.0,8.0,40
26,T26,T26,Steve Jones,71,20.0,6.0,30
27,T26,T26,Duffy Waldorf,90,20.0,6.0,30
28,29,29,Bryce Molder,65,19.67,12.0,61
29,30,30,Len Mattiace,106,19.61,10.0,51
30,31,31,Phil Tataurangi,88,19.57,9.0,46
31,32,32,Brad Elder,76,19.44,7.0,36
32,33,33,Shigeki Maruyama,87,19.35,6.0,31
33,T34,T34,Tom Byrum,77,19.23,5.0,26
34,T34,T34,Tom Lehman,78,19.23,5.0,26
35,36,36,Frank Lickliter II,94,19.05,8.0,42
36,37,37,Mark Calcavecchia,84,18.92,7.0,37
37,38,38,Andrew Magee,91,18.75,9.0,48
38,39,39,Jesper Parnevik,85,18.52,5.0,27
39,40,40,Bob May,91,18.37,9.0,49
40,T41,T41,Jonathan Kaye,83,17.86,10.0,56
41,T41,T41,Scott McCarron,106,17.86,10.0,56
42,43,43,Tim Petrovic,92,17.78,8.0,45
43,T44,T44,Phil Mickelson,97,17.65,9.0,51
44,T44,T44,John Riegger,88,17.65,6.0,34
45,46,46,Vijay Singh,102,17.5,7.0,40
46,47,47,Brian Gay,117,17.31,9.0,52
47,T48,T48,Robert Allenby,96,17.24,10.0,58
48,T48,T48,Jim Carter,98,17.24,5.0,29
49,50,50,Robin Freeman,79,17.19,11.0,64
50,51,51,Per-Ulrik Johansson,87,17.14,6.0,35
51,52,52,Chris Riley,104,17.02,8.0,47
52,53,53,Grant Waite,98,16.92,11.0,65
53,T54,T54,"David Berganio, Jr.",80,16.67,6.0,36
54,T54,T54,Chad Campbell,111,16.67,8.0,48
55,T54,T54,Bob Heintz,68,16.67,7.0,42
56,T54,T54,Tommy Tolles,64,16.67,8.0,48
57,T58,T58,Stuart Appleby,97,16.28,7.0,43
58,T58,T58,Paul Claxton,83,16.28,7.0,43
59,T58,T58,David Peoples,105,16.28,7.0,43
60,T58,T58,Mike Sposa,111,16.28,7.0,43
61,T62,T62,Brad Faxon,93,16.22,6.0,37
62,T62,T62,Chris Smith,103,16.22,6.0,37
63,T64,T64,Brandt Jobe,94,15.91,7.0,44
64,T64,T64,Michael Long,71,15.91,7.0,44
65,T64,T64,Rod Pampling,98,15.91,7.0,44
66,T67,T67,Bob Burns,99,15.79,6.0,38
67,T67,T67,Tripp Isenhour,68,15.79,6.0,38
68,T67,T67,Miguel Angel Jiménez,60,15.79,3.0,19
69,T67,T67,Hidemichi Tanaka,104,15.79,6.0,38
70,71,71,Tom Scherrer,98,15.56,7.0,45
71,T72,T72,Jay Don Blake,107,15.38,8.0,52
72,T72,T72,Stewart Cink,92,15.38,6.0,39
73,T72,T72,Chris DiMarco,111,15.38,6.0,39
74,T72,T72,Dan Forsman,83,15.38,6.0,39
75,T72,T72,Brent Geiberger,95,15.38,8.0,52
76,T72,T72,Pete Jordan,78,15.38,4.0,26
77,T72,T72,John Senden,96,15.38,8.0,52
78,79,79,Tommy Armour III,82,15.15,5.0,33
79,80,80,Rich Beem,99,14.89,7.0,47
