,Approaches_from__200_yards_RANK THIS WEEK,Approaches_from__200_yards_RANK LAST WEEK,Approaches_from__200_yards_PLAYER NAME,Approaches_from__200_yards_ROUNDS,Approaches_from__200_yards_AVG,Approaches_from__200_yards_TOTAL DISTANCE (FEET),Approaches_from__200_yards_# OF ATTEMPTS,Approaches_from__200_yards_RELATIVE TO PAR
0,1,1,Mike Hulbert,55,"47' 4""",1040.5,22,-10
1,2,2,Tiger Woods,69,"47' 6""",2089.833,44,-26
2,T3,T3,Jonathan Byrd,96,"47' 10""",2820.417,59,-36
3,T3,T3,Boo Weekley,57,"47' 10""",1721.8329999999999,36,-22
4,5,5,David Duval,78,"48' 3""",1689.5829999999999,35,-28
5,6,6,Michael Allen,76,"48' 4""",1836.9170000000001,38,-16
6,7,7,Bernhard Langer,55,"48' 8""",1460.5,30,-16
7,8,8,John Senden,96,"49' 3""",2660.417,54,-32
8,9,9,Vijay Singh,102,"49' 6""",3615.5,73,-36
9,T10,T10,Retief Goosen,56,"49' 7""",1834.5,37,-29
10,T10,T10,Rocco Mediate,79,"49' 7""",2579.417,52,-34
11,T12,T12,Robin Freeman,79,"49' 9""",2535.417,51,-22
12,T12,T12,Fred Funk,106,"49' 9""",3529.583,71,-20
13,T14,T14,Briny Baird,110,"50' 0""",3198.0,64,-27
14,T14,T14,Kirk Triplett,84,"50' 0""",2399.25,48,-12
15,16,16,Dennis Paulson,89,"50' 6""",2119.667,42,-16
16,17,17,Tommy Tolles,64,"51' 1""",1686.1670000000001,33,-16
17,18,18,Craig Stadler,72,"51' 3""",1691.8329999999999,33,-15
18,19,19,Geoff Ogilvy,90,"51' 4""",2257.583,44,-22
19,20,20,Loren Roberts,93,"51' 5""",3134.25,61,-14
20,21,21,Michael Long,71,"52' 1""",2606.167,50,-18
21,22,22,Phil Tataurangi,88,"52' 2""",1981.0,38,-20
22,23,23,Dicky Pride,51,"52' 3""",1880.0829999999999,36,-9
23,24,24,Carlos Franco,107,"52' 6""",3887.667,74,-33
24,T25,T25,Craig Barlow,62,"52' 8""",1948.25,37,-21
25,T25,T25,Jim Furyk,88,"52' 8""",2740.167,52,-25
26,T25,T25,Tripp Isenhour,68,"52' 8""",2054.0,39,-13
27,T25,T25,Joe Ogilvie,50,"52' 8""",1738.25,33,-12
28,T25,T25,Hidemichi Tanaka,104,"52' 8""",3844.333,73,-20
29,T30,T30,Paul Claxton,83,"52' 9""",2954.083,56,-20
30,T30,T30,John Huston,99,"52' 9""",3748.167,71,-29
31,32,32,Brian Bateman,94,"53' 1""",3186.667,60,-32
32,33,33,Jay Williamson,91,"53' 4""",2984.667,56,-25
33,34,34,Peter Lonard,93,"53' 7""",3373.667,63,-31
34,35,35,Michael Muehr,73,"53' 8""",1181.083,22,-7
35,T36,T36,Stephen Ames,89,"54' 0""",2105.75,39,-18
