,Approach__275_yards_RTP_RANK THIS WEEK,Approach__275_yards_RTP_RANK LAST WEEK,Approach__275_yards_RTP_PLAYER NAME,Approach__275_yards_RTP_ROUNDS,Approach__275_yards_RTP_AVG RTP
0,1,1,Brad Elder,76,-1.333
1,T2,T2,Michael Allen,76,-1.000
2,T2,T2,Jeff Brehaut,87,-1.000
3,T2,T2,Jim Carter,98,-1.000
4,T2,T2,Fred Couples,64,-1.000
5,T2,T2,Jess Daley,76,-1.000
6,T2,T2,David Duval,78,-1.000
7,T2,T2,Steve Flesch,110,-1.000
8,T2,T2,Retief Goosen,56,-1.000
9,T2,T2,Donnie Hammond,60,-1.000
10,T2,T2,Scott Hoch,71,-1.000
11,T2,T2,Andrew Magee,91,-1.000
12,T2,T2,Geoff Ogilvy,90,-1.000
13,T2,T2,Carl Paulson,84,-1.000
14,T2,T2,Brett Quigley,93,-1.000
15,T2,T2,Tiger Woods,69,-1.000
16,T2,T2,Richard Zokol,53,-1.000
17,18,18,Jay Williamson,91,-.857
18,T19,T19,Cameron Beckman,87,-.800
19,T19,T19,Joel Edwards,101,-.800
20,T19,T19,Bryce Molder,65,-.800
21,T19,T19,Craig Perks,91,-.800
22,T19,T19,Tim Petrovic,92,-.800
23,24,24,Kenneth Staton,104,-.769
24,T25,T25,John Daly,62,-.750
25,T25,T25,David Gossett,95,-.750
26,T25,T25,Brad Lardon,59,-.750
27,T25,T25,Brenden Pappas,62,-.750
28,T25,T25,Mike Sposa,111,-.750
29,T25,T25,Boo Weekley,57,-.750
30,31,31,Rod Pampling,98,-.727
31,32,32,Tim Herron,102,-.714
32,33,33,Shaun Micheel,100,-.700
33,T34,T34,Craig Barlow,62,-.667
34,T34,T34,Bart Bryant,69,-.667
35,T34,T34,John Cook,85,-.667
36,T34,T34,Harrison Frazar,88,-.667
37,T34,T34,Jim Furyk,88,-.667
38,T34,T34,Brian Gay,117,-.667
39,T34,T34,Paul Goydos,66,-.667
40,T34,T34,Jason Hill,59,-.667
41,T34,T34,Lee Janzen,101,-.667
42,T34,T34,Gary Nicklaus,66,-.667
43,T34,T34,Mark O'Meara,68,-.667
44,T34,T34,José María Olazábal,71,-.667
45,T34,T34,Pat Perez,89,-.667
46,T34,T34,Jeff Sluman,118,-.667
47,T34,T34,Chris Smith,103,-.667
48,T34,T34,Paul Stankowski,100,-.667
49,T34,T34,Steve Stricker,68,-.667
50,T34,T34,Duffy Waldorf,90,-.667
51,T34,T34,Mike Weir,94,-.667
52,53,53,Frank Nobilo,94,-.625
53,T54,T54,Billy Andrade,100,-.600
54,T54,T54,Glen Day,107,-.600
