,Fairway_Proximity_RANK THIS WEEK,Fairway_Proximity_RANK LAST WEEK,Fairway_Proximity_PLAYER NAME,Fairway_Proximity_ROUNDS,Fairway_Proximity_AVG,Fairway_Proximity_ATTEMPTS,Fairway_Proximity_TOTAL DISTANCE (FEET),Fairway_Proximity_RELATIVE TO PAR
0,1,1,J.P. Hayes,78,"26' 3""",240,6298.8330000000005,-29.00
1,2,2,Stewart Cink,92,"26' 9""",270,7216.3330000000005,-61.00
2,T3,T3,David Duval,78,"26' 10""",215,5776.5830000000005,-42.00
3,T3,T3,Michael Muehr,73,"26' 10""",192,5147.5,-17.00
4,5,5,Heath Slocum,96,"27' 2""",333,9034.833,-23.00
5,6,6,Tom Scherrer,98,"27' 3""",323,8809.333,-42.00
6,7,7,Mark Brooks,97,"27' 4""",303,8275.083,-34.00
7,T8,T8,John Huston,99,"27' 5""",331,9072.333,-63.00
8,T8,T8,Dicky Pride,51,"27' 5""",200,5487.5830000000005,-22.00
9,10,10,Joe Durant,87,"27' 7""",300,8285.167,-52.00
10,T11,T11,Fred Funk,106,"27' 8""",448,12382.917,-66.00
11,T11,T11,Boo Weekley,57,"27' 8""",201,5567.5,-24.00
12,13,13,Joel Edwards,101,"27' 9""",392,10875.0,-70.00
13,14,14,David Toms,106,"27' 10""",370,10284.083,-110.00
14,T15,T15,Tom Byrum,77,"28' 0""",287,8033.9169999999995,-31.00
15,T15,T15,Andrew Magee,91,"28' 0""",256,7166.5830000000005,-23.00
16,T17,T17,Robin Freeman,79,"28' 4""",250,7082.1669999999995,-31.00
17,T17,T17,Robert Gamez,69,"28' 4""",270,7640.5830000000005,-36.00
18,T17,T17,Brian Gay,117,"28' 4""",406,11500.0,-61.00
19,T17,T17,J.L. Lewis,98,"28' 4""",348,9847.583,-68.00
20,T17,T17,Jay Williamson,91,"28' 4""",353,9996.583,-46.00
21,22,22,Geoff Ogilvy,90,"28' 5""",262,7450.8330000000005,-30.00
22,23,23,Stephen Ames,89,"28' 6""",252,7172.25,-37.00
23,T24,T24,Tim Clark,76,"28' 7""",315,8993.5,-52.00
24,T24,T24,Jim Furyk,88,"28' 7""",275,7857.1669999999995,-57.00
25,T24,T24,Mike Hulbert,55,"28' 7""",142,4062.25,E
26,T24,T24,Hidemichi Tanaka,104,"28' 7""",360,10288.417,-31.00
27,T28,T28,Bob Estes,93,"28' 8""",321,9188.833,-46.00
28,T28,T28,Lee Janzen,101,"28' 8""",302,8649.667,-45.00
29,T28,T28,Vijay Singh,102,"28' 8""",334,9565.0,-82.00
30,T31,T31,Jeff Brehaut,87,"28' 9""",344,9883.833,-40.00
31,T31,T31,Blaine McCallister,75,"28' 9""",275,7897.3330000000005,-32.00
32,T33,T33,Craig Barlow,62,"28' 10""",239,6887.75,-25.00
33,T33,T33,Chad Campbell,111,"28' 10""",394,11352.333,-69.00
34,T33,T33,K.J. Choi,93,"28' 10""",311,8954.917,-56.00
35,T36,T36,Tommy Armour III,82,"28' 11""",258,7469.4169999999995,-8.00
36,T36,T36,Brad Faxon,93,"28' 11""",266,7702.5,-51.00
37,T36,T36,José María Olazábal,71,"28' 11""",169,4889.417,-40.00
38,T36,T36,John Riegger,88,"28' 11""",340,9836.083,-67.00
39,T40,T40,Jeff Gove,89,"29' 0""",340,9862.917,-50.00
40,T40,T40,Tom Lehman,78,"29' 0""",182,5272.6669999999995,-26.00
41,T40,T40,Peter Lonard,93,"29' 0""",294,8520.25,-56.00
42,T40,T40,Joe Ogilvie,50,"29' 0""",196,5677.25,-9.00
43,T40,T40,Rod Pampling,98,"29' 0""",279,8095.4169999999995,-57.00
44,T40,T40,Tim Petrovic,92,"29' 0""",295,8552.917,-53.00
