,Going_for_the_Green_RANK THIS WEEK,Going_for_the_Green_RANK LAST WEEK,Going_for_the_Green_PLAYER NAME,Going_for_the_Green_ROUNDS,Going_for_the_Green_%,Going_for_the_Green_ATTEMPTS,Going_for_the_Green_NON-ATTEMPTS,Going_for_the_Green_RTP-GOING FOR THE GREEN,Going_for_the_Green_RTP-NOT GOING FOR THE GRN
0,1,1,Tiger Woods,69,78.67,59,16,-42,+1
1,2,2,Sergio Garcia,79,75.68,56,18,-32,E
2,3,3,Ernie Els,68,72.6,53,20,-30,E
3,4,4,Charles Howell III,118,71.76,94,37,-58,-1
4,5,5,Rory Sabbatini,69,67.57,50,24,-27,+1
5,6,6,Robert Allenby,96,67.19,86,42,-53,-2
6,7,7,Vijay Singh,102,66.91,91,45,-57,-9
7,8,8,Phil Mickelson,97,66.67,94,47,-50,-4
8,9,9,Bo Van Pelt,78,66.4,83,42,-47,-2
9,10,10,Mark Calcavecchia,84,63.83,60,34,-30,-4
10,11,11,Davis Love III,92,63.56,75,43,-50,-6
11,12,12,Jonathan Byrd,96,61.54,80,50,-57,-17
12,13,13,John Daly,62,61.43,43,27,-37,+4
13,14,14,John Senden,96,61.4,70,44,-44,-5
14,15,15,Stuart Appleby,97,60.45,81,53,-50,-1
15,16,16,Mathew Goggin,64,60.44,55,36,-31,-3
16,T17,T17,Notah Begay III,76,60.0,72,48,-43,-9
17,T17,T17,Jesper Parnevik,85,60.0,48,32,-31,+10
18,T17,T17,Chris Smith,103,60.0,81,54,-37,+2
19,20,20,Paul Gow,99,59.72,86,58,-40,-3
20,21,21,Kenny Perry,98,59.6,90,61,-51,-8
21,22,22,Paul Stankowski,100,59.4,79,54,-51,-5
22,23,23,Carl Paulson,84,59.23,77,53,-43,E
23,24,24,Brett Wetterich,89,59.03,85,59,-48,+4
24,25,25,Kenneth Staton,104,58.75,94,66,-50,-11
25,26,26,Brandt Jobe,94,58.21,78,56,-41,-11
26,27,27,Steve Lowery,98,57.76,67,49,-38,-7
27,28,28,Harrison Frazar,88,57.6,72,53,-25,-10
28,29,29,Robert Gamez,69,57.29,55,41,-20,-3
29,30,30,Peter Lonard,93,57.26,71,53,-41,-11
30,31,31,Rich Beem,99,56.82,75,57,-42,+1
31,32,32,Kaname Yokoo,74,56.7,55,42,-24,-3
32,33,33,Scott McCarron,106,56.64,64,49,-43,E
33,34,34,Paul Azinger,69,56.34,40,31,-21,-4
34,35,35,Carlos Franco,107,55.36,93,75,-49,-13
35,36,36,David Duval,78,54.74,52,43,-44,+4
36,37,37,Lee Janzen,101,54.62,65,54,-36,E
37,38,38,Grant Waite,98,54.42,80,67,-45,+1
38,T39,T39,Joey Sindelar,104,53.64,81,70,-37,-7
39,T39,T39,Garrett Willis,80,53.64,59,51,-37,E
40,41,41,Pat Perez,89,53.57,60,52,-36,-7
41,42,42,David Gossett,95,53.13,68,60,-31,E
42,43,43,John Rollins,124,53.05,87,77,-59,-15
43,44,44,Frank Lickliter II,94,51.91,68,63,-38,+6
44,45,45,Fred Couples,64,51.72,45,42,-25,-4
45,46,46,Eduardo Herrera,59,51.65,47,44,-10,+3
46,47,47,Mike Weir,94,51.2,64,61,-42,E
47,48,48,Ben Crane,91,51.13,68,65,-35,-10
48,T49,T49,Steve Allan,93,51.11,69,66,-53,+9
49,T49,T49,Rocco Mediate,79,51.11,46,44,-36,-10
50,51,51,Billy Andrade,100,51.03,74,71,-48,-10
51,52,52,K.J. Choi,93,50.74,69,67,-32,-18
52,53,53,Steve Flesch,110,50.4,63,62,-37,-2
53,54,54,Jonathan Kaye,83,50.38,66,65,-26,-17
54,55,55,David Toms,106,50.34,73,72,-59,-21
55,T56,T56,Edward Fryatt,94,50.0,68,68,-33,-12
56,T56,T56,Retief Goosen,56,50.0,47,47,-35,-9
57,58,58,Bradley Hughes,60,49.41,42,43,-19,-5
58,59,59,Per-Ulrik Johansson,87,49.09,54,56,-29,+3
59,60,60,Frank Nobilo,94,48.92,68,71,-36,-5
60,61,61,Dennis Paulson,89,48.91,67,70,-28,-11
61,62,62,Stewart Cink,92,48.65,54,57,-29,-8
62,63,63,Boo Weekley,57,48.35,44,47,-30,+2
63,64,64,Woody Austin,102,48.34,73,78,-43,-10
64,65,65,Shaun Micheel,100,48.28,70,75,-43,-18
65,66,66,J.L. Lewis,98,47.97,71,77,-46,-21
66,67,67,Michael Clark II,97,47.89,68,74,-33,-4
67,68,68,Brian Bateman,94,47.79,65,71,-41,-2
68,69,69,Brad Elder,76,47.62,40,44,-30,-7
69,70,70,Jerry Kelly,99,47.58,59,65,-38,-5
70,71,71,Tripp Isenhour,68,47.57,49,54,-30,-7
71,T72,T72,Ian Leggatt,97,47.54,58,64,-40,-14
72,T72,T72,Rod Pampling,98,47.54,58,64,-42,-8
73,74,74,Kent Jones,105,47.53,77,85,-44,-9
74,75,75,Tom Pernice Jr.,101,47.5,57,63,-25,-6
75,76,76,J.J. Henry,112,47.47,75,83,-48,-5
76,77,77,Robin Freeman,79,47.41,55,61,-30,-6
77,78,78,Tom Lehman,78,47.22,34,38,-16,-2
78,79,79,"David Berganio, Jr.",80,47.11,57,64,-35,-11
79,T80,T80,Stephen Ames,89,47.06,48,54,-27,-10
80,T80,T80,Geoff Ogilvy,90,47.06,56,63,-33,-9
81,82,82,Craig Stadler,72,46.91,38,43,-25,-4
82,83,83,Matt Kuchar,82,46.61,55,63,-23,-9
83,84,84,Michael Allen,76,46.6,48,55,-31,-12
84,85,85,Jess Daley,76,46.55,54,62,-33,-5
85,86,86,Deane Pappas,90,46.51,60,69,-26,+2
86,87,87,Steve Elkington,82,46.39,45,52,-22,-1
87,88,88,Brett Quigley,93,46.38,64,74,-47,E
88,89,89,Neal Lancaster,101,46.09,59,69,-24,-1
89,90,90,Robert Damron,85,46.04,64,75,-38,-10
90,91,91,Brenden Pappas,62,45.71,48,57,-31,+2
91,92,92,Kirk Triplett,84,45.45,40,48,-24,-8
92,T93,T93,David Morland IV,58,45.35,39,47,-20,-9
93,T93,T93,Kevin Sutherland,96,45.35,39,47,-22,E
94,95,95,Hidemichi Tanaka,104,45.33,68,82,-40,-5
95,96,96,Jason Hill,59,45.24,38,46,-17,+1
96,97,97,Joe Ogilvie,50,45.21,33,40,-16,-3
97,T98,T98,Brian Henninger,66,45.16,42,51,-24,-2
98,T98,T98,Steve Stricker,68,45.16,28,34,-17,-8
99,100,100,Bernhard Langer,55,44.83,26,32,-16,-2
100,101,101,John Huston,99,44.76,64,79,-37,-30
101,T102,T102,Billy Mayfair,99,44.44,52,65,-35,-5
102,T102,T102,Duffy Waldorf,90,44.44,52,65,-39,-18
103,104,104,Brent Geiberger,95,44.36,59,74,-39,+1
104,105,105,Justin Leonard,97,44.25,50,63,-24,-10
105,106,106,Scott Dunlap,74,44.0,44,56,-16,-5
106,107,107,Len Mattiace,106,43.88,61,78,-32,-10
107,108,108,Phil Tataurangi,88,43.75,56,72,-32,-10
108,109,109,Michael Long,71,43.59,51,66,-32,-10
109,T110,T110,Chris DiMarco,111,43.48,60,78,-40,-16
110,T110,T110,Miguel Angel Jiménez,60,43.48,40,52,-12,-5
111,112,112,Greg Chalmers,94,43.22,51,67,-40,-2
112,113,113,Scott Hoch,71,43.02,37,49,-22,-2
113,114,114,Bart Bryant,69,42.98,49,65,-30,-7
114,T115,T115,Shigeki Maruyama,87,42.86,42,56,-33,-15
115,T115,T115,Scott Verplank,93,42.86,48,64,-32,-12
116,117,117,Tim Petrovic,92,42.75,56,75,-39,-12
117,118,118,Tommy Tolles,64,42.71,41,55,-32,-2
118,119,119,Craig Parry,69,42.54,57,77,-34,-15
119,120,120,Briny Baird,110,42.41,67,91,-42,-12
120,121,121,Nick Price,69,42.03,29,40,-15,-8
121,122,122,Bob Tway,103,41.96,60,83,-29,-10
122,123,123,Jeff Sluman,118,41.88,67,93,-47,-7
123,T124,T124,Dudley Hart,88,41.67,50,70,-16,-14
124,T124,T124,John Riegger,88,41.67,50,70,-34,-22
125,126,126,Hal Sutton,74,41.41,41,58,-7,-3
126,127,127,Cameron Beckman,87,41.35,43,61,-26,-13
127,128,128,Brad Lardon,59,41.25,33,47,-19,-3
128,129,129,Luke Donald,106,41.06,62,89,-33,-10
129,130,130,Jeff Brehaut,87,40.58,56,82,-46,-5
130,131,131,Glen Hnatiuk,95,40.49,66,97,-28,-11
131,T132,T132,Craig Barlow,62,40.0,40,60,-27,-3
132,T132,T132,Andrew Magee,91,40.0,52,78,-22,-20
133,134,134,Tim Herron,102,38.97,53,83,-39,-18
134,135,135,John Cook,85,38.89,35,55,-26,-8
135,136,136,Mike Hulbert,55,38.81,26,41,-14,+6
136,T137,T137,Jay Don Blake,107,38.78,57,90,-31,-11
137,T137,T137,Jeff Gove,89,38.78,57,90,-26,-24
138,T139,T139,Jim Furyk,88,38.3,36,58,-29,-14
139,T139,T139,Bob May,91,38.3,54,87,-36,-11
140,T139,T139,Jerry Smith,91,38.3,54,87,-24,-13
141,142,142,Dan Forsman,83,38.17,50,81,-28,-16
142,143,143,Dicky Pride,51,37.8,31,51,-13,E
143,144,144,Fulton Allem,64,37.76,37,61,-18,-17
144,145,145,Tommy Armour III,82,37.61,44,73,-20,-6
145,146,146,Paul Claxton,83,37.59,50,83,-29,-5
146,147,147,David Peoples,105,37.06,53,90,-40,-20
147,148,148,Peter Jacobsen,67,37.0,37,63,-16,-7
148,T149,T149,Donnie Hammond,60,36.71,29,50,-21,-8
149,T149,T149,Steve Pate,64,36.71,29,50,-12,-6
150,151,151,José Coceres,51,36.51,23,40,-12,+6
151,152,152,Craig Perks,91,36.45,39,68,-25,+2
152,153,153,Stephen Gangluff,75,36.44,43,75,-21,+1
153,154,154,Brandel Chamblee,85,36.21,42,74,-19,+5
154,T155,T155,Fred Funk,106,36.0,54,96,-35,-27
155,T155,T155,Bryce Molder,65,36.0,36,64,-25,-3
156,157,157,Joe Durant,87,35.85,38,68,-22,-8
157,158,158,Russ Cochran,68,35.58,37,67,-15,-11
158,159,159,Chris Riley,104,35.51,49,89,-25,-15
159,160,160,Joel Edwards,101,35.48,55,100,-39,-25
160,161,161,Jeff Maggert,83,35.35,35,64,-14,-10
161,162,162,Mark Brooks,97,35.29,42,77,-18,-10
162,163,163,Jay Haas,83,35.11,33,61,-17,-12
163,164,164,Mike Sposa,111,35.03,55,102,-25,-20
164,T165,T165,Tim Clark,76,35.0,42,78,-24,-20
165,T165,T165,Jay Williamson,91,35.0,49,91,-35,-13
166,167,167,Bob Heintz,68,34.65,35,66,-22,-14
167,168,168,Steve Jones,71,34.38,33,63,-8,-14
168,169,169,Bob Estes,93,34.29,36,69,-22,-15
169,T170,T170,Chad Campbell,111,34.21,52,100,-41,-22
170,T170,T170,Brad Faxon,93,34.21,39,75,-23,-14
171,172,172,Tom Scherrer,98,34.11,44,85,-19,-6
172,173,173,Matt Peterson,80,33.87,42,82,-16,-3
173,174,174,José María Olazábal,71,33.75,27,53,-18,-14
174,T175,T175,Pat Bates,94,33.33,49,98,-29,-17
175,T175,T175,Glen Day,107,33.33,59,118,-33,-7
176,177,177,Matt Gogel,79,32.98,31,63,-23,-5
177,178,178,Spike McRoy,69,32.97,30,61,-14,-7
178,179,179,Gary Nicklaus,66,32.69,34,70,-19,+7
179,180,180,Mark O'Meara,68,32.35,22,46,-16,-6
180,181,181,Paul Goydos,66,31.18,29,64,-14,-12
181,182,182,Jim Carter,98,30.89,38,85,-26,-19
182,183,183,Blaine McCallister,75,30.39,31,71,-16,-17
183,184,184,Esteban Toledo,106,30.37,41,94,-16,-7
184,185,185,Greg Kraft,86,30.16,38,88,-16,-8
185,186,186,Brian Watts,58,30.0,27,63,-4,-7
186,187,187,Franklin Langham,72,29.91,35,82,-19,+7
187,188,188,Skip Kendall,103,28.95,44,108,-27,-20
188,189,189,David Frost,90,28.79,38,94,-23,-18
189,190,190,Richard Zokol,53,28.24,24,61,-13,+1
190,191,191,Brian Gay,117,28.03,44,113,-31,-39
191,192,192,Bob Burns,99,27.82,37,96,-21,-16
192,193,193,J.P. Hayes,78,27.52,30,79,-10,-19
193,194,194,Olin Browne,107,27.39,43,114,-23,-17
194,195,195,Lee Porter,91,26.92,35,95,-19,-16
195,196,196,Loren Roberts,93,25.89,29,83,-17,-16
196,197,197,Tom Byrum,77,25.69,28,81,-12,-16
197,198,198,Scott Simpson,61,25.58,22,64,-13,-16
198,199,199,Pete Jordan,78,25.0,29,87,-10,-12
199,200,200,Corey Pavin,78,23.47,23,75,-8,-15
200,201,201,Michael Muehr,73,22.34,21,73,-7,-3
201,202,202,Heath Slocum,96,18.32,24,107,-10,-30
