,Proximity_to_Hole_RANK THIS WEEK,Proximity_to_Hole_RANK LAST WEEK,Proximity_to_Hole_PLAYER NAME,Proximity_to_Hole_ROUNDS,Proximity_to_Hole_AVG,Proximity_to_Hole_TOTAL DISTANCE (FEET),Proximity_to_Hole_# OF ATTEMPTS,Proximity_to_Hole_GIR RANK
0,1,1,Joe Durant,87,"28' 11""",9983.917,345,9
1,2,2,John Huston,99,"29' 7""",12042.25,407,28
2,3,3,Fred Funk,106,"30' 0""",15434.167,515,5
3,4,4,Heath Slocum,96,"30' 2""",11755.333,390,117
4,5,5,David Toms,106,"30' 5""",14279.083,469,10
5,6,6,Tom Byrum,77,"30' 7""",10779.667,352,87
6,T7,T7,Jim Furyk,88,"30' 8""",10336.25,337,2
7,T7,T7,Brian Gay,117,"30' 8""",15966.833,521,129
8,T7,T7,J.P. Hayes,78,"30' 8""",9651.0,315,144
9,T7,T7,John Riegger,88,"30' 8""",13179.0,430,17
10,11,11,Tim Clark,76,"31' 0""",11498.667,371,78
11,12,12,Blaine McCallister,75,"31' 4""",10624.333,339,77
12,13,13,Boo Weekley,57,"31' 5""",8460.5,269,90
13,14,14,Chad Campbell,111,"31' 6""",15831.417,503,21
14,T15,T15,Tommy Armour III,82,"31' 7""",10688.75,338,133
15,T15,T15,Paul Goydos,66,"31' 7""",10173.333,322,152
16,17,17,Tom Lehman,78,"31' 9""",7526.5,237,8
17,T18,T18,Mark Brooks,97,"31' 10""",12843.833,404,170
18,T18,T18,Stewart Cink,92,"31' 10""",11424.75,359,66
19,T18,T18,Dan Forsman,83,"31' 10""",12656.583,398,19
20,T18,T18,Lee Janzen,101,"31' 10""",12339.0,388,34
21,T18,T18,Kirk Triplett,84,"31' 10""",9867.667,310,86
22,23,23,Hidemichi Tanaka,104,"31' 11""",14237.583,446,69
23,T24,T24,Bob Estes,93,"32' 0""",12705.25,397,11
24,T24,T24,Jay Williamson,91,"32' 0""",14171.5,443,101
25,26,26,K.J. Choi,93,"32' 1""",12773.917,398,106
26,T27,T27,Joel Edwards,101,"32' 2""",15855.417,493,37
27,T27,T27,Tom Scherrer,98,"32' 2""",14252.167,443,120
28,T29,T29,Jeff Brehaut,87,"32' 3""",14466.333,449,56
29,T29,T29,J.J. Henry,112,"32' 3""",16097.5,499,30
30,T29,T29,Nick Price,69,"32' 3""",9328.833,289,134
31,T32,T32,Matt Gogel,79,"32' 4""",10832.917,335,162
32,T32,T32,Ian Leggatt,97,"32' 4""",13705.583,424,74
33,T32,T32,Tim Petrovic,92,"32' 4""",12707.583,393,61
34,T35,T35,Stuart Appleby,97,"32' 5""",12855.417,397,97
35,T35,T35,Jeff Maggert,83,"32' 5""",10599.75,327,141
36,T35,T35,Vijay Singh,102,"32' 5""",14248.5,440,7
37,T38,T38,Robert Gamez,69,"32' 6""",11331.0,349,70
38,T38,T38,Scott Verplank,93,"32' 6""",11415.333,351,31
39,40,40,Joey Sindelar,104,"32' 7""",15921.333,489,24
40,T41,T41,"David Berganio, Jr.",80,"32' 8""",12694.25,389,32
41,T41,T41,Rocco Mediate,79,"32' 8""",10344.25,317,18
42,T41,T41,Michael Muehr,73,"32' 8""",8921.667,273,184
43,44,44,Jeff Gove,89,"32' 9""",14981.917,457,72
44,T45,T45,Mark O'Meara,68,"32' 10""",7286.3330000000005,222,142
45,T45,T45,David Peoples,105,"32' 10""",15844.167,482,23
46,T45,T45,Matt Peterson,80,"32' 10""",13742.167,419,57
47,48,48,J.L. Lewis,98,"32' 11""",15016.75,456,55
48,T49,T49,Harrison Frazar,88,"33' 0""",12399.083,376,132
49,T49,T49,Phil Tataurangi,88,"33' 0""",12139.833,368,81
50,51,51,Frank Lickliter II,94,"33' 2""",12692.333,383,60
51,T52,T52,Olin Browne,107,"33' 3""",16772.5,505,113
52,T52,T52,Jim Carter,98,"33' 3""",12788.667,385,158
53,T52,T52,Luke Donald,106,"33' 3""",15921.583,479,27
54,T52,T52,David Duval,78,"33' 3""",10373.833,312,100
55,56,56,Carlos Franco,107,"33' 4""",17407.417,522,41
