,GIR_Percentage_-__75_yards_RANK THIS WEEK,GIR_Percentage_-__75_yards_RANK LAST WEEK,GIR_Percentage_-__75_yards_PLAYER NAME,GIR_Percentage_-__75_yards_ROUNDS,GIR_Percentage_-__75_yards_%,GIR_Percentage_-__75_yards_GREENS HIT,GIR_Percentage_-__75_yards_TOTAL HOLES,GIR_Percentage_-__75_yards_RELATIVE TO PAR
0,1,1,Jim Furyk,88,98.18,54,55,-0.67
1,T2,T2,Donnie Hammond,60,97.56,40,41,-0.58
2,T2,T2,Heath Slocum,96,97.56,40,41,-0.48
3,4,4,Fred Funk,106,97.1,67,69,-0.61
4,5,5,Hidemichi Tanaka,104,96.34,79,82,-0.61
5,6,6,Tim Petrovic,92,95.95,71,74,-0.66
6,T7,T7,Harrison Frazar,88,95.89,70,73,-0.54
7,T7,T7,Jeff Gove,89,95.89,70,73,-0.46
8,9,9,Paul Azinger,69,95.65,44,46,-0.61
9,10,10,John Senden,96,95.56,86,90,-0.58
10,T11,T11,Craig Barlow,62,95.0,57,60,-0.6
11,T11,T11,Rory Sabbatini,69,95.0,57,60,-0.49
12,13,13,Mark O'Meara,68,94.87,37,39,-0.54
13,14,14,Rocco Mediate,79,94.83,55,58,-0.73
14,15,15,José María Olazábal,71,94.59,35,37,-0.69
15,16,16,John Cook,85,94.44,51,54,-0.61
16,17,17,Bob Burns,99,94.12,48,51,-0.63
17,18,18,Jay Williamson,91,94.03,63,67,-0.6
18,19,19,Chad Campbell,111,93.98,78,83,-0.69
19,20,20,Paul Claxton,83,93.94,62,66,-0.52
20,21,21,Billy Mayfair,99,93.85,61,65,-0.67
21,22,22,David Toms,106,93.68,89,95,-0.75
22,23,23,Jay Haas,83,93.62,44,47,-0.45
23,T24,T24,Bob May,91,93.59,73,78,-0.55
24,T24,T24,Mike Weir,94,93.59,73,78,-0.59
25,26,26,John Riegger,88,93.33,70,75,-0.6
26,27,27,K.J. Choi,93,93.24,69,74,-0.57
27,28,28,Steve Stricker,68,93.02,40,43,-0.58
28,29,29,John Rollins,124,92.98,106,114,-0.62
29,30,30,Notah Begay III,76,92.86,78,84,-0.64
30,T31,T31,Brian Gay,117,92.65,63,68,-0.63
31,T31,T31,Tim Herron,102,92.65,63,68,-0.68
32,T33,T33,Bernhard Langer,55,92.59,25,27,-0.68
33,T33,T33,Brett Quigley,93,92.59,75,81,-0.68
34,T35,T35,Dan Forsman,83,92.5,74,80,-0.46
35,T35,T35,Frank Nobilo,94,92.5,74,80,-0.53
36,T37,T37,Fred Couples,64,92.45,49,53,-0.57
37,T37,T37,Retief Goosen,56,92.45,49,53,-0.73
38,39,39,Sergio Garcia,79,92.06,58,63,-0.74
39,40,40,Steve Flesch,110,92.0,69,75,-0.58
40,T41,T41,Tripp Isenhour,68,91.94,57,62,-0.6
41,T41,T41,Scott Verplank,93,91.94,57,62,-0.68
42,T41,T41,Duffy Waldorf,90,91.94,57,62,-0.75
43,44,44,Stuart Appleby,97,91.84,90,98,-0.63
