,Average_Approach_Distance_-_Bogey_or_Worse_RANK THIS WEEK,Average_Approach_Distance_-_Bogey_or_Worse_RANK LAST WEEK,Average_Approach_Distance_-_Bogey_or_Worse_PLAYER NAME,Average_Approach_Distance_-_Bogey_or_Worse_ROUNDS,Average_Approach_Distance_-_Bogey_or_Worse_AVG (YARDS),Average_Approach_Distance_-_Bogey_or_Worse_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Bogey_or_Worse_NUMBER OF APPROACH SHOTS
0,1,1,John Daly,62,126.8,187087.0,41
1,2,2,Mark O'Meara,68,130.2,150024.0,32
2,3,3,Boo Weekley,57,131.8,251380.0,53
3,4,4,Scott McCarron,106,133.7,332170.0,69
4,5,5,Michael Muehr,73,133.8,250439.0,52
5,6,6,Brett Quigley,93,134.7,431668.0,89
6,7,7,Chris DiMarco,111,135.5,321957.0,66
7,8,8,Brandel Chamblee,85,136.1,323393.0,66
8,9,9,Kevin Sutherland,96,137.1,256623.0,52
9,T10,T10,Stephen Gangluff,75,137.4,361070.0,73
10,T10,T10,Rory Sabbatini,69,137.4,212690.0,43
11,12,12,Scott Hoch,71,137.5,193058.0,39
12,13,13,Lee Janzen,101,138.0,283114.0,57
13,14,14,J.P. Hayes,78,138.3,293771.0,59
14,15,15,Rod Pampling,98,138.4,283974.0,57
15,16,16,Stuart Appleby,97,138.5,333961.0,67
16,17,17,Billy Mayfair,99,139.1,300433.0,60
17,T18,T18,Matt Gogel,79,139.2,275660.0,55
18,T18,T18,Brett Wetterich,89,139.2,441003.0,88
19,T20,T20,Dan Forsman,83,139.3,210696.0,42
20,T20,T20,Tom Scherrer,98,139.3,341105.0,68
21,22,22,Edward Fryatt,94,139.4,356308.0,71
22,T23,T23,Jeff Sluman,118,139.5,336554.0,67
23,T23,T23,Garrett Willis,80,139.5,416969.0,83
24,25,25,Brian Gay,117,139.6,407213.0,81
25,26,26,Steve Flesch,110,139.7,332014.0,66
26,T27,T27,Skip Kendall,103,140.0,393040.0,78
27,T27,T27,Chris Smith,103,140.0,317417.0,63
28,T27,T27,Mike Weir,94,140.0,277245.0,55
29,30,30,Bernhard Langer,55,140.1,161411.0,32
30,T31,T31,Jonathan Byrd,96,140.3,328237.0,65
31,T31,T31,Bob Tway,103,140.3,298000.0,59
32,33,33,Jim Furyk,88,140.6,156948.0,31
33,34,34,Steve Elkington,82,140.7,283694.0,56
34,35,35,Miguel Angel Jiménez,60,141.1,279466.0,55
35,36,36,Jeff Brehaut,87,141.6,402730.0,79
36,T37,T37,K.J. Choi,93,141.7,301006.0,59
37,T37,T37,Dicky Pride,51,141.7,270371.0,53
38,T39,T39,Bart Bryant,69,141.8,265404.0,52
39,T39,T39,David Toms,106,141.8,239934.0,47
40,T41,T41,Mike Hulbert,55,142.1,225154.0,44
41,T41,T41,Scott Simpson,61,142.1,322357.0,63
42,T43,T43,Scott Dunlap,74,142.2,307087.0,60
43,T43,T43,Kenneth Staton,104,142.2,424940.0,83
44,45,45,Brent Geiberger,95,142.3,404590.0,79
45,T46,T46,Shigeki Maruyama,87,142.4,276860.0,54
46,T46,T46,Bo Van Pelt,78,142.4,420342.0,82
47,48,48,Donnie Hammond,60,142.6,200251.0,39
48,T49,T49,Jess Daley,76,142.9,298291.0,58
49,T49,T49,Tripp Isenhour,68,142.9,375582.0,73
50,T49,T49,Pat Perez,89,142.9,308576.0,60
51,T49,T49,Jay Williamson,91,142.9,355016.0,69
52,T53,T53,Brad Faxon,93,143.1,206124.0,40
53,T53,T53,Carlos Franco,107,143.1,401745.0,78
54,T55,T55,Stewart Cink,92,143.4,273672.0,53
55,T55,T55,John Rollins,124,143.4,443952.0,86
56,57,57,Frank Lickliter II,94,143.6,367140.0,71
57,58,58,Cameron Beckman,87,143.8,346883.0,67
58,59,59,Len Mattiace,106,143.9,373102.0,72
59,60,60,Duffy Waldorf,90,144.1,368241.0,71
60,T61,T61,Greg Chalmers,94,144.3,415471.0,80
61,T61,T61,Brandt Jobe,94,144.3,358334.0,69
62,T61,T61,Blaine McCallister,75,144.3,254551.0,49
63,T61,T61,Grant Waite,98,144.3,415564.0,80
64,T65,T65,Tommy Armour III,82,144.5,301627.0,58
65,T65,T65,Paul Claxton,83,144.5,385014.0,74
66,T65,T65,Russ Cochran,68,144.5,296557.0,57
67,T65,T65,David Duval,78,144.5,280875.0,54
68,T65,T65,Carl Paulson,84,144.5,353643.0,68
69,T65,T65,Craig Perks,91,144.5,343264.0,66
70,71,71,Matt Peterson,80,144.7,385350.0,74
71,72,72,Geoff Ogilvy,90,144.8,406602.0,78
72,73,73,Eduardo Herrera,59,144.9,307818.0,59
73,T74,T74,Jay Don Blake,107,145.0,412323.0,79
74,T74,T74,Justin Leonard,97,145.0,302684.0,58
75,76,76,"David Berganio, Jr.",80,145.1,297645.0,57
76,T77,T77,Bob Burns,99,145.4,350729.0,67
77,T77,T77,Robert Damron,85,145.4,361059.0,69
78,79,79,Shaun Micheel,100,145.5,371969.0,71
79,80,80,Paul Gow,99,145.6,482232.0,92
80,81,81,Kaname Yokoo,74,146.0,315271.0,60
81,T82,T82,Harrison Frazar,88,146.4,379594.0,72
82,T82,T82,Kenny Perry,98,146.4,342480.0,65
83,84,84,Richard Zokol,53,146.5,232126.0,44
84,85,85,Peter Jacobsen,67,146.6,179437.0,34
85,T86,T86,Steve Allan,93,146.7,454319.0,86
86,T86,T86,Phil Mickelson,97,146.7,285151.0,54
87,88,88,Davis Love III,92,146.8,322292.0,61
88,T89,T89,Woody Austin,102,147.0,381097.0,72
89,T89,T89,Jonathan Kaye,83,147.0,365251.0,69
90,T91,T91,Neal Lancaster,101,147.1,323114.0,61
91,T91,T91,J.L. Lewis,98,147.1,402471.0,76
92,T93,T93,Briny Baird,110,147.3,387066.0,73
93,T93,T93,Bryce Molder,65,147.3,365902.0,69
94,T95,T95,Fulton Allem,64,147.4,275982.0,52
95,T95,T95,Brian Bateman,94,147.4,414031.0,78
96,T97,T97,Fred Couples,64,147.5,196436.0,37
97,T97,T97,Ernie Els,68,147.5,201784.0,38
98,T99,T99,Sergio Garcia,79,147.7,260569.0,49
99,T99,T99,Chris Riley,104,147.7,393456.0,74
100,101,101,Notah Begay III,76,147.8,367151.0,69
101,102,102,Rocco Mediate,79,148.0,234484.0,44
102,T103,T103,Gary Nicklaus,66,148.1,319830.0,60
103,T103,T103,Jesper Parnevik,85,148.1,261233.0,49
104,T103,T103,Craig Stadler,72,148.1,266530.0,50
105,T106,T106,Mark Calcavecchia,84,148.2,266670.0,50
106,T106,T106,John Cook,85,148.2,250688.0,47
107,T106,T106,Deane Pappas,90,148.2,442939.0,83
108,T109,T109,Olin Browne,107,148.3,416459.0,78
109,T109,T109,Phil Tataurangi,88,148.3,293535.0,55
110,T111,T111,Ian Leggatt,97,148.4,363236.0,68
111,T111,T111,Jeff Maggert,83,148.4,272417.0,51
112,T111,T111,Brenden Pappas,62,148.4,368614.0,69
113,T111,T111,Tom Pernice Jr.,101,148.4,368528.0,69
114,115,115,Joey Sindelar,104,148.5,347484.0,65
115,116,116,Jeff Gove,89,148.6,353067.0,66
116,117,117,Tim Herron,102,148.7,273045.0,51
117,T118,T118,Michael Clark II,97,148.8,348206.0,65
118,T118,T118,Mathew Goggin,64,148.8,316105.0,59
119,T118,T118,Scott Verplank,93,148.8,246485.0,46
120,T121,T121,Rich Beem,99,149.0,380735.0,71
121,T121,T121,Chad Campbell,111,149.0,348641.0,65
122,T121,T121,Mike Sposa,111,149.0,375421.0,70
123,124,124,Glen Day,107,149.1,461582.0,86
124,125,125,Paul Stankowski,100,149.3,408491.0,76
125,T126,T126,Brian Henninger,66,149.5,322916.0,60
126,T126,T126,John Senden,96,149.5,344495.0,64
127,T128,T128,Mark Brooks,97,149.6,328469.0,61
128,T128,T128,Tim Clark,76,149.6,306915.0,57
129,T130,T130,Stephen Ames,89,149.8,285755.0,53
130,T130,T130,Jay Haas,83,149.8,301918.0,56
131,132,132,Charles Howell III,118,149.9,339910.0,63
132,T133,T133,Robert Gamez,69,150.2,227090.0,42
133,T133,T133,Joe Ogilvie,50,150.2,254172.0,47
134,135,135,Jason Hill,59,150.3,330146.0,61
135,136,136,Heath Slocum,96,150.4,324759.0,60
136,T137,T137,J.J. Henry,112,150.5,406364.0,75
137,T137,T137,Tommy Tolles,64,150.5,330426.0,61
138,139,139,Craig Barlow,62,150.6,271097.0,50
139,140,140,Tom Lehman,78,150.9,163013.0,30
140,T141,T141,Bob May,91,151.0,391406.0,72
141,T141,T141,José María Olazábal,71,151.0,255548.0,47
142,143,143,Joel Edwards,101,151.1,321001.0,59
143,T144,T144,Franklin Langham,72,151.3,354014.0,65
144,T144,T144,Hidemichi Tanaka,104,151.3,386629.0,71
145,146,146,John Huston,99,151.4,337931.0,62
146,T147,T147,Retief Goosen,56,151.5,147220.0,27
147,T147,T147,Bob Heintz,68,151.5,359914.0,66
148,T147,T147,Michael Long,71,151.5,294586.0,54
149,T150,T150,Robert Allenby,96,151.7,360557.0,66
150,T150,T150,Brad Lardon,59,151.7,267519.0,49
151,T150,T150,Steve Pate,64,151.7,229299.0,42
152,153,153,David Morland IV,58,151.9,317169.0,58
153,154,154,Paul Goydos,66,152.0,251740.0,46
154,155,155,Brad Elder,76,152.1,306704.0,56
155,T156,T156,Bob Estes,93,152.2,290357.0,53
156,T156,T156,Robin Freeman,79,152.2,361632.0,66
157,T156,T156,Matt Kuchar,82,152.2,251983.0,46
158,T156,T156,Andrew Magee,91,152.2,312396.0,57
159,160,160,David Peoples,105,152.4,340225.0,62
160,161,161,Fred Funk,106,152.6,445069.0,81
161,T162,T162,Lee Porter,91,152.7,423220.0,77
162,T162,T162,Jerry Smith,91,152.7,478172.0,87
163,164,164,Joe Durant,87,152.8,214462.0,39
164,165,165,Billy Andrade,100,152.9,313781.0,57
165,T166,T166,José Coceres,51,153.0,170693.0,31
166,T166,T166,Kent Jones,105,153.0,462577.0,84
167,T166,T166,Peter Lonard,93,153.0,258960.0,47
168,T169,T169,Dennis Paulson,89,153.1,297537.0,54
169,T169,T169,John Riegger,88,153.1,281144.0,51
170,171,171,Steve Stricker,68,153.3,171099.0,31
171,172,172,David Gossett,95,153.4,353340.0,64
172,173,173,Tiger Woods,69,153.6,143756.0,26
173,T174,T174,David Frost,90,154.2,327470.0,59
174,T174,T174,Pete Jordan,78,154.2,399740.0,72
175,176,176,Jerry Kelly,99,154.4,300076.0,54
176,177,177,Steve Lowery,98,154.5,467181.0,84
177,178,178,Glen Hnatiuk,95,154.6,350579.0,63
178,179,179,Tom Byrum,77,154.7,295248.0,53
179,180,180,Loren Roberts,93,155.0,418481.0,75
180,181,181,Per-Ulrik Johansson,87,155.1,357250.0,64
181,182,182,Bradley Hughes,60,155.2,307259.0,55
182,183,183,Paul Azinger,69,155.3,218097.0,39
183,184,184,Nick Price,69,155.6,212809.0,38
184,185,185,Vijay Singh,102,156.0,264021.0,47
185,T186,T186,Jim Carter,98,156.4,287077.0,51
186,T186,T186,Tim Petrovic,92,156.4,264583.0,47
187,188,188,Dudley Hart,88,156.5,383100.0,68
188,189,189,Michael Allen,76,156.6,321433.0,57
189,190,190,Spike McRoy,69,156.7,253814.0,45
190,191,191,Hal Sutton,74,156.8,265325.0,47
191,192,192,Luke Donald,106,156.9,367056.0,65
192,193,193,Frank Nobilo,94,157.8,517039.0,91
193,194,194,Pat Bates,94,159.1,366595.0,64
