,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
0,1,1,David Duval,78,72.73,40,55,-45,+4.00
1,2,2,Jeff Brehaut,87,72.13,44,61,-48,-5.00
2,3,3,Bryce Molder,65,71.79,28,39,-29,-3.00
3,4,4,John Daly,62,70.83,34,48,-39,+4.00
4,5,5,José María Olazábal,71,70.37,19,27,-19,-14.00
5,6,6,David Toms,106,70.13,54,77,-60,-21.00
6,7,7,Jim Furyk,88,69.77,30,43,-31,-14.00
7,8,8,Duffy Waldorf,90,69.09,38,55,-39,-18.00
8,9,9,Shigeki Maruyama,87,68.89,31,45,-34,-15.00
9,10,10,Brett Quigley,93,68.57,48,70,-50,E
10,11,11,Tommy Tolles,64,68.18,30,44,-32,-2.00
11,12,12,Tiger Woods,69,67.74,42,62,-43,+1.00
12,T13,T13,Greg Chalmers,94,66.67,36,54,-40,-2.00
13,T13,T13,Retief Goosen,56,66.67,32,48,-36,-9.00
14,T13,T13,Craig Stadler,72,66.67,26,39,-29,-4.00
15,16,16,Jonathan Byrd,96,66.27,55,83,-59,-17.00
16,17,17,Chad Campbell,111,66.15,43,65,-44,-22.00
17,18,18,Craig Barlow,62,65.85,27,41,-27,-3.00
18,19,19,Robert Damron,85,65.15,43,66,-46,-10.00
19,20,20,John Cook,85,64.86,24,37,-26,-8.00
20,21,21,Jeff Sluman,118,64.79,46,71,-48,-7.00
21,22,22,David Peoples,105,64.41,38,59,-42,-20.00
22,23,23,Scott McCarron,106,64.38,47,73,-49,E
23,T24,T24,Jim Carter,98,64.29,27,42,-27,-19.00
24,T24,T24,John Riegger,88,64.29,36,56,-37,-22.00
25,26,26,Mark O'Meara,68,64.0,16,25,-17,-6.00
26,27,27,Tim Petrovic,92,63.93,39,61,-41,-12.00
27,28,28,Matt Gogel,79,63.89,23,36,-24,-5.00
28,T29,T29,Steve Allan,93,63.75,51,80,-55,+9.00
29,T29,T29,Paul Stankowski,100,63.75,51,80,-55,-5.00
30,T31,T31,Donnie Hammond,60,63.64,21,33,-21,-8.00
31,T31,T31,Davis Love III,92,63.64,49,77,-57,-6.00
32,33,33,Craig Perks,91,63.41,26,41,-29,+2.00
33,34,34,Rocco Mediate,79,63.27,31,49,-36,-10.00
34,35,35,Bernhard Langer,55,62.96,17,27,-17,-2.00
35,36,36,Gary Nicklaus,66,62.86,22,35,-22,+7.00
36,37,37,Tim Herron,102,62.71,37,59,-41,-18.00
37,T38,T38,Brian Gay,117,62.5,30,48,-32,-39.00
38,T38,T38,Billy Mayfair,99,62.5,35,56,-37,-5.00
39,40,40,John Rollins,124,62.37,58,93,-61,-15.00
40,41,41,Briny Baird,110,62.32,43,69,-46,-12.00
41,42,42,Notah Begay III,76,62.16,46,74,-48,-9.00
42,T43,T43,Stuart Appleby,97,62.07,54,87,-55,-1.00
43,T43,T43,Joel Edwards,101,62.07,36,58,-39,-25.00
44,45,45,Scott Verplank,93,62.0,31,50,-33,-12.00
45,46,46,Woody Austin,102,61.84,47,76,-47,-10.00
46,T47,T47,Fred Funk,106,61.82,34,55,-38,-27.00
47,T47,T47,Jay Williamson,91,61.82,34,55,-36,-13.00
48,49,49,Mike Weir,94,61.76,42,68,-43,E
49,50,50,Bob Heintz,68,61.54,24,39,-27,-14.00
50,51,51,Frank Lickliter II,94,61.43,43,70,-45,+6.00
51,52,52,Vijay Singh,102,61.29,57,93,-62,-9.00
52,53,53,Paul Azinger,69,60.98,25,41,-26,-4.00
53,54,54,Bart Bryant,69,60.78,31,51,-32,-7.00
54,55,55,Ian Leggatt,97,60.61,40,66,-43,-14.00
55,56,56,Fred Couples,64,60.42,29,48,-30,-4.00
56,T57,T57,Stephen Ames,89,60.0,30,50,-31,-10.00
57,T57,T57,Pat Bates,94,60.0,30,50,-30,-17.00
58,T57,T57,David Frost,90,60.0,24,40,-24,-18.00
59,T57,T57,Geoff Ogilvy,90,60.0,39,65,-41,-9.00
60,T57,T57,Rod Pampling,98,60.0,42,70,-44,-8.00
61,T57,T57,Garrett Willis,80,60.0,36,60,-39,E
62,T57,T57,Richard Zokol,53,60.0,15,25,-15,+1.00
63,64,64,Shaun Micheel,100,59.74,46,77,-48,-18.00
64,65,65,Jerry Kelly,99,59.68,37,62,-39,-5.00
65,T66,T66,Sergio Garcia,79,59.65,34,57,-39,E
66,T66,T66,Craig Parry,69,59.65,34,57,-36,-15.00
67,T68,T68,Cameron Beckman,87,59.62,31,52,-31,-13.00
68,T68,T68,Paul Claxton,83,59.62,31,52,-32,-5.00
69,70,70,Brian Bateman,94,59.46,44,74,-46,-2.00
70,71,71,Brent Geiberger,95,59.09,39,66,-42,+1.00
71,T72,T72,Steve Lowery,98,58.82,40,68,-43,-7.00
72,T72,T72,Blaine McCallister,75,58.82,20,34,-20,-17.00
73,T72,T72,Jesper Parnevik,85,58.82,30,51,-33,+10.00
74,75,75,Brad Elder,76,58.7,27,46,-30,-7.00
75,T76,T76,Billy Andrade,100,58.54,48,82,-50,-10.00
76,T76,T76,Carl Paulson,84,58.54,48,82,-49,E
77,T78,T78,Mark Calcavecchia,84,58.33,35,60,-37,-4.00
78,T78,T78,Peter Lonard,93,58.33,42,72,-46,-11.00
79,T80,T80,Chris DiMarco,111,58.21,39,67,-42,-16.00
80,T80,T80,Lee Janzen,101,58.21,39,67,-41,E
81,82,82,Kirk Triplett,84,58.14,25,43,-26,-8.00
82,T83,T83,Scott Hoch,71,57.89,22,38,-23,-2.00
83,T83,T83,Kenny Perry,98,57.89,55,95,-58,-8.00
84,85,85,Charles Howell III,118,57.8,63,109,-67,-1.00
85,86,86,Robert Allenby,96,57.73,56,97,-60,-2.00
86,87,87,Michael Allen,76,57.69,30,52,-32,-12.00
87,88,88,Bob Burns,99,57.5,23,40,-24,-16.00
88,89,89,Grant Waite,98,57.14,48,84,-51,+1.00
89,T90,T90,Michael Long,71,56.9,33,58,-35,-10.00
90,T90,T90,Bob May,91,56.9,33,58,-38,-11.00
91,T90,T90,Phil Tataurangi,88,56.9,33,58,-37,-10.00
92,93,93,Boo Weekley,57,56.86,29,51,-32,+2.00
93,94,94,Brian Henninger,66,56.82,25,44,-25,-2.00
94,95,95,Phil Mickelson,97,56.7,55,97,-59,-4.00
95,96,96,Pat Perez,89,56.67,34,60,-38,-7.00
96,T97,T97,Ernie Els,68,56.6,30,53,-31,E
97,T97,T97,Tripp Isenhour,68,56.6,30,53,-32,-7.00
98,T99,T99,Tim Clark,76,56.52,26,46,-27,-20.00
99,T99,T99,José Coceres,51,56.52,13,23,-13,+6.00
100,T99,T99,Scott Simpson,61,56.52,13,23,-13,-16.00
101,102,102,Bo Van Pelt,78,56.38,53,94,-55,-2.00
102,103,103,David Gossett,95,56.34,40,71,-40,E
103,104,104,Jess Daley,76,56.14,32,57,-35,-5.00
104,105,105,Frank Nobilo,94,56.0,42,75,-43,-5.00
105,106,106,Brenden Pappas,62,55.77,29,52,-33,+2.00
106,T107,T107,Bob Estes,93,55.56,20,36,-22,-15.00
107,T107,T107,John Huston,99,55.56,40,72,-44,-30.00
108,109,109,Dennis Paulson,89,55.22,37,67,-39,-11.00
109,110,110,J.L. Lewis,98,54.88,45,82,-49,-21.00
110,111,111,Jason Hill,59,54.76,23,42,-25,+1.00
111,T112,T112,"David Berganio, Jr.",80,54.55,36,66,-39,-11.00
112,T112,T112,Loren Roberts,93,54.55,18,33,-18,-16.00
113,T112,T112,Steve Stricker,68,54.55,18,33,-18,-8.00
114,115,115,Rich Beem,99,54.43,43,79,-46,+1.00
115,116,116,Carlos Franco,107,54.37,56,103,-59,-13.00
116,117,117,Brad Faxon,93,54.35,25,46,-26,-14.00
117,118,118,Brett Wetterich,89,54.26,51,94,-55,+4.00
118,119,119,Kent Jones,105,54.22,45,83,-47,-9.00
119,120,120,Olin Browne,107,54.17,26,48,-28,-17.00
120,121,121,Skip Kendall,103,54.0,27,50,-28,-20.00
121,T122,T122,Jay Don Blake,107,53.97,34,63,-36,-11.00
122,T122,T122,Mathew Goggin,64,53.97,34,63,-35,-3.00
