,Approach__200_yards_RTP_Score_RANK THIS WEEK,Approach__200_yards_RTP_Score_RANK LAST WEEK,Approach__200_yards_RTP_Score_PLAYER NAME,Approach__200_yards_RTP_Score_ROUNDS,Approach__200_yards_RTP_Score_AVG RTP
0,1,1,David Duval,78,-.800
1,2,2,Retief Goosen,56,-.784
2,3,3,David Toms,106,-.725
3,4,4,John Daly,62,-.710
4,5,5,Mark O'Meara,68,-.667
5,6,6,Rocco Mediate,79,-.654
6,7,7,Brett Quigley,93,-.641
7,8,8,Paul Stankowski,100,-.633
8,9,9,Boo Weekley,57,-.611
9,10,10,Jonathan Byrd,96,-.610
10,11,11,Chad Campbell,111,-.603
11,T12,T12,John Senden,96,-.593
12,T12,T12,Brett Wetterich,89,-.593
13,14,14,Tiger Woods,69,-.591
14,15,15,Robert Damron,85,-.589
15,16,16,Mike Weir,94,-.569
16,T17,T17,Craig Barlow,62,-.568
17,T17,T17,Rory Sabbatini,69,-.568
18,19,19,Tim Petrovic,92,-.567
19,20,20,Steve Flesch,110,-.566
20,T21,T21,Jeff Brehaut,87,-.561
21,T21,T21,Davis Love III,92,-.561
22,T21,T21,Rod Pampling,98,-.561
23,24,24,Pat Perez,89,-.560
24,25,25,"David Berganio, Jr.",80,-.559
25,26,26,Scott McCarron,106,-.558
26,27,27,Matt Gogel,79,-.548
27,T28,T28,Robert Allenby,96,-.544
28,T28,T28,Bo Van Pelt,78,-.544
29,30,30,Donnie Hammond,60,-.543
30,31,31,Craig Perks,91,-.541
31,32,32,Shigeki Maruyama,87,-.538
32,T33,T33,Brian Bateman,94,-.533
33,T33,T33,Bernhard Langer,55,-.533
34,35,35,Phil Mickelson,97,-.532
35,36,36,Billy Andrade,100,-.530
36,37,37,Jay Don Blake,107,-.528
37,38,38,Rich Beem,99,-.527
38,T39,T39,Phil Tataurangi,88,-.526
39,T39,T39,Duffy Waldorf,90,-.526
40,T41,T41,Charles Howell III,118,-.520
41,T41,T41,John Riegger,88,-.520
42,T43,T43,Lee Janzen,101,-.519
43,T43,T43,Garrett Willis,80,-.519
44,45,45,Shaun Micheel,100,-.518
45,46,46,Notah Begay III,76,-.516
46,47,47,Kenneth Staton,104,-.514
47,48,48,Mark Calcavecchia,84,-.510
48,49,49,Luke Donald,106,-.508
49,T50,T50,Joel Edwards,101,-.500
50,T50,T50,Scott Hoch,71,-.500
51,T50,T50,Ian Leggatt,97,-.500
52,T50,T50,J.L. Lewis,98,-.500
53,T50,T50,Geoff Ogilvy,90,-.500
54,T50,T50,Carl Paulson,84,-.500
55,T50,T50,David Peoples,105,-.500
56,57,57,John Rollins,124,-.495
57,T58,T58,Kenny Perry,98,-.493
58,T58,T58,Vijay Singh,102,-.493
59,60,60,Peter Lonard,93,-.492
60,T61,T61,J.J. Henry,112,-.486
61,T61,T61,Kent Jones,105,-.486
62,T61,T61,Jeff Sluman,118,-.486
63,T64,T64,Jerry Kelly,99,-.485
64,T64,T64,Tommy Tolles,64,-.485
65,66,66,Jim Furyk,88,-.481
66,67,67,Greg Chalmers,94,-.477
67,68,68,Woody Austin,102,-.470
68,69,69,Bart Bryant,69,-.469
69,T70,T70,Stewart Cink,92,-.468
70,T70,T70,Paul Gow,99,-.468
71,72,72,Stephen Ames,89,-.462
72,73,73,Brandt Jobe,94,-.460
73,T74,T74,Mike Hulbert,55,-.455
74,T74,T74,Craig Stadler,72,-.455
75,76,76,Steve Allan,93,-.453
76,77,77,Bob Heintz,68,-.452
77,78,78,David Morland IV,58,-.450
78,T79,T79,Carlos Franco,107,-.446
79,T79,T79,Jay Williamson,91,-.446
80,81,81,Chris DiMarco,111,-.443
81,T82,T82,K.J. Choi,93,-.441
82,T82,T82,Steve Lowery,98,-.441
83,84,84,Tim Herron,102,-.438
84,85,85,Grant Waite,98,-.433
85,86,86,Bryce Molder,65,-.432
86,T87,T87,Robin Freeman,79,-.431
87,T87,T87,Brent Geiberger,95,-.431
88,T89,T89,Justin Leonard,97,-.426
89,T89,T89,Frank Lickliter II,94,-.426
90,T91,T91,Briny Baird,110,-.422
91,T91,T91,Jess Daley,76,-.422
92,T93,T93,Michael Allen,76,-.421
93,T93,T93,Billy Mayfair,99,-.421
94,T93,T93,Blaine McCallister,75,-.421
95,96,96,Cameron Beckman,87,-.420
96,T97,T97,Stuart Appleby,97,-.419
97,T97,T97,Brad Elder,76,-.419
98,T97,T97,José María Olazábal,71,-.419
99,T97,T97,Brenden Pappas,62,-.419
100,101,101,Mathew Goggin,64,-.417
101,102,102,Dan Forsman,83,-.415
102,103,103,Kevin Sutherland,96,-.413
103,104,104,Chris Smith,103,-.412
104,105,105,John Huston,99,-.408
105,T106,T106,Brian Henninger,66,-.405
106,T106,T106,Andrew Magee,91,-.405
107,T106,T106,Jesper Parnevik,85,-.405
108,109,109,David Gossett,95,-.403
109,T110,T110,Jason Hill,59,-.400
110,T110,T110,Neal Lancaster,101,-.400
111,T112,T112,Gary Nicklaus,66,-.395
112,T112,T112,Tom Scherrer,98,-.395
113,114,114,Scott Dunlap,74,-.386
114,115,115,Ernie Els,68,-.383
115,116,116,Jim Carter,98,-.382
116,117,117,Dennis Paulson,89,-.381
117,118,118,Ben Crane,91,-.379
118,119,119,Stephen Gangluff,75,-.378
119,T120,T120,Tim Clark,76,-.377
120,T120,T120,Tom Pernice Jr.,101,-.377
121,T120,T120,Mike Sposa,111,-.377
122,123,123,Joey Sindelar,104,-.375
123,T124,T124,Brandel Chamblee,85,-.373
124,T124,T124,Matt Kuchar,82,-.373
125,T126,T126,Bob May,91,-.370
126,T126,T126,Craig Parry,69,-.370
127,128,128,Skip Kendall,103,-.367
128,129,129,Scott Verplank,93,-.365
129,T130,T130,Michael Clark II,97,-.364
130,T130,T130,Brad Faxon,93,-.364
131,T130,T130,Brian Gay,117,-.364
132,T130,T130,Joe Ogilvie,50,-.364
133,134,134,Michael Long,71,-.360
134,T135,T135,Paul Claxton,83,-.357
135,T135,T135,Joe Durant,87,-.357
136,T137,T137,Harrison Frazar,88,-.349
137,T137,T137,Sergio Garcia,79,-.349
138,139,139,Jeff Gove,89,-.346
139,T140,T140,Fred Couples,64,-.345
140,T140,T140,Bob Tway,103,-.345
141,T142,T142,Bradley Hughes,60,-.333
142,T142,T142,Tripp Isenhour,68,-.333
143,T142,T142,Jonathan Kaye,83,-.333
144,145,145,Edward Fryatt,94,-.327
145,T146,T146,Bob Burns,99,-.326
146,T146,T146,Bob Estes,93,-.326
147,T148,T148,Eduardo Herrera,59,-.324
148,T148,T148,Peter Jacobsen,67,-.324
149,T148,T148,Len Mattiace,106,-.324
150,151,151,José Coceres,51,-.321
151,152,152,Michael Muehr,73,-.318
152,153,153,Steve Pate,64,-.316
153,154,154,Paul Azinger,69,-.314
154,T155,T155,Paul Goydos,66,-.313
155,T155,T155,Jerry Smith,91,-.313
156,T155,T155,Kaname Yokoo,74,-.313
157,158,158,Glen Hnatiuk,95,-.311
158,159,159,John Cook,85,-.306
159,T160,T160,J.P. Hayes,78,-.303
160,T160,T160,Franklin Langham,72,-.303
161,162,162,Brad Lardon,59,-.297
162,163,163,Steve Stricker,68,-.292
163,164,164,Tom Lehman,78,-.290
164,165,165,Matt Peterson,80,-.289
165,166,166,Glen Day,107,-.288
166,167,167,Pat Bates,94,-.286
167,T168,T168,Steve Elkington,82,-.282
168,T168,T168,Fred Funk,106,-.282
169,T170,T170,Mark Brooks,97,-.279
170,T170,T170,Chris Riley,104,-.279
171,172,172,Hidemichi Tanaka,104,-.274
172,173,173,Per-Ulrik Johansson,87,-.273
173,T174,T174,Fulton Allem,64,-.265
174,T174,T174,Russ Cochran,68,-.265
175,176,176,Nick Price,69,-.261
176,177,177,Spike McRoy,69,-.257
177,T178,T178,Dicky Pride,51,-.250
178,T178,T178,Kirk Triplett,84,-.250
179,180,180,Dudley Hart,88,-.244
180,181,181,Hal Sutton,74,-.242
181,182,182,Frank Nobilo,94,-.234
182,T183,T183,Robert Gamez,69,-.233
183,T183,T183,Heath Slocum,96,-.233
184,185,185,Loren Roberts,93,-.230
185,186,186,Olin Browne,107,-.229
186,187,187,Tom Byrum,77,-.225
187,188,188,Lee Porter,91,-.222
188,189,189,Tommy Armour III,82,-.216
189,190,190,Jay Haas,83,-.211
190,191,191,Deane Pappas,90,-.208
191,192,192,Scott Simpson,61,-.167
192,193,193,David Frost,90,-.152
193,194,194,Richard Zokol,53,-.138
194,195,195,Miguel Angel Jiménez,60,-.128
195,196,196,Jeff Maggert,83,-.119
196,197,197,Greg Kraft,86,-.060
197,198,198,Steve Jones,71,-.056
198,199,199,Corey Pavin,78,-.048
199,200,200,Esteban Toledo,106,-.032
200,201,201,Brian Watts,58,E
201,202,202,Pete Jordan,78,+.055
