,Average_Going_for_it_Shot_Distance_in_Yards_RANK THIS WEEK,Average_Going_for_it_Shot_Distance_in_Yards_RANK LAST WEEK,Average_Going_for_it_Shot_Distance_in_Yards_PLAYER NAME,Average_Going_for_it_Shot_Distance_in_Yards_EVENTS,Average_Going_for_it_Shot_Distance_in_Yards_AVG,Average_Going_for_it_Shot_Distance_in_Yards_DISTANCE (IN INCHES),Average_Going_for_it_Shot_Distance_in_Yards_ATTEMPTS
0,1,1,Phil Tataurangi,25,177.7,371063.0,58
1,2,2,Boo Weekley,24,178.2,327233.0,51
2,3,3,Dennis Paulson,30,181.4,437554.0,67
3,4,4,Tommy Tolles,20,181.7,287853.0,44
4,5,5,Spike McRoy,25,186.6,221735.0,33
5,6,6,Steve Allan,30,188.4,542731.0,80
6,7,7,Fred Couples,18,190.2,328726.0,48
7,8,8,Mike Weir,25,193.2,473039.0,68
8,9,9,Frank Lickliter II,30,193.7,488183.0,70
9,10,10,Carlos Franco,31,194.2,720258.0,103
10,11,11,Franklin Langham,25,196.5,268828.0,38
11,T12,T12,Michael Allen,29,196.6,368102.0,52
12,T12,T12,Chris Smith,30,196.6,644140.0,91
13,14,14,Bo Van Pelt,28,196.8,665923.0,94
14,T15,T15,J.J. Henry,34,198.2,649405.0,91
15,T15,T15,Craig Stadler,22,198.2,278220.0,39
16,17,17,Joe Ogilvie,20,198.3,257016.0,36
17,18,18,Hal Sutton,26,198.4,307087.0,43
18,19,19,Stephen Ames,28,198.7,357599.0,50
19,20,20,Tripp Isenhour,21,198.8,379363.0,53
20,21,21,John Senden,30,199.3,609808.0,85
21,22,22,Robert Gamez,21,199.6,438428.0,61
22,23,23,Andrew Magee,28,199.8,410070.0,57
23,24,24,Rory Sabbatini,23,200.4,389636.0,54
24,25,25,Jason Hill,24,200.5,303118.0,42
25,26,26,Stuart Appleby,28,200.9,629177.0,87
26,27,27,Jess Daley,27,201.1,412684.0,57
27,28,28,Phil Mickelson,26,202.1,705680.0,97
28,T29,T29,Retief Goosen,15,202.4,349725.0,48
29,T29,T29,Jesper Parnevik,26,202.4,371623.0,51
30,31,31,Greg Chalmers,31,202.9,394407.0,54
31,T32,T32,Bart Bryant,20,203.0,372743.0,51
32,T32,T32,Lee Janzen,29,203.0,489582.0,67
33,34,34,Eduardo Herrera,23,203.4,373519.0,51
34,35,35,Brett Quigley,32,204.0,514146.0,70
35,36,36,Tiger Woods,18,204.6,456573.0,62
36,37,37,Bob Heintz,28,204.8,287560.0,39
37,38,38,Deane Pappas,34,205.5,503013.0,68
38,39,39,Brandt Jobe,28,205.7,592403.0,80
39,40,40,Robert Allenby,27,206.0,719405.0,97
40,41,41,Bob Tway,28,206.1,452606.0,61
41,42,42,Jeff Gove,30,206.2,452773.0,61
42,43,43,Brett Wetterich,32,206.8,699969.0,94
43,44,44,Shaun Micheel,30,206.9,573490.0,77
44,45,45,Bradley Hughes,22,207.0,380017.0,51
45,46,46,Grant Waite,31,207.3,626767.0,84
