,Approaches_50-125_yards-Rgh_RTP_RANK THIS WEEK,Approaches_50-125_yards-Rgh_RTP_RANK LAST WEEK,Approaches_50-125_yards-Rgh_RTP_PLAYER NAME,Approaches_50-125_yards-Rgh_RTP_ROUNDS,Approaches_50-125_yards-Rgh_RTP_AVG RTP
0,1,1,Kaname Yokoo,74,-.308
1,2,2,Craig Stadler,72,-.286
2,T3,T3,Retief Goosen,56,-.200
3,T3,T3,Bernhard Langer,55,-.200
4,5,5,Luke Donald,106,-.143
5,6,6,Tom Byrum,77,-.125
6,7,7,Duffy Waldorf,90,-.105
7,8,8,Michael Long,71,-.095
8,9,9,Steve Stricker,68,-.091
9,10,10,Brad Elder,76,-.077
10,11,11,Peter Lonard,93,-.071
11,12,12,Scott Verplank,93,-.059
12,13,13,David Peoples,105,-.053
13,14,14,John Riegger,88,-.045
14,T15,T15,Chad Campbell,111,-.043
15,T15,T15,Tom Scherrer,98,-.043
16,17,17,Jeff Sluman,118,-.038
17,18,18,Olin Browne,107,-.030
18,T19,T19,Craig Barlow,62,E
19,T19,T19,Notah Begay III,76,E
20,T19,T19,"David Berganio, Jr.",80,E
21,T19,T19,Jim Carter,98,E
22,T19,T19,Greg Chalmers,94,E
23,T19,T19,Michael Clark II,97,E
24,T19,T19,Ben Crane,91,E
25,T19,T19,Joel Edwards,101,E
26,T19,T19,Sergio Garcia,79,E
27,T19,T19,Jeff Gove,89,E
28,T19,T19,Tim Herron,102,E
29,T19,T19,Pete Jordan,78,E
30,T19,T19,Neal Lancaster,101,E
31,T19,T19,Andrew Magee,91,E
32,T19,T19,Spike McRoy,69,E
33,T19,T19,David Morland IV,58,E
34,T19,T19,Rod Pampling,98,E
35,T19,T19,Dennis Paulson,89,E
36,T19,T19,Tiger Woods,69,E
37,T19,T19,Richard Zokol,53,E
38,39,39,Chris Riley,104,+.037
39,T40,T40,Woody Austin,102,+.038
40,T40,T40,Carlos Franco,107,+.038
41,T40,T40,Jerry Kelly,99,+.038
42,T40,T40,Frank Lickliter II,94,+.038
43,T44,T44,Joey Sindelar,104,+.045
44,T44,T44,Vijay Singh,102,+.045
45,T46,T46,Brian Henninger,66,+.048
46,T46,T46,Charles Howell III,118,+.048
47,T46,T46,Skip Kendall,103,+.048
48,T46,T46,Tom Pernice Jr.,101,+.048
49,50,50,Rich Beem,99,+.050
50,T51,T51,Jason Hill,59,+.053
51,T51,T51,Mike Sposa,111,+.053
52,T51,T51,Hidemichi Tanaka,104,+.053
53,54,54,Esteban Toledo,106,+.059
54,T55,T55,Scott Hoch,71,+.063
55,T55,T55,Greg Kraft,86,+.063
56,57,57,John Huston,99,+.067
57,58,58,Steve Flesch,110,+.071
58,T59,T59,Billy Andrade,100,+.077
59,T59,T59,Dan Forsman,83,+.077
60,T61,T61,Glen Day,107,+.080
61,T61,T61,Franklin Langham,72,+.080
62,T63,T63,Joe Durant,87,+.083
63,T63,T63,Edward Fryatt,94,+.083
64,T63,T63,Matt Kuchar,82,+.083
65,T63,T63,Justin Leonard,97,+.083
66,T63,T63,Brian Watts,58,+.083
67,T63,T63,Mike Weir,94,+.083
68,69,69,J.L. Lewis,98,+.087
69,70,70,Stephen Ames,89,+.091
70,71,71,Kenny Perry,98,+.095
71,T72,T72,Paul Goydos,66,+.100
72,T72,T72,Shaun Micheel,100,+.100
73,T72,T72,Tim Petrovic,92,+.100
74,75,75,Grant Waite,98,+.103
75,76,76,David Toms,106,+.105
76,T77,T77,K.J. Choi,93,+.111
77,T77,T77,Paul Claxton,83,+.111
78,T77,T77,Bob Estes,93,+.111
79,T77,T77,Heath Slocum,96,+.111
80,81,81,Jonathan Byrd,96,+.115
81,T82,T82,Tim Clark,76,+.118
82,T82,T82,Phil Mickelson,97,+.118
83,84,84,Garrett Willis,80,+.120
84,T85,T85,Harrison Frazar,88,+.125
85,T85,T85,Deane Pappas,90,+.125
86,T85,T85,Corey Pavin,78,+.125
87,T85,T85,Hal Sutton,74,+.125
88,89,89,Brandel Chamblee,85,+.133
89,90,90,J.J. Henry,112,+.136
90,T91,T91,Scott McCarron,106,+.143
91,T91,T91,Lee Porter,91,+.143
92,T91,T91,Rory Sabbatini,69,+.143
93,T94,T94,Donnie Hammond,60,+.154
94,T94,T94,Frank Nobilo,94,+.154
95,96,96,Paul Stankowski,100,+.158
96,T97,T97,Tommy Armour III,82,+.176
97,T97,T97,Fred Funk,106,+.176
98,T99,T99,Russ Cochran,68,+.182
99,T99,T99,Robert Gamez,69,+.182
100,T99,T99,Jeff Maggert,83,+.182
101,T99,T99,Jesper Parnevik,85,+.182
102,T99,T99,Craig Parry,69,+.182
103,104,104,Phil Tataurangi,88,+.185
104,T105,T105,David Gossett,95,+.188
105,T105,T105,Peter Jacobsen,67,+.188
106,T105,T105,José María Olazábal,71,+.188
107,T105,T105,Scott Simpson,61,+.188
108,T109,T109,Brenden Pappas,62,+.190
109,T109,T109,Tommy Tolles,64,+.190
110,T111,T111,Jeff Brehaut,87,+.200
111,T111,T111,Jonathan Kaye,83,+.200
112,T111,T111,Blaine McCallister,75,+.200
113,T111,T111,John Rollins,124,+.200
114,115,115,Michael Allen,76,+.214
115,T116,T116,Jess Daley,76,+.217
116,T116,T116,Robert Damron,85,+.217
117,T116,T116,Chris DiMarco,111,+.217
118,119,119,Shigeki Maruyama,87,+.222
119,T120,T120,Jim Furyk,88,+.231
120,T120,T120,Brian Gay,117,+.231
121,T120,T120,Joe Ogilvie,50,+.231
122,123,123,Geoff Ogilvy,90,+.233
123,124,124,Jay Williamson,91,+.235
124,T125,T125,Robert Allenby,96,+.238
125,T125,T125,Paul Gow,99,+.238
126,127,127,Robin Freeman,79,+.242
127,T128,T128,Pat Bates,94,+.250
128,T128,T128,Bob Heintz,68,+.250
129,T128,T128,Kent Jones,105,+.250
130,T128,T128,Kirk Triplett,84,+.250
131,T132,T132,Bob Burns,99,+.263
132,T132,T132,David Frost,90,+.263
133,T132,T132,Gary Nicklaus,66,+.263
134,T132,T132,Dicky Pride,51,+.263
135,T132,T132,Kenneth Staton,104,+.263
136,137,137,Bob Tway,103,+.267
137,138,138,Ian Leggatt,97,+.269
138,T139,T139,Steve Jones,71,+.273
139,T139,T139,Kevin Sutherland,96,+.273
