,Average_Approach_Distance_-_Par_RANK THIS WEEK,Average_Approach_Distance_-_Par_RANK LAST WEEK,Average_Approach_Distance_-_Par_PLAYER NAME,Average_Approach_Distance_-_Par_ROUNDS,Average_Approach_Distance_-_Par_AVG (YARDS),Average_Approach_Distance_-_Par_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Par_NUMBER OF APPROACH SHOTS
0,1,1,Bob Heintz,68,143.4,898255.0,174
1,2,2,Franklin Langham,72,144.0,1218154.0,235
2,3,3,Blaine McCallister,75,144.6,1145049.0,220
3,4,4,Tim Herron,102,144.7,1401378.0,269
4,5,5,Donnie Hammond,60,145.1,825596.0,158
5,6,6,Tommy Tolles,64,145.2,946426.0,181
6,7,7,Dennis Paulson,89,145.3,1365395.0,261
7,8,8,Craig Perks,91,145.4,958061.0,183
8,T9,T9,Heath Slocum,96,145.8,1349311.0,257
9,T9,T9,Boo Weekley,57,145.8,829121.0,158
10,11,11,Robert Damron,85,146.3,1243051.0,236
11,12,12,Geoff Ogilvy,90,146.4,1170221.0,222
12,13,13,Andrew Magee,91,146.6,1134832.0,215
13,14,14,Joe Ogilvie,50,147.1,863004.0,163
14,15,15,Matt Gogel,79,147.2,1128841.0,213
15,16,16,Phil Tataurangi,88,147.4,1210102.0,228
16,T17,T17,Tim Clark,76,147.5,1125907.0,212
17,T17,T17,Bryce Molder,65,147.5,1136701.0,214
18,T19,T19,Craig Barlow,62,147.6,1078932.0,203
19,T19,T19,Stephen Gangluff,75,147.6,1259127.0,237
20,T19,T19,Craig Stadler,72,147.6,733369.0,138
21,22,22,Brett Quigley,93,147.7,1382881.0,260
22,T23,T23,Jeff Brehaut,87,147.8,1409975.0,265
23,T23,T23,Bart Bryant,69,147.8,1085682.0,204
24,T23,T23,Mark O'Meara,68,147.8,760800.0,143
25,T23,T23,Jeff Sluman,118,147.8,1857058.0,349
26,27,27,David Peoples,105,148.0,1673357.0,314
27,28,28,John Riegger,88,148.4,1431337.0,268
28,29,29,Tommy Armour III,82,148.5,1138924.0,213
29,30,30,Jay Williamson,91,148.6,1471446.0,275
30,31,31,David Toms,106,148.9,1543369.0,288
31,32,32,Paul Azinger,69,149.0,686666.0,128
32,33,33,Stuart Appleby,97,149.1,1169818.0,218
33,T34,T34,Russ Cochran,68,149.2,1025756.0,191
34,T34,T34,Ian Leggatt,97,149.2,1434389.0,267
35,T34,T34,Scott Simpson,61,149.2,923803.0,172
36,37,37,Davis Love III,92,149.3,1171595.0,218
37,38,38,Joel Edwards,101,149.4,1721233.0,320
38,T39,T39,Fred Funk,106,149.5,1630618.0,303
39,T39,T39,J.P. Hayes,78,149.5,985188.0,183
40,41,41,Steve Stricker,68,149.6,743047.0,138
41,42,42,Carlos Franco,107,149.9,1786697.0,331
42,43,43,Bo Van Pelt,78,150.3,1217157.0,225
43,T44,T44,Jess Daley,76,150.4,1283015.0,237
44,T44,T44,Brian Henninger,66,150.4,1104198.0,204
45,T44,T44,Neal Lancaster,101,150.4,1483668.0,274
46,T44,T44,Tim Petrovic,92,150.4,1353964.0,250
47,48,48,Pat Bates,94,150.5,1484304.0,274
48,49,49,Tom Byrum,77,150.6,1198488.0,221
49,T50,T50,Frank Lickliter II,94,150.7,1204402.0,222
50,T50,T50,Tom Scherrer,98,150.7,1513726.0,279
51,T52,T52,Briny Baird,110,150.8,1645155.0,303
52,T52,T52,Rich Beem,99,150.8,1367824.0,252
53,T52,T52,John Daly,62,150.8,466867.0,86
54,T52,T52,Glen Day,107,150.8,1850750.0,341
55,T52,T52,Luke Donald,106,150.8,1672295.0,308
56,T52,T52,Joe Durant,87,150.8,1199506.0,221
57,T58,T58,Greg Chalmers,94,150.9,1184613.0,218
58,T58,T58,Gary Nicklaus,66,150.9,956189.0,176
59,T58,T58,Jerry Smith,91,150.9,1325291.0,244
60,T61,T61,Chad Campbell,111,151.0,1647417.0,303
61,T61,T61,K.J. Choi,93,151.0,1250111.0,230
62,T61,T61,Fred Couples,64,151.0,587139.0,108
63,T61,T61,Jason Hill,59,151.0,875470.0,161
64,T65,T65,David Duval,78,151.1,962642.0,177
65,T65,T65,Craig Parry,69,151.1,1093047.0,201
66,T67,T67,Bob Burns,99,151.2,1447542.0,266
67,T67,T67,Deane Pappas,90,151.2,1257152.0,231
68,69,69,Lee Janzen,101,151.3,1312847.0,241
69,T70,T70,Dan Forsman,83,151.4,1417162.0,260
70,T70,T70,Mike Sposa,111,151.4,1792738.0,329
71,T70,T70,Scott Verplank,93,151.4,1177384.0,216
72,T70,T70,Mike Weir,94,151.4,1171682.0,215
73,T74,T74,José Coceres,51,151.5,747367.0,137
74,T74,T74,Jim Furyk,88,151.5,1194266.0,219
75,T74,T74,Brenden Pappas,62,151.5,932481.0,171
76,T77,T77,Mark Brooks,97,151.7,1441759.0,264
77,T77,T77,Harrison Frazar,88,151.7,1157909.0,212
78,79,79,Rod Pampling,98,151.8,1202128.0,220
79,T80,T80,David Gossett,95,151.9,1547764.0,283
80,T80,T80,Scott Hoch,71,151.9,1033365.0,189
81,T80,T80,Grant Waite,98,151.9,1498641.0,274
82,T80,T80,Brian Watts,58,151.9,809145.0,148
83,84,84,Jim Carter,98,152.0,1351927.0,247
84,T85,T85,Steve Allan,93,152.1,1390849.0,254
85,T85,T85,Brian Gay,117,152.1,1675479.0,306
86,T85,T85,Skip Kendall,103,152.1,1505614.0,275
87,T88,T88,Michael Allen,76,152.3,1031087.0,188
