,Right_Rough_Proximity_RANK THIS WEEK,Right_Rough_Proximity_RANK LAST WEEK,Right_Rough_Proximity_PLAYER NAME,Right_Rough_Proximity_ROUNDS,Right_Rough_Proximity_AVG,Right_Rough_Proximity_ATTEMPTS,Right_Rough_Proximity_TOTAL DISTANCE (FEET),Right_Rough_Proximity_RELATIVE TO PAR
0,1,1,John Huston,99,"32' 9""",38,1245.083,-2.00
1,2,2,Tommy Armour III,82,"32' 11""",33,1085.25,-1.00
2,3,3,Luke Donald,106,"34' 10""",30,1044.667,+6.00
3,4,4,Duffy Waldorf,90,"35' 2""",30,1053.917,E
4,5,5,Brian Henninger,66,"36' 2""",35,1266.667,+4.00
5,6,6,"David Berganio, Jr.",80,"36' 4""",36,1306.917,-1.00
6,7,7,David Toms,106,"37' 2""",48,1782.4170000000001,+3.00
7,8,8,Sergio Garcia,79,"37' 10""",31,1173.667,-9.00
8,9,9,Paul Claxton,83,"38' 0""",43,1632.75,E
9,10,10,Billy Mayfair,99,"38' 1""",25,952.6669999999999,+2.00
10,11,11,Paul Goydos,66,"38' 3""",17,650.25,+5.00
11,12,12,Joe Durant,87,"38' 5""",20,768.4169999999999,+5.00
12,13,13,Olin Browne,107,"38' 10""",36,1396.6670000000001,E
13,T14,T14,Bart Bryant,69,"39' 1""",26,1017.1669999999999,+4.00
14,T14,T14,Harrison Frazar,88,"39' 1""",49,1913.6670000000001,+7.00
15,T14,T14,Kirk Triplett,84,"39' 1""",16,625.6669999999999,+3.00
16,17,17,Jeff Brehaut,87,"39' 3""",55,2156.5,+8.00
17,18,18,Tommy Tolles,64,"39' 5""",48,1893.75,+12.00
18,19,19,John Riegger,88,"39' 6""",34,1342.75,+1.00
19,20,20,Nick Price,69,"39' 7""",26,1029.75,+9.00
20,21,21,Corey Pavin,78,"39' 11""",18,718.5,+7.00
21,22,22,Skip Kendall,103,"40' 0""",50,1999.5829999999999,+10.00
22,23,23,Heath Slocum,96,"40' 2""",24,964.3330000000001,+2.00
23,T24,T24,Tom Lehman,78,"40' 4""",26,1049.417,E
24,T24,T24,Mark O'Meara,68,"40' 4""",24,967.1669999999999,+4.00
25,26,26,Phil Tataurangi,88,"40' 5""",46,1860.8329999999999,+3.00
26,T27,T27,Steve Elkington,82,"40' 7""",52,2108.917,+10.00
27,T27,T27,J.J. Henry,112,"40' 7""",39,1582.6670000000001,+6.00
28,29,29,Jay Williamson,91,"40' 8""",42,1708.1670000000001,+8.00
29,30,30,Tom Byrum,77,"40' 9""",26,1059.083,E
30,T31,T31,Stewart Cink,92,"40' 10""",39,1593.3329999999999,+7.00
31,T31,T31,Brian Gay,117,"40' 10""",52,2122.75,+7.00
32,33,33,Pete Jordan,78,"41' 0""",26,1064.917,E
33,T34,T34,Dennis Paulson,89,"41' 3""",49,2023.0829999999999,+1.00
34,T34,T34,Bob Tway,103,"41' 3""",36,1484.1670000000001,+8.00
35,36,36,Ben Crane,91,"41' 5""",51,2111.25,+11.00
36,37,37,Woody Austin,102,"41' 6""",66,2740.917,-2.00
37,T38,T38,Cameron Beckman,87,"41' 7""",39,1622.4170000000001,+6.00
38,T38,T38,John Cook,85,"41' 7""",26,1081.417,+1.00
39,T40,T40,Stuart Appleby,97,"41' 8""",43,1791.5,+1.00
40,T40,T40,Chad Campbell,111,"41' 8""",48,1998.8329999999999,+7.00
41,42,42,Jonathan Byrd,96,"41' 11""",49,2053.25,-6.00
42,T43,T43,Stephen Gangluff,75,"42' 1""",47,1977.1670000000001,+14.00
43,T43,T43,Mike Hulbert,55,"42' 1""",27,1136.417,+8.00
44,T43,T43,Hidemichi Tanaka,104,"42' 1""",38,1599.25,+6.00
45,T43,T43,Bo Van Pelt,78,"42' 1""",54,2271.833,+20.00
46,47,47,Steve Allan,93,"42' 2""",59,2485.583,+10.00
47,T48,T48,Dan Forsman,83,"42' 3""",39,1646.25,+4.00
48,T48,T48,Deane Pappas,90,"42' 3""",55,2323.583,+10.00
