,Approach__125_yards_RTP_Score_RANK THIS WEEK,Approach__125_yards_RTP_Score_RANK LAST WEEK,Approach__125_yards_RTP_Score_PLAYER NAME,Approach__125_yards_RTP_Score_ROUNDS,Approach__125_yards_RTP_Score_AVG RTP
0,1,1,Rocco Mediate,79,-.383
1,2,2,Craig Parry,69,-.297
2,3,3,Jay Haas,83,-.290
3,4,4,Charles Howell III,118,-.289
4,5,5,David Frost,90,-.266
5,6,6,José María Olazábal,71,-.259
6,7,7,David Toms,106,-.257
7,8,8,Steve Allan,93,-.254
8,9,9,Skip Kendall,103,-.253
9,10,10,Pat Bates,94,-.250
10,11,11,Davis Love III,92,-.238
11,12,12,Phil Tataurangi,88,-.233
12,13,13,John Riegger,88,-.228
13,14,14,Peter Lonard,93,-.224
14,T15,T15,Rich Beem,99,-.218
15,T15,T15,David Morland IV,58,-.218
16,17,17,Joel Edwards,101,-.216
17,T18,T18,Stephen Ames,89,-.215
18,T18,T18,Pat Perez,89,-.215
19,20,20,Vijay Singh,102,-.213
20,T21,T21,Brian Gay,117,-.211
21,T21,T21,John Huston,99,-.211
22,23,23,Mark Calcavecchia,84,-.208
23,24,24,Mark Brooks,97,-.207
24,25,25,Chris DiMarco,111,-.205
25,T26,T26,Fulton Allem,64,-.200
26,T26,T26,Robert Gamez,69,-.200
27,T26,T26,Matt Kuchar,82,-.200
28,29,29,Brandt Jobe,94,-.197
29,30,30,Nick Price,69,-.188
30,31,31,Steve Stricker,68,-.182
31,32,32,Bryce Molder,65,-.181
32,33,33,J.P. Hayes,78,-.178
33,T34,T34,José Coceres,51,-.176
34,T34,T34,Jim Furyk,88,-.176
35,T34,T34,Rod Pampling,98,-.176
36,37,37,Paul Azinger,69,-.175
37,38,38,Billy Andrade,100,-.172
38,T39,T39,Stewart Cink,92,-.171
39,T39,T39,Bob Estes,93,-.171
40,T41,T41,John Cook,85,-.169
41,T41,T41,Fred Funk,106,-.169
42,43,43,Tim Clark,76,-.168
43,T44,T44,Craig Barlow,62,-.167
44,T44,T44,Chad Campbell,111,-.167
45,T44,T44,Jeff Gove,89,-.167
46,T44,T44,Tom Lehman,78,-.167
47,T48,T48,Dan Forsman,83,-.165
48,T48,T48,Greg Kraft,86,-.165
49,T48,T48,J.L. Lewis,98,-.165
50,T48,T48,Bob May,91,-.165
51,T52,T52,Justin Leonard,97,-.163
52,T52,T52,Loren Roberts,93,-.163
53,54,54,Dennis Paulson,89,-.161
54,55,55,Robert Allenby,96,-.160
55,56,56,Craig Perks,91,-.159
56,57,57,Blaine McCallister,75,-.156
57,T58,T58,K.J. Choi,93,-.155
58,T58,T58,John Rollins,124,-.155
59,60,60,Paul Stankowski,100,-.152
60,61,61,Brian Watts,58,-.148
61,62,62,Luke Donald,106,-.147
62,T63,T63,Ben Crane,91,-.145
63,T63,T63,Chris Riley,104,-.145
64,65,65,Glen Hnatiuk,95,-.144
65,66,66,Shaun Micheel,100,-.143
66,67,67,Kent Jones,105,-.140
67,68,68,Joe Durant,87,-.138
68,T69,T69,Per-Ulrik Johansson,87,-.134
69,T69,T69,Esteban Toledo,106,-.134
70,71,71,Rory Sabbatini,69,-.133
71,72,72,Notah Begay III,76,-.131
72,T73,T73,Tommy Tolles,64,-.129
73,T73,T73,Kirk Triplett,84,-.129
74,T75,T75,Ernie Els,68,-.128
75,T75,T75,Andrew Magee,91,-.128
76,77,77,Michael Long,71,-.127
77,78,78,David Peoples,105,-.126
78,T79,T79,Corey Pavin,78,-.125
79,T79,T79,Tiger Woods,69,-.125
80,81,81,Hidemichi Tanaka,104,-.122
81,82,82,Spike McRoy,69,-.119
82,T83,T83,Shigeki Maruyama,87,-.116
83,T83,T83,Scott Verplank,93,-.116
84,T85,T85,Jim Carter,98,-.115
85,T85,T85,J.J. Henry,112,-.115
86,87,87,Joey Sindelar,104,-.113
87,T88,T88,Fred Couples,64,-.111
88,T88,T88,Mark O'Meara,68,-.111
89,90,90,Bob Tway,103,-.110
90,91,91,Kenny Perry,98,-.107
91,92,92,Duffy Waldorf,90,-.106
92,93,93,Edward Fryatt,94,-.104
93,94,94,Steve Lowery,98,-.103
94,T95,T95,Stuart Appleby,97,-.101
95,T95,T95,Brad Faxon,93,-.101
96,T97,T97,Olin Browne,107,-.100
97,T97,T97,Steve Jones,71,-.100
98,99,99,Jerry Kelly,99,-.099
99,100,100,Bob Heintz,68,-.097
100,T101,T101,Jess Daley,76,-.096
101,T101,T101,Tom Pernice Jr.,101,-.096
102,T103,T103,Bart Bryant,69,-.093
103,T103,T103,Kevin Sutherland,96,-.093
104,T105,T105,Cameron Beckman,87,-.092
105,T105,T105,"David Berganio, Jr.",80,-.092
106,T107,T107,Jeff Brehaut,87,-.091
107,T107,T107,Mike Sposa,111,-.091
108,109,109,Jeff Maggert,83,-.089
109,110,110,Scott Dunlap,74,-.086
110,T111,T111,Len Mattiace,106,-.085
111,T111,T111,Garrett Willis,80,-.085
112,113,113,Pete Jordan,78,-.084
113,114,114,Jerry Smith,91,-.082
114,T115,T115,Peter Jacobsen,67,-.081
115,T115,T115,Ian Leggatt,97,-.081
116,117,117,Dicky Pride,51,-.080
117,T118,T118,Briny Baird,110,-.079
118,T118,T118,Carl Paulson,84,-.079
119,120,120,Jay Williamson,91,-.077
120,121,121,Tim Petrovic,92,-.075
121,122,122,Retief Goosen,56,-.073
122,123,123,Heath Slocum,96,-.072
123,124,124,Greg Chalmers,94,-.071
124,125,125,Robin Freeman,79,-.070
125,T126,T126,Mathew Goggin,64,-.068
126,T126,T126,Neal Lancaster,101,-.068
127,128,128,Tommy Armour III,82,-.067
128,T129,T129,Russ Cochran,68,-.063
129,T129,T129,David Gossett,95,-.063
130,T129,T129,Donnie Hammond,60,-.063
131,T132,T132,Bob Burns,99,-.061
132,T132,T132,Tom Byrum,77,-.061
133,T134,T134,Woody Austin,102,-.060
134,T134,T134,Robert Damron,85,-.060
135,T134,T134,Steve Pate,64,-.060
136,T134,T134,Jeff Sluman,118,-.060
137,T138,T138,Michael Allen,76,-.058
138,T138,T138,Jay Don Blake,107,-.058
139,140,140,Paul Goydos,66,-.053
140,141,141,John Senden,96,-.052
141,142,142,Tim Herron,102,-.050
142,143,143,Phil Mickelson,97,-.049
143,144,144,Brett Quigley,93,-.045
144,145,145,Grant Waite,98,-.044
145,T146,T146,Jonathan Kaye,83,-.043
146,T146,T146,Billy Mayfair,99,-.043
147,T146,T146,Craig Stadler,72,-.043
148,T149,T149,Paul Gow,99,-.042
149,T149,T149,Tom Scherrer,98,-.042
150,151,151,Scott McCarron,106,-.039
151,152,152,David Duval,78,-.036
152,153,153,Matt Peterson,80,-.034
153,T154,T154,Harrison Frazar,88,-.029
154,T154,T154,Michael Muehr,73,-.029
155,T154,T154,Geoff Ogilvy,90,-.029
156,157,157,Tripp Isenhour,68,-.028
157,158,158,Steve Flesch,110,-.026
158,159,159,Miguel Angel Jiménez,60,-.024
159,160,160,Glen Day,107,-.023
160,T161,T161,Stephen Gangluff,75,-.022
161,T161,T161,Chris Smith,103,-.022
162,163,163,Eduardo Herrera,59,-.018
163,T164,T164,Steve Elkington,82,-.016
164,T164,T164,Brian Henninger,66,-.016
165,T166,T166,Dudley Hart,88,-.015
166,T166,T166,Scott Hoch,71,-.015
167,168,168,Brett Wetterich,89,-.013
168,T169,T169,Brian Bateman,94,-.012
169,T169,T169,Jonathan Byrd,96,-.012
170,171,171,Lee Porter,91,-.011
171,172,172,Carlos Franco,107,-.009
172,T173,T173,Brent Geiberger,95,E
173,T173,T173,Lee Janzen,101,E
174,T173,T173,Franklin Langham,72,E
175,T173,T173,Hal Sutton,74,E
176,T173,T173,Bo Van Pelt,78,E
177,178,178,Paul Claxton,83,+.013
178,T179,T179,Bradley Hughes,60,+.020
179,T179,T179,Brenden Pappas,62,+.020
180,181,181,Michael Clark II,97,+.022
181,182,182,Frank Lickliter II,94,+.026
182,183,183,Mike Weir,94,+.029
183,184,184,Scott Simpson,61,+.031
184,185,185,Kenneth Staton,104,+.032
185,186,186,Bernhard Langer,55,+.033
186,187,187,Joe Ogilvie,50,+.038
187,188,188,Matt Gogel,79,+.041
188,189,189,Frank Nobilo,94,+.045
189,190,190,Brad Elder,76,+.047
190,191,191,Brad Lardon,59,+.057
191,192,192,Sergio Garcia,79,+.073
192,193,193,Jesper Parnevik,85,+.079
193,194,194,Brandel Chamblee,85,+.081
194,195,195,Richard Zokol,53,+.093
195,196,196,Boo Weekley,57,+.098
196,197,197,Kaname Yokoo,74,+.105
197,198,198,Gary Nicklaus,66,+.111
198,199,199,Jason Hill,59,+.140
199,200,200,Deane Pappas,90,+.159
200,201,201,John Daly,62,+.200
201,202,202,Mike Hulbert,55,+.229
