,Approaches_Left_Rough_RTP_Score_RANK THIS WEEK,Approaches_Left_Rough_RTP_Score_RANK LAST WEEK,Approaches_Left_Rough_RTP_Score_PLAYER NAME,Approaches_Left_Rough_RTP_Score_ROUNDS,Approaches_Left_Rough_RTP_Score_AVG RTP
0,1,1,Tiger Woods,69,-.250
1,2,2,Notah Begay III,76,-.148
2,3,3,Jim Furyk,88,-.120
3,4,4,Ben Crane,91,-.091
4,5,5,John Huston,99,-.053
5,6,6,Kenneth Staton,104,-.023
6,T7,T7,Robert Allenby,96,E
7,T7,T7,Harrison Frazar,88,E
8,T7,T7,Retief Goosen,56,E
9,T7,T7,Kenny Perry,98,E
10,T7,T7,Tim Petrovic,92,E
11,T12,T12,Brian Gay,117,+.020
12,T12,T12,Scott McCarron,106,+.020
13,14,14,J.L. Lewis,98,+.023
14,15,15,Chad Campbell,111,+.024
15,16,16,David Peoples,105,+.025
16,17,17,Craig Barlow,62,+.029
17,18,18,"David Berganio, Jr.",80,+.031
18,19,19,Russ Cochran,68,+.034
19,20,20,Brian Henninger,66,+.037
20,21,21,Peter Lonard,93,+.040
21,22,22,J.J. Henry,112,+.041
22,23,23,Kaname Yokoo,74,+.042
23,24,24,Steve Stricker,68,+.043
24,25,25,Glen Day,107,+.047
25,26,26,Steve Lowery,98,+.048
26,27,27,Phil Mickelson,97,+.049
27,28,28,Paul Goydos,66,+.050
28,T29,T29,David Gossett,95,+.057
29,T29,T29,Jonathan Kaye,83,+.057
30,31,31,Len Mattiace,106,+.065
31,32,32,Scott Hoch,71,+.069
32,33,33,Vijay Singh,102,+.070
33,34,34,Tim Herron,102,+.071
34,35,35,Lee Janzen,101,+.075
35,36,36,Chris DiMarco,111,+.077
36,37,37,Michael Long,71,+.082
37,38,38,Hidemichi Tanaka,104,+.083
38,T39,T39,Carlos Franco,107,+.088
39,T39,T39,Frank Lickliter II,94,+.088
40,T41,T41,Bernhard Langer,55,+.091
41,T41,T41,Tom Scherrer,98,+.091
42,43,43,Bob Tway,103,+.093
43,T44,T44,Andrew Magee,91,+.097
44,T44,T44,Gary Nicklaus,66,+.097
45,T44,T44,Mike Weir,94,+.097
46,T47,T47,Pat Bates,94,+.100
47,T47,T47,Brett Quigley,93,+.100
48,T49,T49,Peter Jacobsen,67,+.103
49,T49,T49,Chris Riley,104,+.103
50,51,51,Charles Howell III,118,+.105
51,52,52,Jason Hill,59,+.107
52,T53,T53,Billy Andrade,100,+.111
53,T53,T53,Joey Sindelar,104,+.111
54,T55,T55,Jess Daley,76,+.114
55,T55,T55,Edward Fryatt,94,+.114
56,57,57,Steve Pate,64,+.118
57,58,58,Ernie Els,68,+.120
58,59,59,John Riegger,88,+.122
59,T60,T60,Bob Estes,93,+.125
60,T60,T60,Deane Pappas,90,+.125
61,T60,T60,Duffy Waldorf,90,+.125
62,T60,T60,Brian Watts,58,+.125
63,64,64,Dennis Paulson,89,+.128
64,T65,T65,Joe Durant,87,+.133
65,T65,T65,Robert Gamez,69,+.133
66,67,67,Steve Elkington,82,+.136
67,68,68,Tripp Isenhour,68,+.140
68,T69,T69,Matt Kuchar,82,+.143
69,T69,T69,Tom Pernice Jr.,101,+.143
70,T71,T71,David Frost,90,+.146
71,T71,T71,Rod Pampling,98,+.146
72,73,73,David Morland IV,58,+.148
73,74,74,Corey Pavin,78,+.150
74,T75,T75,Davis Love III,92,+.152
75,T75,T75,Spike McRoy,69,+.152
76,T77,T77,Briny Baird,110,+.154
77,T77,T77,Blaine McCallister,75,+.154
78,T77,T77,Shaun Micheel,100,+.154
79,80,80,Jim Carter,98,+.156
80,T81,T81,Paul Azinger,69,+.158
81,T81,T81,Donnie Hammond,60,+.158
82,83,83,Jeff Brehaut,87,+.162
83,T84,T84,Stephen Ames,89,+.167
84,T84,T84,K.J. Choi,93,+.167
85,T84,T84,Shigeki Maruyama,87,+.167
86,T84,T84,Pat Perez,89,+.167
87,T84,T84,Loren Roberts,93,+.167
88,T84,T84,John Rollins,124,+.167
89,T84,T84,Jeff Sluman,118,+.167
90,T91,T91,Greg Chalmers,94,+.171
91,T91,T91,Brandel Chamblee,85,+.171
92,T91,T91,Jay Williamson,91,+.171
93,T94,T94,Scott Verplank,93,+.176
94,T94,T94,Richard Zokol,53,+.176
95,96,96,Grant Waite,98,+.184
96,T97,T97,Michael Allen,76,+.185
97,T97,T97,Luke Donald,106,+.185
98,T97,T97,Mike Hulbert,55,+.185
99,T97,T97,Billy Mayfair,99,+.185
100,T97,T97,Joe Ogilvie,50,+.185
101,102,102,Joel Edwards,101,+.189
102,103,103,Scott Simpson,61,+.190
103,T104,T104,Fred Couples,64,+.200
104,T104,T104,Steve Flesch,110,+.200
105,T104,T104,Neal Lancaster,101,+.200
106,T104,T104,Carl Paulson,84,+.200
107,108,108,Brandt Jobe,94,+.205
108,T109,T109,Craig Parry,69,+.211
109,T109,T109,Chris Smith,103,+.211
110,T109,T109,Hal Sutton,74,+.211
111,T109,T109,Tommy Tolles,64,+.211
112,113,113,Bob May,91,+.212
113,114,114,Glen Hnatiuk,95,+.214
114,115,115,Olin Browne,107,+.217
115,T116,T116,Bradley Hughes,60,+.219
116,T116,T116,Per-Ulrik Johansson,87,+.219
117,T118,T118,Tom Lehman,78,+.222
118,T118,T118,Michael Muehr,73,+.222
119,T120,T120,David Duval,78,+.226
120,T120,T120,Justin Leonard,97,+.226
121,122,122,Skip Kendall,103,+.229
122,T123,T123,Tom Byrum,77,+.233
123,T123,T123,Franklin Langham,72,+.233
124,125,125,Kirk Triplett,84,+.235
125,T126,T126,Jonathan Byrd,96,+.239
126,T126,T126,Mike Sposa,111,+.239
127,T128,T128,Dan Forsman,83,+.240
128,T128,T128,Paul Stankowski,100,+.240
129,T130,T130,Tommy Armour III,82,+.241
130,T130,T130,Michael Clark II,97,+.241
131,T130,T130,Fred Funk,106,+.241
132,133,133,Bryce Molder,65,+.242
133,T134,T134,Lee Porter,91,+.243
134,T134,T134,Esteban Toledo,106,+.243
135,136,136,Phil Tataurangi,88,+.244
136,T137,T137,Tim Clark,76,+.250
137,T137,T137,Jerry Smith,91,+.250
138,139,139,Brad Elder,76,+.256
139,T140,T140,Brian Bateman,94,+.257
140,T140,T140,J.P. Hayes,78,+.257
141,T140,T140,Kevin Sutherland,96,+.257
142,143,143,Geoff Ogilvy,90,+.259
143,T144,T144,Stuart Appleby,97,+.262
144,T144,T144,Frank Nobilo,94,+.262
145,146,146,Robin Freeman,79,+.263
146,147,147,John Senden,96,+.265
147,148,148,Jay Haas,83,+.267
148,149,149,Steve Jones,71,+.269
149,150,150,Jerry Kelly,99,+.270
150,T151,T151,Stewart Cink,92,+.276
151,T151,T151,Scott Dunlap,74,+.276
