,Rough_Proximity_RANK THIS WEEK,Rough_Proximity_RANK LAST WEEK,Rough_Proximity_PLAYER NAME,Rough_Proximity_ROUNDS,Rough_Proximity_AVG,Rough_Proximity_TOTAL DISTANCE (INCHES),Rough_Proximity_ATTEMPTS,Rough_Proximity_TOTAL DISTANCE (FEET),Rough_Proximity_RELATIVE TO PAR
92,T90,T90,Shigeki Maruyama,87,"44' 10""",32838,61,2736.5,+10.00
93,T94,T94,Jonathan Byrd,96,"44' 11""",51225,95,4268.75,+5.00
94,T94,T94,Steve Jones,71,"44' 11""",30202,56,2516.833,+7.00
95,T94,T94,Mike Sposa,111,"44' 11""",48007,89,4000.583,+12.00
96,97,97,Tripp Isenhour,68,"45' 0""",43779,81,3648.25,+14.00
97,98,98,Cameron Beckman,87,"45' 1""",40050,74,3337.5,+18.00
98,T99,T99,Stephen Gangluff,75,"45' 2""",43922,81,3660.167,+31.00
99,T99,T99,Tom Pernice Jr.,101,"45' 2""",53090,98,4424.167,+20.00
100,T99,T99,Esteban Toledo,106,"45' 2""",39564,73,3297.0,+17.00
101,T102,T102,Paul Claxton,83,"45' 3""",42892,79,3574.333,+11.00
102,T102,T102,Jerry Kelly,99,"45' 3""",49398,91,4116.5,+15.00
103,104,104,Kenny Perry,98,"45' 4""",47881,88,3990.083,+1.00
104,T105,T105,Vijay Singh,102,"45' 5""",45202,83,3766.833,+5.00
105,T105,T105,Jay Williamson,91,"45' 5""",41974,77,3497.833,+14.00
106,T107,T107,Paul Goydos,66,"45' 6""",20198,37,1683.1670000000001,+6.00
107,T107,T107,Garrett Willis,80,"45' 6""",49169,90,4097.417,+21.00
108,T109,T109,Jess Daley,76,"45' 7""",44882,82,3740.167,+15.00
109,T109,T109,Michael Long,71,"45' 7""",50912,93,4242.667,+4.00
110,T109,T109,Jeff Maggert,83,"45' 7""",26235,48,2186.25,+7.00
111,T109,T109,Kirk Triplett,84,"45' 7""",18036,33,1503.0,+7.00
112,T113,T113,Brandt Jobe,94,"45' 8""",48221,88,4018.417,+16.00
113,T113,T113,Tommy Tolles,64,"45' 8""",47086,86,3923.833,+20.00
114,T115,T115,Steve Flesch,110,"45' 10""",42317,77,3526.417,+15.00
115,T115,T115,Bradley Hughes,60,"45' 10""",34653,63,2887.75,+14.00
116,T115,T115,Pat Perez,89,"45' 10""",35744,65,2978.667,+8.00
117,118,118,Stephen Ames,89,"45' 11""",33070,60,2755.833,+10.00
118,T119,T119,Matt Peterson,80,"46' 0""",39201,71,3266.75,+19.00
119,T119,T119,Kenneth Staton,104,"46' 0""",50810,92,4234.167,+14.00
120,T121,T121,Craig Stadler,72,"46' 1""",21575,39,1797.9170000000001,+11.00
121,T121,T121,Richard Zokol,53,"46' 1""",24321,44,2026.75,+4.00
122,123,123,Shaun Micheel,100,"46' 2""",50933,92,4244.417,+15.00
123,T124,T124,Miguel Angel Jiménez,60,"46' 3""",21661,39,1805.0829999999999,+12.00
124,T124,T124,Kaname Yokoo,74,"46' 3""",27740,50,2311.667,-2.00
125,T126,T126,Paul Gow,99,"46' 4""",56720,102,4726.667,+28.00
126,T126,T126,Jonathan Kaye,83,"46' 4""",50575,91,4214.583,+4.00
127,T126,T126,John Senden,96,"46' 4""",47852,86,3987.667,+17.00
128,T126,T126,Grant Waite,98,"46' 4""",57308,103,4775.667,+15.00
129,130,130,Corey Pavin,78,"46' 5""",21160,38,1763.3329999999999,+10.00
130,131,131,Tim Herron,102,"46' 7""",56491,101,4707.583,-5.00
131,T132,T132,Mark Brooks,97,"46' 9""",45430,81,3785.833,+24.00
132,T132,T132,Greg Kraft,86,"46' 9""",42078,75,3506.5,+20.00
133,134,134,Matt Kuchar,82,"46' 10""",28679,51,2389.917,+2.00
134,135,135,Carlos Franco,107,"46' 11""",54646,97,4553.833,+8.00
135,T136,T136,Rod Pampling,98,"47' 0""",47902,85,3991.833,+5.00
136,T136,T136,Dicky Pride,51,"47' 0""",42329,75,3527.417,+24.00
137,T138,T138,Jeff Sluman,118,"47' 1""",51971,92,4330.917,+11.00
138,T138,T138,Hal Sutton,74,"47' 1""",29384,52,2448.667,+5.00
139,140,140,Tim Clark,76,"47' 2""",26605,47,2217.083,+14.00
140,141,141,Michael Muehr,73,"47' 3""",35145,62,2928.75,+20.00
141,142,142,Michael Clark II,97,"47' 4""",42593,75,3549.417,+14.00
142,T143,T143,Fred Funk,106,"47' 5""",32974,58,2747.833,+13.00
143,T143,T143,Bo Van Pelt,78,"47' 5""",54604,96,4550.333,+37.00
144,145,145,Mark Calcavecchia,84,"47' 6""",31353,55,2612.75,+16.00
145,T146,T146,Stewart Cink,92,"47' 7""",38832,68,3236.0,+15.00
146,T146,T146,David Morland IV,58,"47' 7""",34809,61,2900.75,+10.00
147,T146,T146,Heath Slocum,96,"47' 7""",26272,46,2189.333,+9.00
148,T149,T149,Donnie Hammond,60,"47' 10""",25844,45,2153.667,+7.00
149,T149,T149,Kent Jones,105,"47' 10""",53379,93,4448.25,+17.00
150,T149,T149,Peter Lonard,93,"47' 10""",36714,64,3059.5,+7.00
151,T149,T149,Phil Mickelson,97,"47' 10""",52810,92,4400.833,+11.00
152,T149,T149,Joe Ogilvie,50,"47' 10""",27540,48,2295.0,+18.00
153,154,154,Greg Chalmers,94,"48' 0""",51808,90,4317.333,+21.00
154,155,155,Bob Estes,93,"48' 2""",33542,58,2795.167,+8.00
155,T156,T156,Glen Day,107,"48' 5""",47098,81,3924.833,+13.00
156,T156,T156,Brett Quigley,93,"48' 5""",67427,116,5618.9169999999995,+11.00
157,158,158,David Duval,78,"48' 6""",45418,78,3784.833,+15.00
158,159,159,José María Olazábal,71,"48' 7""",46667,80,3888.917,+19.00
159,160,160,Len Mattiace,106,"48' 8""",56635,97,4719.583,+7.00
160,161,161,Franklin Langham,72,"48' 9""",49123,84,4093.583,+17.00
161,T162,T162,Jay Don Blake,107,"48' 10""",52181,89,4348.417,+24.00
162,T162,T162,Robert Gamez,69,"48' 10""",37478,64,3123.167,+5.00
163,164,164,Mike Weir,94,"48' 11""",38760,66,3230.0,+9.00
164,T165,T165,Brad Elder,76,"49' 0""",46466,79,3872.167,+11.00
165,T165,T165,Bob May,91,"49' 0""",59395,101,4949.583,+23.00
166,167,167,Michael Allen,76,"49' 2""",44829,76,3735.75,+18.00
167,168,168,Robin Freeman,79,"49' 3""",60256,102,5021.333,+22.00
168,169,169,Bart Bryant,69,"49' 5""",31423,53,2618.583,+17.00
169,T170,T170,Brandel Chamblee,85,"49' 6""",48706,82,4058.833,+18.00
170,T170,T170,Geoff Ogilvy,90,"49' 6""",64162,108,5346.8330000000005,+25.00
171,T170,T170,Tiger Woods,69,"49' 6""",35659,60,2971.583,-5.00
172,T173,T173,Robert Damron,85,"49' 9""",43560,73,3630.0,+18.00
173,T173,T173,Loren Roberts,93,"49' 9""",39412,66,3284.333,+18.00
174,175,175,Bryce Molder,65,"50' 3""",56662,94,4721.833,+19.00
175,176,176,Spike McRoy,69,"50' 4""",31423,52,2618.583,+13.00
176,177,177,Brad Lardon,59,"50' 6""",30300,50,2525.0,+16.00
177,178,178,Joel Edwards,101,"50' 9""",48131,79,4010.917,+13.00
178,179,179,Paul Stankowski,100,"50' 10""",61597,101,5133.083,+24.00
179,180,180,Scott Simpson,61,"51' 2""",33749,55,2812.417,+10.00
180,T181,T181,Brent Geiberger,95,"51' 3""",48617,79,4051.417,+22.00
181,T181,T181,Frank Nobilo,94,"51' 3""",42419,69,3534.917,+17.00
182,T183,T183,Carl Paulson,84,"51' 4""",52935,86,4411.25,+12.00
183,T183,T183,Lee Porter,91,"51' 4""",41905,68,3492.083,+23.00
184,T183,T183,Brett Wetterich,89,"51' 4""",58481,95,4873.417,+33.00
185,T186,T186,Steve Lowery,98,"51' 11""",47329,76,3944.083,+13.00
186,T186,T186,Jerry Smith,91,"51' 11""",46718,75,3893.167,+24.00
187,188,188,Brad Faxon,93,"52' 2""",40058,64,3338.167,+12.00
188,189,189,Per-Ulrik Johansson,87,"52' 5""",42172,67,3514.333,+9.00
189,190,190,Paul Azinger,69,"52' 7""",30300,48,2525.0,+11.00
190,191,191,David Frost,90,"52' 10""",48782,77,4065.167,+13.00
191,192,192,Briny Baird,110,"53' 0""",50913,80,4242.75,+15.00
192,193,193,Billy Andrade,100,"53' 8""",54100,84,4508.333,+10.00
193,194,194,Jay Haas,83,"53' 10""",36810,57,3067.5,+25.00
194,195,195,Robert Allenby,96,"54' 1""",57152,88,4762.667,+9.00
195,196,196,Steve Pate,64,"54' 3""",30616,47,2551.333,+22.00
196,197,197,Eduardo Herrera,59,"54' 6""",51650,79,4304.167,+29.00
197,198,198,Mathew Goggin,64,"55' 1""",56859,86,4738.25,+26.00
198,199,199,Ernie Els,68,"55' 8""",36065,54,3005.417,+10.00
199,200,200,Jesper Parnevik,85,"56' 4""",30437,45,2536.417,+14.00
200,201,201,Craig Parry,69,"57' 8""",40846,59,3403.833,+14.00
201,202,202,Steve Stricker,68,"61' 4""",36789,50,3065.75,E
