,Fairway_Approach_RTP_Score_RANK THIS WEEK,Fairway_Approach_RTP_Score_RANK LAST WEEK,Fairway_Approach_RTP_Score_PLAYER NAME,Fairway_Approach_RTP_Score_ROUNDS,Fairway_Approach_RTP_Score_AVG RTP
0,1,1,David Toms,106,-.297
1,2,2,Tiger Woods,69,-.256
2,3,3,Rocco Mediate,79,-.254
3,4,4,Vijay Singh,102,-.246
4,5,5,José María Olazábal,71,-.237
5,6,6,Retief Goosen,56,-.227
6,7,7,Stewart Cink,92,-.226
7,8,8,Phil Mickelson,97,-.216
8,T9,T9,Billy Andrade,100,-.207
9,T9,T9,Jim Furyk,88,-.207
10,11,11,Rod Pampling,98,-.204
11,T12,T12,Davis Love III,92,-.201
12,T12,T12,Craig Parry,69,-.201
13,14,14,Mark Calcavecchia,84,-.200
14,T15,T15,Stuart Appleby,97,-.197
15,T15,T15,John Riegger,88,-.197
16,T17,T17,David Duval,78,-.195
17,T17,T17,J.L. Lewis,98,-.195
18,T17,T17,Shigeki Maruyama,87,-.195
19,20,20,Charles Howell III,118,-.193
20,21,21,Brad Faxon,93,-.192
21,T22,T22,John Huston,99,-.190
22,T22,T22,Peter Lonard,93,-.190
23,24,24,Dan Forsman,83,-.184
24,T25,T25,K.J. Choi,93,-.180
25,T25,T25,Tim Petrovic,92,-.180
26,T27,T27,Joel Edwards,101,-.179
27,T27,T27,Craig Perks,91,-.179
28,29,29,Phil Tataurangi,88,-.178
29,30,30,Chad Campbell,111,-.175
30,31,31,Joe Durant,87,-.173
31,32,32,Steve Pate,64,-.170
32,33,33,Robert Allenby,96,-.169
33,34,34,Joey Sindelar,104,-.168
34,T35,T35,Jonathan Byrd,96,-.167
35,T35,T35,Kenny Perry,98,-.167
36,T35,T35,Nick Price,69,-.167
37,T35,T35,Tommy Tolles,64,-.167
38,39,39,Donnie Hammond,60,-.166
39,40,40,Tim Clark,76,-.165
40,41,41,John Daly,62,-.164
41,42,42,John Cook,85,-.163
42,T43,T43,Scott Hoch,71,-.161
43,T43,T43,John Rollins,124,-.161
44,T43,T43,Jeff Sluman,118,-.161
45,T46,T46,Steve Allan,93,-.159
46,T46,T46,Jerry Kelly,99,-.159
47,48,48,Chris DiMarco,111,-.156
48,49,49,Rich Beem,99,-.155
49,50,50,Ernie Els,68,-.154
50,51,51,Scott Verplank,93,-.153
51,T52,T52,José Coceres,51,-.152
52,T52,T52,Glen Hnatiuk,95,-.152
53,T54,T54,Bart Bryant,69,-.151
54,T54,T54,Luke Donald,106,-.151
55,T56,T56,Brian Gay,117,-.150
56,T56,T56,Paul Stankowski,100,-.150
57,58,58,Lee Janzen,101,-.149
58,59,59,Brandt Jobe,94,-.148
59,T60,T60,Stephen Ames,89,-.147
60,T60,T60,Fred Funk,106,-.147
61,T60,T60,Jeff Gove,89,-.147
62,T60,T60,Tim Herron,102,-.147
63,64,64,Ben Crane,91,-.145
64,T65,T65,Bob Estes,93,-.143
65,T65,T65,Jay Haas,83,-.143
66,T65,T65,Tom Lehman,78,-.143
67,T68,T68,Mark O'Meara,68,-.142
68,T68,T68,Pat Perez,89,-.142
69,70,70,Robert Damron,85,-.141
70,T71,T71,Fred Couples,64,-.136
71,T71,T71,Ian Leggatt,97,-.136
72,T71,T71,Scott McCarron,106,-.136
73,T71,T71,Shaun Micheel,100,-.136
74,T71,T71,David Peoples,105,-.136
75,T76,T76,Matt Kuchar,82,-.135
76,T76,T76,Chris Smith,103,-.135
77,T78,T78,Robert Gamez,69,-.133
78,T78,T78,Paul Gow,99,-.133
79,T78,T78,Dennis Paulson,89,-.133
80,T78,T78,Chris Riley,104,-.133
81,T82,T82,Tom Scherrer,98,-.130
82,T82,T82,Jay Williamson,91,-.130
83,T84,T84,Rory Sabbatini,69,-.129
84,T84,T84,John Senden,96,-.129
85,T84,T84,Bo Van Pelt,78,-.129
86,T84,T84,Duffy Waldorf,90,-.129
87,88,88,Michael Allen,76,-.128
88,T89,T89,Pat Bates,94,-.127
89,T89,T89,Jay Don Blake,107,-.127
