,GIR_Percentage_-_175-200_yards_RANK THIS WEEK,GIR_Percentage_-_175-200_yards_RANK LAST WEEK,GIR_Percentage_-_175-200_yards_PLAYER NAME,GIR_Percentage_-_175-200_yards_ROUNDS,GIR_Percentage_-_175-200_yards_%,GIR_Percentage_-_175-200_yards_GREENS HIT,GIR_Percentage_-_175-200_yards_TOTAL HOLES,GIR_Percentage_-_175-200_yards_RELATIVE TO PAR
0,1,1,Frank Lickliter II,94,77.08,37,48,-0.14
1,T2,T2,Rory Sabbatini,69,73.53,25,34,-0.08
2,T2,T2,Tiger Woods,69,73.53,25,34,-0.24
3,4,4,Davis Love III,92,70.27,26,37,-0.19
4,5,5,Ben Crane,91,69.39,34,49,-0.12
5,6,6,Tom Lehman,78,68.42,26,38,-0.08
6,7,7,Joe Durant,87,67.74,42,62,-0.10
7,T8,T8,Peter Jacobsen,67,66.67,28,42,-0.11
8,T8,T8,Jeff Maggert,83,66.67,38,57,-0.11
9,10,10,Neal Lancaster,101,66.07,37,56,-0.19
10,T11,T11,Michael Long,71,65.96,31,47,-0.10
11,T11,T11,Vijay Singh,102,65.96,31,47,-0.29
12,13,13,Paul Goydos,66,65.52,38,58,E
13,14,14,Brad Lardon,59,65.12,28,43,-0.07
14,15,15,Bradley Hughes,60,64.29,27,42,-0.15
15,16,16,Brandel Chamblee,85,64.1,50,78,-0.12
16,T17,T17,Blaine McCallister,75,64.0,32,50,-0.06
17,T17,T17,Mark O'Meara,68,64.0,16,25,-0.19
18,19,19,Tripp Isenhour,68,63.64,28,44,-0.07
19,20,20,Matt Peterson,80,63.51,47,74,-0.09
20,21,21,Olin Browne,107,62.79,54,86,-0.17
21,22,22,David Peoples,105,62.69,42,67,-0.14
22,23,23,Jason Hill,59,62.22,28,45,+0.07
23,24,24,Joey Sindelar,104,61.76,42,68,-0.31
24,25,25,Brad Faxon,93,61.54,32,52,-0.16
25,T26,T26,Peter Lonard,93,61.4,35,57,-0.06
26,T26,T26,Mike Weir,94,61.4,35,57,-0.11
27,28,28,Nick Price,69,61.11,33,54,-0.12
28,29,29,Luke Donald,106,60.98,50,82,-0.12
29,30,30,Chris Riley,104,60.92,53,87,-0.19
30,31,31,Jeff Sluman,118,60.56,43,71,-0.09
31,32,32,Stuart Appleby,97,60.53,23,38,-0.04
32,T33,T33,Jim Furyk,88,60.0,33,55,-0.18
33,T33,T33,Miguel Angel Jiménez,60,60.0,15,25,-0.07
34,35,35,John Huston,99,59.52,25,42,+0.12
35,36,36,Bob Burns,99,59.42,41,69,-0.07
36,37,37,Steve Allan,93,59.26,32,54,-0.31
37,38,38,Dudley Hart,88,59.18,29,49,+0.03
38,T39,T39,Tim Herron,102,59.09,26,44,-0.27
39,T39,T39,Len Mattiace,106,59.09,39,66,+0.03
40,41,41,Per-Ulrik Johansson,87,59.02,36,61,-0.11
41,T42,T42,Jess Daley,76,58.97,23,39,-0.13
42,T42,T42,Andrew Magee,91,58.97,23,39,-0.04
43,44,44,Brandt Jobe,94,58.73,37,63,-0.05
44,45,45,Michael Muehr,73,58.7,27,46,+0.04
45,T46,T46,Bernhard Langer,55,58.62,17,29,-0.18
46,T46,T46,Kevin Sutherland,96,58.62,34,58,-0.06
47,48,48,"David Berganio, Jr.",80,58.49,31,53,-0.16
48,T49,T49,Bob Estes,93,58.33,35,60,-0.23
49,T49,T49,Steve Lowery,98,58.33,35,60,-0.03
50,51,51,J.J. Henry,112,58.21,39,67,E
51,52,52,José Coceres,51,58.14,25,43,-0.08
52,53,53,Shaun Micheel,100,57.89,44,76,-0.02
53,54,54,Brett Wetterich,89,57.69,30,52,-0.07
54,55,55,Brad Elder,76,57.63,34,59,-0.18
55,56,56,Chris Smith,103,57.58,19,33,-0.16
56,57,57,Chad Campbell,111,57.53,42,73,-0.07
57,T58,T58,Russ Cochran,68,57.5,23,40,+0.13
58,T58,T58,Dan Forsman,83,57.5,23,40,E
59,60,60,Kent Jones,105,57.35,39,68,-0.13
60,61,61,Steve Jones,71,57.14,24,42,-0.21
61,62,62,Greg Chalmers,94,56.9,33,58,-0.03
62,63,63,Scott Verplank,93,56.86,29,51,-0.21
63,64,64,Jay Williamson,91,56.67,34,60,-0.15
64,65,65,Lee Janzen,101,56.6,30,53,-0.03
65,66,66,Boo Weekley,57,56.52,13,23,-0.31
66,67,67,Billy Mayfair,99,56.45,35,62,-0.03
67,68,68,Heath Slocum,96,56.34,40,71,-0.15
68,69,69,John Senden,96,56.06,37,66,-0.22
69,70,70,Phil Tataurangi,88,55.93,33,59,-0.24
70,71,71,Tommy Tolles,64,55.81,24,43,-0.21
71,72,72,Franklin Langham,72,55.77,29,52,-0.17
72,73,73,Jonathan Kaye,83,55.74,34,61,-0.03
73,74,74,Spike McRoy,69,55.56,20,36,E
74,75,75,Corey Pavin,78,55.38,36,65,-0.22
75,76,76,K.J. Choi,93,55.32,26,47,-0.19
76,T77,T77,Jay Don Blake,107,55.26,42,76,-0.17
77,T77,T77,David Frost,90,55.26,42,76,-0.14
78,79,79,David Gossett,95,55.22,37,67,-0.16
79,80,80,Brian Gay,117,55.21,53,96,-0.15
80,81,81,Shigeki Maruyama,87,55.1,27,49,-0.15
81,82,82,Jeff Brehaut,87,54.9,28,51,-0.07
82,83,83,Glen Hnatiuk,95,54.76,46,84,-0.07
83,84,84,Michael Allen,76,54.72,29,53,-0.24
84,85,85,Tom Byrum,77,54.69,35,64,-0.23
