,Average_Approach_Distance_-_Birdie_or_Better_RANK THIS WEEK,Average_Approach_Distance_-_Birdie_or_Better_RANK LAST WEEK,Average_Approach_Distance_-_Birdie_or_Better_PLAYER NAME,Average_Approach_Distance_-_Birdie_or_Better_ROUNDS,Average_Approach_Distance_-_Birdie_or_Better_AVG (YARDS),Average_Approach_Distance_-_Birdie_or_Better_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Birdie_or_Better_NUMBER OF APPROACH SHOTS
0,1,1,J.P. Hayes,78,141.3,381484.0,75
1,2,2,Heath Slocum,96,149.0,418350.0,78
2,3,3,Pete Jordan,78,150.6,357720.0,66
3,4,4,Jay Haas,83,150.9,374718.0,69
4,5,5,Brian Gay,117,151.1,739876.0,136
5,6,6,Michael Muehr,73,151.2,272129.0,50
6,7,7,Greg Kraft,86,151.9,453999.0,83
7,8,8,Corey Pavin,78,153.1,380303.0,69
8,9,9,Fred Funk,106,153.7,730546.0,132
9,10,10,Jeff Maggert,83,154.5,394793.0,71
10,11,11,Tim Clark,76,154.9,568681.0,102
11,12,12,David Frost,90,155.3,519827.0,93
12,13,13,Skip Kendall,103,155.5,599092.0,107
13,14,14,Spike McRoy,69,156.3,281400.0,50
14,15,15,Bob Estes,93,156.5,495735.0,88
15,16,16,Loren Roberts,93,156.6,512910.0,91
16,17,17,Jeff Gove,89,157.2,565776.0,100
17,T18,T18,Mark Brooks,97,157.8,454559.0,80
18,T18,T18,José María Olazábal,71,157.8,380518.0,67
19,20,20,Paul Goydos,66,158.2,398563.0,70
20,21,21,Tom Scherrer,98,158.5,553603.0,97
21,22,22,Bob Burns,99,158.6,473895.0,83
22,23,23,David Morland IV,58,158.9,400460.0,70
23,24,24,Dennis Paulson,89,159.2,487098.0,85
24,25,25,Tommy Tolles,64,159.4,453468.0,79
25,T26,T26,Eduardo Herrera,59,160.0,224706.0,39
26,T26,T26,Phil Tataurangi,88,160.0,489563.0,85
27,T28,T28,Tommy Armour III,82,160.3,386670.0,67
28,T28,T28,Olin Browne,107,160.3,623248.0,108
29,T28,T28,Scott Simpson,61,160.3,300077.0,52
30,31,31,Hal Sutton,74,161.1,359628.0,62
31,32,32,John Riegger,88,161.3,644733.0,111
32,33,33,Justin Leonard,97,161.7,483070.0,83
33,34,34,Brandel Chamblee,85,161.8,425179.0,73
34,T35,T35,Dan Forsman,83,161.9,559374.0,96
35,T35,T35,Robert Gamez,69,161.9,460352.0,79
36,T37,T37,Craig Perks,91,162.1,449296.0,77
37,T37,T37,Lee Porter,91,162.1,496154.0,85
38,39,39,Greg Chalmers,94,162.3,531689.0,91
39,40,40,Joel Edwards,101,162.6,679010.0,116
40,41,41,Tom Byrum,77,162.8,457281.0,78
41,42,42,Steve Jones,71,162.9,322597.0,55
42,43,43,Franklin Langham,72,163.2,340727.0,58
43,T44,T44,Peter Jacobsen,67,163.7,306528.0,52
44,T44,T44,Brian Watts,58,163.7,265266.0,45
45,46,46,Chad Campbell,111,164.0,797066.0,135
46,T47,T47,Blaine McCallister,75,164.1,413532.0,70
47,T47,T47,Mike Sposa,111,164.1,626325.0,106
48,49,49,Nick Price,69,164.2,336847.0,57
49,50,50,Jim Carter,98,164.4,520903.0,88
50,51,51,Chris Riley,104,164.5,645649.0,109
51,52,52,Joe Durant,87,164.6,503554.0,85
52,T53,T53,K.J. Choi,93,164.8,646828.0,109
53,T53,T53,Tripp Isenhour,68,164.8,439028.0,74
54,T53,T53,Richard Zokol,53,164.8,272841.0,46
55,56,56,Russ Cochran,68,164.9,296840.0,50
56,57,57,Jerry Smith,91,165.2,463940.0,78
57,58,58,Dicky Pride,51,165.3,291653.0,49
58,T59,T59,Matt Gogel,79,165.4,398953.0,67
59,T59,T59,Hidemichi Tanaka,104,165.4,607379.0,102
60,61,61,Steve Pate,64,165.5,339610.0,57
61,62,62,Glen Hnatiuk,95,165.6,679668.0,114
62,T63,T63,Shigeki Maruyama,87,165.7,531025.0,89
63,T63,T63,Esteban Toledo,106,165.7,423604.0,71
64,65,65,J.L. Lewis,98,166.3,748190.0,125
65,66,66,Stewart Cink,92,166.5,581344.0,97
66,67,67,Andrew Magee,91,166.6,479853.0,80
67,68,68,Steve Stricker,68,167.0,306555.0,51
68,69,69,Matt Peterson,80,167.1,487200.0,81
69,70,70,Tom Pernice Jr.,101,167.2,571919.0,95
70,71,71,Bob Tway,103,167.4,427966.0,71
71,T72,T72,Craig Barlow,62,167.5,452333.0,75
72,T72,T72,Stephen Gangluff,75,167.5,470431.0,78
73,T72,T72,John Huston,99,167.5,729700.0,121
74,75,75,Scott Verplank,93,167.7,543338.0,90
75,T76,T76,Stephen Ames,89,167.8,477296.0,79
76,T76,T76,Chris DiMarco,111,167.8,634248.0,105
77,T76,T76,Matt Kuchar,82,167.8,501329.0,83
78,T79,T79,Brad Faxon,93,167.9,525983.0,87
79,T79,T79,Robin Freeman,79,167.9,483670.0,80
80,T81,T81,Rod Pampling,98,168.1,629463.0,104
81,T81,T81,David Toms,106,168.1,822906.0,136
82,T83,T83,Bob Heintz,68,168.2,375392.0,62
83,T83,T83,Rocco Mediate,79,168.2,520607.0,86
84,T85,T85,John Cook,85,168.3,484828.0,80
85,T85,T85,Glen Day,107,168.3,678677.0,112
86,87,87,Pat Bates,94,168.5,618716.0,102
87,88,88,Cameron Beckman,87,168.6,491725.0,81
88,89,89,John Rollins,124,168.8,936068.0,154
89,90,90,J.J. Henry,112,168.9,626111.0,103
90,91,91,Per-Ulrik Johansson,87,169.0,492855.0,81
91,T92,T92,Carlos Franco,107,169.1,687869.0,113
92,T92,T92,Craig Parry,69,169.1,578261.0,95
93,94,94,Jay Williamson,91,169.2,603204.0,99
94,T95,T95,Luke Donald,106,169.3,646038.0,106
95,T95,T95,David Peoples,105,169.3,645870.0,106
96,97,97,Paul Gow,99,169.4,670762.0,110
97,98,98,Kirk Triplett,84,169.5,402618.0,66
98,99,99,Fulton Allem,64,169.6,335877.0,55
99,T100,T100,Rich Beem,99,169.7,617028.0,101
100,T100,T100,Scott Hoch,71,169.7,403233.0,66
101,T100,T100,Tom Lehman,78,169.7,299270.0,49
102,T100,T100,Deane Pappas,90,169.7,439864.0,72
103,104,104,Kevin Sutherland,96,169.8,409642.0,67
104,105,105,Pat Perez,89,170.0,501703.0,82
105,106,106,Jim Furyk,88,170.3,533442.0,87
106,107,107,Chris Smith,103,170.5,613765.0,100
107,108,108,Kent Jones,105,170.6,718376.0,117
108,109,109,Donnie Hammond,60,170.7,411757.0,67
109,T110,T110,Jay Don Blake,107,170.9,645836.0,105
110,T110,T110,Bob May,91,170.9,535286.0,87
111,T110,T110,Joey Sindelar,104,170.9,701315.0,114
112,113,113,Frank Lickliter II,94,171.2,560760.0,91
113,T114,T114,Paul Claxton,83,171.3,505572.0,82
114,T114,T114,Duffy Waldorf,90,171.3,622917.0,101
115,116,116,Len Mattiace,106,171.6,642433.0,104
116,T117,T117,Lee Janzen,101,171.8,556657.0,90
117,T117,T117,Bryce Molder,65,171.8,531994.0,86
118,119,119,Jess Daley,76,172.1,458562.0,74
119,120,120,Bart Bryant,69,172.3,489940.0,79
120,121,121,Tim Herron,102,172.5,670671.0,108
121,122,122,Jeff Sluman,118,172.6,739604.0,119
122,123,123,José Coceres,51,172.7,254940.0,41
123,124,124,Jonathan Kaye,83,172.8,603343.0,97
124,125,125,Jeff Brehaut,87,172.9,653422.0,105
125,126,126,Ian Leggatt,97,173.0,572953.0,92
126,127,127,Scott Dunlap,74,173.1,380110.0,61
127,128,128,Stuart Appleby,97,173.2,704516.0,113
128,129,129,Harrison Frazar,88,173.3,580234.0,93
129,130,130,Jonathan Byrd,96,173.8,750632.0,120
130,131,131,Brian Henninger,66,173.9,388047.0,62
131,132,132,Neal Lancaster,101,174.1,520215.0,83
132,133,133,Michael Long,71,174.3,514628.0,82
133,T134,T134,Briny Baird,110,174.4,715931.0,114
134,T134,T134,Jerry Kelly,99,174.4,596466.0,95
135,T136,T136,Steve Allan,93,174.5,690878.0,110
136,T136,T136,Shaun Micheel,100,174.5,640901.0,102
137,138,138,Grant Waite,98,174.9,679954.0,108
138,139,139,Edward Fryatt,94,175.3,542773.0,86
139,T140,T140,Brian Bateman,94,175.5,600319.0,95
140,T140,T140,Mark Calcavecchia,84,175.5,486434.0,77
141,T142,T142,Brent Geiberger,95,175.6,549967.0,87
142,T142,T142,Steve Lowery,98,175.6,651203.0,103
143,144,144,Brett Quigley,93,175.8,626482.0,99
144,T145,T145,Notah Begay III,76,176.0,665289.0,105
145,T145,T145,Robert Damron,85,176.0,614517.0,97
146,T147,T147,"David Berganio, Jr.",80,176.1,538875.0,85
147,T147,T147,Davis Love III,92,176.1,665471.0,105
148,T149,T149,Miguel Angel Jiménez,60,176.5,254212.0,40
149,T149,T149,Brandt Jobe,94,176.5,641861.0,101
150,T149,T149,Vijay Singh,102,176.5,781338.0,123
151,T152,T152,Kenny Perry,98,176.6,762799.0,120
152,T152,T152,Garrett Willis,80,176.6,546904.0,86
153,154,154,Billy Andrade,100,176.7,744305.0,117
154,155,155,Steve Flesch,110,176.8,547464.0,86
155,156,156,Joe Ogilvie,50,177.0,280357.0,44
156,157,157,Dudley Hart,88,177.1,395332.0,62
157,158,158,David Gossett,95,177.3,619194.0,97
158,159,159,Kaname Yokoo,74,177.4,427820.0,67
159,160,160,Robert Allenby,96,177.6,722393.0,113
160,161,161,Jason Hill,59,178.2,333639.0,52
161,162,162,Steve Elkington,82,179.0,406020.0,63
162,163,163,John Senden,96,179.2,593491.0,92
163,164,164,Geoff Ogilvy,90,179.4,607129.0,94
164,165,165,Tim Petrovic,92,179.5,626762.0,97
165,T166,T166,Michael Clark II,97,179.8,588959.0,91
166,T166,T166,Mark O'Meara,68,179.8,317251.0,49
167,168,168,Peter Lonard,93,180.1,642011.0,99
168,169,169,Phil Mickelson,97,180.5,734306.0,113
169,170,170,Billy Mayfair,99,180.8,540103.0,83
170,171,171,Charles Howell III,118,181.0,801651.0,123
171,T172,T172,Michael Allen,76,181.5,418185.0,64
172,T172,T172,Scott McCarron,106,181.5,660058.0,101
173,174,174,Fred Couples,64,181.6,300801.0,46
174,175,175,Paul Stankowski,100,181.7,634400.0,97
175,176,176,Mike Hulbert,55,181.9,189896.0,29
176,T177,T177,Ben Crane,91,182.1,622684.0,95
177,T177,T177,Rory Sabbatini,69,182.1,334309.0,51
178,179,179,Boo Weekley,57,182.5,381131.0,58
179,180,180,Bradley Hughes,60,182.7,368387.0,56
180,181,181,Carl Paulson,84,182.9,652018.0,99
181,182,182,Gary Nicklaus,66,183.0,375474.0,57
182,183,183,Ernie Els,68,183.1,421771.0,64
183,184,184,Craig Stadler,72,183.6,370138.0,56
184,185,185,Retief Goosen,56,183.8,416766.0,63
185,T186,T186,Woody Austin,102,184.5,664239.0,100
186,T186,T186,Brett Wetterich,89,184.5,624258.0,94
187,188,188,Kenneth Staton,104,184.7,658153.0,99
188,189,189,David Duval,78,185.3,540330.0,81
189,190,190,Paul Azinger,69,186.0,308034.0,46
190,191,191,Brenden Pappas,62,186.2,408968.0,61
191,192,192,Frank Nobilo,94,187.4,586806.0,87
192,193,193,Brad Lardon,59,187.8,297498.0,44
193,194,194,Sergio Garcia,79,188.4,393311.0,58
194,195,195,Brad Elder,76,189.3,456598.0,67
195,196,196,Mike Weir,94,189.4,531912.0,78
196,197,197,Mathew Goggin,64,190.1,424337.0,62
197,198,198,Bernhard Langer,55,190.3,274017.0,40
198,199,199,Jesper Parnevik,85,192.4,311723.0,45
199,200,200,Bo Van Pelt,78,192.8,596844.0,86
200,201,201,Tiger Woods,69,197.8,534009.0,75
201,202,202,John Daly,62,201.5,348127.0,48
