,GIR_Percentage_-_100-125_yards_RANK THIS WEEK,GIR_Percentage_-_100-125_yards_RANK LAST WEEK,GIR_Percentage_-_100-125_yards_PLAYER NAME,GIR_Percentage_-_100-125_yards_ROUNDS,GIR_Percentage_-_100-125_yards_%,GIR_Percentage_-_100-125_yards_GREENS HIT,GIR_Percentage_-_100-125_yards_TOTAL HOLES,GIR_Percentage_-_100-125_yards_RELATIVE TO PAR
0,1,1,Edward Fryatt,94,93.62,44,47,-0.18
1,2,2,Bernhard Langer,55,90.0,18,20,-0.28
2,3,3,Jim Furyk,88,88.89,32,36,-0.22
3,4,4,Rocco Mediate,79,87.88,29,33,-0.38
4,5,5,Matt Gogel,79,87.76,43,49,-0.21
5,6,6,K.J. Choi,93,87.32,62,71,-0.35
6,7,7,John Cook,85,86.84,33,38,-0.27
7,8,8,Pat Bates,94,85.96,49,57,-0.35
8,9,9,Bob Estes,93,85.71,36,42,-0.28
9,10,10,Bob May,91,85.42,41,48,-0.29
10,T11,T11,Craig Stadler,72,83.33,25,30,-0.2
11,T11,T11,David Toms,106,83.33,45,54,-0.29
12,T13,T13,Rod Pampling,98,83.05,49,59,-0.33
13,T13,T13,Bob Tway,103,83.05,49,59,-0.12
14,15,15,Andrew Magee,91,83.02,44,53,-0.2
15,16,16,Blaine McCallister,75,82.93,34,41,-0.18
16,17,17,Jerry Kelly,99,82.69,43,52,-0.19
17,18,18,Fred Funk,106,82.61,57,69,-0.32
18,19,19,John Huston,99,82.26,51,62,-0.35
19,T20,T20,Donnie Hammond,60,82.05,32,39,-0.28
20,T20,T20,Kevin Sutherland,96,82.05,32,39,-0.34
21,22,22,Vijay Singh,102,81.97,50,61,-0.24
22,23,23,Pete Jordan,78,81.58,31,38,-0.19
23,24,24,Steve Flesch,110,81.25,39,48,-0.15
24,25,25,Jonathan Byrd,96,81.13,43,53,-0.3
25,T26,T26,Tom Byrum,77,80.95,34,42,-0.24
26,T26,T26,Steve Elkington,82,80.95,34,42,-0.18
27,28,28,Craig Parry,69,80.85,38,47,-0.39
28,29,29,Olin Browne,107,80.6,54,67,-0.3
29,30,30,Spike McRoy,69,80.56,29,36,-0.34
30,31,31,David Frost,90,80.39,41,51,-0.27
31,32,32,Jeff Gove,89,80.36,45,56,-0.31
32,33,33,Brian Henninger,66,80.0,28,35,-0.32
33,34,34,Luke Donald,106,79.63,43,54,-0.37
34,35,35,Corey Pavin,78,79.55,35,44,-0.26
35,36,36,Mark O'Meara,68,79.31,23,29,-0.22
36,37,37,Justin Leonard,97,79.25,42,53,-0.33
37,38,38,Pat Perez,89,79.17,38,48,-0.32
38,39,39,Joel Edwards,101,79.1,53,67,-0.25
39,40,40,Dan Forsman,83,78.95,30,38,-0.33
40,T41,T41,Briny Baird,110,78.79,52,66,-0.17
41,T41,T41,Len Mattiace,106,78.79,52,66,-0.15
42,T43,T43,Paul Azinger,69,78.57,22,28,-0.27
43,T43,T43,Tiger Woods,69,78.57,22,28,-0.18
44,45,45,Jay Haas,83,78.38,29,37,-0.48
45,T46,T46,Notah Begay III,76,78.33,47,60,-0.21
46,T46,T46,Shaun Micheel,100,78.33,47,60,-0.3
47,48,48,Stewart Cink,92,78.26,36,46,-0.42
48,49,49,Steve Stricker,68,78.13,25,32,-0.32
49,50,50,Jeff Sluman,118,78.08,57,73,-0.28
