,Left_Rough_Proximity_RANK THIS WEEK,Left_Rough_Proximity_RANK LAST WEEK,Left_Rough_Proximity_PLAYER NAME,Left_Rough_Proximity_ROUNDS,Left_Rough_Proximity_AVG,Left_Rough_Proximity_ATTEMPTS,Left_Rough_Proximity_TOTAL DISTANCE (FEET),Left_Rough_Proximity_RELATIVE TO PAR
0,1,1,Bernhard Langer,55,"27' 6""",11,302.5,+1.00
1,2,2,Craig Stadler,72,"28' 4""",13,368.667,+7.00
2,3,3,David Gossett,95,"29' 2""",35,1021.4169999999999,+2.00
3,4,4,Brian Watts,58,"32' 4""",16,517.4169999999999,+2.00
4,5,5,Scott Dunlap,74,"32' 5""",29,940.3330000000001,+8.00
5,T6,T6,Jim Furyk,88,"33' 4""",25,834.25,-3.00
6,T6,T6,Peter Jacobsen,67,"33' 4""",29,966.8330000000001,+3.00
7,8,8,José Coceres,51,"34' 2""",20,683.0830000000001,+6.00
8,9,9,Kevin Sutherland,96,"34' 3""",35,1197.667,+9.00
9,10,10,Dudley Hart,88,"34' 4""",26,892.3330000000001,+10.00
10,11,11,John Riegger,88,"34' 5""",41,1410.5829999999999,+5.00
11,12,12,Scott Hoch,71,"34' 7""",29,1002.1669999999999,+2.00
12,13,13,John Cook,85,"35' 1""",22,772.4169999999999,+7.00
13,T14,T14,Jeff Gove,89,"35' 2""",51,1794.8329999999999,+15.00
14,T14,T14,Garrett Willis,80,"35' 2""",36,1264.833,+16.00
15,16,16,Fred Couples,64,"35' 4""",20,705.9169999999999,+4.00
16,T17,T17,Pat Bates,94,"36' 0""",30,1080.667,+3.00
17,T17,T17,Jason Hill,59,"36' 0""",28,1008.6669999999999,+3.00
18,T19,T19,Brian Gay,117,"36' 3""",51,1847.5829999999999,+1.00
19,T19,T19,Pat Perez,89,"36' 3""",24,870.3330000000001,+4.00
20,21,21,Greg Chalmers,94,"36' 5""",35,1275.25,+6.00
21,T22,T22,Russ Cochran,68,"37' 1""",29,1074.75,+1.00
22,T22,T22,Chris Smith,103,"37' 1""",38,1410.1670000000001,+8.00
23,24,24,Chris Riley,104,"38' 0""",39,1482.5,+4.00
24,T25,T25,Gary Nicklaus,66,"38' 5""",31,1192.083,+3.00
25,T25,T25,Loren Roberts,93,"38' 5""",24,921.0830000000001,+4.00
26,27,27,Frank Lickliter II,94,"38' 6""",34,1307.833,+3.00
27,T28,T28,Joe Durant,87,"38' 7""",15,579.0830000000001,+2.00
28,T28,T28,Joey Sindelar,104,"38' 7""",54,2081.5,+6.00
