,Going_for_the_Green_-_Hit_Green_Pct._RANK THIS WEEK,Going_for_the_Green_-_Hit_Green_Pct._RANK LAST WEEK,Going_for_the_Green_-_Hit_Green_Pct._PLAYER NAME,Going_for_the_Green_-_Hit_Green_Pct._ROUNDS,Going_for_the_Green_-_Hit_Green_Pct._%,Going_for_the_Green_-_Hit_Green_Pct._SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._ATTEMPTS,Going_for_the_Green_-_Hit_Green_Pct._RTP-SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._RTP-NOT GOING FOR THE GRN
0,1,1,Vijay Singh,102,38.71,36,93,-35,35 Under
1,T2,T2,Fred Couples,64,37.5,18,48,-15,15 Under
2,T2,T2,John Daly,62,37.5,18,48,-23,23 Under
3,4,4,Gary Nicklaus,66,37.14,13,35,-12,12 Under
4,5,5,Briny Baird,110,36.23,25,69,-27,27 Under
5,6,6,Tim Petrovic,92,36.07,22,61,-22,22 Under
6,7,7,Tiger Woods,69,35.48,22,62,-21,21 Under
7,8,8,Boo Weekley,57,35.29,18,51,-18,18 Under
8,9,9,Donnie Hammond,60,33.33,11,33,-9,9 Under
9,10,10,Carlos Franco,107,33.01,34,103,-32,32 Under
10,11,11,David Duval,78,32.73,18,55,-21,21 Under
11,12,12,Joe Durant,87,31.71,13,41,-9,9 Under
12,T13,T13,Retief Goosen,56,31.25,15,48,-14,14 Under
13,T13,T13,Paul Stankowski,100,31.25,25,80,-25,25 Under
14,15,15,Jeff Brehaut,87,31.15,19,61,-18,18 Under
15,16,16,Mike Weir,94,30.88,21,68,-22,22 Under
16,17,17,Tom Scherrer,98,30.0,15,50,-12,12 Under
17,18,18,Greg Chalmers,94,29.63,16,54,-14,14 Under
18,19,19,Jesper Parnevik,85,29.41,15,51,-17,17 Under
19,T20,T20,Craig Barlow,62,29.27,12,41,-11,11 Under
20,T20,T20,Carl Paulson,84,29.27,24,82,-24,24 Under
21,22,22,Rich Beem,99,29.11,23,79,-22,22 Under
22,23,23,Jonathan Byrd,96,28.92,24,83,-23,23 Under
23,24,24,Shigeki Maruyama,87,28.89,13,45,-15,15 Under
24,25,25,Michael Allen,76,28.85,15,52,-17,17 Under
25,26,26,Brent Geiberger,95,28.79,19,66,-20,20 Under
26,27,27,Brandt Jobe,94,28.75,23,80,-23,23 Under
27,T28,T28,Stewart Cink,92,28.57,16,56,-14,14 Under
28,T28,T28,Per-Ulrik Johansson,87,28.57,16,56,-19,19 Under
29,T28,T28,Rocco Mediate,79,28.57,14,49,-19,19 Under
30,31,31,Lee Janzen,101,28.36,19,67,-20,20 Under
31,32,32,Tim Clark,76,28.26,13,46,-9,9 Under
32,33,33,Bryce Molder,65,28.21,11,39,-11,11 Under
33,34,34,Jess Daley,76,28.07,16,57,-16,16 Under
34,35,35,Robert Allenby,96,27.84,27,97,-29,29 Under
35,T36,T36,Tom Lehman,78,27.78,10,36,-10,10 Under
36,T36,T36,Rory Sabbatini,69,27.78,15,54,-15,15 Under
37,38,38,Chad Campbell,111,27.69,18,65,-19,19 Under
38,39,39,Michael Long,71,27.59,16,58,-15,15 Under
39,40,40,Scott McCarron,106,27.4,20,73,-21,21 Under
40,T41,T41,Fred Funk,106,27.27,15,55,-18,18 Under
41,T41,T41,Davis Love III,92,27.27,21,77,-25,25 Under
42,43,43,Rod Pampling,98,27.14,19,70,-20,20 Under
43,44,44,Brian Gay,117,27.08,13,48,-15,15 Under
44,T45,T45,Brian Bateman,94,27.03,20,74,-21,21 Under
45,T45,T45,Notah Begay III,76,27.03,20,74,-21,21 Under
46,47,47,Phil Mickelson,97,26.8,26,97,-25,25 Under
47,T48,T48,Steve Pate,64,26.67,8,30,-8,8 Under
48,T48,T48,Pat Perez,89,26.67,16,60,-19,19 Under
49,50,50,Stuart Appleby,97,26.44,23,87,-21,21 Under
50,51,51,Ernie Els,68,26.42,14,53,-15,15 Under
51,52,52,John Huston,99,26.39,19,72,-19,19 Under
52,T53,T53,Sergio Garcia,79,26.32,15,57,-15,15 Under
53,T53,T53,Kenny Perry,98,26.32,25,95,-25,25 Under
54,55,55,Bob Tway,103,26.23,16,61,-20,20 Under
55,56,56,Jim Carter,98,26.19,11,42,-10,10 Under
56,T57,T57,Geoff Ogilvy,90,26.15,17,65,-14,14 Under
57,T57,T57,Tom Pernice Jr.,101,26.15,17,65,-16,16 Under
58,T59,T59,Bob May,91,25.86,15,58,-17,17 Under
59,T59,T59,Phil Tataurangi,88,25.86,15,58,-18,18 Under
60,61,61,Ian Leggatt,97,25.76,17,66,-16,16 Under
61,62,62,Charles Howell III,118,25.69,28,109,-27,27 Under
62,T63,T63,Billy Andrade,100,25.61,21,82,-21,21 Under
63,T63,T63,J.L. Lewis,98,25.61,21,82,-19,19 Under
64,65,65,Jim Furyk,88,25.58,11,43,-11,11 Under
65,66,66,Stephen Gangluff,75,25.53,12,47,-12,12 Under
66,T67,T67,Bart Bryant,69,25.49,13,51,-11,11 Under
67,T67,T67,Bradley Hughes,60,25.49,13,51,-12,12 Under
68,T69,T69,Bob Estes,93,25.0,9,36,-7,7 Under
69,T69,T69,Brad Lardon,59,25.0,10,40,-9,9 Under
70,T69,T69,Deane Pappas,90,25.0,17,68,-15,15 Under
71,T69,T69,Brenden Pappas,62,25.0,13,52,-17,17 Under
72,T69,T69,John Riegger,88,25.0,14,56,-14,14 Under
73,T69,T69,Kevin Sutherland,96,25.0,11,44,-10,10 Under
74,75,75,John Rollins,124,24.73,23,93,-25,25 Under
