,Approaches_from_inside_100_yards_Rgh_RANK THIS WEEK,Approaches_from_inside_100_yards_Rgh_RANK LAST WEEK,Approaches_from_inside_100_yards_Rgh_PLAYER NAME,Approaches_from_inside_100_yards_Rgh_ROUNDS,Approaches_from_inside_100_yards_Rgh_AVG,Approaches_from_inside_100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_Rgh_# OF ATTEMPTS,Approaches_from_inside_100_yards_Rgh_RELATIVE TO PAR
0,1,1,Kirk Triplett,84,"10' 6""",31.416999999999998,3,E
1,2,2,Sergio Garcia,79,"11' 5""",45.5,4,+2
2,3,3,Brad Elder,76,"12' 7""",75.667,6,-1
3,4,4,Duffy Waldorf,90,"12' 10""",89.917,7,-2
4,5,5,Jason Hill,59,"13' 0""",143.417,11,-2
5,6,6,Pat Perez,89,"13' 9""",82.333,6,E
6,7,7,Bob Burns,99,"14' 3""",171.167,12,-1
7,T8,T8,David Peoples,105,"15' 8""",203.167,13,-4
8,T8,T8,Kaname Yokoo,74,"15' 8""",78.25,5,-1
9,T10,T10,J.L. Lewis,98,"16' 7""",182.167,11,-2
10,T10,T10,Rory Sabbatini,69,"16' 7""",215.333,13,+2
11,12,12,Peter Lonard,93,"16' 8""",116.417,7,E
12,13,13,Per-Ulrik Johansson,87,"17' 0""",135.833,8,E
13,14,14,Brian Gay,117,"17' 9""",301.16700000000003,17,+11
14,T15,T15,Tripp Isenhour,68,"17' 11""",214.583,12,+5
15,T15,T15,Scott Verplank,93,"17' 11""",233.25,13,-1
16,17,17,Phil Tataurangi,88,"18' 0""",324.16700000000003,18,+4
17,18,18,Stuart Appleby,97,"18' 2""",127.333,7,+4
18,19,19,Paul Gow,99,"18' 6""",277.58299999999997,15,+6
19,20,20,Brenden Pappas,62,"18' 7""",148.417,8,E
20,21,21,Jim Carter,98,"18' 9""",93.833,5,-2
21,22,22,Shigeki Maruyama,87,"18' 11""",170.167,9,+3
22,23,23,Notah Begay III,76,"19' 1""",210.0,11,-1
23,24,24,Hidemichi Tanaka,104,"19' 3""",192.667,10,-1
24,25,25,Brian Watts,58,"19' 6""",175.417,9,E
25,26,26,Matt Kuchar,82,"19' 7""",137.25,7,+2
26,27,27,Woody Austin,102,"19' 8""",274.75,14,-3
27,28,28,Bob Tway,103,"19' 9""",197.417,10,+3
