,GIR_Percentage_-__125_yards_RANK THIS WEEK,GIR_Percentage_-__125_yards_RANK LAST WEEK,GIR_Percentage_-__125_yards_PLAYER NAME,GIR_Percentage_-__125_yards_ROUNDS,GIR_Percentage_-__125_yards_%,GIR_Percentage_-__125_yards_GREENS HIT,GIR_Percentage_-__125_yards_TOTAL HOLES,GIR_Percentage_-__125_yards_RELATIVE TO PAR
0,1,1,Jim Furyk,88,92.74,115,124,-0.46
1,2,2,Rocco Mediate,79,89.38,101,113,-0.57
2,3,3,Fred Funk,106,89.34,176,197,-0.45
3,4,4,Donnie Hammond,60,89.11,90,101,-0.4
4,5,5,John Cook,85,88.99,97,109,-0.44
5,6,6,K.J. Choi,93,88.7,157,177,-0.46
6,7,7,Dan Forsman,83,88.51,131,148,-0.41
7,8,8,Hidemichi Tanaka,104,88.2,157,178,-0.44
8,9,9,Bob Estes,93,88.0,110,125,-0.4
9,10,10,David Toms,106,87.89,167,190,-0.58
10,11,11,Kevin Sutherland,96,87.16,95,109,-0.41
11,T12,T12,Paul Azinger,69,87.06,74,85,-0.49
12,T12,T12,Mark O'Meara,68,87.06,74,85,-0.41
13,14,14,Craig Stadler,72,86.96,80,92,-0.5
14,15,15,Rod Pampling,98,86.78,151,174,-0.48
15,16,16,Tiger Woods,69,86.67,91,105,-0.53
16,17,17,Bob May,91,86.59,142,164,-0.42
17,18,18,Mike Weir,94,86.52,122,141,-0.41
18,T19,T19,Notah Begay III,76,86.21,150,174,-0.46
19,T19,T19,Nick Price,69,86.21,75,87,-0.37
20,21,21,Brad Elder,76,85.86,85,99,-0.44
21,22,22,Briny Baird,110,85.34,163,191,-0.43
22,23,23,Mathew Goggin,64,85.27,110,129,-0.36
23,24,24,Jeff Gove,89,85.21,144,169,-0.37
24,25,25,Pat Bates,94,85.09,137,161,-0.44
25,26,26,Andrew Magee,91,85.03,125,147,-0.38
26,T27,T27,"David Berganio, Jr.",80,85.0,119,140,-0.45
27,T27,T27,Chad Campbell,111,85.0,153,180,-0.53
28,29,29,Blaine McCallister,75,84.92,107,126,-0.36
29,30,30,J.J. Henry,112,84.88,174,205,-0.43
30,31,31,John Senden,96,84.87,129,152,-0.48
31,32,32,Vijay Singh,102,84.82,162,191,-0.54
32,33,33,Carl Paulson,84,84.81,134,158,-0.47
33,34,34,J.L. Lewis,98,84.77,167,197,-0.47
34,35,35,Brian Gay,117,84.74,161,190,-0.49
35,36,36,Spike McRoy,69,84.69,83,98,-0.37
36,37,37,Kirk Triplett,84,84.68,94,111,-0.43
37,38,38,Scott Verplank,93,84.56,126,149,-0.47
38,39,39,Steve Flesch,110,84.42,130,154,-0.42
39,40,40,Rory Sabbatini,69,84.4,92,109,-0.43
40,41,41,Kent Jones,105,84.32,156,185,-0.48
41,42,42,Peter Lonard,93,84.28,134,159,-0.53
42,43,43,Matt Gogel,79,84.21,96,114,-0.41
43,44,44,Heath Slocum,96,84.14,122,145,-0.35
44,45,45,Jeff Brehaut,87,84.12,143,170,-0.5
45,46,46,Tom Lehman,78,84.09,74,88,-0.42
46,47,47,Pat Perez,89,84.06,116,138,-0.47
47,48,48,Tim Petrovic,92,84.03,121,144,-0.46
48,49,49,Luke Donald,106,83.98,152,181,-0.41
49,50,50,John Riegger,88,83.93,141,168,-0.45
50,51,51,Harrison Frazar,88,83.92,120,143,-0.48
51,52,52,José María Olazábal,71,83.91,73,87,-0.58
52,53,53,David Frost,90,83.89,125,149,-0.43
53,54,54,Kaname Yokoo,74,83.76,98,117,-0.4
54,55,55,Frank Lickliter II,94,83.73,139,166,-0.46
55,56,56,Phil Tataurangi,88,83.54,132,158,-0.48
56,57,57,Edward Fryatt,94,83.53,142,170,-0.42
57,58,58,Billy Andrade,100,83.52,147,176,-0.52
58,59,59,Steve Stricker,68,83.51,81,97,-0.41
59,T60,T60,Retief Goosen,56,83.33,85,102,-0.58
60,T60,T60,Corey Pavin,78,83.33,90,108,-0.34
61,T60,T60,Duffy Waldorf,90,83.33,110,132,-0.55
62,63,63,John Rollins,124,83.26,194,233,-0.52
63,T64,T64,Jerry Kelly,99,83.23,129,155,-0.47
64,T64,T64,Jay Williamson,91,83.23,139,167,-0.42
65,66,66,Per-Ulrik Johansson,87,83.21,109,131,-0.46
66,67,67,Robert Allenby,96,83.08,162,195,-0.48
67,68,68,Tom Scherrer,98,83.02,132,159,-0.36
68,69,69,Stuart Appleby,97,82.99,161,194,-0.49
69,70,70,Mark Calcavecchia,84,82.91,97,117,-0.51
70,71,71,David Peoples,105,82.86,145,175,-0.5
71,72,72,Len Mattiace,106,82.82,135,163,-0.35
72,T73,T73,Paul Claxton,83,82.73,115,139,-0.4
73,T73,T73,Jay Haas,83,82.73,91,110,-0.47
74,75,75,Scott McCarron,106,82.72,134,162,-0.46
75,76,76,Billy Mayfair,99,82.68,105,127,-0.51
76,77,77,Craig Barlow,62,82.64,100,121,-0.46
77,78,78,Brett Quigley,93,82.53,137,166,-0.51
78,79,79,Craig Parry,69,82.52,118,143,-0.52
79,80,80,Shaun Micheel,100,82.51,151,183,-0.45
80,81,81,Michael Clark II,97,82.5,132,160,-0.37
81,82,82,John Huston,99,82.49,146,177,-0.5
82,T83,T83,Fulton Allem,64,82.24,88,107,-0.38
83,T83,T83,Bradley Hughes,60,82.24,88,107,-0.36
84,85,85,Stewart Cink,92,82.22,111,135,-0.51
85,86,86,Bob Tway,103,82.21,134,163,-0.37
86,87,87,Ernie Els,68,82.0,82,100,-0.52
87,88,88,Carlos Franco,107,81.94,186,227,-0.44
88,89,89,Jonathan Byrd,96,81.82,144,176,-0.59
89,90,90,Jeff Sluman,118,81.77,166,203,-0.45
90,91,91,Bo Van Pelt,78,81.66,138,169,-0.45
91,92,92,Justin Leonard,97,81.51,119,146,-0.43
92,93,93,Chris Riley,104,81.41,127,156,-0.4
93,94,94,David Gossett,95,81.25,143,176,-0.4
94,95,95,Jim Carter,98,81.16,112,138,-0.45
95,96,96,Kenny Perry,98,81.15,155,191,-0.52
96,97,97,Ian Leggatt,97,80.89,127,157,-0.48
97,98,98,Fred Couples,64,80.85,76,94,-0.46
98,99,99,Brenden Pappas,62,80.83,97,120,-0.45
99,100,100,Joey Sindelar,104,80.79,143,177,-0.47
100,101,101,Tripp Isenhour,68,80.74,109,135,-0.43
101,102,102,Mike Sposa,111,80.7,138,171,-0.38
102,103,103,Garrett Willis,80,80.69,117,145,-0.5
103,104,104,Charles Howell III,118,80.65,175,217,-0.53
104,105,105,Phil Mickelson,97,80.63,154,191,-0.49
105,106,106,Bart Bryant,69,80.58,112,139,-0.42
106,107,107,Bob Burns,99,80.54,120,149,-0.42
107,108,108,Brad Faxon,93,80.47,103,128,-0.41
108,109,109,Shigeki Maruyama,87,80.45,107,133,-0.5
109,110,110,Glen Hnatiuk,95,80.42,152,189,-0.38
110,111,111,Michael Long,71,80.41,119,148,-0.42
111,112,112,Mark Brooks,97,80.39,123,153,-0.39
112,T113,T113,Steve Allan,93,80.36,135,168,-0.56
113,T113,T113,Tom Byrum,77,80.36,90,112,-0.4
114,115,115,Dennis Paulson,89,80.34,143,178,-0.45
115,116,116,Joel Edwards,101,80.32,151,188,-0.49
116,117,117,Mike Hulbert,55,80.28,57,71,-0.35
117,118,118,Paul Stankowski,100,80.25,130,162,-0.55
118,119,119,Grant Waite,98,80.21,150,187,-0.48
119,120,120,Esteban Toledo,106,80.14,117,146,-0.3
120,T121,T121,Tim Clark,76,80.0,116,145,-0.5
121,T121,T121,Chris DiMarco,111,80.0,140,175,-0.54
122,T121,T121,Pete Jordan,78,80.0,96,120,-0.38
123,T121,T121,Bernhard Langer,55,80.0,48,60,-0.5
124,T121,T121,Steve Pate,64,80.0,68,85,-0.37
125,T121,T121,Matt Peterson,80,80.0,108,135,-0.36
126,127,127,Davis Love III,92,79.65,137,172,-0.63
127,128,128,Glen Day,107,79.63,172,216,-0.38
128,129,129,Joe Durant,87,79.55,105,132,-0.4
129,130,130,Sergio Garcia,79,79.46,89,112,-0.53
130,131,131,Steve Jones,71,79.31,69,87,-0.36
131,T132,T132,Stephen Ames,89,79.2,99,125,-0.52
132,T132,T132,Cameron Beckman,87,79.2,99,125,-0.52
133,134,134,Greg Chalmers,94,79.19,118,149,-0.54
134,135,135,Jesper Parnevik,85,79.17,76,96,-0.49
135,T136,T136,Olin Browne,107,79.1,140,177,-0.39
