,Greens_or_Fringe_in_Regulation_RANK THIS WEEK,Greens_or_Fringe_in_Regulation_RANK LAST WEEK,Greens_or_Fringe_in_Regulation_PLAYER NAME,Greens_or_Fringe_in_Regulation_ROUNDS,Greens_or_Fringe_in_Regulation_%,Greens_or_Fringe_in_Regulation_TOTAL HIT,Greens_or_Fringe_in_Regulation_TOTAL ATTEMPTS,Greens_or_Fringe_in_Regulation_RTP SCORE
0,1,1,Jim Furyk,88,108.26,367,339,-86.0
1,2,2,Tiger Woods,69,105.56,266,252,-80.0
2,3,3,Dan Forsman,83,103.77,413,398,-99.0
3,4,4,John Huston,99,103.14,427,414,-117.0
4,5,5,Tom Lehman,78,102.49,247,241,-50.0
5,6,6,Rocco Mediate,79,101.88,325,319,-100.0
6,7,7,Chris Smith,103,101.83,445,437,-107.0
7,8,8,David Toms,106,101.67,487,479,-151.0
8,9,9,Mark O'Meara,68,101.36,224,221,-51.0
9,10,10,Bob Tway,103,101.2,422,417,-74.0
10,11,11,Bart Bryant,69,101.17,347,343,-79.0
11,12,12,Shaun Micheel,100,100.85,475,471,-97.0
12,13,13,Peter Jacobsen,67,100.67,300,298,-45.0
13,14,14,Jeff Sluman,118,100.37,541,539,-134.0
14,15,15,"David Berganio, Jr.",80,100.25,396,395,-80.0
15,16,16,Fred Funk,106,100.19,519,518,-136.0
16,17,17,Charles Howell III,118,100.0,478,478,-125.0
17,18,18,Chad Campbell,111,99.8,502,503,-139.0
18,19,19,Lee Janzen,101,99.75,394,395,-101.0
19,20,20,Scott Hoch,71,99.66,289,290,-76.0
20,21,21,Joey Sindelar,104,99.6,495,497,-124.0
21,22,22,Luke Donald,106,99.59,485,487,-101.0
22,23,23,Vijay Singh,102,99.33,442,445,-135.0
23,24,24,Hal Sutton,74,98.93,277,280,-50.0
24,25,25,Jay Williamson,91,98.88,442,447,-107.0
25,26,26,Scott Verplank,93,98.59,349,354,-98.0
26,27,27,Tim Petrovic,92,98.47,385,391,-95.0
27,28,28,Retief Goosen,56,98.38,243,247,-81.0
28,29,29,Stephen Ames,89,98.2,328,334,-83.0
29,30,30,John Riegger,88,98.15,425,433,-113.0
30,31,31,Tommy Armour III,82,97.95,335,342,-59.0
31,32,32,Nick Price,69,97.9,280,286,-55.0
32,33,33,Notah Begay III,76,97.67,419,429,-104.0
33,34,34,Glen Hnatiuk,95,97.55,477,489,-105.0
34,35,35,K.J. Choi,93,97.52,393,403,-110.0
35,36,36,Bob Estes,93,97.5,390,400,-85.0
36,37,37,John Rollins,124,97.42,566,581,-153.0
37,38,38,Robert Allenby,96,97.41,451,463,-124.0
38,39,39,Hidemichi Tanaka,104,97.35,441,453,-102.0
39,T40,T40,Joe Durant,87,97.13,338,348,-80.0
40,T40,T40,David Peoples,105,97.13,474,488,-111.0
41,42,42,Michael Long,71,97.12,371,382,-79.0
42,43,43,J.J. Henry,112,97.08,499,514,-104.0
43,44,44,Russ Cochran,68,97.04,295,304,-53.0
44,45,45,Donnie Hammond,60,97.0,259,267,-71.0
45,46,46,J.L. Lewis,98,96.98,449,463,-122.0
46,47,47,Len Mattiace,106,96.96,479,494,-88.0
47,48,48,Jay Haas,83,96.92,315,325,-73.0
48,49,49,Billy Mayfair,99,96.88,373,385,-87.0
49,50,50,Blaine McCallister,75,96.74,326,337,-65.0
50,T51,T51,Carlos Franco,107,96.46,518,537,-121.0
51,T51,T51,John Senden,96,96.46,381,395,-86.0
52,53,53,Brett Wetterich,89,96.29,415,431,-84.0
53,54,54,Heath Slocum,96,96.16,376,391,-75.0
54,T55,T55,Fulton Allem,64,96.15,275,286,-34.0
55,T55,T55,Brandt Jobe,94,96.15,449,467,-117.0
56,57,57,Jim Carter,98,96.1,370,385,-85.0
57,58,58,Jerry Kelly,99,96.05,413,430,-99.0
58,59,59,Grant Waite,98,95.93,448,467,-109.0
59,60,60,Matt Peterson,80,95.71,402,420,-73.0
60,61,61,Mark Brooks,97,95.6,391,409,-74.0
61,T62,T62,Stuart Appleby,97,95.54,386,404,-117.0
62,T62,T62,Scott Dunlap,74,95.54,321,336,-48.0
63,T62,T62,Matt Gogel,79,95.54,321,336,-73.0
64,T62,T62,Kenny Perry,98,95.54,428,448,-118.0
65,66,66,John Cook,85,95.38,289,303,-79.0
66,T67,T67,Jeff Gove,89,95.32,448,470,-102.0
67,T67,T67,Dennis Paulson,89,95.32,387,406,-82.0
68,T69,T69,David Duval,78,95.22,299,314,-90.0
69,T69,T69,Tom Scherrer,98,95.22,418,439,-85.0
70,T71,T71,Jeff Brehaut,87,95.18,434,456,-99.0
71,T71,T71,Kevin Sutherland,96,95.18,316,332,-68.0
72,73,73,Ernie Els,68,95.15,255,268,-75.0
73,74,74,Glen Day,107,95.03,516,543,-118.0
74,75,75,Robert Gamez,69,95.0,342,360,-82.0
75,76,76,Kenneth Staton,104,94.98,473,498,-90.0
76,77,77,Joel Edwards,101,94.96,471,496,-120.0
77,78,78,Jay Don Blake,107,94.93,449,473,-109.0
78,79,79,Pat Bates,94,94.84,423,446,-99.0
79,80,80,Pat Perez,89,94.77,326,344,-84.0
80,81,81,Loren Roberts,93,94.65,425,449,-100.0
81,82,82,Steve Flesch,110,94.58,384,406,-90.0
82,83,83,Bernhard Langer,55,94.55,156,165,-39.0
83,84,84,David Gossett,95,94.42,423,448,-93.0
84,85,85,Rich Beem,99,94.41,405,429,-92.0
85,86,86,Steve Jones,71,94.39,269,285,-46.0
86,87,87,Robin Freeman,79,94.37,352,373,-71.0
87,T88,T88,Tom Byrum,77,94.32,332,352,-71.0
88,T88,T88,Paul Goydos,66,94.32,299,317,-62.0
89,T88,T88,Craig Parry,69,94.32,332,352,-93.0
90,91,91,Stewart Cink,92,94.23,343,364,-94.0
91,92,92,Tim Herron,102,94.2,406,431,-112.0
92,93,93,Duffy Waldorf,90,94.16,371,394,-97.0
93,94,94,Frank Lickliter II,94,94.15,370,393,-94.0
94,95,95,Michael Muehr,73,94.05,253,269,-43.0
95,96,96,Woody Austin,102,93.96,451,480,-97.0
96,97,97,Boo Weekley,57,93.93,263,280,-49.0
97,98,98,Craig Stadler,72,93.83,228,243,-59.0
98,99,99,Olin Browne,107,93.81,470,501,-109.0
99,100,100,Kent Jones,105,93.71,477,509,-116.0
100,101,101,Phil Tataurangi,88,93.67,355,379,-96.0
101,102,102,Billy Andrade,100,93.65,413,441,-123.0
102,103,103,Chris DiMarco,111,93.58,408,436,-106.0
103,104,104,Tim Clark,76,93.55,348,372,-95.0
104,T105,T105,Michael Clark II,97,93.51,418,447,-87.0
105,T105,T105,Peter Lonard,93,93.51,360,385,-91.0
106,107,107,Mike Sposa,111,93.49,474,507,-103.0
