,Best_YTD_1-Putt_or_Better_Streak_RANK THIS WEEK,Best_YTD_1-Putt_or_Better_Streak_RANK LAST WEEK,Best_YTD_1-Putt_or_Better_Streak_PLAYER NAME,Best_YTD_1-Putt_or_Better_Streak_EVENTS,Best_YTD_1-Putt_or_Better_Streak_VALUE
0,1,1,Brian Gay,30,14
1,2,2,Jarrod Lyle,18,13
2,T3,T3,Scott Piercy,28,11
3,T3,T3,Rory Sabbatini,26,11
4,T5,T5,Rich Barcelo,25,10
5,T5,T5,Cameron Beckman,25,10
6,T5,T5,Matt Bettencourt,32,10
7,T5,T5,Tim Clark,24,10
8,T5,T5,Ben Crane,24,10
9,T5,T5,Luke Donald,20,10
10,T5,T5,Paul Goydos,25,10
11,T5,T5,Ryuji Imada,28,10
12,T5,T5,Robert Karlsson,11,10
13,T5,T5,Jeff Klauk,13,10
14,T5,T5,George McNeill,28,10
15,T5,T5,Kevin Na,26,10
16,T5,T5,Michael Sim,20,10
17,T5,T5,Paul Stankowski,18,10
18,T5,T5,Tom Watson,3,10
19,T5,T5,Bubba Watson,22,10
20,T5,T5,Brett Wetterich,16,10
21,T5,T5,Charlie Wi,27,10
22,T23,T23,Michael Allen,17,9
23,T23,T23,Arjun Atwal,13,9
24,T23,T23,Ricky Barnes,28,9
25,T23,T23,K.J. Choi,22,9
26,T23,T23,Chad Collins,26,9
27,T23,T23,Jim Furyk,21,9
28,T23,T23,Mathias Grönberg,22,9
29,T23,T23,Zach Johnson,25,9
30,T23,T23,Martin Kaymer,10,9
31,T23,T23,Bill Lunde,28,9
32,T23,T23,John Mallinger,29,9
33,T23,T23,Troy Merritt,29,9
34,T23,T23,Shaun Micheel,21,9
35,T23,T23,Bryce Molder,26,9
36,T23,T23,Ryan Moore,24,9
37,T23,T23,Eddie Olson,1,9
38,T23,T23,Carl Pettersson,29,9
39,T23,T23,Andres Romero,21,9
40,T23,T23,Justin Rose,22,9
41,T23,T23,Brandt Snedeker,26,9
42,T43,T43,Woody Austin,29,8
43,T43,T43,Aaron Baddeley,26,8
44,T43,T43,Henrik Bjornstad,26,8
45,T43,T43,Mark Brooks,14,8
46,T43,T43,Paul Casey,17,8
47,T43,T43,Greg Chalmers,27,8
48,T43,T43,John Daly,20,8
49,T43,T43,Brian Davis,32,8
50,T43,T43,Brendon de Jonge,32,8
51,T43,T43,Graham DeLaet,28,8
52,T43,T43,Jason Dufner,25,8
53,T43,T43,Joe Durant,19,8
54,T43,T43,Steve Elkington,22,8
55,T43,T43,Ernie Els,20,8
56,T43,T43,Rickie Fowler,28,8
57,T43,T43,Carlos Franco,11,8
58,T43,T43,Harrison Frazar,17,8
59,T43,T43,Nathan Green,27,8
60,T43,T43,Tim Herron,24,8
61,T43,T43,Charley Hoffman,24,8
62,T43,T43,J.B. Holmes,26,8
63,T43,T43,Trevor Immelman,19,8
64,T43,T43,Lee Janzen,26,8
65,T43,T43,Richard Johnson,27,8
66,T43,T43,Matt Jones,27,8
67,T43,T43,Anthony Kim,14,8
68,T43,T43,Matt Kuchar,26,8
69,T43,T43,Martin Laird,26,8
70,T43,T43,Marc Leishman,26,8
71,T43,T43,Justin Leonard,27,8
72,T43,T43,Michael Letzig,27,8
73,T43,T43,Hunter Mahan,25,8
74,T43,T43,Graeme McDowell,10,8
75,T43,T43,John Merrick,31,8
76,T43,T43,Phil Mickelson,20,8
77,T43,T43,Joe Ogilvie,32,8
78,T43,T43,Greg Owen,27,8
79,T43,T43,Ryan Palmer,27,8
80,T43,T43,Brenden Pappas,24,8
81,T43,T43,Corey Pavin,8,8
82,T43,T43,Pat Perez,27,8
83,T43,T43,Kenny Perry,20,8
84,T43,T43,Alvaro Quiros,9,8
85,T43,T43,Webb Simpson,31,8
86,T43,T43,Henrik Stenson,15,8
87,T43,T43,Ron Streck,1,8
88,T43,T43,David Toms,25,8
89,T43,T43,Bo Van Pelt,28,8
90,T43,T43,Scott Verplank,22,8
91,T43,T43,Lee Westwood,11,8
92,T43,T43,Dean Wilson,18,8
93,T43,T43,Chris Wilson,26,8
94,T43,T43,Willie Wood,2,8
95,T43,T43,Kaname Yokoo,2,8
96,T97,T97,Blake Adams,26,7
97,T97,T97,Steve Allan,2,7
98,T97,T97,Robert Allenby,22,7
99,T97,T97,Stuart Appleby,31,7
100,T97,T97,Briny Baird,28,7
101,T97,T97,Rich Beem,11,7
102,T97,T97,Kris Blanks,30,7
103,T97,T97,Michael Bradley,24,7
104,T97,T97,Ángel Cabrera,19,7
105,T97,T97,Michael Campbell,3,7
106,T97,T97,Alex Cejka,28,7
107,T97,T97,Michael Connell,25,7
108,T97,T97,Chris Couch,23,7
109,T97,T97,Ben Curtis,24,7
110,T97,T97,Jason Day,24,7
111,T97,T97,James Driscoll,26,7
112,T97,T97,Bob Estes,26,7
113,T97,T97,Matt Every,18,7
114,T97,T97,Brad Faxon,23,7
115,T97,T97,Steve Flesch,25,7
116,T97,T97,Sergio Garcia,15,7
117,T97,T97,Tom Gillis,27,7
118,T97,T97,Retief Goosen,19,7
119,T97,T97,Jason Gore,10,7
120,T97,T97,Bill Haas,25,7
121,T97,T97,Peter Hanson,7,7
122,T97,T97,Padraig Harrington,18,7
123,T97,T97,J.P. Hayes,25,7
124,T97,T97,Mike Heinen,1,7
125,T97,T97,Charles Howell III,28,7
126,T97,T97,Freddie Jacobson,24,7
127,T97,T97,Kevin Johnson,26,7
128,T97,T97,Erick Justesen,2,7
129,T97,T97,Derek Lamely,28,7
130,T97,T97,Davis Love III,24,7
131,T97,T97,Steve Lowery,25,7
132,T97,T97,Will MacKenzie,23,7
133,T97,T97,Steve Marino,24,7
134,T97,T97,Troy Matteson,28,7
135,T97,T97,Scott McCarron,29,7
136,T97,T97,Jim McGovern,3,7
137,T97,T97,Parker McLachlin,20,7
138,T97,T97,Rocco Mediate,25,7
139,T97,T97,Daniel Miernicki,1,7
140,T97,T97,John Morse,5,7
141,T97,T97,Seung-Yul Noh,5,7
142,T97,T97,Louis Oosthuizen,5,7
143,T97,T97,Deane Pappas,2,7
144,T97,T97,Tim Petrovic,32,7
145,T97,T97,Ian Poulter,15,7
146,T97,T97,Alistair Presnell,1,7
147,T97,T97,Brett Quigley,29,7
148,T97,T97,Jeff Quinney,29,7
149,T97,T97,Chris Riley,24,7
150,T97,T97,Chris Rogers,2,7
151,T97,T97,John Rollins,26,7
152,T97,T97,Adam Scott,20,7
153,T97,T97,Vijay Singh,24,7
154,T97,T97,Heath Slocum,25,7
155,T97,T97,Chris Smith,10,7
156,T97,T97,Kevin Streelman,28,7
157,T97,T97,Steve Stricker,19,7
158,T97,T97,Chris Stroud,27,7
159,T97,T97,Nicholas Thompson,29,7
160,T97,T97,Chris Tidland,24,7
161,T97,T97,D.J. Trahan,27,7
162,T97,T97,Kirk Triplett,11,7
163,T97,T97,Omar Uresti,27,7
164,T97,T97,Charles Warren,21,7
165,T97,T97,Boo Weekley,27,7
166,T97,T97,Mike Weir,19,7
167,T97,T97,Steve Wheatcroft,27,7
168,T97,T97,Jay Williamson,24,7
169,T97,T97,Garrett Willis,24,7
170,T97,T97,Mark Wilson,28,7
171,T97,T97,Oliver Wilson,9,7
172,T97,T97,Tiger Woods,12,7
173,T97,T97,Y.E. Yang,21,7
174,T175,T175,Stephen Ames,23,6
175,T175,T175,Tommy Armour III,5,6
176,T175,T175,Craig Barlow,10,6
177,T175,T175,Chris Baryla,7,6
178,T175,T175,Jonathan Byrd,26,6
179,T175,T175,Mark Calcavecchia,16,6
180,T175,T175,Chad Campbell,28,6
181,T175,T175,Kevin Chappell,2,6
182,T175,T175,Daniel Chopra,28,6
183,T175,T175,Stewart Cink,23,6
184,T175,T175,Michael Clark II,6,6
185,T175,T175,Rhys Davies,4,6
186,T175,T175,Chris DiMarco,25,6
187,T175,T175,Ken Duke,5,6
188,T175,T175,David Duval,24,6
189,T175,T175,Martin Flores,26,6
190,T175,T175,Marcus Fraser,1,6
191,T175,T175,Robin Freeman,4,6
192,T175,T175,Fred Funk,6,6
193,T175,T175,Stephen Gallacher,2,6
194,T175,T175,Robert Garrigus,22,6
195,T175,T175,Mathew Goggin,28,6
196,T175,T175,Todd Hamilton,20,6
197,T175,T175,Soren Hansen,7,6
198,T175,T175,J.J. Henry,27,6
199,T175,T175,Mark Hensby,12,6
200,T175,T175,Ryo Ishikawa,10,6
201,T175,T175,Miguel Angel Jiménez,7,6
202,T175,T175,Dustin Johnson,23,6
203,T175,T175,Jerry Kelly,29,6
204,T175,T175,Skip Kendall,18,6
205,T175,T175,Greg Kraft,22,6
206,T175,T175,Cliff Kresge,17,6
207,T175,T175,Scott Langley,1,6
208,T175,T175,Brett Lederer,1,6
209,T175,T175,Spencer Levin,31,6
210,T175,T175,Jamie Lovemark,4,6
211,T175,T175,Jeff Maggert,28,6
212,T175,T175,Billy Mayfair,26,6
213,T175,T175,Rory McIlroy,16,6
214,T175,T175,James Nitties,30,6
215,T175,T175,Sean O'Hair,25,6
216,T175,T175,Nick O'Hern,11,6
217,T175,T175,Geoff Ogilvy,19,6
218,T175,T175,Jeff Overton,26,6
219,T175,T175,Cameron Percy,25,6
220,T175,T175,Tom Pernice Jr.,22,6
221,T175,T175,Aron Price,22,6
222,T175,T175,Dicky Pride,5,6
223,T175,T175,Alex Prugh,28,6
224,T175,T175,Fran Quinn,7,6
225,T175,T175,Chez Reavie,15,6
226,T175,T175,Sam Saunders,7,6
227,T175,T175,David Schultz,1,6
228,T175,T175,Charl Schwartzel,11,6
229,T175,T175,John Senden,30,6
230,T175,T175,Jeev Milkha Singh,19,6
231,T175,T175,Kevin Stadler,28,6
232,T175,T175,Kyle Stanley,3,6
233,T175,T175,Brian Stuard,28,6
234,T175,T175,Kevin Sutherland,25,6
235,T175,T175,Josh Teater,31,6
236,T175,T175,Roland Thatcher,26,6
237,T175,T175,Jerod Turner,21,6
238,T175,T175,Johnson Wagner,28,6
