,Best_Rounds_in_60s_Streak_RANK THIS WEEK,Best_Rounds_in_60s_Streak_RANK LAST WEEK,Best_Rounds_in_60s_Streak_PLAYER NAME,Best_Rounds_in_60s_Streak_CAREER BEST STREAK,Best_Rounds_in_60s_Streak_BEST YTD STREAK,Best_Rounds_in_60s_Streak_CURRENT STREAK
0,1,1,Bob Estes,17,4.0,
1,2,2,Charles Howell III,16,9.0,
2,T3,T3,Chris DiMarco,14,3.0,
3,T3,T3,Scott Hoch,14,,
4,T3,T3,Tiger Woods,14,3.0,
5,T6,T6,Brendon de Jonge,13,13.0,
6,T6,T6,Harrison Frazar,13,2.0,
7,T6,T6,Davis Love III,13,4.0,
8,T9,T9,Joe Durant,12,4.0,
9,T9,T9,Shigeki Maruyama,12,1.0,
10,T9,T9,Mark O'Meara,12,1.0,
11,T9,T9,Tim Petrovic,12,6.0,
12,T9,T9,Chris Riley,12,12.0,
13,T9,T9,Kevin Sutherland,12,4.0,
14,T9,T9,David Toms,12,4.0,
15,T16,T16,Brian Bateman,11,1.0,
16,T16,T16,Ben Crane,11,6.0,
17,T16,T16,David Edwards,11,,
18,T16,T16,Jim Furyk,11,5.0,
19,T16,T16,J.P. Hayes,11,3.0,
20,T16,T16,Bernhard Langer,11,,
21,T16,T16,Stephen Leaney,11,,
22,T16,T16,Bruce Lietzke,11,,
23,T16,T16,Mark McCumber,11,,
24,T16,T16,Jerry Pate,11,,
25,T16,T16,Kenny Perry,11,3.0,
26,T16,T16,John Senden,11,11.0,
27,T16,T16,Scott Verplank,11,5.0,
28,T29,T29,Woody Austin,10,10.0,
29,T29,T29,Chad Campbell,10,5.0,
30,T29,T29,Fred Couples,10,2.0,
31,T29,T29,Brian Davis,10,4.0,
32,T29,T29,Steve Flesch,10,3.0,
33,T29,T29,Carlos Franco,10,1.0,
34,T29,T29,David Frost,10,,
35,T29,T29,Fred Funk,10,1.0,
36,T29,T29,Robert Gamez,10,3.0,
37,T29,T29,Lucas Glover,10,4.0,
38,T29,T29,Matt Kuchar,10,10.0,
39,T29,T29,Rocco Mediate,10,3.0,
40,T29,T29,James Nitties,10,4.0,
41,T29,T29,Corey Pavin,10,8.0,
42,T29,T29,David Peoples,10,,
43,T29,T29,Tom Pernice Jr.,10,3.0,
44,T29,T29,Carl Pettersson,10,3.0,
45,T29,T29,Mike Reid,10,,
46,T29,T29,Loren Roberts,10,,
47,T29,T29,Gene Sauers,10,,
48,T29,T29,Tom Sieckmann,10,,
49,T29,T29,Joey Sindelar,10,,
50,T29,T29,Chris Smith,10,1.0,
51,T29,T29,Kevin Streelman,10,3.0,
52,T29,T29,Grant Waite,10,,
53,T54,T54,Billy Andrade,9,,
54,T54,T54,Stuart Appleby,9,4.0,
55,T54,T54,Tommy Armour III,9,1.0,
56,T54,T54,Aaron Baddeley,9,9.0,
57,T54,T54,Cameron Beckman,9,6.0,
58,T54,T54,Notah Begay III,9,1.0,
59,T54,T54,Bart Bryant,9,,
60,T54,T54,Brad Bryant,9,,
61,T54,T54,Mark Calcavecchia,9,3.0,
62,T54,T54,K.J. Choi,9,5.0,
63,T54,T54,Stewart Cink,9,5.0,
64,T54,T54,Lennie Clements,9,,
65,T54,T54,Ernie Els,9,4.0,
66,T54,T54,Rickie Fowler,9,7.0,
67,T54,T54,Sergio Garcia,9,3.0,
68,T54,T54,Brian Gay,9,7.0,
69,T54,T54,Paul Goydos,9,5.0,
70,T54,T54,Jay Haas,9,,
71,T54,T54,Padraig Harrington,9,3.0,
72,T54,T54,John Huston,9,2.0,
73,T54,T54,Tom Lehman,9,3.0,
74,T54,T54,Justin Leonard,9,7.0,
75,T54,T54,Steve Marino,9,6.0,
76,T54,T54,Blaine McCallister,9,,
77,T54,T54,Phil Mickelson,9,3.0,
78,T54,T54,Gil Morgan,9,,
79,T54,T54,Greg Norman,9,,
80,T54,T54,Jesper Parnevik,9,2.0,
81,T54,T54,Chris Perry,9,,
82,T54,T54,Heath Slocum,9,7.0,
83,T54,T54,Jeff Sluman,9,,
84,T54,T54,Payne Stewart,9,,
85,T54,T54,Steve Stricker,9,9.0,
86,T54,T54,Hal Sutton,9,,
87,T54,T54,Kirk Triplett,9,5.0,
88,T54,T54,Bob Tway,9,,
89,T54,T54,Johnson Wagner,9,9.0,
90,T54,T54,Mike Weir,9,6.0,
91,T92,T92,John Adams,8,,
92,T92,T92,Robert Allenby,8,6.0,
93,T92,T92,Paul Azinger,8,2.0,
94,T92,T92,Ian Baker-Finch,8,,
95,T92,T92,Doug Barron,8,,
96,T92,T92,Andy Bean,8,,
97,T92,T92,Matt Bettencourt,8,8.0,
98,T92,T92,Jason Bohn,8,8.0,
99,T92,T92,Bill Britton,8,,
100,T92,T92,Rex Caldwell,8,,
101,T92,T92,Jim Carter,8,1.0,
102,T92,T92,Bobby Clampett,8,,
103,T92,T92,Tim Clark,8,5.0,
104,T92,T92,Russ Cochran,8,,
105,T92,T92,Chad Collins,8,7.0,
106,T92,T92,John Cook,8,,
107,T92,T92,Ken Duke,8,2.0,
108,T92,T92,David Duval,8,4.0,
109,T92,T92,Bob Gilder,8,,
110,T92,T92,Bill Glasson,8,,
111,T92,T92,Hubert Green,8,,
112,T92,T92,Ken Green,8,,
113,T92,T92,Donnie Hammond,8,,
114,T92,T92,Dudley Hart,8,,
115,T92,T92,Mark Hayes,8,,
116,T92,T92,Charley Hoffman,8,4.0,
117,T92,T92,Mike Hulbert,8,,
118,T92,T92,Hale Irwin,8,,
119,T92,T92,Zach Johnson,8,5.0,
120,T92,T92,Steve Jones,8,,
121,T92,T92,Tom Kite,8,,
122,T92,T92,Jeff Klauk,8,3.0,
123,T92,T92,Greg Kraft,8,4.0,
124,T92,T92,Ian Leggatt,8,,
125,T92,T92,Michael Letzig,8,4.0,
126,T92,T92,Spencer Levin,8,8.0,
127,T92,T92,Steve Lowery,8,3.0,
128,T92,T92,Bill Lunde,8,3.0,
129,T92,T92,Troy Matteson,8,8.0,
130,T92,T92,George McNeill,8,4.0,
131,T92,T92,Larry Mize,8,,
132,T92,T92,Ryan Moore,8,5.0,
133,T92,T92,Arron Oberholser,8,,
134,T92,T92,Greg Owen,8,3.0,
135,T92,T92,Craig Parry,8,,
136,T92,T92,Calvin Peete,8,,
137,T92,T92,Nick Price,8,,
138,T92,T92,John Rollins,8,8.0,
139,T92,T92,Rory Sabbatini,8,4.0,
140,T92,T92,Webb Simpson,8,4.0,
141,T92,T92,Vijay Singh,8,3.0,
142,T92,T92,Craig Stadler,8,,
143,T92,T92,Curtis Strange,8,,
144,T92,T92,Josh Teater,8,8.0,
145,T92,T92,Jim Thorpe,8,,
146,T92,T92,Chris Tidland,8,8.0,
147,T92,T92,Bobby Wadkins,8,,
148,T92,T92,Bubba Watson,8,5.0,
149,T92,T92,D.A. Weibring,8,,
150,T92,T92,Charlie Wi,8,8.0,
151,T92,T92,Robert Wrenn,8,,
152,T153,T153,Michael Allen,7,3.0,
153,T153,T153,Stephen Ames,7,4.0,
154,T153,T153,Briny Baird,7,5.0,
155,T153,T153,Tom Byrum,7,,
156,T153,T153,Greg Chalmers,7,5.0,
157,T153,T153,Daniel Chopra,7,4.0,
158,T153,T153,Rod Curl,7,,
159,T153,T153,Robert Damron,7,1.0,
160,T153,T153,Glen Day,7,4.0,
161,T153,T153,Luke Donald,7,7.0,
162,T153,T153,James Driscoll,7,4.0,
163,T153,T153,Joel Edwards,7,,
164,T153,T153,Steve Elkington,7,7.0,
165,T153,T153,Dan Forsman,7,,
166,T153,T153,"Jim Gallagher, Jr.",7,1.0,
167,T153,T153,Brent Geiberger,7,,
168,T153,T153,Kelly Gibson,7,,
169,T153,T153,Matt Gogel,7,,
170,T153,T153,Bill Haas,7,5.0,
171,T153,T153,Gary Hallberg,7,,
172,T153,T153,Tim Herron,7,6.0,
173,T153,T153,Lon Hinkle,7,,
174,T153,T153,J.B. Holmes,7,7.0,
175,T153,T153,Peter Jacobsen,7,,
176,T153,T153,Richard Johnson,7,6.0,
177,T153,T153,Kent Jones,7,3.0,
178,T153,T153,Jonathan Kaye,7,2.0,
179,T153,T153,Kenny Knox,7,,
180,T153,T153,Gary Koch,7,,
181,T153,T153,Cliff Kresge,7,4.0,
182,T153,T153,Neal Lancaster,7,,
183,T153,T153,Wayne Levi,7,,
184,T153,T153,J.L. Lewis,7,1.0,
185,T153,T153,Frank Lickliter II,7,3.0,
186,T153,T153,Sandy Lyle,7,1.0,
187,T153,T153,Andrew Magee,7,,
188,T153,T153,Jeff Maggert,7,3.0,
189,T153,T153,John Mahaffey,7,,
190,T153,T153,Hunter Mahan,7,3.0,
191,T153,T153,Roger Maltbie,7,,
192,T153,T153,David Mathis,7,,
193,T153,T153,Scott McCarron,7,4.0,
194,T153,T153,Garth Mulroy,7,7.0,
195,T153,T153,Larry Nelson,7,,
196,T153,T153,Sean O'Hair,7,3.0,
197,T153,T153,Geoff Ogilvy,7,5.0,
198,T153,T153,Rod Pampling,7,4.0,
199,T153,T153,Pat Perez,7,7.0,
200,T153,T153,Don Pooley,7,,
201,T153,T153,Chez Reavie,7,1.0,
202,T153,T153,Jack Renner,7,,
203,T153,T153,Clarence Rose,7,,
204,T153,T153,Patrick Sheehan,7,,
205,T153,T153,"Wes Short, Jr.",7,,
206,T153,T153,Tony Sills,7,,
207,T153,T153,Scott Simpson,7,,
208,T153,T153,Mike Springer,7,,
209,T153,T153,Kevin Stadler,7,7.0,
210,T153,T153,Paul Stankowski,7,6.0,
211,T153,T153,Chris Stroud,7,6.0,
212,T153,T153,Lance Ten Broeck,7,,
213,T153,T153,Lee Trevino,7,,
214,T153,T153,Marc Turnesa,7,3.0,
