,Consecutive_BirdiesEagles_streak_RANK THIS WEEK,Consecutive_BirdiesEagles_streak_RANK LAST WEEK,Consecutive_BirdiesEagles_streak_PLAYER NAME,Consecutive_BirdiesEagles_streak_EVENTS,Consecutive_BirdiesEagles_streak_NUMBER OF HOLES
0,T1,T1,Jason Dufner,25,5
1,T1,T1,Rickie Fowler,28,5
2,T1,T1,Lucas Glover,23,5
3,T1,T1,Michael Letzig,27,5
4,T1,T1,Davis Love III,24,5
5,T1,T1,Troy Merritt,29,5
6,T1,T1,Chris Stroud,27,5
7,T8,T8,Rich Barcelo,25,4
8,T8,T8,K.J. Choi,22,4
9,T8,T8,Mathias Grönberg,22,4
10,T8,T8,Charley Hoffman,24,4
11,T8,T8,Anthony Kim,14,4
12,T8,T8,Jeff Klauk,13,4
13,T8,T8,Derek Lamely,28,4
14,T8,T8,Brock Mackenzie,1,4
15,T8,T8,Hunter Mahan,25,4
16,T8,T8,Rory McIlroy,16,4
17,T8,T8,Carl Pettersson,29,4
18,T8,T8,Chris Riley,24,4
19,T8,T8,Kevin Sutherland,25,4
20,T8,T8,Johnson Wagner,28,4
21,T8,T8,Nick Watney,24,4
22,T8,T8,Bubba Watson,22,4
23,T8,T8,Y.E. Yang,21,4
24,T25,T25,Stephen Ames,23,3
25,T25,T25,Briny Baird,28,3
26,T25,T25,Ricky Barnes,28,3
27,T25,T25,Jonathan Byrd,26,3
28,T25,T25,Ángel Cabrera,19,3
29,T25,T25,Mark Calcavecchia,16,3
30,T25,T25,Alex Cejka,28,3
31,T25,T25,Greg Chalmers,27,3
32,T25,T25,Ben Crane,24,3
33,T25,T25,Glen Day,13,3
34,T25,T25,Chris DiMarco,25,3
35,T25,T25,Joe Durant,19,3
36,T25,T25,John Ellis,1,3
37,T25,T25,Martin Flores,26,3
38,T25,T25,Jim Furyk,21,3
39,T25,T25,Brian Gay,30,3
40,T25,T25,Tom Gillis,27,3
41,T25,T25,Bill Haas,25,3
42,T25,T25,Peter Hanson,7,3
43,T25,T25,J.P. Hayes,25,3
44,T25,T25,Bob Heintz,3,3
45,T25,T25,J.J. Henry,27,3
46,T25,T25,Charles Howell III,28,3
47,T25,T25,Trevor Immelman,19,3
48,T25,T25,Lee Janzen,26,3
49,T25,T25,Miguel Angel Jiménez,7,3
50,T25,T25,Matt Jones,27,3
51,T25,T25,Jerry Kelly,29,3
52,T25,T25,Matt Kuchar,26,3
53,T25,T25,Bill Lunde,28,3
