,Consecutive_Cuts_RANK THIS WEEK,Consecutive_Cuts_RANK LAST WEEK,Consecutive_Cuts_PLAYER NAME,Consecutive_Cuts_TOTAL,Consecutive_Cuts_START TOURNAMENT ID
0,1,1,Steve Stricker,23,2009380
1,2,2,Lee Westwood,19,2009090
2,3,3,Retief Goosen,16,2010080
3,T4,T4,Chris DiMarco,14,2010250
4,T4,T4,Matt Kuchar,14,2010200
5,T6,T6,Andrew Coltart,13,1998350
6,T6,T6,Zach Johnson,13,2010230
7,T8,T8,Stewart Cink,12,2010220
8,T8,T8,Jason Day,12,2010220
9,10,10,Camilo Villegas,11,2010240
10,T11,T11,Kevin Na,10,2010310
11,T11,T11,Nick Watney,10,2010260
12,T11,T11,Tiger Woods,10,2010200
13,T14,T14,Rickie Fowler,9,2010310
14,T14,T14,Hunter Mahan,9,2010310
15,T14,T14,Ryan Palmer,9,2010320
16,T14,T14,Heath Slocum,9,2010310
17,T18,T18,Robert Allenby,8,2010260
18,T18,T18,Arjun Atwal,8,2010270
19,T18,T18,Jonathan Byrd,8,2010330
20,T18,T18,Todd Demsey,8,2008370
21,T18,T18,Robert Karlsson,8,2010160
22,T18,T18,Martin Laird,8,2010350
23,T24,T24,Peter Hanson,7,2010080
24,T24,T24,Dustin Johnson,7,2010310
25,T24,T24,Ian Poulter,7,2010260
26,T24,T24,Adam Scott,7,2010310
27,T24,T24,John Senden,7,2010380
28,T24,T24,Charlie Wi,7,2010380
29,T30,T30,Paul Casey,6,2010350
30,T30,T30,Ernie Els,6,2010350
31,T30,T30,Jim Furyk,6,2010330
32,T30,T30,Bill Haas,6,2010370
33,T30,T30,Rory McIlroy,6,2010310
34,T30,T30,Andres Romero,6,2010370
35,T30,T30,Kevin Streelman,6,2010370
36,T30,T30,Doug Tewell,6,1999230
37,T30,T30,Bubba Watson,6,2010350
38,T39,T39,Fredrik Andersson Hed,5,2002310
39,T39,T39,Grégory Bourdy,5,2006440
40,T39,T39,Brendon de Jonge,5,2010390
41,T39,T39,Joe Durant,5,2010370
42,T39,T39,Matt Every,5,2010290
43,T39,T39,Brian Gay,5,2010400
44,T39,T39,Tom Gillis,5,2010390
45,T39,T39,Mathew Goggin,5,2010420
46,T39,T39,J.B. Holmes,5,2010390
47,T39,T39,Charles Howell III,5,2010390
48,T39,T39,Martin Kaymer,5,2010200
49,T39,T39,Jerry Kelly,5,2010420
50,T39,T39,James Kingston,5,2008350
51,T39,T39,Wayne Levi,5,2001300
52,T39,T39,Davis Love III,5,2010380
53,T39,T39,Scott Piercy,5,2010420
54,T39,T39,Brett Quigley,5,2010420
55,T39,T39,John Riegger,5,2008450
56,T39,T39,Peter Senior,5,2000310
57,T39,T39,Patrick Sheehan,5,2009320
58,T39,T39,Chris Stroud,5,2010420
59,T39,T39,Bo Van Pelt,5,2010390
60,T61,T61,Aaron Baddeley,4,2010440
61,T61,T61,Ricky Barnes,4,2010390
