,YTD_Consecutive_Cuts_RANK THIS WEEK,YTD_Consecutive_Cuts_RANK LAST WEEK,YTD_Consecutive_Cuts_PLAYER NAME,YTD_Consecutive_Cuts_NUMBER OF CUTS
0,1,1,Steve Stricker,19
1,2,2,Retief Goosen,16
2,T3,T3,Chris DiMarco,14
3,T3,T3,Matt Kuchar,14
4,5,5,Zach Johnson,13
5,T6,T6,Stewart Cink,12
6,T6,T6,Jason Day,12
7,T8,T8,Camilo Villegas,11
8,T8,T8,Lee Westwood,11
9,T10,T10,Kevin Na,10
10,T10,T10,Nick Watney,10
11,T10,T10,Tiger Woods,10
12,T13,T13,Rickie Fowler,9
13,T13,T13,Hunter Mahan,9
14,T13,T13,Ryan Palmer,9
15,T13,T13,Heath Slocum,9
16,T17,T17,Robert Allenby,8
17,T17,T17,Arjun Atwal,8
18,T17,T17,Jonathan Byrd,8
19,T17,T17,Robert Karlsson,8
20,T17,T17,Martin Laird,8
21,T22,T22,Peter Hanson,7
22,T22,T22,Dustin Johnson,7
23,T22,T22,Ian Poulter,7
24,T22,T22,Adam Scott,7
25,T22,T22,John Senden,7
26,T22,T22,Charlie Wi,7
27,T28,T28,Paul Casey,6
28,T28,T28,Ernie Els,6
29,T28,T28,Jim Furyk,6
30,T28,T28,Bill Haas,6
31,T28,T28,Rory McIlroy,6
32,T28,T28,Andres Romero,6
33,T28,T28,Kevin Streelman,6
34,T28,T28,Bubba Watson,6
35,T36,T36,Brendon de Jonge,5
36,T36,T36,Joe Durant,5
37,T36,T36,Matt Every,5
38,T36,T36,Brian Gay,5
39,T36,T36,Tom Gillis,5
40,T36,T36,Mathew Goggin,5
41,T36,T36,J.B. Holmes,5
42,T36,T36,Charles Howell III,5
43,T36,T36,Martin Kaymer,5
44,T36,T36,Jerry Kelly,5
45,T36,T36,Davis Love III,5
46,T36,T36,Scott Piercy,5
47,T36,T36,Brett Quigley,5
48,T36,T36,Chris Stroud,5
49,T36,T36,Bo Van Pelt,5
50,T51,T51,Aaron Baddeley,4
51,T51,T51,Ricky Barnes,4
52,T51,T51,Chad Campbell,4
53,T51,T51,Tim Clark,4
54,T51,T51,Graham DeLaet,4
55,T51,T51,Luke Donald,4
56,T51,T51,Cliff Kresge,4
57,T51,T51,Michael Letzig,4
58,T51,T51,Troy Merritt,4
59,T51,T51,Edoardo Molinari,4
60,T51,T51,Pat Perez,4
61,T51,T51,Tom Pernice Jr.,4
62,T51,T51,Tim Petrovic,4
63,T51,T51,Charl Schwartzel,4
64,T51,T51,Michael Sim,4
65,T51,T51,Webb Simpson,4
66,T51,T51,Kevin Stadler,4
67,T51,T51,David Toms,4
68,T69,T69,Blake Adams,3
69,T69,T69,Ángel Cabrera,3
70,T69,T69,K.J. Choi,3
71,T69,T69,Simon Dyson,3
72,T69,T69,Martin Flores,3
73,T69,T69,Fred Funk,3
74,T69,T69,Robert Garrigus,3
75,T69,T69,Paul Goydos,3
76,T69,T69,Bob Heintz,3
77,T69,T69,John Huston,3
78,T69,T69,Simon Khan,3
79,T69,T69,Spencer Levin,3
80,T69,T69,Frank Lickliter II,3
81,T69,T69,Phil Mickelson,3
82,T69,T69,Ryan Moore,3
83,T69,T69,Sean O'Hair,3
84,T69,T69,Geoff Ogilvy,3
85,T69,T69,Vijay Singh,3
86,T69,T69,Kevin Sutherland,3
87,T69,T69,Roland Thatcher,3
88,T69,T69,Chris Tidland,3
89,T69,T69,Charles Warren,3
90,T69,T69,Y.E. Yang,3
91,T92,T92,Fredrik Andersson Hed,2
92,T92,T92,Briny Baird,2
93,T92,T92,Grégory Bourdy,2
94,T92,T92,Alejandro Cañizares,2
95,T92,T92,Darren Clarke,2
96,T92,T92,Michael Connell,2
97,T92,T92,Ben Crane,2
98,T92,T92,John Daly,2
99,T92,T92,Rhys Davies,2
100,T92,T92,Jason Dufner,2
101,T92,T92,Ken Duke,2
102,T92,T92,David Duval,2
103,T92,T92,Benjamin Fox,2
104,T92,T92,Stephen Gallacher,2
105,T92,T92,Jason Gore,2
106,T92,T92,David Horsey,2
107,T92,T92,Ryuji Imada,2
108,T92,T92,K.T. Kim,2
109,T92,T92,Ross McGowan,2
110,T92,T92,John Merrick,2
111,T92,T92,Francesco Molinari,2
112,T92,T92,Michael O'Neal,2
113,T92,T92,Jeff Overton,2
114,T92,T92,Brenden Pappas,2
115,T92,T92,Cameron Percy,2
116,T92,T92,Dicky Pride,2
117,T92,T92,Alex Prugh,2
118,T92,T92,Chez Reavie,2
119,T92,T92,Justin Rose,2
120,T92,T92,Brandt Snedeker,2
121,T92,T92,Toru Taniguchi,2
122,T92,T92,Nicholas Thompson,2
123,T92,T92,Kirk Triplett,2
124,T92,T92,Mark Wilson,2
