,Current_Streak_without_a_3-Putt_RANK THIS WEEK,Current_Streak_without_a_3-Putt_RANK LAST WEEK,Current_Streak_without_a_3-Putt_PLAYER NAME,Current_Streak_without_a_3-Putt_EVENTS,Current_Streak_without_a_3-Putt_VALUE
0,1,1,Padraig Harrington,18,227
1,2,2,D.A. Points,29,167
2,3,3,Michael Sim,20,140
3,4,4,Spencer Levin,31,127
4,5,5,Charles Howell III,28,115
5,6,6,K.J. Choi,22,113
6,7,7,Justin Leonard,27,112
7,8,8,Alex Cejka,28,106
8,9,9,Troy Merritt,29,104
9,10,10,Brenden Pappas,24,103
10,11,11,Andres Romero,21,90
11,12,12,James Driscoll,26,88
12,T13,T13,Briny Baird,28,87
13,T13,T13,Cliff Kresge,17,87
14,T13,T13,Mark Wilson,28,87
15,T16,T16,Greg Chalmers,27,85
16,T16,T16,Chris Couch,23,85
17,T18,T18,Brendon de Jonge,32,84
18,T18,T18,Trevor Immelman,19,84
19,20,20,Jeff Quinney,29,80
20,21,21,Chris DiMarco,25,71
21,22,22,Brett Wetterich,16,68
22,23,23,Skip Kendall,18,66
23,24,24,Chris Wilson,26,64
24,25,25,Joe Durant,19,62
25,26,26,Ryan Palmer,27,61
26,T27,T27,Chad Collins,26,59
27,T27,T27,Jerod Turner,21,59
28,T27,T27,Johnson Wagner,28,59
29,30,30,Steve Stricker,19,58
30,31,31,Steve Flesch,25,57
31,T32,T32,Scott McCarron,29,56
32,T32,T32,Sean O'Hair,25,56
33,34,34,Zach Johnson,25,53
34,35,35,Brad Faxon,23,52
35,36,36,Steve Marino,24,51
36,37,37,Kevin Stadler,28,50
37,T38,T38,Woody Austin,29,49
38,T38,T38,Rickie Fowler,28,49
39,T38,T38,J.P. Hayes,25,49
40,T41,T41,Henrik Bjornstad,26,46
41,T41,T41,Derek Lamely,28,46
42,43,43,Rocco Mediate,25,45
43,44,44,Y.E. Yang,21,43
44,45,45,Matt Every,18,42
45,T46,T46,Ernie Els,20,41
46,T46,T46,Paul Goydos,25,41
47,48,48,Jason Bohn,25,39
48,T49,T49,Carl Pettersson,29,37
49,T49,T49,John Rollins,26,37
50,T49,T49,Bubba Watson,22,37
51,T52,T52,Stephen Ames,23,36
52,T52,T52,Michael Connell,25,36
53,54,54,Charles Warren,21,35
54,55,55,Kenny Perry,20,34
55,T56,T56,Brian Gay,30,33
56,T56,T56,Dustin Johnson,23,33
57,T56,T56,Jerry Kelly,29,33
58,T56,T56,Shaun Micheel,21,33
59,60,60,David Lutterus,25,32
60,61,61,John Mallinger,29,31
61,62,62,Boo Weekley,27,30
62,T63,T63,Paul Casey,17,29
63,T63,T63,Tim Herron,24,29
64,T63,T63,Chris Riley,24,29
65,T66,T66,Nathan Green,27,28
66,T66,T66,Scott Piercy,28,28
67,T68,T68,Robert Allenby,22,27
68,T68,T68,Nick Watney,24,27
69,T70,T70,Jonathan Byrd,26,26
70,T70,T70,Chad Campbell,28,26
71,T70,T70,Adam Scott,20,26
72,T70,T70,Steve Wheatcroft,27,26
73,T74,T74,Billy Mayfair,26,23
74,T74,T74,Kevin Streelman,28,23
75,T76,T76,Steve Lowery,25,22
76,T76,T76,Chris Tidland,24,22
77,T78,T78,Tim Clark,24,21
78,T78,T78,Luke Donald,20,21
79,T78,T78,Matt Kuchar,26,21
80,T78,T78,Marc Leishman,26,21
81,T78,T78,Rod Pampling,26,21
82,T78,T78,Ted Purdy,30,21
83,T78,T78,Webb Simpson,31,21
84,T85,T85,Rich Barcelo,25,20
85,T85,T85,Bob Estes,26,20
86,T85,T85,Greg Kraft,22,20
87,T88,T88,Matt Bettencourt,32,19
88,T88,T88,Kris Blanks,30,19
89,T88,T88,Kevin Johnson,26,19
90,T88,T88,Troy Matteson,28,19
91,T88,T88,Brian Stuard,28,19
92,T88,T88,Camilo Villegas,20,19
93,T88,T88,Dean Wilson,18,19
94,T95,T95,Sergio Garcia,15,18
95,T95,T95,Hunter Mahan,25,18
96,T95,T95,Paul Stankowski,18,18
97,T98,T98,Mark Calcavecchia,16,17
98,T98,T98,Jim Furyk,21,17
99,T98,T98,J.J. Henry,27,17
100,T98,T98,Cameron Percy,25,17
101,T98,T98,Rory Sabbatini,26,17
102,T98,T98,D.J. Trahan,27,17
103,T104,T104,David Duval,24,16
104,T104,T104,Omar Uresti,27,16
105,T104,T104,Jay Williamson,24,16
106,T107,T107,Mathias Grönberg,22,15
107,T107,T107,Tom Pernice Jr.,22,15
108,T109,T109,Greg Owen,27,14
109,T109,T109,Alex Prugh,28,14
110,T111,T111,Stewart Cink,23,13
111,T111,T111,Retief Goosen,19,13
112,T111,T111,Richard Johnson,27,13
113,T111,T111,Martin Laird,26,13
114,T111,T111,Ryan Moore,24,13
115,T116,T116,Steve Elkington,22,12
116,T116,T116,Mathew Goggin,28,12
117,T116,T116,Rory McIlroy,16,12
118,T116,T116,George McNeill,28,12
119,T116,T116,Geoff Ogilvy,19,12
120,T121,T121,Aaron Baddeley,26,11
121,T121,T121,Jeff Gove,22,11
122,T121,T121,Lee Janzen,26,11
123,T121,T121,James Nitties,30,11
124,T125,T125,Martin Flores,26,10
125,T125,T125,Tom Gillis,27,10
126,T125,T125,Michael Letzig,27,10
127,T125,T125,Davis Love III,24,10
128,T125,T125,Will MacKenzie,23,10
129,T125,T125,Bryce Molder,26,10
130,T125,T125,Cameron Tringale,22,10
131,T132,T132,Cameron Beckman,25,9
132,T132,T132,Tim Petrovic,32,9
133,T132,T132,Charlie Wi,27,9
134,T135,T135,Justin Rose,22,8
135,T135,T135,Josh Teater,31,8
136,T137,T137,Brian Davis,32,7
137,T137,T137,Matt Jones,27,7
138,T137,T137,Phil Mickelson,20,7
139,T137,T137,Kevin Na,26,7
140,T137,T137,Pat Perez,27,7
141,T137,T137,Brandt Snedeker,26,7
142,T137,T137,Vaughn Taylor,26,7
143,T137,T137,Mike Weir,19,7
144,T145,T145,Ricky Barnes,28,6
145,T145,T145,Ángel Cabrera,19,6
146,T145,T145,Ben Curtis,24,6
147,T145,T145,Vijay Singh,24,6
148,T145,T145,Jeev Milkha Singh,19,6
149,T145,T145,Heath Slocum,25,6
150,T145,T145,Chris Stroud,27,6
151,T145,T145,Kevin Sutherland,25,6
152,T145,T145,Scott Verplank,22,6
153,T145,T145,Jimmy Walker,27,6
154,T155,T155,John Daly,20,5
155,T155,T155,Freddie Jacobson,24,5
156,T155,T155,Garrett Willis,24,5
157,T158,T158,Craig Bowden,20,4
158,T158,T158,Jason Day,24,4
159,T158,T158,Robert Garrigus,22,4
160,T158,T158,Bill Haas,25,4
161,T158,T158,Ian Poulter,15,4
162,T158,T158,Vance Veazey,23,4
163,T164,T164,Brent Delahoussaye,21,3
164,T164,T164,J.B. Holmes,26,3
165,T164,T164,Jeff Overton,26,3
166,T164,T164,Brett Quigley,29,3
167,T164,T164,John Senden,30,3
168,T169,T169,Michael Bradley,24,2
169,T169,T169,Daniel Chopra,28,2
170,T169,T169,Ben Crane,24,2
171,T169,T169,Graham DeLaet,28,2
172,T169,T169,Ryuji Imada,28,2
173,T169,T169,Andrew McLardy,21,2
174,T169,T169,Garth Mulroy,19,2
175,T169,T169,Joe Ogilvie,32,2
176,T169,T169,Roger Tambellini,26,2
177,T169,T169,Roland Thatcher,26,2
178,T169,T169,David Toms,25,2
179,T180,T180,Justin Bolli,23,1
180,T180,T180,Charley Hoffman,24,1
181,T180,T180,John Merrick,31,1
182,T180,T180,Aron Price,22,1
183,T180,T180,Bo Van Pelt,28,1
