,Scrambling_from_the_Rough_RANK THIS WEEK,Scrambling_from_the_Rough_RANK LAST WEEK,Scrambling_from_the_Rough_PLAYER NAME,Scrambling_from_the_Rough_ROUNDS,Scrambling_from_the_Rough_%,Scrambling_from_the_Rough_SUCCESSES,Scrambling_from_the_Rough_ATTEMPTS
0,1,1,Jim Furyk,50,69.83,81,116
1,2,2,Ryan Moore,78,68.15,92,135
2,3,3,Webb Simpson,95,66.48,119,179
3,4,4,Jon Rahm,71,66.38,77,116
4,5,5,Rory McIlroy,64,65.6,82,125
5,6,6,Brian Gay,103,65.32,145,222
6,7,7,Daniel Berger,81,65.22,75,115
7,8,8,Alex Cejka,77,65.14,114,175
8,9,9,Abraham Ancer,98,64.98,141,217
9,10,10,Jamie Lovemark,92,64.46,107,166
10,11,11,Ian Poulter,73,64.29,54,84
11,12,12,Justin Thomas,91,63.89,92,144
12,13,13,Louis Oosthuizen,62,63.81,67,105
13,14,14,Daniel Summerhays,51,63.64,84,132
14,15,15,Steve Wheatcroft,60,63.36,83,131
15,16,16,Chez Reavie,93,63.2,79,125
16,17,17,Denny McCarthy,71,63.19,91,144
17,18,18,Jordan Spieth,81,63.16,84,133
18,19,19,Andrew Putnam,97,63.1,118,187
19,20,20,Tyrrell Hatton,58,63.04,58,92
20,21,21,Dustin Johnson,77,62.96,85,135
21,22,22,Branden Grace,67,62.77,59,94
22,23,23,Chris Kirk,108,62.63,124,198
23,24,24,Vaughn Taylor,83,62.58,102,163
24,25,25,Kevin Kisner,89,62.5,100,160
25,26,26,Jhonattan Vegas,92,62.31,124,199
26,27,27,Johnson Wagner,75,62.07,90,145
27,28,28,Richy Werenski,98,62.01,111,179
28,29,29,Martin Piller,79,61.98,150,242
29,30,30,Zach Johnson,94,61.84,94,152
30,31,31,Si Woo Kim,108,61.68,132,214
31,32,32,Tiger Woods,68,61.67,74,120
32,33,33,Kevin Streelman,94,61.54,96,156
33,34,34,Alex Noren,67,61.46,59,96
34,35,35,Brian Stuard,103,61.42,121,197
35,36,36,Brice Garnett,99,61.34,119,194
36,37,37,Kevin Na,91,61.27,106,173
37,38,38,Emiliano Grillo,94,61.15,96,157
38,39,39,Austin Cook,107,61.14,140,229
39,40,40,Paul Casey,74,60.75,65,107
40,41,41,Talor Gooch,78,60.59,103,170
41,42,42,Jimmy Walker,81,60.57,106,175
42,43,43,Cameron Smith,85,60.56,86,142
43,44,44,Joel Dahmen,93,60.51,118,195
44,45,45,Adam Hadwin,92,60.29,82,136
45,46,46,Tom Hoge,101,60.26,138,229
46,47,47,Tyrone Van Aswegen,101,60.21,115,191
47,48,48,Matt Kuchar,88,60.0,78,130
48,49,49,Retief Goosen,60,59.84,73,122
49,50,50,Conrad Shindler,60,59.48,69,116
50,51,51,Bud Cauley,55,59.43,63,106
51,52,52,Fabián Gómez,88,59.32,105,177
52,53,53,Stewart Cink,87,59.26,96,162
53,54,54,Shawn Stefani,76,59.21,90,152
54,55,55,Whee Kim,93,59.05,124,210
55,56,56,Andrew Landry,82,59.04,111,188
56,57,57,Zac Blair,64,58.96,79,134
57,58,58,Ollie Schniederjans,91,58.95,112,190
58,59,59,Brandt Snedeker,84,58.93,99,168
59,60,60,"Ted Potter, Jr.",87,58.85,113,192
60,61,61,Lucas Glover,65,58.76,57,97
61,62,62,Peter Uihlein,83,58.74,84,143
62,T63,T63,Keegan Bradley,98,58.65,78,133
63,T63,T63,Kevin Chappell,77,58.65,78,133
64,65,65,Patrick Cantlay,87,58.59,75,128
65,66,66,Kiradech Aphibarnrat,51,58.44,45,77
66,67,67,Matt Atkins,56,58.41,66,113
