,Proximity_to_Hole_from_Sand_RANK THIS WEEK,Proximity_to_Hole_from_Sand_RANK LAST WEEK,Proximity_to_Hole_from_Sand_PLAYER NAME,Proximity_to_Hole_from_Sand_ROUNDS,Proximity_to_Hole_from_Sand_AVG DTP,Proximity_to_Hole_from_Sand_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Sand_# OF SHOTS,Proximity_to_Hole_from_Sand_SCRAMBLING RANK
0,1,1,Louis Oosthuizen,62,"6' 6""",581.5830000000001,89,3
1,T2,T2,Alex Cejka,77,"7' 4""",769.5830000000001,105,6
2,T2,T2,Webb Simpson,95,"7' 4""",867.0830000000001,118,1
3,4,4,Bud Cauley,55,"7' 6""",564.6669999999999,75,56
4,5,5,Zac Blair,64,"7' 7""",517.6669999999999,68,33
5,6,6,Ben Crane,65,"7' 8""",559.25,73,16
6,T7,T7,Danny Lee,88,"7' 9""",1022.8330000000001,132,46
7,T7,T7,D.A. Points,63,"7' 9""",658.0,85,182
8,9,9,Matt Kuchar,88,"7' 10""",932.8330000000001,119,9
9,T10,T10,Jonas Blixt,67,"7' 11""",553.75,70,130
10,T10,T10,Brooks Koepka,64,"7' 11""",588.25,74,12
11,T12,T12,Jason Day,75,"8' 0""",798.6669999999999,100,25
12,T12,T12,Henrik Stenson,60,"8' 0""",393.5,49,48
13,T12,T12,Kyle Thompson,50,"8' 0""",407.5,51,178
14,15,15,Aaron Baddeley,84,"8' 1""",926.5,115,39
15,16,16,Cameron Smith,85,"8' 2""",934.5,115,38
16,T17,T17,Si Woo Kim,108,"8' 3""",1176.667,143,118
17,T17,T17,Rory Sabbatini,91,"8' 3""",1261.0,153,35
18,T17,T17,Justin Thomas,91,"8' 3""",815.5830000000001,99,24
19,T20,T20,Wesley Bryan,69,"8' 4""",714.0830000000001,86,53
20,T20,T20,Jonathan Byrd,70,"8' 4""",567.9169999999999,68,93
21,T20,T20,Billy Hurley III,70,"8' 4""",651.8330000000001,78,164
22,T20,T20,Patrick Reed,94,"8' 4""",981.75,118,18
23,T24,T24,Talor Gooch,78,"8' 5""",881.0830000000001,105,69
24,T24,T24,Adam Hadwin,92,"8' 5""",914.3330000000001,109,85
25,T24,T24,Chris Kirk,108,"8' 5""",1269.5,151,10
26,T24,T24,Phil Mickelson,90,"8' 5""",975.0830000000001,116,91
