,Scrambling_from__30_yards_RANK THIS WEEK,Scrambling_from__30_yards_RANK LAST WEEK,Scrambling_from__30_yards_PLAYER NAME,Scrambling_from__30_yards_ROUNDS,Scrambling_from__30_yards_%,Scrambling_from__30_yards_SUCCESSES,Scrambling_from__30_yards_ATTEMPTS
0,1,1,Jim Furyk,50,46.55,27,58
1,2,2,Jason Dufner,71,45.71,32,70
2,3,3,Ben Crane,65,45.65,21,46
3,4,4,Cameron Smith,85,42.5,34,80
4,5,5,Ryan Armour,109,42.17,35,83
5,6,6,Nick Taylor,94,41.67,30,72
6,7,7,Zach Johnson,94,41.18,35,85
7,8,8,Daniel Berger,81,40.54,30,74
8,9,9,Matt Kuchar,88,39.71,27,68
9,T10,T10,Denny McCarthy,71,38.89,21,54
10,T10,T10,Ben Silverman,90,38.89,28,72
11,12,12,Chez Reavie,93,38.78,19,49
12,13,13,Kevin Na,91,37.93,33,87
13,14,14,Alex Noren,67,37.7,23,61
14,T15,T15,Zac Blair,64,37.25,19,51
15,T15,T15,Dustin Johnson,77,37.25,19,51
16,17,17,Jason Day,75,37.04,20,54
17,18,18,Danny Lee,88,36.99,27,73
18,19,19,Scott Stallings,96,36.36,32,88
19,20,20,Webb Simpson,95,36.26,33,91
20,21,21,William McGirt,84,36.0,27,75
21,T22,T22,Hunter Mahan,67,35.71,15,42
22,T22,T22,Johnson Wagner,75,35.71,15,42
23,24,24,Kelly Kraft,94,35.44,28,79
24,25,25,Ollie Schniederjans,91,35.29,36,102
25,26,26,Rory Sabbatini,91,35.21,25,71
26,T27,T27,Brooks Koepka,64,35.19,19,54
27,T27,T27,Seamus Power,86,35.19,19,54
28,29,29,David Hearn,66,35.0,14,40
29,30,30,Phil Mickelson,90,34.52,29,84
30,31,31,Gary Woodland,96,34.43,21,61
31,T32,T32,Wesley Bryan,69,34.33,23,67
32,T32,T32,Jonathan Randolph,71,34.33,23,67
33,34,34,Jimmy Walker,81,34.29,36,105
34,35,35,Adam Scott,78,33.93,19,56
35,36,36,Kevin Kisner,89,33.82,23,68
36,T37,T37,Byeong Hun An,86,33.75,27,80
