,Proximity_to_Hole_from_Other_Locations_RANK THIS WEEK,Proximity_to_Hole_from_Other_Locations_RANK LAST WEEK,Proximity_to_Hole_from_Other_Locations_PLAYER NAME,Proximity_to_Hole_from_Other_Locations_ROUNDS,Proximity_to_Hole_from_Other_Locations_AVG DTP,Proximity_to_Hole_from_Other_Locations_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Other_Locations_# OF SHOTS,Proximity_to_Hole_from_Other_Locations_SCRAMBLING RANK
0,1,1,Wesley Bryan,69,"4' 10""",6.962000000000001,120,53
1,2,2,Tiger Woods,68,"5' 0""",7.348,123,4
2,3,3,Kevin Na,91,"5' 1""",10.307,170,8
3,4,4,Jamie Lovemark,92,"5' 5""",12.387,192,40
4,T5,T5,Tyrrell Hatton,58,"5' 7""",5.52,83,21
5,T5,T5,Webb Simpson,95,"5' 7""",9.584,142,1
6,T5,T5,Justin Thomas,91,"5' 7""",10.977,164,24
7,T8,T8,Martin Laird,73,"5' 8""",11.285,165,73
8,T8,T8,Ryan Moore,78,"5' 8""",10.421,154,4
9,T8,T8,Rob Oppenheim,74,"5' 8""",7.922999999999999,116,68
10,T11,T11,Bud Cauley,55,"5' 9""",6.6979999999999995,97,56
11,T11,T11,Tony Finau,105,"5' 9""",11.280999999999999,164,119
12,T11,T11,Jim Furyk,50,"5' 9""",6.125,89,21
13,T11,T11,Jordan Spieth,81,"5' 9""",9.666,140,31
14,T15,T15,Nate Lashley,51,"5' 10""",4.744,68,49
15,T15,T15,Danny Lee,88,"5' 10""",11.125,158,46
16,T15,T15,Kevin Streelman,94,"5' 10""",12.237,176,43
17,T18,T18,Zach Johnson,94,"5' 11""",10.829,153,25
18,T18,T18,Matt Jones,70,"5' 11""",7.837000000000001,111,54
19,T18,T18,Brooks Koepka,64,"5' 11""",8.741,123,12
20,T21,T21,Ricky Barnes,65,"6' 0""",7.76,108,115
21,T21,T21,J.B. Holmes,77,"6' 0""",11.052999999999999,153,122
22,T21,T21,Stephan Jaeger,81,"6' 0""",9.415,130,133
23,T24,T24,Lucas Glover,65,"6' 1""",7.8229999999999995,107,64
24,T24,T24,Bill Haas,76,"6' 1""",11.722999999999999,160,51
25,T24,T24,Si Woo Kim,108,"6' 1""",13.030999999999999,178,118
26,T24,T24,William McGirt,84,"6' 1""",11.960999999999999,164,19
27,T28,T28,Zac Blair,64,"6' 2""",7.849,106,33
28,T28,T28,Joel Dahmen,93,"6' 2""",10.759,145,11
29,T28,T28,Chris Kirk,108,"6' 2""",13.685,186,10
30,T28,T28,"Ted Potter, Jr.",87,"6' 2""",14.255,192,113
31,T28,T28,Charl Schwartzel,65,"6' 2""",7.394,100,101
32,T33,T33,Kiradech Aphibarnrat,51,"6' 3""",5.189,69,157
33,T33,T33,Ryan Armour,109,"6' 3""",14.31,192,55
34,T33,T33,Aaron Baddeley,84,"6' 3""",12.872,171,39
35,T33,T33,Harris English,84,"6' 3""",13.119000000000002,174,103
36,T33,T33,Rickie Fowler,74,"6' 3""",7.9910000000000005,107,14
37,T33,T33,Brice Garnett,99,"6' 3""",13.520999999999999,180,83
38,T33,T33,Russell Knox,94,"6' 3""",12.991,174,70
39,T33,T33,Jason Kokrak,99,"6' 3""",15.0,200,162
40,T33,T33,Matt Kuchar,88,"6' 3""",10.068,135,9
41,T33,T33,Hideki Matsuyama,75,"6' 3""",10.379000000000001,139,47
42,T33,T33,Andrew Putnam,97,"6' 3""",11.353,152,32
43,T44,T44,Blayne Barber,69,"6' 4""",8.539,112,114
44,T44,T44,Tyler Duncan,97,"6' 4""",12.905,170,186
