,Proximity_to_Hole_from_30_yards_RANK THIS WEEK,Proximity_to_Hole_from_30_yards_RANK LAST WEEK,Proximity_to_Hole_from_30_yards_PLAYER NAME,Proximity_to_Hole_from_30_yards_ROUNDS,Proximity_to_Hole_from_30_yards_AVG DTP,Proximity_to_Hole_from_30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_30_yards_# OF SHOTS,Proximity_to_Hole_from_30_yards_SCRAMBLING RANK
0,1,1,Jim Furyk,50,"8' 1""",226.167,28,21
1,2,2,Wesley Bryan,69,"8' 8""",304.33299999999997,35,53
2,3,3,Branden Grace,67,"9' 8""",376.75,39,105
3,4,4,Danny Lee,88,"9' 9""",611.9169999999999,63,46
4,5,5,Louis Oosthuizen,62,"9' 10""",325.41700000000003,33,3
5,6,6,Patrick Reed,94,"10' 4""",620.25,60,18
6,T7,T7,Austin Cook,107,"10' 5""",875.3330000000001,84,28
7,T7,T7,Ryan Moore,78,"10' 5""",469.333,45,4
8,T9,T9,Jonathan Byrd,70,"10' 8""",469.75,44,93
9,T9,T9,Webb Simpson,95,"10' 8""",769.1669999999999,72,1
10,T9,T9,Justin Thomas,91,"10' 8""",703.6669999999999,66,24
11,T12,T12,Zac Blair,64,"10' 9""",494.75,46,33
12,T12,T12,Anirban Lahiri,82,"10' 9""",506.0,47,92
13,T12,T12,D.A. Points,63,"10' 9""",463.833,43,182
14,T15,T15,Brooks Koepka,64,"10' 10""",465.917,43,12
15,T15,T15,Matt Kuchar,88,"10' 10""",519.1669999999999,48,9
16,T15,T15,Jamie Lovemark,92,"10' 10""",791.9169999999999,73,40
17,T15,T15,Rory McIlroy,64,"10' 10""",368.417,34,17
18,T15,T15,Kevin Na,91,"10' 10""",648.1669999999999,60,8
19,T20,T20,Greg Chalmers,56,"10' 11""",686.0830000000001,63,185
20,T20,T20,Tiger Woods,68,"10' 11""",435.917,40,4
21,T22,T22,Phil Mickelson,90,"11' 0""",671.5,61,91
22,T22,T22,Henrik Stenson,60,"11' 0""",330.083,30,48
23,T24,T24,Kiradech Aphibarnrat,51,"11' 1""",266.16700000000003,24,157
24,T24,T24,Bud Cauley,55,"11' 1""",332.083,30,56
25,T24,T24,Joel Dahmen,93,"11' 1""",586.25,53,11
26,T24,T24,Jason Kokrak,99,"11' 1""",697.0830000000001,63,162
27,T24,T24,Sam Saunders,80,"11' 1""",610.0,55,147
28,T29,T29,Ryan Armour,109,"11' 2""",714.8330000000001,64,55
29,T29,T29,Jason Day,75,"11' 2""",502.75,45,25
30,T29,T29,Matt Every,79,"11' 2""",649.0,58,188
31,T29,T29,Rickie Fowler,74,"11' 2""",548.6669999999999,49,14
32,T29,T29,Robert Garrigus,80,"11' 2""",658.6669999999999,59,129
33,T29,T29,Michael Kim,74,"11' 2""",593.0,53,144
34,T29,T29,Peter Malnati,87,"11' 2""",982.5,88,36
35,T36,T36,Chris Kirk,108,"11' 3""",650.8330000000001,58,10
36,T36,T36,"Ted Potter, Jr.",87,"11' 3""",743.3330000000001,66,113
37,T38,T38,Emiliano Grillo,94,"11' 4""",738.0,65,41
38,T38,T38,Cameron Smith,85,"11' 4""",533.5830000000001,47,38
39,T40,T40,Peter Uihlein,83,"11' 5""",742.75,65,102
40,T40,T40,Xinjun Zhang,81,"11' 5""",627.9169999999999,55,95
41,T42,T42,Jonas Blixt,67,"11' 6""",599.75,52,130
42,T42,T42,Ben Crane,65,"11' 6""",449.25,39,16
43,T42,T42,Kevin Kisner,89,"11' 6""",538.5830000000001,47,52
44,T45,T45,Dustin Johnson,77,"11' 7""",427.417,37,23
45,T45,T45,Ollie Schniederjans,91,"11' 7""",766.3330000000001,66,126
46,T45,T45,Brett Stegmaier,67,"11' 7""",371.417,32,140
47,T45,T45,Tyrone Van Aswegen,101,"11' 7""",777.3330000000001,67,97
48,49,49,Adam Scott,78,"11' 8""",596.0,51,168
49,T50,T50,Stephan Jaeger,81,"11' 9""",609.25,52,133
50,T50,T50,Luke List,98,"11' 9""",801.25,68,90
51,T50,T50,Kevin Streelman,94,"11' 9""",540.8330000000001,46,43
52,53,53,Pat Perez,82,"11' 10""",461.333,39,155
53,T54,T54,Tony Finau,105,"11' 11""",836.75,70,119
54,T54,T54,Kelly Kraft,94,"11' 11""",679.0,57,77
55,T54,T54,Cameron Tringale,67,"11' 11""",571.3330000000001,48,160
56,T57,T57,Derek Fathauer,84,"12' 0""",815.1669999999999,68,163
57,T57,T57,Grayson Murray,72,"12' 0""",695.0830000000001,58,176
58,T59,T59,Zach Johnson,94,"12' 1""",714.5,59,25
59,T59,T59,Jordan Spieth,81,"12' 1""",591.5,49,31
60,T59,T59,Jimmy Walker,81,"12' 1""",735.3330000000001,61,74
61,T62,T62,Daniel Berger,81,"12' 2""",876.25,72,76
62,T62,T62,Harris English,84,"12' 2""",877.1669999999999,72,103
63,T62,T62,James Hahn,85,"12' 2""",659.0830000000001,54,67
64,T62,T62,Si Woo Kim,108,"12' 2""",790.6669999999999,65,118
65,T62,T62,Jon Rahm,71,"12' 2""",486.333,40,121
66,T62,T62,Sam Ryder,82,"12' 2""",740.9169999999999,61,139
67,T68,T68,Chesson Hadley,103,"12' 3""",831.5830000000001,68,136
68,T68,T68,Matt Jones,70,"12' 3""",563.0830000000001,46,54
69,T68,T68,Steve Wheatcroft,60,"12' 3""",465.833,38,42
70,T71,T71,Tom Hoge,101,"12' 4""",789.9169999999999,64,34
71,T71,T71,Patton Kizzire,92,"12' 4""",915.0830000000001,74,160
72,T71,T71,William McGirt,84,"12' 4""",765.0,62,19
73,T71,T71,Cameron Percy,56,"12' 4""",444.25,36,117
74,T71,T71,J.T. Poston,73,"12' 4""",642.0,52,111
75,T71,T71,Xander Schauffele,96,"12' 4""",937.1669999999999,76,104
76,T71,T71,Brian Stuard,103,"12' 4""",727.0830000000001,59,72
77,T71,T71,Hudson Swafford,73,"12' 4""",530.5,43,179
78,T71,T71,Andrew Yun,51,"12' 4""",479.5,39,193
79,T80,T80,Byeong Hun An,86,"12' 5""",904.4169999999999,73,37
80,T80,T80,Cody Gribble,71,"12' 5""",657.75,53,183
81,T80,T80,Martin Piller,79,"12' 5""",847.0,68,106
82,T80,T80,Ben Silverman,90,"12' 5""",883.4169999999999,71,116
83,T84,T84,Zecheng Dou,53,"12' 6""",475.917,38,191
84,T84,T84,Tyrrell Hatton,58,"12' 6""",351.083,28,21
85,T84,T84,Rob Oppenheim,74,"12' 6""",511.583,41,68
86,T84,T84,Vaughn Taylor,83,"12' 6""",661.5830000000001,53,62
