,Sand_Save_Percentage_RANK THIS WEEK,Sand_Save_Percentage_RANK LAST WEEK,Sand_Save_Percentage_PLAYER NAME,Sand_Save_Percentage_ROUNDS,Sand_Save_Percentage_%,Sand_Save_Percentage_# SAVES,Sand_Save_Percentage_# BUNKERS,Sand_Save_Percentage_TOTAL O/U PAR
0,1,1,Ben Crane,65,66.0,66,100,20.0
1,2,2,Louis Oosthuizen,62,64.29,72,112,25.0
2,3,3,Webb Simpson,95,62.91,95,151,31.0
3,4,4,Jason Day,75,62.5,85,136,32.0
4,5,5,Whee Kim,93,61.82,102,165,37.0
5,6,6,Zac Blair,64,61.63,53,86,24.0
6,7,7,Kevin Na,91,61.49,91,148,30.0
7,8,8,Justin Rose,70,61.16,74,121,22.0
8,9,9,Seamus Power,86,60.94,78,128,29.0
9,10,10,Matt Kuchar,88,60.81,90,148,40.0
10,11,11,Rory Sabbatini,91,60.67,108,178,28.0
11,12,12,Rickie Fowler,74,60.5,72,119,21.0
12,13,13,Rob Oppenheim,74,60.0,66,110,29.0
13,14,14,Alex Cejka,77,59.35,73,123,34.0
14,15,15,Phil Mickelson,90,58.6,92,157,39.0
15,16,16,Ben Martin,64,57.69,75,130,34.0
16,17,17,D.A. Points,63,57.66,64,111,45.0
17,18,18,Jonathan Byrd,70,57.65,49,85,21.0
18,19,19,Bill Haas,76,57.26,71,124,27.0
19,20,20,Aaron Baddeley,84,57.04,77,135,35.0
20,21,21,Rafa Cabrera Bello,75,56.9,66,116,35.0
21,22,22,Peter Malnati,87,56.69,89,157,57.0
22,23,23,Patrick Reed,94,56.68,106,187,38.0
23,24,24,Brandt Snedeker,84,56.67,85,150,48.0
24,25,25,Cameron Smith,85,56.52,91,161,41.0
25,26,26,Charles Howell III,104,55.76,92,165,45.0
26,27,27,Scott Stallings,96,55.63,89,160,40.0
27,28,28,Danny Lee,88,55.62,99,178,41.0
28,T29,T29,Henrik Stenson,60,55.56,40,72,21.0
29,T29,T29,Nick Taylor,94,55.56,75,135,38.0
30,31,31,Emiliano Grillo,94,54.84,85,155,40.0
31,32,32,Cameron Percy,56,54.79,40,73,24.0
32,33,33,Tyrrell Hatton,58,54.65,47,86,33.0
33,34,34,J.B. Holmes,77,54.55,84,154,30.0
34,35,35,Paul Casey,74,54.46,55,101,34.0
35,36,36,Bud Cauley,55,54.37,56,103,29.0
36,37,37,Justin Thomas,91,54.29,76,140,27.0
37,38,38,Peter Uihlein,83,54.24,64,118,36.0
38,39,39,Beau Hossler,104,54.19,97,179,40.0
39,40,40,Abraham Ancer,98,54.12,92,170,33.0
40,41,41,Jonathan Randolph,71,54.03,67,124,44.0
41,42,42,Chris Kirk,108,54.01,101,187,38.0
42,43,43,Patrick Cantlay,87,53.91,62,115,23.0
43,44,44,Brooks Koepka,64,53.76,50,93,23.0
44,45,45,Austin Cook,107,53.45,93,174,54.0
45,T46,T46,Brandon Harkins,101,53.42,86,161,53.0
46,T46,T46,Chris Stroud,81,53.42,78,146,47.0
47,T48,T48,Jamie Lovemark,92,53.33,96,180,43.0
48,T48,T48,Jimmy Walker,81,53.33,80,150,49.0
49,50,50,William McGirt,84,53.28,73,137,42.0
50,51,51,Brian Gay,103,53.1,77,145,55.0
51,52,52,Zach Johnson,94,52.98,80,151,38.0
52,53,53,Cameron Tringale,67,52.81,47,89,32.0
53,54,54,Johnson Wagner,75,52.75,48,91,16.0
54,55,55,Blayne Barber,69,52.73,58,110,38.0
55,56,56,Ryan Armour,109,52.54,93,177,59.0
56,57,57,Daniel Summerhays,51,52.44,43,82,38.0
57,58,58,Rory McIlroy,64,52.43,54,103,26.0
58,59,59,Luke List,98,52.22,94,180,35.0
59,60,60,Russell Knox,94,52.21,71,136,38.0
60,61,61,Dustin Johnson,77,52.17,48,92,24.0
61,62,62,Jonas Blixt,67,52.13,49,94,26.0
62,63,63,Hideki Matsuyama,75,52.04,51,98,40.0
63,64,64,Harold Varner III,91,51.95,80,154,33.0
64,T65,T65,Joel Dahmen,93,51.85,70,135,31.0
65,T65,T65,Alex Noren,67,51.85,56,108,28.0
66,67,67,Sam Saunders,80,51.75,74,143,46.0
67,T68,T68,Billy Horschel,86,51.72,60,116,37.0
68,T68,T68,Patrick Rodgers,97,51.72,75,145,40.0
69,T70,T70,Tommy Fleetwood,73,51.67,62,120,46.0
70,T70,T70,Si Woo Kim,108,51.67,108,209,65.0
71,72,72,Ricky Barnes,65,51.65,47,91,30.0
72,73,73,Lucas Glover,65,51.61,64,124,36.0
73,T74,T74,Talor Gooch,78,51.52,68,132,37.0
74,T74,T74,Hudson Swafford,73,51.52,51,99,27.0
75,76,76,Ollie Schniederjans,91,51.48,87,169,64.0
76,77,77,Anirban Lahiri,82,51.46,88,171,55.0
77,78,78,Matt Jones,70,51.38,56,109,38.0
78,79,79,Jordan Spieth,81,51.33,58,113,29.0
79,80,80,Kyle Thompson,50,51.28,40,78,24.0
80,81,81,"Ted Potter, Jr.",87,51.27,81,158,60.0
81,82,82,Sean O'Hair,67,51.09,70,137,47.0
82,83,83,Jason Dufner,71,50.94,54,106,31.0
83,84,84,Shane Lowry,64,50.54,47,93,26.0
84,85,85,Martin Laird,73,50.48,53,105,31.0
85,86,86,Greg Chalmers,56,50.44,57,113,50.0
86,87,87,Lanto Griffin,80,50.43,59,117,46.0
87,88,88,Ian Poulter,73,50.42,60,119,49.0
88,89,89,Adam Scott,78,50.38,67,133,50.0
89,90,90,Sung Kang,89,50.34,75,149,64.0
90,T91,T91,Chad Campbell,87,50.0,71,142,57.0
91,T91,T91,Roberto Díaz,72,50.0,68,136,49.0
92,T91,T91,J.T. Poston,73,50.0,56,112,40.0
93,94,94,Tom Lovelady,87,49.65,71,143,48.0
94,95,95,Wesley Bryan,69,49.58,59,119,48.0
95,96,96,Kevin Tway,110,49.44,89,180,46.0
96,97,97,Tom Hoge,101,49.36,77,156,51.0
97,98,98,Stewart Cink,87,49.29,69,140,49.0
98,99,99,Charl Schwartzel,65,49.26,67,136,42.0
99,100,100,Xinjun Zhang,81,49.23,64,130,44.0
100,101,101,Tyrone Van Aswegen,101,49.01,74,151,47.0
101,102,102,Billy Hurley III,70,48.96,47,96,35.0
102,103,103,Byeong Hun An,86,48.85,64,131,44.0
103,T104,T104,Matt Every,79,48.84,63,129,53.0
104,T104,T104,Michael Kim,74,48.84,63,129,45.0
105,106,106,Marc Leishman,93,48.81,82,168,55.0
106,107,107,Andrew Putnam,97,48.8,61,125,39.0
107,108,108,Cody Gribble,71,48.72,57,117,47.0
108,109,109,Bryson DeChambeau,93,48.67,73,150,47.0
109,T110,T110,Keith Mitchell,99,48.61,70,144,42.0
110,T110,T110,Michael Thompson,62,48.61,35,72,22.0
111,112,112,Nate Lashley,51,48.57,34,70,21.0
112,113,113,Jon Rahm,71,48.54,50,103,25.0
113,114,114,James Hahn,85,48.48,64,132,41.0
114,115,115,Troy Merritt,89,48.47,79,163,49.0
115,116,116,David Lingmerth,82,48.41,61,126,51.0
116,117,117,Xander Schauffele,96,48.4,91,188,49.0
117,118,118,Brett Stegmaier,67,48.28,28,58,20.0
118,T119,T119,Conrad Shindler,60,48.15,39,81,32.0
119,T119,T119,Tiger Woods,68,48.15,52,108,33.0
120,121,121,Brian Stuard,103,48.03,73,152,67.0
121,122,122,Brendan Steele,74,48.0,48,100,34.0
122,123,123,Trey Mullinax,75,47.97,59,123,41.0
123,124,124,Aaron Wise,90,47.92,69,144,47.0
124,125,125,Francesco Molinari,73,47.9,57,119,37.0
125,126,126,Steve Wheatcroft,60,47.73,42,88,35.0
126,127,127,Vaughn Taylor,83,47.65,71,149,65.0
127,T128,T128,David Hearn,66,47.62,40,84,30.0
128,T128,T128,Martin Piller,79,47.62,70,147,63.0
129,130,130,Shawn Stefani,76,47.5,57,120,42.0
130,131,131,Branden Grace,67,47.46,56,118,38.0
131,132,132,Graeme McDowell,67,47.37,54,114,36.0
132,133,133,Adam Hadwin,92,47.34,80,169,47.0
133,134,134,Daniel Berger,81,47.33,62,131,50.0
134,135,135,Kevin Streelman,94,47.24,77,163,52.0
135,136,136,Brian Harman,94,47.22,68,144,42.0
136,137,137,Pat Perez,82,47.2,59,125,48.0
137,138,138,Ryan Moore,78,47.14,66,140,43.0
138,139,139,John Huh,94,47.06,72,153,62.0
139,140,140,Stephan Jaeger,81,46.97,62,132,56.0
140,141,141,Kiradech Aphibarnrat,51,46.88,45,96,39.0
141,142,142,Patton Kizzire,92,46.83,59,126,43.0
142,143,143,Zecheng Dou,53,46.51,40,86,30.0
143,144,144,Jim Furyk,50,46.25,37,80,37.0
144,145,145,Kyle Stanley,93,46.2,73,158,49.0
145,T146,T146,Denny McCarthy,71,46.15,42,91,31.0
146,T146,T146,Ryan Palmer,69,46.15,60,130,42.0
147,148,148,Chesson Hadley,103,46.1,71,154,59.0
148,149,149,Bronson Burgoon,69,45.95,51,111,32.0
149,150,150,Matt Atkins,56,45.65,42,92,35.0
150,151,151,Keegan Bradley,98,45.2,80,177,64.0
151,152,152,Charley Hoffman,87,45.14,65,144,60.0
152,153,153,Robert Streb,78,45.0,63,140,70.0
153,154,154,Scott Piercy,84,44.96,58,129,49.0
154,155,155,Kelly Kraft,94,44.94,71,158,70.0
155,156,156,Dominic Bozzelli,65,44.8,56,125,54.0
156,T157,T157,Harris English,84,44.67,67,150,44.0
157,T157,T157,Ben Silverman,90,44.67,67,150,61.0
158,159,159,Tony Finau,105,44.38,75,169,50.0
159,160,160,Corey Conners,97,44.27,58,131,46.0
160,161,161,Bubba Watson,90,44.2,61,138,46.0
161,162,162,Kevin Chappell,77,44.07,52,118,49.0
162,163,163,Kevin Kisner,89,44.0,55,125,47.0
163,164,164,Nicholas Lindheim,77,43.96,40,91,36.0
164,165,165,Grayson Murray,72,43.93,76,173,67.0
165,166,166,J.J. Spaun,85,43.9,54,123,52.0
166,167,167,Nick Watney,94,43.79,74,169,51.0
167,168,168,Derek Fathauer,84,43.62,65,149,68.0
168,169,169,Sam Ryder,82,43.48,50,115,36.0
169,170,170,Richy Werenski,98,43.33,65,150,69.0
170,T171,T171,Robert Garrigus,80,43.2,54,125,41.0
171,T171,T171,Fabián Gómez,88,43.2,54,125,53.0
172,T171,T171,Rod Pampling,62,43.2,54,125,53.0
173,174,174,Chez Reavie,93,43.06,62,144,62.0
174,175,175,Scott Brown,102,42.86,69,161,68.0
175,176,176,Andrew Landry,82,42.64,55,129,47.0
176,177,177,Russell Henley,77,42.54,57,134,58.0
177,178,178,Adam Schenk,86,42.36,61,144,51.0
178,179,179,J.J. Henry,81,42.22,38,90,37.0
179,180,180,C.T. Pan,104,42.07,61,145,52.0
180,181,181,Retief Goosen,60,41.89,31,74,31.0
181,182,182,Mackenzie Hughes,80,41.74,48,115,50.0
182,183,183,Ryan Blaum,81,41.54,54,130,48.0
183,184,184,Gary Woodland,96,41.49,78,188,70.0
184,185,185,Brice Garnett,99,41.43,58,140,52.0
185,186,186,Hunter Mahan,67,40.95,43,105,43.0
186,187,187,Jason Kokrak,99,40.88,65,159,60.0
187,188,188,Martin Flores,92,40.65,63,155,73.0
188,189,189,Jhonattan Vegas,92,39.64,67,169,83.0
189,190,190,Satoshi Kodaira,51,39.53,34,86,45.0
190,191,191,Ethan Tracy,72,34.86,38,109,51.0
191,192,192,Andrew Yun,51,34.33,23,67,37.0
192,193,193,Tyler Duncan,97,32.43,48,148,67.0
