,Scrambling_Fringe_RTP_Score_RANK THIS WEEK,Scrambling_Fringe_RTP_Score_RANK LAST WEEK,Scrambling_Fringe_RTP_Score_PLAYER NAME,Scrambling_Fringe_RTP_Score_ROUNDS,Scrambling_Fringe_RTP_Score_AVG RTP,Scrambling_Fringe_RTP_Score_TOTAL HOLES,Scrambling_Fringe_RTP_Score_TOTAL RTP
0,1,1,Ian Poulter,73,-.217,23,-5.00
1,2,2,Johnson Wagner,75,-.200,40,-8.00
2,3,3,Brandt Snedeker,84,-.162,37,-6.00
3,4,4,Sung Kang,89,-.161,31,-5.00
4,5,5,"Ted Potter, Jr.",87,-.152,33,-5.00
5,T6,T6,Keegan Bradley,98,-.143,42,-6.00
6,T6,T6,Bronson Burgoon,69,-.143,28,-4.00
7,8,8,Jonathan Byrd,70,-.139,36,-5.00
8,9,9,Matt Jones,70,-.136,22,-3.00
9,10,10,Scott Stallings,96,-.122,41,-5.00
10,11,11,Kevin Na,91,-.118,34,-4.00
11,12,12,Cameron Smith,85,-.115,26,-3.00
12,13,13,Adam Hadwin,92,-.114,35,-4.00
13,14,14,Jason Day,75,-.111,18,-2.00
14,15,15,Phil Mickelson,90,-.108,37,-4.00
15,16,16,Blayne Barber,69,-.107,28,-3.00
16,T17,T17,J.T. Poston,73,-.105,19,-2.00
17,T17,T17,Daniel Summerhays,51,-.105,19,-2.00
18,T19,T19,Dominic Bozzelli,65,-.103,29,-3.00
19,T19,T19,Bubba Watson,90,-.103,39,-4.00
20,T21,T21,Stewart Cink,87,-.100,30,-3.00
21,T21,T21,Chris Stroud,81,-.100,20,-2.00
22,23,23,Beau Hossler,104,-.095,42,-4.00
23,24,24,Ben Crane,65,-.091,22,-2.00
24,T25,T25,Matt Every,79,-.083,36,-3.00
25,T25,T25,Charley Hoffman,87,-.083,36,-3.00
26,T25,T25,Ben Martin,64,-.083,24,-2.00
27,T25,T25,Keith Mitchell,99,-.083,36,-3.00
28,T25,T25,Andrew Putnam,97,-.083,36,-3.00
29,T25,T25,Hudson Swafford,73,-.083,24,-2.00
30,T31,T31,Louis Oosthuizen,62,-.080,25,-2.00
31,T31,T31,D.A. Points,63,-.080,25,-2.00
32,33,33,Henrik Stenson,60,-.077,26,-2.00
33,34,34,Aaron Wise,90,-.075,40,-3.00
34,T35,T35,Graeme McDowell,67,-.074,27,-2.00
35,T35,T35,Justin Rose,70,-.074,27,-2.00
36,T37,T37,Jonas Blixt,67,-.071,28,-2.00
37,T37,T37,Patrick Cantlay,87,-.071,28,-2.00
38,39,39,Seamus Power,86,-.070,43,-3.00
39,T40,T40,Zac Blair,64,-.069,29,-2.00
40,T40,T40,Cameron Tringale,67,-.069,29,-2.00
41,42,42,Kevin Tway,110,-.064,47,-3.00
42,T43,T43,Kevin Kisner,89,-.063,32,-2.00
43,T43,T43,Justin Thomas,91,-.063,32,-2.00
44,45,45,Patton Kizzire,92,-.061,33,-2.00
45,T46,T46,Austin Cook,107,-.057,53,-3.00
46,T46,T46,Sam Saunders,80,-.057,35,-2.00
47,T48,T48,Zach Johnson,94,-.051,39,-2.00
48,T48,T48,Vaughn Taylor,83,-.051,39,-2.00
49,50,50,Marc Leishman,93,-.049,41,-2.00
50,T51,T51,Robert Garrigus,80,-.048,42,-2.00
51,T51,T51,Branden Grace,67,-.048,21,-1.00
52,53,53,Scott Brown,102,-.047,43,-2.00
53,T54,T54,Daniel Berger,81,-.043,23,-1.00
54,T54,T54,Xinjun Zhang,81,-.043,23,-1.00
55,56,56,Rod Pampling,62,-.042,24,-1.00
56,T57,T57,Ryan Armour,109,-.038,53,-2.00
57,T57,T57,Wesley Bryan,69,-.038,26,-1.00
58,T57,T57,Bryson DeChambeau,93,-.038,26,-1.00
59,T60,T60,Roberto Díaz,72,-.037,27,-1.00
60,T60,T60,Michael Thompson,62,-.037,27,-1.00
61,T62,T62,Bill Haas,76,-.036,28,-1.00
62,T62,T62,Francesco Molinari,73,-.036,28,-1.00
63,64,64,Kyle Stanley,93,-.033,30,-1.00
64,T65,T65,Billy Horschel,86,-.032,31,-1.00
65,T65,T65,Rory McIlroy,64,-.032,31,-1.00
66,T65,T65,J.J. Spaun,85,-.032,31,-1.00
67,T68,T68,Jonathan Randolph,71,-.029,34,-1.00
68,T68,T68,Patrick Reed,94,-.029,34,-1.00
69,T68,T68,Robert Streb,78,-.029,34,-1.00
70,T71,T71,Kelly Kraft,94,-.028,36,-1.00
71,T71,T71,Troy Merritt,89,-.028,36,-1.00
72,73,73,C.T. Pan,104,-.027,37,-1.00
73,T74,T74,Grayson Murray,72,-.026,39,-1.00
74,T74,T74,Rory Sabbatini,91,-.026,38,-1.00
75,T76,T76,Derek Fathauer,84,-.024,42,-1.00
76,T76,T76,Jason Kokrak,99,-.024,42,-1.00
77,T78,T78,Chris Kirk,108,-.022,46,-1.00
78,T78,T78,William McGirt,84,-.022,46,-1.00
79,80,80,Tom Hoge,101,-.021,48,-1.00
80,81,81,Chesson Hadley,103,-.020,51,-1.00
81,T82,T82,Byeong Hun An,86,E,34,E
82,T82,T82,Ryan Blaum,81,E,37,E
83,T82,T82,Rafa Cabrera Bello,75,E,25,E
84,T82,T82,Alex Cejka,77,E,31,E
85,T82,T82,Greg Chalmers,56,E,21,E
86,T82,T82,Kevin Chappell,77,E,37,E
87,T82,T82,Zecheng Dou,53,E,13,E
88,T82,T82,Harris English,84,E,36,E
89,T82,T82,Emiliano Grillo,94,E,37,E
90,T82,T82,Brian Harman,94,E,40,E
91,T82,T82,Russell Henley,77,E,27,E
92,T82,T82,Mackenzie Hughes,80,E,31,E
93,T82,T82,Satoshi Kodaira,51,E,22,E
94,T82,T82,Nate Lashley,51,E,14,E
95,T82,T82,Danny Lee,88,E,33,E
96,T82,T82,David Lingmerth,82,E,35,E
97,T82,T82,Luke List,98,E,45,E
98,T82,T82,Hunter Mahan,67,E,23,E
99,T82,T82,Xander Schauffele,96,E,31,E
100,T82,T82,Conrad Shindler,60,E,28,E
101,T82,T82,Ben Silverman,90,E,51,E
102,T82,T82,Jordan Spieth,81,E,28,E
103,T82,T82,Shawn Stefani,76,E,37,E
104,T82,T82,Brett Stegmaier,67,E,35,E
105,T82,T82,Tyrone Van Aswegen,101,E,42,E
106,107,107,Aaron Baddeley,84,+.019,53,+1.00
107,108,108,John Huh,94,+.021,48,+1.00
108,109,109,Corey Conners,97,+.022,46,+1.00
109,110,110,Tony Finau,105,+.023,44,+1.00
110,T111,T111,Sam Ryder,82,+.025,40,+1.00
111,T111,T111,Harold Varner III,91,+.025,40,+1.00
112,T113,T113,Whee Kim,93,+.029,34,+1.00
113,T113,T113,Martin Laird,73,+.029,34,+1.00
114,T113,T113,Scott Piercy,84,+.029,34,+1.00
115,T113,T113,Chez Reavie,93,+.029,34,+1.00
