,Proximity_to_Hole_ARG_RANK THIS WEEK,Proximity_to_Hole_ARG_RANK LAST WEEK,Proximity_to_Hole_ARG_PLAYER NAME,Proximity_to_Hole_ARG_ROUNDS,Proximity_to_Hole_ARG_AVG DTP,Proximity_to_Hole_ARG_TOTAL DISTANCE (FEET),Proximity_to_Hole_ARG_# OF SHOTS,Proximity_to_Hole_ARG_SCRAMBLING RANK
0,1,1,Tiger Woods,68,"6' 2""",2415.833,390,4
1,2,2,Louis Oosthuizen,62,"6' 3""",1968.1670000000001,317,3
2,T3,T3,Wesley Bryan,69,"6' 4""",2340.25,368,53
3,T3,T3,Kevin Na,91,"6' 4""",3089.167,485,8
4,5,5,Bud Cauley,55,"6' 5""",2006.1670000000001,313,56
5,6,6,Justin Thomas,91,"6' 6""",3087.083,476,24
6,T7,T7,Alex Cejka,77,"6' 7""",2939.583,444,6
7,T7,T7,Tyrrell Hatton,58,"6' 7""",1815.5829999999999,275,21
8,T7,T7,Zach Johnson,94,"6' 7""",2941.25,445,25
9,T7,T7,Chris Kirk,108,"6' 7""",4000.167,610,10
10,T7,T7,Ryan Moore,78,"6' 7""",2926.75,447,4
11,T12,T12,Jim Furyk,50,"6' 8""",1988.5,298,21
12,T12,T12,Martin Laird,73,"6' 8""",2760.583,412,73
13,T12,T12,Rory McIlroy,64,"6' 8""",2450.333,366,17
14,T15,T15,Si Woo Kim,108,"6' 9""",4032.0,595,118
15,T15,T15,Jamie Lovemark,92,"6' 9""",4022.917,596,40
16,T15,T15,Webb Simpson,95,"6' 9""",3484.0,514,1
17,T18,T18,Ryan Armour,109,"6' 10""",4089.333,595,55
18,T18,T18,Jonathan Byrd,70,"6' 10""",2221.417,325,93
19,T18,T18,Retief Goosen,60,"6' 10""",1984.9170000000001,289,124
20,T18,T18,Brooks Koepka,64,"6' 10""",2554.917,372,12
21,T18,T18,Danny Lee,88,"6' 10""",3576.75,521,46
22,T18,T18,"Ted Potter, Jr.",87,"6' 10""",3875.417,564,113
23,T24,T24,Aaron Baddeley,84,"6' 11""",3521.417,509,39
24,T24,T24,Zac Blair,64,"6' 11""",2253.167,324,33
25,T24,T24,Paul Casey,74,"6' 11""",2370.667,344,50
26,T24,T24,Jason Day,75,"6' 11""",2410.167,347,25
27,T24,T24,J.B. Holmes,77,"6' 11""",3484.167,502,122
28,T24,T24,Rob Oppenheim,74,"6' 11""",2587.167,375,68
29,T24,T24,Justin Rose,70,"6' 11""",2431.083,353,15
30,T24,T24,Conrad Shindler,60,"6' 11""",1999.75,289,58
31,T24,T24,Johnson Wagner,75,"6' 11""",2399.667,349,2
32,T33,T33,Kiradech Aphibarnrat,51,"7' 0""",1763.5829999999999,251,157
33,T33,T33,Matt Kuchar,88,"7' 0""",3037.333,432,9
34,T33,T33,Luke List,98,"7' 0""",4045.667,576,90
35,T33,T33,D.A. Points,63,"7' 0""",2428.667,345,182
36,T33,T33,Cameron Smith,85,"7' 0""",3160.833,452,38
37,T38,T38,Ricky Barnes,65,"7' 1""",2339.833,330,115
38,T38,T38,Jonas Blixt,67,"7' 1""",2686.583,379,130
39,T38,T38,Matt Jones,70,"7' 1""",2285.0,322,54
40,T38,T38,Peter Malnati,87,"7' 1""",3976.0,564,36
41,T38,T38,Cameron Percy,56,"7' 1""",1816.9170000000001,257,117
42,T38,T38,Patrick Reed,94,"7' 1""",3420.833,485,18
43,T44,T44,Tony Finau,105,"7' 2""",3848.583,539,119
44,T44,T44,Brian Gay,103,"7' 2""",4501.833,625,13
45,T44,T44,Adam Hadwin,92,"7' 2""",3343.667,466,85
46,T44,T44,Dustin Johnson,77,"7' 2""",2848.0,398,23
47,T44,T44,Rory Sabbatini,91,"7' 2""",3706.917,519,35
48,T44,T44,Jordan Spieth,81,"7' 2""",3105.333,432,31
49,T50,T50,Byeong Hun An,86,"7' 3""",3617.083,497,37
50,T50,T50,Blayne Barber,69,"7' 3""",2632.417,364,114
51,T50,T50,Stewart Cink,87,"7' 3""",3046.5,418,152
52,T50,T50,Austin Cook,107,"7' 3""",4700.167,652,28
53,T50,T50,Jason Dufner,71,"7' 3""",2614.167,359,94
54,T50,T50,David Hearn,66,"7' 3""",2149.0,297,154
55,T50,T50,Tom Hoge,101,"7' 3""",4480.917,617,34
56,T50,T50,Jimmy Walker,81,"7' 3""",3538.167,487,74
57,T58,T58,Roberto Díaz,72,"7' 4""",3001.0,410,87
58,T58,T58,Joel Dahmen,93,"7' 4""",3424.0,466,11
59,T58,T58,Derek Fathauer,84,"7' 4""",3862.917,527,163
60,T58,T58,Rickie Fowler,74,"7' 4""",2818.083,386,14
61,T58,T58,Charley Hoffman,87,"7' 4""",3662.75,499,143
62,T58,T58,Charles Howell III,104,"7' 4""",3711.667,508,44
63,T58,T58,Stephan Jaeger,81,"7' 4""",3139.083,430,133
64,T58,T58,Marc Leishman,93,"7' 4""",3770.25,514,75
