,Scrambling_from_the_Fringe_RANK THIS WEEK,Scrambling_from_the_Fringe_RANK LAST WEEK,Scrambling_from_the_Fringe_PLAYER NAME,Scrambling_from_the_Fringe_ROUNDS,Scrambling_from_the_Fringe_%,Scrambling_from_the_Fringe_SUCCESSES,Scrambling_from_the_Fringe_ATTEMPTS
0,T1,T1,Ben Crane,65,100.0,22,22
1,T1,T1,Jason Day,75,100.0,18,18
2,T1,T1,Satoshi Kodaira,51,100.0,22,22
3,T1,T1,J.T. Poston,73,100.0,19,19
4,T1,T1,Cameron Smith,85,100.0,26,26
5,T1,T1,Chris Stroud,81,100.0,20,20
6,7,7,Beau Hossler,104,97.62,41,42
7,8,8,Scott Stallings,96,97.56,40,41
8,9,9,Johnson Wagner,75,97.5,39,40
9,10,10,Vaughn Taylor,83,97.44,38,39
10,11,11,Rory Sabbatini,91,97.37,37,38
11,12,12,Brandt Snedeker,84,97.3,36,37
12,T13,T13,Matt Every,79,97.22,35,36
13,T13,T13,Charley Hoffman,87,97.22,35,36
14,15,15,David Lingmerth,82,97.14,34,35
15,16,16,Jonathan Randolph,71,97.06,33,34
16,17,17,Patton Kizzire,92,96.97,32,33
17,T18,T18,Kevin Kisner,89,96.88,31,32
18,T18,T18,Justin Thomas,91,96.88,31,32
19,T20,T20,Billy Horschel,86,96.77,30,31
20,T20,T20,Sung Kang,89,96.77,30,31
21,T20,T20,Rory McIlroy,64,96.77,30,31
22,23,23,Stewart Cink,87,96.67,29,30
23,24,24,Dominic Bozzelli,65,96.55,28,29
24,T25,T25,Blayne Barber,69,96.43,27,28
25,T25,T25,Bronson Burgoon,69,96.43,27,28
26,T25,T25,Patrick Cantlay,87,96.43,27,28
27,T25,T25,Francesco Molinari,73,96.43,27,28
28,T29,T29,Roberto Díaz,72,96.3,26,27
29,T29,T29,Graeme McDowell,67,96.3,26,27
30,T31,T31,Alex Noren,67,96.15,25,26
31,T31,T31,Rob Oppenheim,74,96.15,25,26
32,T31,T31,Henrik Stenson,60,96.15,25,26
33,34,34,D.A. Points,63,96.0,24,25
34,T35,T35,Ben Martin,64,95.83,23,24
35,T35,T35,Rod Pampling,62,95.83,23,24
36,T35,T35,Hudson Swafford,73,95.83,23,24
37,T38,T38,Hunter Mahan,67,95.65,22,23
38,T38,T38,William McGirt,84,95.65,44,46
39,T38,T38,Ian Poulter,73,95.65,22,23
40,T38,T38,Xinjun Zhang,81,95.65,22,23
41,42,42,Matt Jones,70,95.45,21,22
42,T43,T43,Keegan Bradley,98,95.24,40,42
43,T43,T43,Branden Grace,67,95.24,20,21
44,45,45,Aaron Wise,90,95.0,38,40
45,46,46,Bubba Watson,90,94.87,37,39
46,47,47,Daniel Summerhays,51,94.74,18,19
47,48,48,Phil Mickelson,90,94.59,35,37
48,T49,T49,Jonathan Byrd,70,94.44,34,36
49,T49,T49,Keith Mitchell,99,94.44,34,36
50,T49,T49,Andrew Putnam,97,94.44,34,36
51,52,52,Austin Cook,107,94.34,50,53
52,T53,T53,Adam Hadwin,92,94.29,33,35
53,T53,T53,Sam Saunders,80,94.29,33,35
54,T55,T55,Whee Kim,93,94.12,32,34
