,Scrambling_from_the_Sand_RANK THIS WEEK,Scrambling_from_the_Sand_RANK LAST WEEK,Scrambling_from_the_Sand_PLAYER NAME,Scrambling_from_the_Sand_ROUNDS,Scrambling_from_the_Sand_%,Scrambling_from_the_Sand_SUCCESSES,Scrambling_from_the_Sand_ATTEMPTS
0,1,1,Ben Crane,65,68.42,52,76
1,2,2,Louis Oosthuizen,62,66.67,54,81
2,3,3,Webb Simpson,95,66.34,67,101
3,4,4,Jason Day,75,66.27,55,83
4,5,5,Brooks Koepka,64,66.07,37,56
5,6,6,Seamus Power,86,65.26,62,95
6,7,7,Rob Oppenheim,74,63.95,55,86
7,8,8,Justin Rose,70,63.75,51,80
8,9,9,Patrick Reed,94,63.46,66,104
9,10,10,Matt Kuchar,88,62.89,61,97
10,11,11,Rickie Fowler,74,62.65,52,83
11,12,12,Whee Kim,93,62.6,77,123
12,13,13,Charles Howell III,104,62.5,70,112
13,14,14,Graeme McDowell,67,61.19,41,67
14,15,15,Scott Stallings,96,60.34,70,116
15,16,16,Emiliano Grillo,94,60.2,59,98
16,17,17,Danny Lee,88,60.0,69,115
17,18,18,Kevin Na,91,59.52,50,84
18,19,19,Alex Cejka,77,59.18,58,98
19,20,20,Beau Hossler,104,59.13,68,115
20,T21,T21,Bud Cauley,55,58.82,40,68
21,T21,T21,Dustin Johnson,77,58.82,30,51
22,T21,T21,Cameron Tringale,67,58.82,40,68
23,24,24,Ben Martin,64,58.76,57,97
24,25,25,D.A. Points,63,58.75,47,80
25,26,26,Charl Schwartzel,65,58.57,41,70
26,27,27,Abraham Ancer,98,58.49,62,106
27,28,28,William McGirt,84,58.0,58,100
28,29,29,Si Woo Kim,108,57.98,69,119
29,30,30,Bill Haas,76,57.95,51,88
30,31,31,Rory Sabbatini,91,57.94,73,126
31,32,32,Brandt Snedeker,84,57.66,64,111
32,33,33,Jonathan Byrd,70,57.63,34,59
33,T34,T34,Phil Mickelson,90,57.61,53,92
34,T34,T34,Chris Stroud,81,57.61,53,92
35,36,36,Johnson Wagner,75,57.38,35,61
36,37,37,Zac Blair,64,57.35,39,68
37,T38,T38,Chris Kirk,108,57.14,68,119
38,T38,T38,Russell Knox,94,57.14,52,91
39,T40,T40,Aaron Baddeley,84,57.01,61,107
40,T40,T40,Brandon Harkins,101,57.01,61,107
41,42,42,Joel Dahmen,93,56.99,53,93
42,T43,T43,J.B. Holmes,77,56.84,54,95
43,T43,T43,Jonathan Randolph,71,56.84,54,95
44,T45,T45,Tyrrell Hatton,58,56.6,30,53
45,T45,T45,Hudson Swafford,73,56.6,30,53
46,T47,T47,Jordan Spieth,81,56.52,39,69
47,T47,T47,Tiger Woods,68,56.52,39,69
48,T49,T49,Matt Jones,70,56.0,42,75
49,T49,T49,J.T. Poston,73,56.0,42,75
50,51,51,Daniel Summerhays,51,55.93,33,59
51,52,52,Anirban Lahiri,82,55.86,62,111
52,53,53,Henrik Stenson,60,55.81,24,43
53,54,54,Bryson DeChambeau,93,55.79,53,95
54,55,55,Nick Taylor,94,55.68,49,88
55,T56,T56,Cameron Smith,85,55.67,54,97
56,T56,T56,Jimmy Walker,81,55.67,54,97
57,58,58,Hideki Matsuyama,75,55.56,35,63
58,59,59,Peter Malnati,87,55.46,66,119
59,60,60,Luke List,98,55.21,53,96
60,61,61,Chad Campbell,87,55.05,60,109
61,62,62,Xinjun Zhang,81,55.0,44,80
62,T63,T63,Talor Gooch,78,54.84,51,93
63,T63,T63,Steve Wheatcroft,60,54.84,34,62
64,65,65,Francesco Molinari,73,54.79,40,73
65,66,66,Zach Johnson,94,54.64,53,97
66,67,67,Shane Lowry,64,54.55,30,55
67,68,68,Cameron Percy,56,54.39,31,57
68,T69,T69,Jonas Blixt,67,54.1,33,61
69,T69,T69,Rafa Cabrera Bello,75,54.1,33,61
70,71,71,Justin Thomas,91,54.05,40,74
71,72,72,Paul Casey,74,53.85,28,52
72,73,73,Sung Kang,89,53.68,51,95
73,74,74,Jamie Lovemark,92,53.57,60,112
74,T75,T75,Roberto Díaz,72,53.33,56,105
75,T75,T75,Brian Gay,103,53.33,64,120
76,77,77,Tommy Fleetwood,73,53.16,42,79
77,78,78,Martin Laird,73,53.09,43,81
78,79,79,Pat Perez,82,52.7,39,74
79,80,80,Patrick Cantlay,87,52.63,40,76
80,81,81,Austin Cook,107,52.34,67,128
81,82,82,Nate Lashley,51,52.0,26,50
82,83,83,Wesley Bryan,69,51.95,40,77
83,T84,T84,Byeong Hun An,86,51.85,42,81
84,T84,T84,Adam Hadwin,92,51.85,42,81
85,T84,T84,Alex Noren,67,51.85,28,54
86,87,87,Kyle Thompson,50,51.67,31,60
87,88,88,Adam Scott,78,51.65,47,91
88,89,89,Conrad Shindler,60,51.61,32,62
89,90,90,Grayson Murray,72,51.52,51,99
90,91,91,Jason Dufner,71,51.43,36,70
91,92,92,Billy Horschel,86,51.32,39,76
92,93,93,"Ted Potter, Jr.",87,51.3,59,115
93,94,94,Blayne Barber,69,51.22,42,82
94,95,95,Peter Uihlein,83,51.19,43,84
95,T96,T96,Michael Kim,74,51.16,44,86
96,T96,T96,Andrew Putnam,97,51.16,44,86
97,98,98,Ryan Armour,109,51.05,73,143
98,99,99,Sean O'Hair,67,51.02,50,98
99,100,100,Sam Saunders,80,50.98,52,102
100,101,101,Tom Hoge,101,50.91,56,110
101,102,102,Ollie Schniederjans,91,50.82,62,122
102,103,103,Lucas Glover,65,50.72,35,69
103,104,104,Ian Poulter,73,50.65,39,77
104,105,105,Tom Lovelady,87,50.5,51,101
105,106,106,David Lingmerth,82,50.49,52,103
106,107,107,John Huh,94,50.42,60,119
107,T108,T108,Corey Conners,97,50.0,44,88
108,T108,T108,Retief Goosen,60,50.0,25,50
109,T108,T108,Branden Grace,67,50.0,34,68
110,T108,T108,Russell Henley,77,50.0,41,82
111,T108,T108,Trey Mullinax,75,50.0,42,84
112,T108,T108,Patrick Rodgers,97,50.0,50,100
113,T108,T108,Kevin Streelman,94,50.0,57,114
114,115,115,Chesson Hadley,103,49.52,52,105
115,T116,T116,Keith Mitchell,99,49.49,49,99
116,T116,T116,Xander Schauffele,96,49.49,49,99
117,118,118,Greg Chalmers,56,49.48,48,97
118,119,119,Ryan Moore,78,49.41,42,85
119,T120,T120,Billy Hurley III,70,49.33,37,75
120,T120,T120,Patton Kizzire,92,49.33,37,75
121,122,122,Cody Gribble,71,49.3,35,71
122,123,123,Ricky Barnes,65,49.25,33,67
123,124,124,Matt Atkins,56,49.21,31,63
124,125,125,Troy Merritt,89,49.14,57,116
125,126,126,Kevin Tway,110,49.11,55,112
126,127,127,Marc Leishman,93,49.0,49,100
127,128,128,Charley Hoffman,87,48.91,45,92
128,129,129,Vaughn Taylor,83,48.7,56,115
129,130,130,David Hearn,66,48.44,31,64
130,131,131,Kyle Stanley,93,48.39,45,93
131,132,132,Dominic Bozzelli,65,48.35,44,91
132,133,133,Brendan Steele,74,48.33,29,60
133,134,134,Stewart Cink,87,48.28,42,87
134,135,135,Harris English,84,48.15,52,108
135,136,136,Rod Pampling,62,48.1,38,79
136,T137,T137,Daniel Berger,81,47.83,33,69
137,T137,T137,Rory McIlroy,64,47.83,33,69
138,139,139,Lanto Griffin,80,47.78,43,90
139,140,140,Martin Piller,79,47.46,56,118
140,T141,T141,Kiradech Aphibarnrat,51,47.37,27,57
141,T141,T141,J.J. Spaun,85,47.37,45,95
142,T141,T141,Brett Stegmaier,67,47.37,18,38
143,T141,T141,Harold Varner III,91,47.37,45,95
144,145,145,Tyrone Van Aswegen,101,47.32,53,112
145,146,146,Nick Watney,94,47.27,52,110
146,T147,T147,James Hahn,85,47.06,40,85
147,T147,T147,Andrew Landry,82,47.06,40,85
148,149,149,Shawn Stefani,76,46.99,39,83
149,150,150,Gary Woodland,96,46.88,45,96
150,T151,T151,Denny McCarthy,71,46.77,29,62
151,T151,T151,Brian Stuard,103,46.77,58,124
152,153,153,Ben Silverman,90,46.55,54,116
153,T154,T154,Chez Reavie,93,46.51,40,86
154,T154,T154,Bubba Watson,90,46.51,40,86
155,156,156,Jhonattan Vegas,92,46.25,37,80
156,157,157,Kelly Kraft,94,46.02,52,113
157,158,158,Jon Rahm,71,45.9,28,61
158,159,159,Matt Every,79,45.56,41,90
159,160,160,Keegan Bradley,98,45.53,56,123
160,T161,T161,Fabián Gómez,88,45.45,40,88
161,T161,T161,Sam Ryder,82,45.45,35,77
162,163,163,Brian Harman,94,45.35,39,86
163,164,164,C.T. Pan,104,45.12,37,82
164,165,165,Bronson Burgoon,69,45.07,32,71
165,166,166,Stephan Jaeger,81,44.79,43,96
166,167,167,Scott Piercy,84,44.57,41,92
167,T168,T168,Scott Brown,102,44.44,48,108
168,T168,T168,Jim Furyk,50,44.44,32,72
169,170,170,Brice Garnett,99,44.34,47,106
170,171,171,Hunter Mahan,67,44.0,33,75
