,Scrambling_Rough_RTP_Score_RANK THIS WEEK,Scrambling_Rough_RTP_Score_RANK LAST WEEK,Scrambling_Rough_RTP_Score_PLAYER NAME,Scrambling_Rough_RTP_Score_ROUNDS,Scrambling_Rough_RTP_Score_AVG RTP,Scrambling_Rough_RTP_Score_TOTAL HOLES,Scrambling_Rough_RTP_Score_TOTAL RTP
0,1,1,Jim Furyk,50,0.276,116,32.0
1,2,2,Ryan Moore,78,0.311,135,42.0
2,3,3,Alex Cejka,77,0.326,175,57.0
3,4,4,Abraham Ancer,98,0.332,217,72.0
4,5,5,Ian Poulter,73,0.33299999999999996,84,28.0
5,6,6,Jamie Lovemark,92,0.337,166,56.0
6,7,7,Brian Gay,103,0.33799999999999997,222,75.0
7,8,8,Webb Simpson,95,0.341,179,61.0
8,9,9,Daniel Berger,81,0.348,115,40.0
9,10,10,Jon Rahm,71,0.353,116,41.0
10,T11,T11,Rory McIlroy,64,0.36,125,45.0
11,T11,T11,Chez Reavie,93,0.36,125,45.0
12,13,13,Dustin Johnson,77,0.37,135,50.0
13,14,14,Louis Oosthuizen,62,0.371,105,39.0
14,15,15,Jhonattan Vegas,92,0.37200000000000005,199,74.0
15,16,16,Justin Thomas,91,0.375,144,54.0
16,17,17,Kevin Streelman,94,0.37799999999999995,156,59.0
17,18,18,Tyrrell Hatton,58,0.38,92,35.0
18,19,19,Kevin Kisner,89,0.381,160,61.0
19,T20,T20,Adam Hadwin,92,0.382,136,52.0
20,T20,T20,Denny McCarthy,71,0.382,144,55.0
21,22,22,Nate Lashley,51,0.389,108,42.0
22,23,23,Andrew Putnam,97,0.39,187,73.0
23,24,24,Lucas Glover,65,0.392,97,38.0
24,25,25,Si Woo Kim,108,0.39299999999999996,214,84.0
25,T26,T26,Talor Gooch,78,0.39399999999999996,170,67.0
26,T26,T26,Branden Grace,67,0.39399999999999996,94,37.0
27,T26,T26,Daniel Summerhays,51,0.39399999999999996,132,52.0
28,29,29,Brian Stuard,103,0.396,197,78.0
29,T30,T30,Martin Piller,79,0.397,242,96.0
30,T30,T30,Steve Wheatcroft,60,0.397,131,52.0
31,32,32,Jordan Spieth,81,0.39799999999999996,133,53.0
32,33,33,Chris Kirk,108,0.39899999999999997,198,79.0
33,34,34,Jimmy Walker,81,0.4,175,70.0
34,35,35,Austin Cook,107,0.402,229,92.0
35,36,36,Kiradech Aphibarnrat,51,0.40299999999999997,77,31.0
36,37,37,Peter Uihlein,83,0.406,143,58.0
37,38,38,Stewart Cink,87,0.40700000000000003,162,66.0
38,T39,T39,Zach Johnson,94,0.408,152,62.0
39,T39,T39,Richy Werenski,98,0.408,179,73.0
40,41,41,Brandt Snedeker,84,0.41100000000000003,168,69.0
41,T42,T42,Tyrone Van Aswegen,101,0.414,191,79.0
42,T42,T42,Johnson Wagner,75,0.414,145,60.0
43,T44,T44,Tommy Fleetwood,73,0.415,106,44.0
44,T44,T44,Matt Kuchar,88,0.415,130,54.0
45,T46,T46,Kevin Na,91,0.41600000000000004,173,72.0
46,T46,T46,Kyle Stanley,93,0.41600000000000004,125,52.0
47,48,48,Retief Goosen,60,0.418,122,51.0
