,Scrambling_RANK THIS WEEK,Scrambling_RANK LAST WEEK,Scrambling_PLAYER NAME,Scrambling_ROUNDS,Scrambling_%,Scrambling_PAR OR BETTER,Scrambling_MISSED GIR
0,1,1,Webb Simpson,95,66.1,351,531
1,2,2,Johnson Wagner,75,65.41,261,399
2,3,3,Louis Oosthuizen,62,64.26,214,333
3,T4,T4,Ryan Moore,78,64.16,281,438
4,T4,T4,Tiger Woods,68,64.16,256,399
5,6,6,Alex Cejka,77,64.0,288,450
6,7,7,Seamus Power,86,63.8,312,489
7,8,8,Kevin Na,91,63.62,348,547
8,9,9,Matt Kuchar,88,63.6,304,478
9,10,10,Chris Kirk,108,63.53,385,606
10,11,11,Joel Dahmen,93,63.31,302,477
11,12,12,Brooks Koepka,64,63.28,224,354
12,13,13,Brian Gay,103,63.26,408,645
13,14,14,Rickie Fowler,74,63.05,256,406
14,15,15,Justin Rose,70,63.03,225,357
15,16,16,Ben Crane,65,63.0,235,373
16,17,17,Rory McIlroy,64,62.97,233,370
17,18,18,Patrick Reed,94,62.94,355,564
18,19,19,William McGirt,84,62.86,286,455
19,20,20,Abraham Ancer,98,62.69,363,579
20,T21,T21,Jim Furyk,50,62.58,199,318
21,T21,T21,Tyrrell Hatton,58,62.58,204,326
22,23,23,Dustin Johnson,77,62.5,245,392
23,24,24,Justin Thomas,91,62.47,288,461
24,T25,T25,Jason Day,75,62.35,265,425
25,T25,T25,Zach Johnson,94,62.35,318,510
26,27,27,Chez Reavie,93,62.27,302,485
27,28,28,Austin Cook,107,62.02,400,645
28,29,29,Nick Taylor,94,61.83,324,524
29,30,30,Alex Noren,67,61.74,234,379
30,31,31,Jordan Spieth,81,61.63,249,404
31,32,32,Andrew Putnam,97,61.52,291,473
32,33,33,Zac Blair,64,61.43,215,350
33,34,34,Tom Hoge,101,61.41,374,609
34,35,35,Rory Sabbatini,91,61.36,316,515
35,36,36,Peter Malnati,87,61.3,339,553
36,37,37,Byeong Hun An,86,61.16,296,484
37,38,38,Cameron Smith,85,61.12,316,517
38,39,39,Aaron Baddeley,84,61.09,314,514
39,40,40,Jamie Lovemark,92,61.07,342,560
40,41,41,Emiliano Grillo,94,61.05,315,516
41,42,42,Steve Wheatcroft,60,61.03,213,349
42,43,43,Kevin Streelman,94,60.93,287,471
43,44,44,Charles Howell III,104,60.87,336,552
44,45,45,Scott Stallings,96,60.86,339,557
45,46,46,Danny Lee,88,60.81,329,541
46,47,47,Hideki Matsuyama,75,60.8,242,398
47,48,48,Henrik Stenson,60,60.67,162,267
48,49,49,Nate Lashley,51,60.59,163,269
49,50,50,Paul Casey,74,60.58,249,411
50,51,51,Bill Haas,76,60.34,283,469
51,52,52,Kevin Kisner,89,60.29,293,486
52,53,53,Wesley Bryan,69,60.17,281,467
53,54,54,Matt Jones,70,60.16,225,374
54,55,55,Ryan Armour,109,60.13,368,612
55,56,56,Bud Cauley,55,60.12,205,341
56,57,57,Brandt Snedeker,84,60.08,310,516
57,T58,T58,Beau Hossler,104,60.0,360,600
58,T58,T58,Conrad Shindler,60,60.0,204,340
59,60,60,Chris Stroud,81,59.96,292,487
60,61,61,Graeme McDowell,67,59.95,226,377
61,62,62,Vaughn Taylor,83,59.91,281,469
62,63,63,Bryson DeChambeau,93,59.84,304,508
63,T64,T64,Lucas Glover,65,59.83,216,361
64,T64,T64,Denny McCarthy,71,59.83,216,361
65,T64,T64,Jonathan Randolph,71,59.83,277,463
66,67,67,James Hahn,85,59.62,279,468
67,68,68,Rob Oppenheim,74,59.55,262,440
68,69,69,Talor Gooch,78,59.53,281,472
69,70,70,Russell Knox,94,59.43,293,493
70,71,71,Chad Campbell,87,59.39,291,490
71,72,72,Brian Stuard,103,59.23,340,574
72,73,73,Martin Laird,73,59.15,236,399
73,74,74,Jimmy Walker,81,59.09,312,528
74,75,75,Marc Leishman,93,59.07,319,540
75,76,76,Daniel Berger,81,58.94,267,453
76,77,77,Kelly Kraft,94,58.93,353,599
77,78,78,Dominic Bozzelli,65,58.86,269,457
78,79,79,Fabián Gómez,88,58.85,286,486
79,80,80,Hunter Mahan,67,58.81,207,352
80,81,81,Ben Martin,64,58.8,244,415
81,82,82,Francesco Molinari,73,58.67,220,375
82,83,83,Brice Garnett,99,58.63,333,568
83,84,84,Jhonattan Vegas,92,58.6,327,558
84,85,85,Adam Hadwin,92,58.59,300,512
85,86,86,David Lingmerth,82,58.57,304,519
86,T87,T87,Roberto Díaz,72,58.56,260,444
87,T87,T87,Whee Kim,93,58.56,342,584
88,89,89,Shawn Stefani,76,58.43,253,433
89,90,90,Luke List,98,58.41,316,541
90,91,91,Phil Mickelson,90,58.36,321,550
91,92,92,Anirban Lahiri,82,58.35,304,521
92,93,93,Jonathan Byrd,70,58.31,207,355
93,94,94,Jason Dufner,71,58.25,240,412
94,95,95,Xinjun Zhang,81,58.2,259,445
95,96,96,Harold Varner III,91,58.14,300,516
96,97,97,Tyrone Van Aswegen,101,58.08,338,582
97,98,98,Billy Horschel,86,58.03,242,417
98,99,99,Rafa Cabrera Bello,75,57.98,218,376
99,100,100,John Huh,94,57.94,321,554
100,101,101,Charl Schwartzel,65,57.88,235,406
101,102,102,Peter Uihlein,83,57.87,261,451
102,103,103,Harris English,84,57.86,298,515
103,104,104,Xander Schauffele,96,57.81,333,576
104,105,105,Branden Grace,67,57.78,219,379
105,106,106,Martin Piller,79,57.74,317,549
