,Proximity_to_Hole_from_Fringe_RANK THIS WEEK,Proximity_to_Hole_from_Fringe_RANK LAST WEEK,Proximity_to_Hole_from_Fringe_PLAYER NAME,Proximity_to_Hole_from_Fringe_ROUNDS,Proximity_to_Hole_from_Fringe_AVG DTP,Proximity_to_Hole_from_Fringe_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Fringe_# OF SHOTS,Proximity_to_Hole_from_Fringe_SCRAMBLING RANK
0,1,1,Johnson Wagner,75,"1' 7""",71.0,45,2
1,2,2,Cameron Smith,85,"1' 10""",59.667,32,38
2,T3,T3,Stewart Cink,87,"1' 11""",75.083,40,152
3,T3,T3,Kevin Na,91,"1' 11""",78.583,41,8
4,T3,T3,Louis Oosthuizen,62,"1' 11""",66.417,34,3
5,T6,T6,Blayne Barber,69,"2' 0""",67.167,34,114
6,T6,T6,D.A. Points,63,"2' 0""",65.167,33,182
7,T6,T6,Seamus Power,86,"2' 0""",103.833,52,7
8,T9,T9,Keegan Bradley,98,"2' 1""",110.917,53,131
9,T9,T9,Alex Cejka,77,"2' 1""",75.5,36,6
10,T9,T9,Mackenzie Hughes,80,"2' 1""",81.333,39,177
11,T9,T9,David Lingmerth,82,"2' 1""",89.333,43,86
12,T9,T9,Justin Rose,70,"2' 1""",67.833,33,15
13,T9,T9,Robert Streb,78,"2' 1""",91.167,43,184
14,T9,T9,Daniel Summerhays,51,"2' 1""",62.417,30,167
15,T9,T9,Steve Wheatcroft,60,"2' 1""",52.333,25,42
16,T17,T17,Hunter Mahan,67,"2' 2""",77.25,35,80
17,T17,T17,Ryan Moore,78,"2' 2""",82.75,38,4
18,T19,T19,Bud Cauley,55,"2' 3""",68.833,31,56
19,T19,T19,Austin Cook,107,"2' 3""",141.167,63,28
20,T19,T19,Brice Garnett,99,"2' 3""",117.667,52,83
21,T19,T19,Danny Lee,88,"2' 3""",96.333,43,46
22,T19,T19,Graeme McDowell,67,"2' 3""",74.75,33,61
23,T19,T19,Rory McIlroy,64,"2' 3""",82.333,36,17
24,T19,T19,Conrad Shindler,60,"2' 3""",73.0,32,58
25,T19,T19,Justin Thomas,91,"2' 3""",100.75,45,24
26,T27,T27,Patrick Cantlay,87,"2' 4""",86.083,37,109
27,T27,T27,Ben Martin,64,"2' 4""",75.75,32,81
28,T27,T27,Phil Mickelson,90,"2' 4""",99.5,43,91
29,T27,T27,Keith Mitchell,99,"2' 4""",107.583,46,137
30,T27,T27,Chez Reavie,93,"2' 4""",109.083,46,27
31,T27,T27,Kevin Streelman,94,"2' 4""",87.333,38,43
32,T27,T27,Hudson Swafford,73,"2' 4""",72.167,31,179
33,T27,T27,Kevin Tway,110,"2' 4""",157.917,67,132
34,T27,T27,Peter Uihlein,83,"2' 4""",80.917,35,102
35,T36,T36,Byeong Hun An,86,"2' 5""",99.75,41,37
36,T36,T36,Kiradech Aphibarnrat,51,"2' 5""",60.333,25,157
37,T36,T36,Zac Blair,64,"2' 5""",77.083,32,33
38,T36,T36,J.J. Henry,81,"2' 5""",84.0,35,171
39,T36,T36,Ian Poulter,73,"2' 5""",69.5,29,123
40,T36,T36,Rory Sabbatini,91,"2' 5""",115.0,47,35
41,T36,T36,Brandt Snedeker,84,"2' 5""",103.0,42,57
42,T36,T36,Xinjun Zhang,81,"2' 5""",77.833,32,95
43,T44,T44,Branden Grace,67,"2' 6""",57.583,23,105
44,T44,T44,Russell Henley,77,"2' 6""",73.917,30,175
45,T44,T44,Brooks Koepka,64,"2' 6""",79.167,32,12
46,T44,T44,Marc Leishman,93,"2' 6""",118.833,47,75
47,T44,T44,Alex Noren,67,"2' 6""",76.417,31,30
48,T44,T44,Rod Pampling,62,"2' 6""",83.833,33,134
49,T44,T44,Sam Saunders,80,"2' 6""",121.583,48,147
50,T44,T44,Webb Simpson,95,"2' 6""",145.917,58,1
51,T44,T44,Brett Stegmaier,67,"2' 6""",106.167,42,140
52,T53,T53,Dominic Bozzelli,65,"2' 7""",100.0,39,78
53,T53,T53,Zecheng Dou,53,"2' 7""",43.917,17,191
54,T53,T53,Robert Garrigus,80,"2' 7""",140.75,55,129
55,T53,T53,Adam Hadwin,92,"2' 7""",105.833,41,85
56,T53,T53,Kelly Kraft,94,"2' 7""",99.167,39,77
57,T53,T53,Luke List,98,"2' 7""",166.0,64,90
58,T53,T53,William McGirt,84,"2' 7""",142.667,55,19
59,T53,T53,Chris Stroud,81,"2' 7""",75.083,29,60
60,T53,T53,Michael Thompson,62,"2' 7""",84.25,33,148
61,T62,T62,Jonas Blixt,67,"2' 8""",86.75,33,130
62,T62,T62,Bryson DeChambeau,93,"2' 8""",89.667,34,63
63,T62,T62,Harris English,84,"2' 8""",111.5,42,103
64,T62,T62,Brian Harman,94,"2' 8""",131.75,50,126
65,T62,T62,Charley Hoffman,87,"2' 8""",130.667,49,143
66,T62,T62,Tom Hoge,101,"2' 8""",159.0,60,34
67,T62,T62,Satoshi Kodaira,51,"2' 8""",74.833,28,192
68,T62,T62,Martin Laird,73,"2' 8""",110.917,42,73
69,T62,T62,Sean O'Hair,67,"2' 8""",97.5,37,110
70,T62,T62,J.T. Poston,73,"2' 8""",73.75,28,111
71,T62,T62,Jordan Spieth,81,"2' 8""",111.0,42,31
72,T73,T73,Bronson Burgoon,69,"2' 9""",102.667,37,156
73,T73,T73,Brian Gay,103,"2' 9""",144.333,52,13
74,T73,T73,Billy Horschel,86,"2' 9""",106.417,39,98
75,T73,T73,Zach Johnson,94,"2' 9""",126.0,46,25
76,T73,T73,Matt Jones,70,"2' 9""",79.917,29,54
77,T73,T73,Whee Kim,93,"2' 9""",105.417,38,87
78,T73,T73,Si Woo Kim,108,"2' 9""",179.917,65,118
79,T73,T73,Troy Merritt,89,"2' 9""",138.25,51,107
80,T73,T73,Cameron Percy,56,"2' 9""",77.583,28,117
81,T73,T73,Andrew Putnam,97,"2' 9""",117.333,43,32
82,T73,T73,Ollie Schniederjans,91,"2' 9""",140.917,51,126
83,T73,T73,Adam Scott,78,"2' 9""",112.5,41,168
