,Scrambling_20-30_yds_RTP_Score_RANK THIS WEEK,Scrambling_20-30_yds_RTP_Score_RANK LAST WEEK,Scrambling_20-30_yds_RTP_Score_PLAYER NAME,Scrambling_20-30_yds_RTP_Score_ROUNDS,Scrambling_20-30_yds_RTP_Score_AVG RTP,Scrambling_20-30_yds_RTP_Score_TOTAL HOLES,Scrambling_20-30_yds_RTP_Score_TOTAL RTP
0,1,1,Nate Lashley,51,0.324,37,12.0
1,2,2,Brett Stegmaier,67,0.33299999999999996,30,10.0
2,3,3,Webb Simpson,95,0.354,79,28.0
3,4,4,Branden Grace,67,0.355,62,22.0
4,5,5,Alex Cejka,77,0.35600000000000004,73,26.0
5,6,6,Aaron Baddeley,84,0.371,89,33.0
6,T7,T7,Dominic Bozzelli,65,0.375,88,33.0
7,T7,T7,Cameron Tringale,67,0.375,56,21.0
8,9,9,Rafa Cabrera Bello,75,0.377,61,23.0
9,10,10,Tom Hoge,101,0.38,79,30.0
10,11,11,Ian Poulter,73,0.38299999999999995,47,18.0
11,12,12,Bud Cauley,55,0.385,39,15.0
12,13,13,Justin Rose,70,0.386,57,22.0
13,14,14,Tiger Woods,68,0.387,62,24.0
14,15,15,Louis Oosthuizen,62,0.39,41,16.0
15,16,16,Seamus Power,86,0.395,76,30.0
16,17,17,Danny Lee,88,0.397,63,25.0
17,18,18,Tyrrell Hatton,58,0.4,55,22.0
18,19,19,Zach Johnson,94,0.405,74,30.0
19,20,20,Daniel Berger,81,0.409,66,27.0
20,21,21,Steve Wheatcroft,60,0.415,41,17.0
21,T22,T22,Tony Finau,105,0.418,79,33.0
22,T22,T22,Anirban Lahiri,82,0.418,79,33.0
23,24,24,J.T. Poston,73,0.42,69,29.0
24,25,25,Andrew Putnam,97,0.42100000000000004,76,32.0
25,T26,T26,Beau Hossler,104,0.42200000000000004,90,38.0
26,T26,T26,Brooks Koepka,64,0.42200000000000004,45,19.0
27,28,28,Jonas Blixt,67,0.423,71,30.0
28,29,29,Patrick Rodgers,97,0.424,92,39.0
29,30,30,Justin Thomas,91,0.426,68,29.0
30,T31,T31,Ryan Moore,78,0.429,77,33.0
31,T31,T31,Michael Thompson,62,0.429,56,24.0
32,33,33,Brandon Harkins,101,0.43,79,34.0
33,34,34,Stewart Cink,87,0.435,69,30.0
34,35,35,Austin Cook,107,0.436,101,44.0
35,36,36,Charley Hoffman,87,0.441,68,30.0
36,T37,T37,Russell Henley,77,0.444,63,28.0
37,T37,T37,Hideki Matsuyama,75,0.444,54,24.0
38,T37,T37,Kyle Thompson,50,0.444,36,16.0
39,40,40,Brian Gay,103,0.445,119,53.0
40,T41,T41,Bill Haas,76,0.446,92,41.0
41,T41,T41,John Huh,94,0.446,112,50.0
42,43,43,Talor Gooch,78,0.447,76,34.0
43,T44,T44,J.B. Holmes,77,0.44799999999999995,67,30.0
44,T44,T44,Pat Perez,82,0.44799999999999995,67,30.0
45,46,46,Russell Knox,94,0.452,73,33.0
46,47,47,Kevin Kisner,89,0.45299999999999996,86,39.0
47,T48,T48,Rickie Fowler,74,0.455,55,25.0
48,T48,T48,Martin Laird,73,0.455,66,30.0
49,T48,T48,Nicholas Lindheim,77,0.455,66,30.0
50,T48,T48,Luke List,98,0.455,88,40.0
51,T48,T48,Francesco Molinari,73,0.455,55,25.0
52,53,53,James Hahn,85,0.456,79,36.0
53,T54,T54,Cameron Smith,85,0.45799999999999996,83,38.0
54,T54,T54,Brandt Snedeker,84,0.45799999999999996,83,38.0
55,56,56,Alex Noren,67,0.45899999999999996,61,28.0
56,57,57,Shane Lowry,64,0.46,50,23.0
57,58,58,Rob Oppenheim,74,0.462,65,30.0
58,T59,T59,Abraham Ancer,98,0.46299999999999997,82,38.0
59,T59,T59,Peter Uihlein,83,0.46299999999999997,82,38.0
60,61,61,David Lingmerth,82,0.466,88,41.0
61,62,62,Jonathan Randolph,71,0.46799999999999997,94,44.0
62,63,63,Johnson Wagner,75,0.47100000000000003,68,32.0
63,T64,T64,Michael Kim,74,0.475,80,38.0
64,T64,T64,Peter Malnati,87,0.475,99,47.0
65,T64,T64,Daniel Summerhays,51,0.475,59,28.0
66,T67,T67,Jason Day,75,0.47600000000000003,63,30.0
67,T67,T67,Tommy Fleetwood,73,0.47600000000000003,63,30.0
68,69,69,Harris English,84,0.478,92,44.0
69,70,70,Adam Hadwin,92,0.479,73,35.0
70,T71,T71,Cameron Percy,56,0.48,50,24.0
71,T71,T71,Chez Reavie,93,0.48,50,24.0
72,73,73,"Ted Potter, Jr.",87,0.483,87,42.0
73,T74,T74,Kiradech Aphibarnrat,51,0.486,37,18.0
74,T74,T74,Kevin Na,91,0.486,70,34.0
75,76,76,Zecheng Dou,53,0.48700000000000004,39,19.0
76,77,77,Stephan Jaeger,81,0.488,84,41.0
77,78,78,Jason Kokrak,99,0.489,90,44.0
78,79,79,Chris Kirk,108,0.49,96,47.0
79,80,80,Dustin Johnson,77,0.491,55,27.0
80,T81,T81,Graeme McDowell,67,0.49200000000000005,59,29.0
81,T81,T81,Gary Woodland,96,0.49200000000000005,61,30.0
82,T83,T83,Byeong Hun An,86,0.494,77,38.0
83,T83,T83,Brian Harman,94,0.494,83,41.0
84,T83,T83,Bubba Watson,90,0.494,77,38.0
85,86,86,Jamie Lovemark,92,0.495,93,46.0
86,T87,T87,Matt Atkins,56,0.5,48,24.0
87,T87,T87,Scott Brown,102,0.5,110,55.0
88,T87,T87,Bryson DeChambeau,93,0.5,70,35.0
89,T87,T87,Brice Garnett,99,0.5,86,43.0
90,T87,T87,William McGirt,84,0.5,110,55.0
91,T87,T87,J.J. Spaun,85,0.5,78,39.0
92,T87,T87,Jordan Spieth,81,0.5,68,34.0
93,T87,T87,Jimmy Walker,81,0.5,80,40.0
94,T95,T95,Lanto Griffin,80,0.506,77,39.0
95,T95,T95,Chesson Hadley,103,0.506,85,43.0
96,97,97,Keegan Bradley,98,0.507,71,36.0
97,98,98,D.A. Points,63,0.508,61,31.0
98,T99,T99,Retief Goosen,60,0.51,51,26.0
99,T99,T99,Brian Stuard,103,0.51,98,50.0
100,101,101,Marc Leishman,93,0.513,76,39.0
101,T102,T102,Ryan Armour,109,0.514,111,57.0
102,T102,T102,Patrick Reed,94,0.514,74,38.0
103,T104,T104,Kyle Stanley,93,0.515,68,35.0
104,T104,T104,Richy Werenski,98,0.515,68,35.0
105,T106,T106,Scott Stallings,96,0.516,95,49.0
106,T106,T106,Chris Stroud,81,0.516,62,32.0
107,108,108,Kevin Tway,110,0.517,89,46.0
108,109,109,Rory McIlroy,64,0.518,56,29.0
109,T110,T110,Chad Campbell,87,0.519,79,41.0
110,T110,T110,Adam Schenk,86,0.519,77,40.0
111,T112,T112,Shawn Stefani,76,0.522,69,36.0
112,T112,T112,Tyrone Van Aswegen,101,0.522,113,59.0
113,114,114,Tyler Duncan,97,0.526,97,51.0
114,115,115,Jonathan Byrd,70,0.527,55,29.0
115,116,116,Xander Schauffele,96,0.528,72,38.0
116,117,117,Bronson Burgoon,69,0.529,51,27.0
117,118,118,Wesley Bryan,69,0.53,66,35.0
118,T119,T119,Charles Howell III,104,0.531,98,52.0
119,T119,T119,Charl Schwartzel,65,0.531,49,26.0
120,T121,T121,Joel Dahmen,93,0.532,77,41.0
121,T121,T121,Kelly Kraft,94,0.532,94,50.0
122,T121,T121,Rory Sabbatini,91,0.532,77,41.0
123,T124,T124,Billy Horschel,86,0.5329999999999999,75,40.0
124,T124,T124,Nick Watney,94,0.5329999999999999,75,40.0
125,126,126,Ryan Palmer,69,0.536,69,37.0
126,T127,T127,Roberto Díaz,72,0.537,67,36.0
127,T127,T127,Cody Gribble,71,0.537,82,44.0
128,129,129,Ryan Blaum,81,0.542,72,39.0
129,130,130,Harold Varner III,91,0.5429999999999999,81,44.0
130,T131,T131,Jim Furyk,50,0.545,55,30.0
131,T131,T131,Martin Piller,79,0.545,110,60.0
132,T131,T131,Kevin Streelman,94,0.545,88,48.0
133,T134,T134,Billy Hurley III,70,0.547,64,35.0
134,T134,T134,Andrew Landry,82,0.547,75,41.0
135,T136,T136,Ben Crane,65,0.5479999999999999,62,34.0
136,T136,T136,Phil Mickelson,90,0.5479999999999999,84,46.0
137,T136,T136,Henrik Stenson,60,0.5479999999999999,31,17.0
138,139,139,Jason Dufner,71,0.5489999999999999,71,39.0
139,T140,T140,Robert Garrigus,80,0.552,58,32.0
140,T140,T140,Troy Merritt,89,0.552,105,58.0
141,142,142,Zac Blair,64,0.5529999999999999,47,26.0
142,143,143,Ollie Schniederjans,91,0.555,110,61.0
143,T144,T144,Blayne Barber,69,0.556,54,30.0
144,T144,T144,Robert Streb,78,0.556,90,50.0
145,146,146,Patton Kizzire,92,0.557,70,39.0
146,147,147,Si Woo Kim,108,0.5579999999999999,77,43.0
147,148,148,Martin Flores,92,0.56,84,47.0
148,149,149,Ricky Barnes,65,0.561,66,37.0
149,150,150,Lucas Glover,65,0.563,48,27.0
150,T151,T151,Emiliano Grillo,94,0.565,69,39.0
151,T151,T151,C.T. Pan,104,0.565,92,52.0
152,153,153,Brendan Steele,74,0.5660000000000001,53,30.0
153,154,154,Sean O'Hair,67,0.5670000000000001,67,38.0
154,155,155,Whee Kim,93,0.568,81,46.0
155,T156,T156,Patrick Cantlay,87,0.574,61,35.0
156,T156,T156,Denny McCarthy,71,0.574,47,27.0
157,T156,T156,Vaughn Taylor,83,0.574,68,39.0
158,159,159,Fabián Gómez,88,0.575,80,46.0
159,160,160,Ben Martin,64,0.578,64,37.0
160,161,161,Mackenzie Hughes,80,0.58,81,47.0
161,162,162,Nick Taylor,94,0.5820000000000001,91,53.0
162,163,163,Derek Fathauer,84,0.586,87,51.0
163,164,164,Ben Silverman,90,0.589,90,53.0
164,165,165,David Hearn,66,0.591,44,26.0
165,166,166,Scott Piercy,84,0.5920000000000001,76,45.0
166,167,167,Jhonattan Vegas,92,0.594,69,41.0
167,T168,T168,Matt Jones,70,0.6,55,33.0
168,T168,T168,Tom Lovelady,87,0.6,65,39.0
169,T168,T168,Xinjun Zhang,81,0.6,60,36.0
170,171,171,Matt Kuchar,88,0.602,83,50.0
171,172,172,Rod Pampling,62,0.603,63,38.0
172,173,173,Corey Conners,97,0.614,88,54.0
173,174,174,Satoshi Kodaira,51,0.615,52,32.0
174,175,175,Sam Saunders,80,0.616,73,45.0
175,T176,T176,Trey Mullinax,75,0.618,68,42.0
176,T176,T176,Conrad Shindler,60,0.618,34,21.0
177,178,178,Matt Every,79,0.619,63,39.0
178,179,179,J.J. Henry,81,0.627,59,37.0
179,T180,T180,Paul Casey,74,0.633,49,31.0
180,T180,T180,Grayson Murray,72,0.633,60,38.0
181,182,182,Adam Scott,78,0.635,63,40.0
182,183,183,Kevin Chappell,77,0.638,58,37.0
183,T184,T184,Sung Kang,89,0.64,89,57.0
184,T184,T184,Aaron Wise,90,0.64,86,55.0
185,186,186,Ethan Tracy,72,0.642,53,34.0
186,187,187,Hudson Swafford,73,0.643,56,36.0
187,188,188,Keith Mitchell,99,0.667,90,60.0
188,189,189,Greg Chalmers,56,0.672,64,43.0
189,190,190,Jon Rahm,71,0.682,44,30.0
190,191,191,Andrew Yun,51,0.6940000000000001,36,25.0
191,192,192,Hunter Mahan,67,0.7020000000000001,57,40.0
192,193,193,Sam Ryder,82,0.708,48,34.0
