,Proximity_to_Hole_from_20-30_yards_RANK THIS WEEK,Proximity_to_Hole_from_20-30_yards_RANK LAST WEEK,Proximity_to_Hole_from_20-30_yards_PLAYER NAME,Proximity_to_Hole_from_20-30_yards_ROUNDS,Proximity_to_Hole_from_20-30_yards_AVG DTP,Proximity_to_Hole_from_20-30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_20-30_yards_# OF SHOTS,Proximity_to_Hole_from_20-30_yards_SCRAMBLING RANK
0,1,1,Alex Cejka,77,"7' 7""",657.75,87,6
1,T2,T2,Tyrrell Hatton,58,"7' 8""",535.25,70,21
2,T2,T2,Louis Oosthuizen,62,"7' 8""",406.583,53,3
3,T2,T2,Rob Oppenheim,74,"7' 8""",575.25,75,68
4,T2,T2,Daniel Summerhays,51,"7' 8""",504.167,66,167
5,T6,T6,Wesley Bryan,69,"7' 9""",565.25,73,53
6,T6,T6,Danny Lee,88,"7' 9""",717.0830000000001,93,46
7,T6,T6,C.T. Pan,104,"7' 9""",934.0830000000001,121,128
8,T9,T9,Aaron Baddeley,84,"7' 10""",936.5,119,39
9,T9,T9,Nate Lashley,51,"7' 10""",407.5,52,49
10,11,11,Justin Rose,70,"8' 0""",680.0830000000001,85,15
11,12,12,Si Woo Kim,108,"8' 1""",950.1669999999999,118,118
12,T13,T13,Rafa Cabrera Bello,75,"8' 2""",662.5830000000001,81,99
13,T13,T13,Zach Johnson,94,"8' 2""",732.5,90,25
14,T13,T13,D.A. Points,63,"8' 2""",593.8330000000001,73,182
15,T13,T13,Tiger Woods,68,"8' 2""",692.1669999999999,85,4
16,T17,T17,Stephan Jaeger,81,"8' 3""",828.6669999999999,100,133
17,T17,T17,Kevin Na,91,"8' 3""",747.9169999999999,91,8
18,T19,T19,Chris Kirk,108,"8' 5""",1060.5,126,10
19,T19,T19,Cameron Smith,85,"8' 5""",917.25,109,38
20,T19,T19,Nick Taylor,94,"8' 5""",880.5830000000001,105,29
21,T19,T19,Cameron Tringale,67,"8' 5""",628.1669999999999,75,160
22,T23,T23,Tony Finau,105,"8' 6""",985.4169999999999,116,119
23,T23,T23,Matt Jones,70,"8' 6""",680.25,80,54
24,T23,T23,Ian Poulter,73,"8' 6""",518.0830000000001,61,123
25,T23,T23,Webb Simpson,95,"8' 6""",915.5,108,1
26,T27,T27,Jason Day,75,"8' 7""",751.8330000000001,88,25
27,T27,T27,Dustin Johnson,77,"8' 7""",800.3330000000001,93,23
28,T27,T27,Francesco Molinari,73,"8' 7""",684.25,80,82
29,T30,T30,Jason Dufner,71,"8' 8""",738.5830000000001,85,94
30,T30,T30,Brian Gay,103,"8' 8""",1138.583,131,13
31,T30,T30,Ryan Moore,78,"8' 8""",930.4169999999999,107,4
32,T30,T30,Kevin Tway,110,"8' 8""",1097.083,127,132
33,T34,T34,Jonas Blixt,67,"8' 9""",752.1669999999999,86,130
34,T34,T34,J.B. Holmes,77,"8' 9""",820.9169999999999,94,122
35,T34,T34,"Ted Potter, Jr.",87,"8' 9""",978.6669999999999,112,113
36,T37,T37,Jonathan Byrd,70,"8' 10""",752.9169999999999,85,93
37,T37,T37,Stewart Cink,87,"8' 10""",744.75,84,152
38,T37,T37,Roberto Díaz,72,"8' 10""",709.75,80,87
39,T37,T37,Charley Hoffman,87,"8' 10""",842.6669999999999,95,143
40,T37,T37,Martin Laird,73,"8' 10""",829.3330000000001,94,73
41,T37,T37,Conrad Shindler,60,"8' 10""",378.083,43,58
42,T37,T37,Robert Streb,78,"8' 10""",864.4169999999999,98,184
43,T37,T37,Justin Thomas,91,"8' 10""",840.9169999999999,95,24
44,T45,T45,Ryan Armour,109,"8' 11""",1182.25,132,55
45,T45,T45,Jason Kokrak,99,"8' 11""",1139.583,128,162
46,T45,T45,Luke List,98,"8' 11""",1157.25,130,90
47,T45,T45,Rory McIlroy,64,"8' 11""",751.8330000000001,84,17
48,T45,T45,Jordan Spieth,81,"8' 11""",923.6669999999999,104,31
49,T45,T45,Vaughn Taylor,83,"8' 11""",729.0,82,62
50,T51,T51,Blayne Barber,69,"9' 0""",658.0830000000001,73,114
51,T51,T51,Zac Blair,64,"9' 0""",578.5830000000001,64,33
52,T51,T51,Brandon Harkins,101,"9' 0""",1080.667,120,146
53,T51,T51,Nicholas Lindheim,77,"9' 0""",645.75,72,180
54,T51,T51,Jamie Lovemark,92,"9' 0""",1147.833,127,40
55,T51,T51,Denny McCarthy,71,"9' 0""",613.0,68,64
56,T57,T57,Paul Casey,74,"9' 1""",611.0,67,50
57,T57,T57,Rickie Fowler,74,"9' 1""",771.0830000000001,85,14
58,T57,T57,Billy Horschel,86,"9' 1""",963.5,106,98
59,T57,T57,Mackenzie Hughes,80,"9' 1""",871.3330000000001,96,177
60,T57,T57,Russell Knox,94,"9' 1""",890.5,98,70
61,T57,T57,David Lingmerth,82,"9' 1""",933.4169999999999,103,86
62,T57,T57,Ryan Palmer,69,"9' 1""",828.6669999999999,91,159
63,T57,T57,Pat Perez,82,"9' 1""",793.4169999999999,87,155
64,T57,T57,Jonathan Randolph,71,"9' 1""",1016.1669999999999,112,64
65,T57,T57,Chez Reavie,93,"9' 1""",636.4169999999999,70,27
66,T57,T57,Patrick Rodgers,97,"9' 1""",1056.75,116,119
67,T57,T57,Rory Sabbatini,91,"9' 1""",995.0830000000001,110,35
68,T57,T57,Xander Schauffele,96,"9' 1""",864.75,95,104
69,T57,T57,J.J. Spaun,85,"9' 1""",880.3330000000001,97,150
70,T57,T57,Steve Wheatcroft,60,"9' 1""",525.5,58,42
71,T72,T72,Ricky Barnes,65,"9' 2""",813.75,89,115
72,T72,T72,Joel Dahmen,93,"9' 2""",892.8330000000001,97,11
73,T72,T72,Cameron Percy,56,"9' 2""",538.9169999999999,59,117
74,T75,T75,Abraham Ancer,98,"9' 3""",1015.75,110,20
75,T75,T75,David Hearn,66,"9' 3""",557.3330000000001,60,154
76,T75,T75,Beau Hossler,104,"9' 3""",1193.083,129,58
77,T75,T75,Brooks Koepka,64,"9' 3""",685.0830000000001,74,12
78,T75,T75,Matt Kuchar,88,"9' 3""",914.0,99,9
79,T75,T75,Marc Leishman,93,"9' 3""",968.6669999999999,105,75
80,T75,T75,Patrick Reed,94,"9' 3""",949.1669999999999,103,18
81,T75,T75,Adam Scott,78,"9' 3""",740.3330000000001,80,168
82,T75,T75,Brandt Snedeker,84,"9' 3""",950.5,103,57
83,T75,T75,Peter Uihlein,83,"9' 3""",932.5,101,102
84,T85,T85,Ryan Blaum,81,"9' 4""",913.5,98,158
85,T85,T85,Austin Cook,107,"9' 4""",1248.583,134,28
86,T85,T85,Adam Hadwin,92,"9' 4""",938.5,101,85
87,T85,T85,Billy Hurley III,70,"9' 4""",744.8330000000001,80,164
88,T85,T85,Sung Kang,89,"9' 4""",1024.583,110,189
89,T85,T85,Scott Piercy,84,"9' 4""",898.8330000000001,96,145
90,T85,T85,Andrew Putnam,97,"9' 4""",1001.6669999999999,107,32
91,T85,T85,Chris Stroud,81,"9' 4""",785.9169999999999,84,60
92,T85,T85,Johnson Wagner,75,"9' 4""",725.5,78,2
93,T94,T94,Dominic Bozzelli,65,"9' 5""",1072.0,114,78
94,T94,T94,Tyler Duncan,97,"9' 5""",1175.417,125,186
95,T94,T94,Jim Furyk,50,"9' 5""",586.0,62,21
96,T94,T94,James Hahn,85,"9' 5""",966.9169999999999,103,67
97,T94,T94,Michael Kim,74,"9' 5""",856.5,91,144
98,T94,T94,Satoshi Kodaira,51,"9' 5""",516.5830000000001,55,192
99,T94,T94,Ben Martin,64,"9' 5""",819.0830000000001,87,81
100,T94,T94,Martin Piller,79,"9' 5""",1210.333,129,106
101,T94,T94,Charl Schwartzel,65,"9' 5""",675.8330000000001,72,101
102,T103,T103,Branden Grace,67,"9' 6""",836.75,88,105
103,T103,T103,Bill Haas,76,"9' 6""",1050.417,111,51
104,T103,T103,Kelly Kraft,94,"9' 6""",1016.5,107,77
105,T103,T103,Grayson Murray,72,"9' 6""",852.0,90,176
106,T103,T103,Richy Werenski,98,"9' 6""",931.0830000000001,98,138
107,T108,T108,Ben Crane,65,"9' 7""",718.1669999999999,75,16
108,T108,T108,Derek Fathauer,84,"9' 7""",1002.0830000000001,105,163
109,T108,T108,Retief Goosen,60,"9' 7""",563.25,59,124
110,T108,T108,Tom Hoge,101,"9' 7""",1015.0,106,34
111,T108,T108,John Huh,94,"9' 7""",1346.9170000000001,141,100
112,T108,T108,Shane Lowry,64,"9' 7""",811.9169999999999,85,181
113,T108,T108,Alex Noren,67,"9' 7""",778.3330000000001,81,30
114,T108,T108,Kyle Thompson,50,"9' 7""",470.833,49,178
115,T108,T108,Aaron Wise,90,"9' 7""",1183.5,123,141
116,T117,T117,Kiradech Aphibarnrat,51,"9' 8""",482.083,50,157
117,T117,T117,Keegan Bradley,98,"9' 8""",956.5830000000001,99,131
118,T117,T117,Bud Cauley,55,"9' 8""",609.0,63,56
119,T117,T117,Tommy Fleetwood,73,"9' 8""",902.5,93,148
120,T117,T117,Peter Malnati,87,"9' 8""",1167.583,121,36
121,T117,T117,Hideki Matsuyama,75,"9' 8""",818.3330000000001,85,47
122,T117,T117,William McGirt,84,"9' 8""",1283.583,133,19
123,T117,T117,Seamus Power,86,"9' 8""",977.75,101,7
124,T117,T117,Michael Thompson,62,"9' 8""",657.5830000000001,68,148
125,T117,T117,Jimmy Walker,81,"9' 8""",976.3330000000001,101,74
126,T127,T127,Bronson Burgoon,69,"9' 9""",741.75,76,156
127,T127,T127,Russell Henley,77,"9' 9""",808.1669999999999,83,175
128,T127,T127,Charles Howell III,104,"9' 9""",1247.333,128,44
