,Proximity_to_Hole_from__10_yards_RANK THIS WEEK,Proximity_to_Hole_from__10_yards_RANK LAST WEEK,Proximity_to_Hole_from__10_yards_PLAYER NAME,Proximity_to_Hole_from__10_yards_ROUNDS,Proximity_to_Hole_from__10_yards_AVG DTP,Proximity_to_Hole_from__10_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from__10_yards_# OF SHOTS,Proximity_to_Hole_from__10_yards_SCRAMBLING RANK
0,1,1,Johnson Wagner,75,"2' 5""",221.083,93,2
1,2,2,D.A. Points,63,"2' 8""",210.583,78,182
2,T3,T3,Kiradech Aphibarnrat,51,"2' 9""",184.167,68,157
3,T3,T3,Jim Furyk,50,"2' 9""",166.667,60,21
4,T5,T5,Ben Crane,65,"2' 10""",164.5,58,16
5,T5,T5,Peter Malnati,87,"2' 10""",356.917,125,36
6,T7,T7,Bud Cauley,55,"2' 11""",213.583,73,56
7,T7,T7,Zach Johnson,94,"2' 11""",322.66700000000003,110,25
8,T7,T7,Russell Knox,94,"2' 11""",252.667,87,70
9,T10,T10,Dominic Bozzelli,65,"3' 0""",304.0,100,78
10,T10,T10,Greg Chalmers,56,"3' 0""",200.333,66,185
11,T10,T10,Tiger Woods,68,"3' 0""",255.917,86,4
12,T13,T13,Byeong Hun An,86,"3' 1""",383.25,125,37
13,T13,T13,Ricky Barnes,65,"3' 1""",215.667,70,115
14,T13,T13,Paul Casey,74,"3' 1""",300.75,97,50
15,T13,T13,Joel Dahmen,93,"3' 1""",325.91700000000003,105,11
16,T13,T13,Jason Day,75,"3' 1""",187.833,61,25
17,T13,T13,Ian Poulter,73,"3' 1""",224.083,73,123
18,T13,T13,Webb Simpson,95,"3' 1""",353.75,116,1
19,T20,T20,Brian Gay,103,"3' 2""",429.25,137,13
20,T20,T20,Chris Kirk,108,"3' 2""",480.833,153,10
21,T20,T20,Marc Leishman,93,"3' 2""",366.083,115,75
22,T20,T20,Chris Stroud,81,"3' 2""",319.08299999999997,102,60
23,T24,T24,Aaron Baddeley,84,"3' 3""",343.417,106,39
24,T24,T24,Jonathan Byrd,70,"3' 3""",213.25,65,93
25,T24,T24,Retief Goosen,60,"3' 3""",225.667,70,124
26,T24,T24,Adam Hadwin,92,"3' 3""",343.917,107,85
27,T24,T24,Matt Jones,70,"3' 3""",222.75,68,54
28,T24,T24,Sean O'Hair,67,"3' 3""",333.167,102,110
29,T24,T24,Rob Oppenheim,74,"3' 3""",289.0,88,68
30,T24,T24,Jon Rahm,71,"3' 3""",253.75,79,121
31,T32,T32,Keegan Bradley,98,"3' 4""",479.083,143,131
32,T32,T32,Martin Flores,92,"3' 4""",347.583,105,165
33,T32,T32,Bill Haas,76,"3' 4""",304.0,92,51
34,T32,T32,Chesson Hadley,103,"3' 4""",481.333,145,136
35,T32,T32,Patton Kizzire,92,"3' 4""",389.75,116,160
36,T32,T32,Matt Kuchar,88,"3' 4""",316.58299999999997,95,9
37,T32,T32,Luke List,98,"3' 4""",432.417,130,90
38,T32,T32,Hideki Matsuyama,75,"3' 4""",266.08299999999997,80,47
39,T32,T32,Graeme McDowell,67,"3' 4""",215.417,64,61
40,T32,T32,William McGirt,84,"3' 4""",366.083,110,19
41,T32,T32,Scott Piercy,84,"3' 4""",300.91700000000003,91,145
42,T32,T32,Andrew Putnam,97,"3' 4""",345.833,104,32
43,T32,T32,Conrad Shindler,60,"3' 4""",275.33299999999997,83,58
44,T32,T32,Brandt Snedeker,84,"3' 4""",332.5,101,57
45,T32,T32,Harold Varner III,91,"3' 4""",402.917,120,96
46,T32,T32,Jhonattan Vegas,92,"3' 4""",342.917,104,84
47,T48,T48,Stewart Cink,87,"3' 5""",334.667,98,152
48,T48,T48,Fabián Gómez,88,"3' 5""",392.667,115,79
49,T48,T48,Branden Grace,67,"3' 5""",237.417,70,105
50,T48,T48,Cody Gribble,71,"3' 5""",324.16700000000003,94,183
51,T48,T48,Charley Hoffman,87,"3' 5""",436.667,129,143
52,T48,T48,Si Woo Kim,108,"3' 5""",498.083,147,118
53,T48,T48,Francesco Molinari,73,"3' 5""",271.41700000000003,80,82
54,T48,T48,Kevin Na,91,"3' 5""",403.333,118,8
55,T48,T48,Patrick Reed,94,"3' 5""",378.833,111,18
56,T48,T48,Michael Thompson,62,"3' 5""",247.583,73,148
57,T58,T58,Wesley Bryan,69,"3' 6""",316.91700000000003,91,53
58,T58,T58,Jason Dufner,71,"3' 6""",296.41700000000003,85,94
59,T58,T58,Whee Kim,93,"3' 6""",409.75,116,87
60,T58,T58,Michael Kim,74,"3' 6""",312.25,89,144
61,T58,T58,Phil Mickelson,90,"3' 6""",455.417,131,91
62,T58,T58,Grayson Murray,72,"3' 6""",435.583,123,176
63,T58,T58,Jonathan Randolph,71,"3' 6""",350.583,100,64
64,T58,T58,Justin Rose,70,"3' 6""",264.41700000000003,76,15
65,T58,T58,Ollie Schniederjans,91,"3' 6""",481.167,137,126
66,T58,T58,Cameron Smith,85,"3' 6""",408.25,117,38
67,T58,T58,Shawn Stefani,76,"3' 6""",306.58299999999997,87,89
68,T69,T69,Matt Every,79,"3' 7""",418.0,116,188
69,T69,T69,Robert Garrigus,80,"3' 7""",506.333,142,129
70,T69,T69,Billy Horschel,86,"3' 7""",305.25,86,98
71,T69,T69,Nicholas Lindheim,77,"3' 7""",310.0,86,180
72,T69,T69,Jamie Lovemark,92,"3' 7""",408.333,113,40
73,T69,T69,Ryan Moore,78,"3' 7""",353.5,99,4
74,T69,T69,Justin Thomas,91,"3' 7""",446.583,124,24
75,T69,T69,Cameron Tringale,67,"3' 7""",237.333,66,160
76,T69,T69,Kevin Tway,110,"3' 7""",530.4169999999999,149,132
77,T69,T69,Tyrone Van Aswegen,101,"3' 7""",447.75,124,97
78,T69,T69,Xinjun Zhang,81,"3' 7""",306.66700000000003,86,95
79,T80,T80,Ryan Armour,109,"3' 8""",544.4169999999999,147,55
80,T80,T80,Patrick Cantlay,87,"3' 8""",401.583,110,109
81,T80,T80,Rickie Fowler,74,"3' 8""",341.333,93,14
82,T80,T80,J.B. Holmes,77,"3' 8""",442.917,122,122
83,T80,T80,Charles Howell III,104,"3' 8""",426.833,117,44
84,T80,T80,Anirban Lahiri,82,"3' 8""",392.417,106,92
85,T80,T80,Louis Oosthuizen,62,"3' 8""",287.83299999999997,79,3
86,T80,T80,Ryan Palmer,69,"3' 8""",431.25,117,159
87,T80,T80,Charl Schwartzel,65,"3' 8""",301.33299999999997,82,101
88,T80,T80,Kevin Streelman,94,"3' 8""",465.917,127,43
89,T90,T90,Abraham Ancer,98,"3' 9""",582.25,156,20
90,T90,T90,Rafa Cabrera Bello,75,"3' 9""",226.917,60,99
91,T90,T90,Austin Cook,107,"3' 9""",595.0830000000001,158,28
