,Scrambling_from_Other_Locations_RANK THIS WEEK,Scrambling_from_Other_Locations_RANK LAST WEEK,Scrambling_from_Other_Locations_PLAYER NAME,Scrambling_from_Other_Locations_ROUNDS,Scrambling_from_Other_Locations_%,Scrambling_from_Other_Locations_SUCCESSES,Scrambling_from_Other_Locations_ATTEMPTS
0,1,1,Brooks Koepka,64,74.0,74,100
1,2,2,Chez Reavie,93,73.13,98,134
2,3,3,Tiger Woods,68,70.63,89,126
3,4,4,Rickie Fowler,74,70.37,76,108
4,5,5,Wesley Bryan,69,70.31,90,128
5,6,6,Matt Jones,70,70.18,80,114
6,7,7,Danny Lee,88,69.88,116,166
7,8,8,Nate Lashley,51,69.66,62,89
8,9,9,Patrick Reed,94,69.6,87,125
9,10,10,Joel Dahmen,93,68.49,100,146
10,11,11,Tyrrell Hatton,58,68.35,54,79
11,12,12,Seamus Power,86,68.29,112,164
12,13,13,Kevin Na,91,67.88,112,165
13,14,14,Byeong Hun An,86,67.72,107,158
14,T15,T15,Tony Finau,105,67.18,88,131
15,T15,T15,Ryan Moore,78,67.18,88,131
16,17,17,Kelly Kraft,94,67.17,133,198
17,18,18,Peter Malnati,87,67.03,124,185
18,19,19,Hideki Matsuyama,75,66.94,83,124
19,20,20,Bud Cauley,55,66.67,62,93
20,21,21,Kevin Kisner,89,66.43,93,140
21,22,22,Tom Hoge,101,66.02,136,206
22,23,23,Webb Simpson,95,65.97,95,144
23,24,24,Alex Noren,67,65.85,81,123
24,25,25,Nick Taylor,94,65.8,127,193
25,26,26,Johnson Wagner,75,65.75,96,146
26,27,27,Hunter Mahan,67,65.63,84,128
27,28,28,Ben Crane,65,65.6,82,125
28,29,29,Dustin Johnson,77,65.57,80,122
29,T30,T30,Austin Cook,107,65.45,125,191
30,T30,T30,Kevin Streelman,94,65.45,108,165
31,32,32,Justin Thomas,91,65.41,87,133
32,33,33,Zach Johnson,94,65.24,107,164
33,T34,T34,Marc Leishman,93,65.19,103,158
34,T34,T34,William McGirt,84,65.19,103,158
35,36,36,Bryson DeChambeau,93,65.15,86,132
36,37,37,Ian Poulter,73,65.14,71,109
37,T38,T38,Billy Horschel,86,65.03,93,143
38,T38,T38,Jonathan Randolph,71,65.03,93,143
39,40,40,Brian Harman,94,65.0,104,160
40,41,41,Chris Kirk,108,64.93,137,211
41,42,42,Jim Furyk,50,64.76,68,105
42,43,43,Scott Piercy,84,64.74,101,156
43,44,44,Gary Woodland,96,64.66,75,116
44,45,45,Justin Rose,70,64.63,53,82
45,T46,T46,Matt Kuchar,88,64.54,91,141
46,T46,T46,Chris Stroud,81,64.54,91,141
47,48,48,Ryan Armour,109,64.53,131,203
48,49,49,James Hahn,85,64.49,89,138
49,50,50,Cameron Smith,85,64.47,98,152
50,51,51,Rory Sabbatini,91,64.29,108,168
51,52,52,Ben Silverman,90,64.16,111,173
52,53,53,Sean O'Hair,67,64.1,75,117
53,54,54,Brian Gay,103,64.06,164,256
54,T55,T55,Lucas Glover,65,64.0,64,100
55,T55,T55,Troy Merritt,89,64.0,112,175
56,57,57,Cameron Percy,56,63.95,55,86
57,58,58,Fabián Gómez,88,63.91,108,169
58,59,59,Dominic Bozzelli,65,63.87,99,155
59,60,60,Chad Campbell,87,63.82,97,152
60,61,61,Russell Knox,94,63.73,123,193
61,62,62,Jamie Lovemark,92,63.68,121,190
62,T63,T63,Aaron Baddeley,84,63.64,112,176
63,T63,T63,Xander Schauffele,96,63.64,98,154
64,65,65,Alex Cejka,77,63.5,87,137
65,66,66,Roberto Díaz,72,63.45,92,145
66,67,67,Patrick Rodgers,97,63.33,133,210
67,68,68,Ethan Tracy,72,63.19,91,144
68,69,69,John Huh,94,63.08,123,195
69,70,70,Bill Haas,76,63.03,104,165
70,71,71,Graeme McDowell,67,63.01,92,146
71,72,72,Adam Hadwin,92,62.86,88,140
72,73,73,Emiliano Grillo,94,62.8,103,164
73,74,74,Charles Howell III,104,62.58,102,163
74,75,75,Harris English,84,62.56,122,195
75,T76,T76,Anirban Lahiri,82,62.5,100,160
76,T76,T76,Michael Thompson,62,62.5,75,120
77,T76,T76,Jhonattan Vegas,92,62.5,80,128
78,79,79,Kevin Tway,110,62.26,132,212
79,80,80,David Lingmerth,82,62.15,110,177
80,81,81,Kiradech Aphibarnrat,51,62.12,41,66
81,82,82,Xinjun Zhang,81,62.11,100,161
82,83,83,Brandt Snedeker,84,61.76,105,170
83,84,84,Zac Blair,64,61.74,71,115
84,85,85,Jimmy Walker,81,61.68,103,167
85,86,86,Ricky Barnes,65,61.49,91,148
86,87,87,Denny McCarthy,71,61.42,78,127
87,88,88,C.T. Pan,104,61.39,97,158
88,T89,T89,J.B. Holmes,77,61.31,84,137
89,T89,T89,Stephan Jaeger,81,61.31,84,137
90,91,91,Steve Wheatcroft,60,61.29,76,124
91,92,92,Derek Fathauer,84,61.14,118,193
92,93,93,Jonas Blixt,67,61.07,80,131
93,94,94,Jason Day,75,61.06,69,113
94,95,95,Brian Stuard,103,61.03,119,195
95,96,96,Ryan Blaum,81,60.95,103,169
96,97,97,Jason Kokrak,99,60.94,117,192
97,98,98,Andrew Putnam,97,60.9,95,156
98,99,99,Talor Gooch,78,60.87,98,161
99,100,100,Adam Schenk,86,60.84,101,166
100,101,101,Scott Stallings,96,60.82,118,194
101,102,102,Daniel Berger,81,60.81,90,148
102,103,103,"Ted Potter, Jr.",87,60.78,124,204
103,104,104,Keith Mitchell,99,60.71,119,196
104,105,105,Abraham Ancer,98,60.67,108,178
105,106,106,J.T. Poston,73,60.48,75,124
106,107,107,Conrad Shindler,60,60.47,78,129
107,T108,T108,Phil Mickelson,90,60.42,87,144
108,T108,T108,Richy Werenski,98,60.42,116,192
109,T110,T110,Shawn Stefani,76,60.4,90,149
110,T110,T110,Nick Watney,94,60.4,90,149
111,112,112,Ben Martin,64,60.28,85,141
112,113,113,Branden Grace,67,60.2,59,98
113,T114,T114,Scott Brown,102,60.0,120,200
114,T114,T114,Martin Flores,92,60.0,102,170
115,T114,T114,Brice Garnett,99,60.0,129,215
116,T114,T114,Lanto Griffin,80,60.0,90,150
117,118,118,Vaughn Taylor,83,59.86,85,142
118,119,119,Matt Atkins,56,59.69,77,129
119,T120,T120,Martin Piller,79,59.62,93,156
120,T120,T120,Kyle Thompson,50,59.62,62,104
121,122,122,Beau Hossler,104,59.22,122,206
122,123,123,Aaron Wise,90,59.21,90,152
123,124,124,Billy Hurley III,70,59.06,88,149
124,125,125,Ollie Schniederjans,91,58.99,105,178
125,126,126,Harold Varner III,91,58.97,92,156
126,127,127,Rob Oppenheim,74,58.9,86,146
127,128,128,Ryan Palmer,69,58.65,78,133
128,129,129,Sam Saunders,80,58.64,95,162
129,T130,T130,Rory McIlroy,64,58.62,51,87
130,T130,T130,Cameron Tringale,67,58.62,85,145
131,132,132,Robert Garrigus,80,58.6,92,157
132,133,133,Tyrone Van Aswegen,101,58.56,130,222
133,134,134,Henrik Stenson,60,58.54,48,82
134,135,135,Bubba Watson,90,58.45,83,142
135,136,136,Andrew Landry,82,58.44,90,154
136,T137,T137,Paul Casey,74,58.33,70,120
137,T137,T137,Peter Uihlein,83,58.33,77,132
138,139,139,Martin Laird,73,58.28,88,151
139,140,140,Greg Chalmers,56,58.2,71,122
140,141,141,Adam Scott,78,58.1,61,105
141,142,142,Corey Conners,97,57.99,98,169
142,143,143,Jason Dufner,71,57.94,73,126
143,144,144,Jordan Spieth,81,57.85,70,121
144,145,145,Matt Every,79,57.79,89,154
145,146,146,Charl Schwartzel,65,57.78,52,90
146,T147,T147,Keegan Bradley,98,57.69,90,156
147,T147,T147,Brett Stegmaier,67,57.69,75,130
148,149,149,Blayne Barber,69,57.66,64,111
149,150,150,Luke List,98,57.43,85,148
150,151,151,Sam Ryder,82,57.38,70,122
151,152,152,Grayson Murray,72,57.36,74,129
152,153,153,Pat Perez,82,57.14,64,112
153,154,154,Michael Kim,74,56.97,94,165
154,155,155,J.J. Henry,81,56.86,87,153
155,156,156,Robert Streb,78,56.85,83,146
156,T157,T157,Patrick Cantlay,87,56.69,72,127
157,T157,T157,Rod Pampling,62,56.69,72,127
158,159,159,Mackenzie Hughes,80,56.63,94,166
159,160,160,Brandon Harkins,101,56.62,124,219
160,161,161,Rafa Cabrera Bello,75,56.57,56,99
161,162,162,Trey Mullinax,75,56.55,82,145
162,163,163,Russell Henley,77,56.41,66,117
163,164,164,Kevin Chappell,77,56.38,84,149
164,165,165,Nicholas Lindheim,77,56.2,77,137
165,166,166,Hudson Swafford,73,55.93,66,118
166,167,167,Bronson Burgoon,69,55.91,71,127
167,168,168,Retief Goosen,60,55.8,77,138
168,T169,T169,Cody Gribble,71,55.56,75,135
169,T169,T169,Si Woo Kim,108,55.56,90,162
170,171,171,Tyler Duncan,97,55.49,101,182
171,172,172,J.J. Spaun,85,55.35,88,159
172,T173,T173,Francesco Molinari,73,55.26,63,114
173,T173,T173,Louis Oosthuizen,62,55.26,42,76
174,175,175,Chesson Hadley,103,54.93,117,213
175,176,176,Jon Rahm,71,54.88,45,82
176,177,177,Tommy Fleetwood,73,54.74,52,95
177,178,178,Charley Hoffman,87,54.73,81,148
178,179,179,Shane Lowry,64,54.08,53,98
179,180,180,David Hearn,66,53.6,67,125
180,181,181,Jonathan Byrd,70,53.45,62,116
181,182,182,Patton Kizzire,92,52.29,80,153
182,183,183,Brendan Steele,74,52.17,60,115
183,184,184,Stewart Cink,87,51.59,81,157
184,185,185,Zecheng Dou,53,51.49,52,101
185,186,186,Tom Lovelady,87,50.63,80,158
186,187,187,D.A. Points,63,50.36,69,137
187,T188,T188,Satoshi Kodaira,51,50.0,53,106
188,T188,T188,Kyle Stanley,93,50.0,58,116
189,190,190,Sung Kang,89,48.45,78,161
190,191,191,Whee Kim,93,48.19,80,166
191,192,192,Andrew Yun,51,46.36,51,110
192,193,193,Daniel Summerhays,51,45.97,57,124
