,Scrambling__30_yds_RTP_Score_RANK THIS WEEK,Scrambling__30_yds_RTP_Score_RANK LAST WEEK,Scrambling__30_yds_RTP_Score_PLAYER NAME,Scrambling__30_yds_RTP_Score_ROUNDS,Scrambling__30_yds_RTP_Score_AVG RTP,Scrambling__30_yds_RTP_Score_TOTAL HOLES,Scrambling__30_yds_RTP_Score_TOTAL RTP
0,1,1,Jim Furyk,50,0.569,58,33.0
1,2,2,Ben Crane,65,0.5870000000000001,46,27.0
2,3,3,Jason Dufner,71,0.614,70,43.0
3,4,4,Zach Johnson,94,0.635,85,54.0
4,5,5,Matt Kuchar,88,0.647,68,44.0
5,6,6,Cameron Smith,85,0.65,80,52.0
6,7,7,Ryan Armour,109,0.6509999999999999,83,54.0
7,8,8,Daniel Berger,81,0.662,74,49.0
8,9,9,Nick Taylor,94,0.667,72,48.0
9,10,10,Alex Noren,67,0.6890000000000001,61,42.0
10,11,11,David Hearn,66,0.7,40,28.0
11,12,12,Ryan Moore,78,0.7140000000000001,35,25.0
12,13,13,Bill Haas,76,0.7240000000000001,87,63.0
13,14,14,Rory Sabbatini,91,0.732,71,52.0
14,T15,T15,Hunter Mahan,67,0.738,42,31.0
15,T15,T15,Johnson Wagner,75,0.738,42,31.0
16,17,17,Charles Howell III,104,0.74,77,57.0
17,T18,T18,Joel Dahmen,93,0.741,54,40.0
18,T18,T18,Jason Day,75,0.741,54,40.0
19,T18,T18,J.B. Holmes,77,0.741,54,40.0
20,T18,T18,Denny McCarthy,71,0.741,54,40.0
21,22,22,Kevin Na,91,0.747,87,65.0
22,23,23,Nicholas Lindheim,77,0.75,92,69.0
23,24,24,Peter Uihlein,83,0.753,77,58.0
24,25,25,Webb Simpson,95,0.758,91,69.0
25,26,26,Stewart Cink,87,0.759,83,63.0
26,27,27,Anirban Lahiri,82,0.7609999999999999,71,54.0
27,28,28,Billy Horschel,86,0.763,59,45.0
28,29,29,Hideki Matsuyama,75,0.764,55,42.0
29,30,30,Zac Blair,64,0.765,51,39.0
30,31,31,Corey Conners,97,0.767,73,56.0
31,T32,T32,Brian Gay,103,0.773,97,75.0
32,T32,T32,Andrew Putnam,97,0.773,66,51.0
33,T34,T34,Emiliano Grillo,94,0.775,71,55.0
34,T34,T34,Ollie Schniederjans,91,0.775,102,79.0
35,36,36,Patrick Rodgers,97,0.779,95,74.0
36,37,37,Retief Goosen,60,0.782,55,43.0
37,38,38,Ben Silverman,90,0.792,72,57.0
38,39,39,Chesson Hadley,103,0.794,102,81.0
39,T40,T40,Si Woo Kim,108,0.795,83,66.0
40,T40,T40,Ian Poulter,73,0.795,44,35.0
41,42,42,Chez Reavie,93,0.7959999999999999,49,39.0
42,43,43,Beau Hossler,104,0.7979999999999999,109,87.0
43,T44,T44,Brandt Snedeker,84,0.802,86,69.0
44,T44,T44,Robert Streb,78,0.802,91,73.0
45,46,46,Lanto Griffin,80,0.8029999999999999,61,49.0
46,47,47,Louis Oosthuizen,62,0.804,46,37.0
47,48,48,Wesley Bryan,69,0.8059999999999999,67,54.0
48,49,49,Francesco Molinari,73,0.807,57,46.0
49,50,50,Danny Lee,88,0.8079999999999999,73,59.0
50,51,51,Patrick Reed,94,0.809,68,55.0
51,T52,T52,Alex Cejka,77,0.81,58,47.0
52,T52,T52,John Huh,94,0.81,84,68.0
53,T52,T52,Jimmy Walker,81,0.81,105,85.0
54,T55,T55,Byeong Hun An,86,0.813,80,65.0
55,T55,T55,Cameron Percy,56,0.813,32,26.0
56,T55,T55,Shawn Stefani,76,0.813,48,39.0
57,58,58,Scott Piercy,84,0.815,54,44.0
58,T59,T59,Nate Lashley,51,0.818,33,27.0
59,T59,T59,Scott Stallings,96,0.818,88,72.0
60,61,61,Brian Stuard,103,0.8190000000000001,94,77.0
61,T62,T62,Jonathan Randolph,71,0.821,67,55.0
62,T62,T62,Justin Rose,70,0.821,39,32.0
63,T62,T62,Adam Scott,78,0.821,56,46.0
64,T65,T65,Dustin Johnson,77,0.8240000000000001,51,42.0
65,T65,T65,Kevin Kisner,89,0.8240000000000001,68,56.0
66,67,67,Aaron Wise,90,0.8270000000000001,75,62.0
67,68,68,Kyle Stanley,93,0.828,58,48.0
68,69,69,Lucas Glover,65,0.8290000000000001,41,34.0
69,70,70,J.J. Spaun,85,0.831,65,54.0
70,T71,T71,Adam Hadwin,92,0.833,60,50.0
71,T71,T71,Brendan Steele,74,0.833,60,50.0
72,T71,T71,Tiger Woods,68,0.833,60,50.0
73,74,74,C.T. Pan,104,0.836,61,51.0
74,T75,T75,Branden Grace,67,0.8370000000000001,49,41.0
75,T75,T75,Kevin Streelman,94,0.8370000000000001,49,41.0
76,T77,T77,Patton Kizzire,92,0.838,111,93.0
77,T77,T77,Jamie Lovemark,92,0.838,80,67.0
78,79,79,Rob Oppenheim,74,0.8390000000000001,56,47.0
79,80,80,Brice Garnett,99,0.84,94,79.0
80,81,81,Pat Perez,82,0.843,51,43.0
81,82,82,Tyrrell Hatton,58,0.846,39,33.0
82,83,83,Rafa Cabrera Bello,75,0.848,46,39.0
83,T84,T84,Chris Kirk,108,0.8490000000000001,86,73.0
84,T84,T84,Bubba Watson,90,0.8490000000000001,73,62.0
85,T86,T86,Brooks Koepka,64,0.852,54,46.0
86,T86,T86,Seamus Power,86,0.852,54,46.0
87,T88,T88,Ryan Blaum,81,0.855,69,59.0
88,T88,T88,Kevin Chappell,77,0.855,62,53.0
89,T88,T88,Martin Flores,92,0.855,83,71.0
90,T88,T88,Xander Schauffele,96,0.855,83,71.0
