,Official_Money_RANK THIS WEEK,Official_Money_RANK LAST WEEK,Official_Money_PLAYER NAME,Official_Money_EVENTS,Official_Money_MONEY,Official_Money_YTD VICTORIES
0,1,1,Tiger Woods,21,"$10,628,024",6.0
1,2,2,Vijay Singh,30,"$8,017,336",4.0
2,3,3,Phil Mickelson,21,"$5,699,605",4.0
3,4,4,Jim Furyk,26,"$4,255,369",1.0
4,5,5,David Toms,25,"$3,962,013",1.0
5,6,6,Kenny Perry,23,"$3,607,155",2.0
6,7,7,Chris DiMarco,24,"$3,562,548",
7,8,8,Retief Goosen,18,"$3,494,106",1.0
8,9,9,Bart Bryant,26,"$3,249,136",2.0
9,10,10,Sergio Garcia,20,"$3,213,375",1.0
10,11,11,Fred Funk,30,"$2,830,046",1.0
11,12,12,Justin Leonard,24,"$2,665,131",2.0
12,13,13,Davis Love III,24,"$2,658,779",
13,14,14,Padraig Harrington,15,"$2,615,731",2.0
14,15,15,Adam Scott,19,"$2,592,255",
15,16,16,Scott Verplank,25,"$2,580,213",
16,17,17,Luke Donald,18,"$2,480,562",
17,18,18,Sean O'Hair,29,"$2,461,482",1.0
18,19,19,Ben Crane,21,"$2,457,329",1.0
19,20,20,Chad Campbell,27,"$2,391,432",
20,21,21,Tim Clark,26,"$2,310,037",
21,22,22,Billy Mayfair,31,"$2,236,455",
22,23,23,Stuart Appleby,25,"$2,202,506",1.0
23,24,24,Ted Purdy,34,"$2,198,368",1.0
24,25,25,Mark Calcavecchia,27,"$2,185,310",1.0
25,26,26,Olin Browne,29,"$2,171,928",1.0
26,27,27,Brandt Jobe,27,"$2,133,149",
27,28,28,Tim Herron,28,"$2,103,550",
28,29,29,Charles Howell III,29,"$2,074,329",
29,30,30,Lucas Glover,28,"$2,050,068",1.0
30,31,31,Carl Pettersson,34,"$1,993,851",1.0
31,32,32,Shigeki Maruyama,29,"$1,933,049",
32,33,33,Geoff Ogilvy,26,"$1,931,676",1.0
33,34,34,Peter Lonard,27,"$1,897,998",1.0
34,35,35,Jason Bohn,28,"$1,888,568",1.0
35,36,36,Vaughn Taylor,32,"$1,827,574",1.0
36,37,37,Joe Ogilvie,30,"$1,819,547",
37,38,38,Fred Couples,22,"$1,804,179",
38,39,39,Zach Johnson,30,"$1,796,441",
39,40,40,K.J. Choi,24,"$1,765,374",1.0
40,41,41,José María Olazábal,16,"$1,764,227",
41,42,42,John Daly,25,"$1,759,921",
42,43,43,Stewart Cink,26,"$1,733,049",
43,44,44,Tim Petrovic,32,"$1,711,229",1.0
44,45,45,Brad Faxon,23,"$1,700,535",1.0
45,46,46,Tom Lehman,20,"$1,655,416",
46,47,47,Ernie Els,11,"$1,627,184",
47,48,48,Rod Pampling,26,"$1,613,815",
48,49,49,Tom Pernice Jr.,32,"$1,608,057",
49,50,50,Heath Slocum,29,"$1,606,185",1.0
50,51,51,Bo Van Pelt,33,"$1,606,082",
51,52,52,Darren Clarke,12,"$1,465,921",
52,53,53,Jonathan Kaye,24,"$1,416,109",
53,54,54,Steve Elkington,20,"$1,410,350",
54,55,55,Justin Rose,28,"$1,365,191",
55,56,56,Mike Weir,23,"$1,363,467",
56,57,57,Greg Owen,24,"$1,352,878",
57,58,58,Jerry Kelly,31,"$1,352,487",
58,59,59,Mark Hensby,21,"$1,312,637",
59,60,60,Ryan Palmer,32,"$1,280,002",
60,61,61,Jeff Brehaut,23,"$1,271,061",
61,62,62,Pat Perez,28,"$1,258,087",
62,63,63,Robert Allenby,31,"$1,184,458",
63,64,64,Woody Austin,30,"$1,177,095",
64,65,65,Billy Andrade,26,"$1,120,835",
65,66,66,Robert Gamez,28,"$1,115,364",1.0
66,67,67,Kevin Na,32,"$1,095,204",
67,68,68,Jeff Sluman,28,"$1,087,506",
68,69,69,Bob Tway,26,"$1,072,387",
69,70,70,Joey Sindelar,29,"$1,060,238",
70,71,71,Dudley Hart,29,"$1,051,339",
71,72,72,Joey Snyder III,31,"$1,042,696",
72,73,73,Joe Durant,25,"$1,039,699",
73,74,74,J.L. Lewis,30,"$1,031,159",
74,75,75,"Wes Short, Jr.",16,"$1,029,640",1.0
75,76,76,Carlos Franco,25,"$1,029,267",
76,77,77,Charles Warren,31,"$1,007,276",
77,78,78,Aaron Baddeley,27,"$1,006,006",
78,79,79,Harrison Frazar,31,"$999,083",
79,80,80,Brett Quigley,31,"$998,155",
80,81,81,Scott McCarron,24,"$977,517",
81,82,82,Arjun Atwal,17,"$963,768",
82,83,83,Stephen Ames,24,"$959,665",
83,84,84,Bernhard Langer,19,"$952,451",
84,85,85,Steve Lowery,32,"$950,274",
85,86,86,Ian Poulter,20,"$946,890",
86,87,87,J.J. Henry,32,"$942,347",
87,88,88,Arron Oberholser,21,"$921,796",
88,89,89,Rory Sabbatini,26,"$920,988",
89,90,90,Daniel Chopra,34,"$893,368",
90,91,91,Tag Ridings,31,"$891,812",
91,92,92,Bob Estes,25,"$891,477",
92,93,93,Loren Roberts,18,"$874,330",
93,94,94,Jason Gore,8,"$871,135",1.0
94,95,95,Steve Flesch,30,"$869,106",
95,96,96,Freddie Jacobson,23,"$868,525",
96,97,97,John Senden,29,"$855,325",
97,98,98,Brian Davis,23,"$854,460",
98,99,99,John Rollins,30,"$852,147",
99,100,100,James Driscoll,26,"$849,891",
100,101,101,Kevin Sutherland,26,"$845,875",
101,102,102,Dean Wilson,27,"$821,903",
102,103,103,D.J. Trahan,28,"$806,304",
103,104,104,Hank Kuehne,30,"$786,817",
104,105,105,Stephen Leaney,29,"$758,057",
105,106,106,Jeff Maggert,25,"$743,780",
106,107,107,Robert Damron,28,"$739,836",
107,108,108,Corey Pavin,23,"$736,506",
108,109,109,Jesper Parnevik,24,"$732,845",
109,110,110,Doug Barron,24,"$731,990",
110,111,111,Jonathan Byrd,31,"$726,023",
111,112,112,Craig Barlow,26,"$720,362",
112,113,113,Rich Beem,26,"$701,242",
113,114,114,Rocco Mediate,24,"$696,250",
114,115,115,Brian Gay,33,"$689,862",
115,116,116,Richard Johnson,16,"$689,364",
116,117,117,Hidemichi Tanaka,34,"$686,113",
117,118,118,Patrick Sheehan,35,"$675,038",
118,119,119,Todd Fischer,35,"$664,098",
119,120,120,John Huston,31,"$657,970",
120,121,121,Ryuji Imada,25,"$650,221",
121,122,122,Tommy Armour III,29,"$636,643",
122,123,123,Kent Jones,32,"$629,944",
123,124,124,Craig Parry,15,"$629,887",
124,125,125,Nick Price,16,"$626,736",
125,126,126,Briny Baird,33,"$624,191",
126,127,127,Nick Watney,31,"$605,369",
127,128,128,Kirk Triplett,18,"$598,145",
128,129,129,Ben Curtis,24,"$594,670",
129,130,130,Michael Allen,30,"$591,829",
130,131,131,Hunter Mahan,34,"$589,567",
131,132,132,Brett Wetterich,28,"$576,029",
132,133,133,Mark Wilson,25,"$573,218",
133,134,134,Todd Hamilton,31,"$559,495",
134,135,135,Tjaart van der Walt,19,"$544,058",
135,136,136,Omar Uresti,27,"$538,238",
136,137,137,Neal Lancaster,31,"$532,185",
137,138,138,J.P. Hayes,22,"$531,704",
138,139,139,Marco Dawson,23,"$526,264",
139,140,140,Alex Cejka,31,"$510,082",
140,141,141,Brian Bateman,32,"$505,517",
141,142,142,Lee Westwood,15,"$501,267",
142,143,143,Darron Stiles,26,"$499,827",
143,144,144,Brendan Jones,28,"$498,817",
144,145,145,Andrew Magee,29,"$488,779",
145,146,146,Shaun Micheel,29,"$487,402",
146,147,147,Frank Lickliter II,33,"$486,581",
147,148,148,Paul Goydos,15,"$486,362",
148,149,149,Scott Gutschewski,27,"$485,487",
149,150,150,Thomas Levet,20,"$485,343",
150,151,151,Jay Haas,16,"$485,109",
151,152,152,Cameron Beckman,31,"$474,107",
152,153,153,Duffy Waldorf,28,"$462,725",
153,154,154,Chris Smith,32,"$454,375",
154,155,155,Lee Janzen,26,"$422,748",
155,156,156,Tom Gillis,28,"$421,050",
156,157,157,Phillip Price,25,"$419,415",
157,158,158,Steve Allan,32,"$418,428",
158,159,159,Matt Kuchar,21,"$402,786",
159,160,160,Mathias Grönberg,19,"$401,140",
160,161,161,D.A. Points,33,"$400,540",
161,162,162,Steve Stricker,21,"$397,640",
162,163,163,Jay Williamson,16,"$382,653",
163,164,164,Franklin Langham,31,"$380,436",
164,165,165,John Cook,26,"$374,185",
165,166,166,Hunter Haas,28,"$371,925",
166,167,167,Glen Day,27,"$370,221",
167,168,168,Kevin Stadler,33,"$367,775",
168,169,169,Gavin Coles,22,"$359,523",
169,170,170,Scott Hend,28,"$356,247",
170,171,171,Bob Heintz,24,"$355,488",
171,172,172,Matt Gogel,28,"$344,151",
172,173,173,Roland Thatcher,26,"$326,299",
173,174,174,Paul Gow,27,"$324,459",
174,175,175,Tom Byrum,27,"$323,953",
175,176,176,Brent Geiberger,21,"$309,559",
176,177,177,D.J. Brigman,26,"$294,849",
177,178,178,Brenden Pappas,15,"$279,340",
178,179,179,Will MacKenzie,25,"$275,529",
179,180,180,Mark Brooks,28,"$273,668",
180,181,181,Chris Anderson,25,"$270,347",
181,182,182,José Coceres,22,"$269,705",
182,183,183,Paul Claxton,29,"$269,701",
183,184,184,Chris Riley,25,"$268,735",
184,185,185,Craig Stadler,6,"$256,110",
185,186,186,Charlie Wi,23,"$250,081",
186,187,187,Paul Azinger,22,"$246,489",
187,188,188,Dennis Paulson,24,"$232,147",
188,189,189,Jay Delsing,11,"$230,851",
189,190,190,Dan Forsman,17,"$214,135",
190,191,191,Len Mattiace,34,"$209,638",
191,192,192,Justin Bolli,24,"$207,400",
192,193,193,Larry Mize,18,"$206,969",
193,194,194,Craig Bowden,15,"$199,911",
194,195,195,Carl Paulson,13,"$198,214",
195,196,196,David Hearn,24,"$197,453",
196,197,197,Paul Casey,10,"$195,193",
197,198,198,Mark O'Meara,21,"$190,970",
198,199,199,Glen Hnatiuk,21,"$185,162",
199,200,200,Mario Tiziani,23,"$181,618",
200,201,201,Peter Jacobsen,11,"$180,583",
201,202,202,Skip Kendall,32,"$180,561",
202,203,203,Michael Long,26,"$180,418",
203,204,204,Jason Allred,29,"$176,436",
204,205,205,Spike McRoy,12,"$173,919",
205,206,206,Craig Perks,27,"$171,379",
206,207,207,Jimmy Walker,9,"$155,850",
207,208,208,Danny Briggs,29,"$148,836",
208,209,209,Jeff Hart,23,"$135,165",
209,210,210,David Peoples,12,"$127,907",
210,211,211,Per-Ulrik Johansson,7,"$126,640",
211,212,212,Steve Jones,20,"$124,144",
212,213,213,David Frost,10,"$111,258",
213,214,214,Bill Glasson,21,"$108,426",
214,215,215,Andre Stolz,12,"$104,775",
215,216,216,Jim Carter,25,"$104,138",
216,217,217,Tom Kite,12,"$103,429",
217,218,218,Matt Davidson,20,"$98,906",
218,219,219,Rob Rashell,25,"$84,391",
