,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
0,1,1,Tiger Woods,21,8.44,10628022,125854555
1,2,2,Michael Campbell,5,4.85,1661810,34254555
2,3,3,Vijay Singh,30,4.65,8017331,172304555
3,4,4,Phil Mickelson,21,4.62,5699604,123454555
4,5,5,Colin Montgomerie,6,3.71,1450735,39054555
5,6,6,Retief Goosen,18,3.26,3494105,107254555
6,7,7,Jim Furyk,26,2.82,4255367,151104555
7,8,8,Padraig Harrington,15,2.79,2615731,93750000
8,9,9,David Toms,25,2.72,3962013,145454555
9,10,10,Kenny Perry,23,2.66,3607154,135504555
10,11,11,Sergio Garcia,20,2.63,3213373,122404555
11,12,12,Chris DiMarco,24,2.54,3562547,140204555
12,13,13,Ernie Els,11,2.52,1627181,64604555
13,14,14,Luke Donald,18,2.27,2480559,109354555
14,T15,T15,Bart Bryant,26,2.25,3249134,144304555
15,T15,T15,Ben Crane,21,2.25,2457326,109150000
16,T15,T15,Adam Scott,19,2.25,2592254,115454555
17,18,18,Jason Gore,8,2.23,871134,39150000
18,19,19,Darren Clarke,12,2.02,1465920,72604555
19,20,20,Peter Hedblom,1,1.98,123857,6250000
20,21,21,José María Olazábal,16,1.97,1764225,89504555
21,22,22,Chris Couch,1,1.93,96666,5000000
22,23,23,Justin Leonard,24,1.9,2665130,140104555
23,24,24,Davis Love III,24,1.88,2658778,141754555
24,T25,T25,Henrik Stenson,4,1.79,501984,28004555
25,T25,T25,Scott Verplank,25,1.79,2580211,143754555
26,27,27,Matt Hendrix,1,1.71,51428,3000000
27,28,28,Fred Funk,30,1.67,2830043,169804555
28,29,29,Sean O'Hair,29,1.58,2461479,155654555
29,30,30,Chad Campbell,27,1.56,2391430,153754555
30,31,31,Olin Browne,29,1.55,2171924,140050000
31,T32,T32,Stuart Appleby,25,1.53,2202504,144354555
32,T32,T32,Tim Clark,26,1.53,2310035,151004555
33,34,34,Mark Calcavecchia,27,1.52,2185309,143354555
34,35,35,Brandt Jobe,27,1.51,2133148,141550000
35,36,36,Jaxon Brigman,2,1.47,162961,11100000
36,T37,T37,Lucas Glover,28,1.44,2050065,142500000
37,T37,T37,"Wes Short, Jr.",16,1.44,1029639,71550000
38,T39,T39,Fred Couples,22,1.43,1804177,126404555
39,T39,T39,Tom Lehman,20,1.43,1655415,116054555
40,41,41,Billy Mayfair,31,1.4,2236450,159900000
41,T42,T42,Brad Faxon,23,1.38,1700532,123554555
42,T42,T42,Tim Herron,28,1.38,2103547,152154555
43,T42,T42,Paul McGinley,6,1.38,547183,39554555
44,T42,T42,Geoff Ogilvy,26,1.38,1931674,139554555
45,46,46,Jason Bohn,28,1.37,1888566,138250000
46,T47,T47,Thomas Bjørn,8,1.36,769267,56754555
47,T47,T47,Scott Dunlap,3,1.36,204500,15000000
48,49,49,Charles Howell III,29,1.31,2074327,157754555
49,50,50,K.J. Choi,24,1.28,1765373,138404555
50,51,51,Steve Elkington,20,1.27,1410348,111250000
51,T52,T52,John Daly,25,1.24,1759918,141954555
52,T52,T52,Peter Lonard,27,1.24,1897997,153254555
53,T54,T54,Jeff Brehaut,23,1.23,1271060,103050000
54,T54,T54,Graeme McDowell,14,1.23,1086859,88304555
55,T56,T56,Arjun Atwal,17,1.21,963766,79850000
56,T56,T56,Joel Kribel,2,1.21,112360,9300000
57,T56,T56,Shigeki Maruyama,29,1.21,1933046,159854555
58,T56,T56,Ted Purdy,34,1.21,2198366,182154555
59,60,60,Carl Pettersson,34,1.2,1993848,166250000
60,61,61,Stewart Cink,26,1.17,1733046,147854555
61,62,62,Joe Ogilvie,30,1.15,1819545,158804555
62,63,63,Vaughn Taylor,32,1.14,1827572,160750000
63,T64,T64,Jonathan Kaye,24,1.11,1416107,127600000
64,T64,T64,Greg Owen,24,1.11,1352876,121500000
65,T64,T64,Heath Slocum,29,1.11,1606180,145200000
66,67,67,Rod Pampling,26,1.09,1613813,147654555
67,68,68,Zach Johnson,30,1.08,1796439,166754555
68,69,69,Nick O'Hern,13,1.07,889201,83204555
69,70,70,Mark Hensby,21,1.06,1312634,123454555
70,71,71,Ryan Moore,14,1.05,686248,65400000
71,72,72,Tom Purtzer,1,1.04,58240,5600000
72,73,73,Bradley Dredge,1,1.03,77000,7500000
73,74,74,Tim Petrovic,32,1.02,1711228,168254555
74,75,75,Mike Weir,23,1.01,1363466,134954555
75,T76,T76,Richard Johnson,16,0.97,689362,71350000
76,T76,T76,Tom Pernice Jr.,32,0.97,1608054,165704555
77,T78,T78,Michael Putnam,5,0.96,229733,23950000
78,T78,T78,Justin Rose,28,0.96,1365188,142350000
79,80,80,Bo Van Pelt,33,0.95,1606078,168854555
80,81,81,David Howell,12,0.93,696949,75300000
81,82,82,Loren Roberts,18,0.91,874329,96500000
82,83,83,Trevor Immelman,14,0.89,726866,82104555
83,T84,T84,Yasuharu Imano,1,0.88,66000,7500000
84,T84,T84,Bernhard Langer,19,0.88,952449,108054555
85,86,86,Pat Perez,28,0.87,1258086,144454555
86,87,87,Arron Oberholser,21,0.86,921796,107700000
87,T88,T88,Billy Andrade,26,0.85,1120834,132100000
88,T88,T88,Jerry Kelly,31,0.85,1352483,159154555
89,T90,T90,Scott Drummond,1,0.84,56946,6754555
90,T90,T90,Nick Flanagan,1,0.84,56946,6754555
91,T90,T90,Tadahiro Takayama,1,0.84,56946,6754555
92,T93,T93,Ian Poulter,20,0.81,946889,117554555
93,T93,T93,Bob Tway,26,0.81,1072386,133054555
94,T95,T95,Joe Durant,25,0.8,1039696,130054555
95,T95,T95,Carlos Franco,25,0.8,1029265,127900000
96,T95,T95,Robert Gamez,28,0.8,1115363,140050000
97,T95,T95,Scott McCarron,24,0.8,977515,122500000
98,T95,T95,Craig Stadler,6,0.8,256110,32000000
99,100,100,Aaron Baddeley,27,0.78,1006005,129700000
100,T101,T101,Woody Austin,30,0.77,1177092,152700000
101,T101,T101,Ryan Palmer,32,0.77,1279999,165650000
102,T101,T101,Jeff Sluman,28,0.77,1087504,142000000
103,104,104,Brian Davis,23,0.74,854458,115404555
104,105,105,Joey Sindelar,29,0.73,1060235,144850000
105,T106,T106,Bob Estes,25,0.72,891476,124600000
106,T106,T106,Dudley Hart,29,0.72,1051338,146200000
107,108,108,Robert Allenby,31,0.71,1184457,166254555
108,109,109,Stephen Ames,24,0.7,959664,136554555
109,T110,T110,Kevin Na,32,0.69,1095202,159500000
110,T110,T110,Craig Parry,15,0.69,629886,91604555
111,T110,T110,Nick Price,16,0.69,626735,90304555
112,T110,T110,Joey Snyder III,31,0.69,1042693,151650000
113,T114,T114,Michael Harris,2,0.68,65430,9600000
